player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot,goalType
"{'name': 'Mitar Ćuković', 'slug': 'mitar-cukovic', 'shortName': 'M. Ćuković', 'position': 'D', 'jerseyNumber': '2', 'userCount': 2, 'gender': 'M', 'id': 889057, 'fieldTranslations': {'nameTranslation': {'ar': 'ميتار تشوكوفيتش'}, 'shortNameTranslation': {'ar': 'م. تشوكوفيتش'}}}",True,block,throw-in-set-piece,"{'x': 25, 'y': 55, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 25, 'y': 55, 'z': 0}",0.001803,6956329,75,4445,"{'start': {'x': 55, 'y': 25}, 'block': {'x': 55, 'y': 25}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",16,955,1745,shot,,
"{'name': 'Staniša Mandić', 'slug': 'stanisa-mandic', 'shortName': 'S. Mandić', 'position': 'M', 'jerseyNumber': '77', 'userCount': 39, 'gender': 'M', 'id': 363780, 'fieldTranslations': {'nameTranslation': {'ar': 'ستانيشا مانديتش', 'bn': 'স্ট্যানিসা মান্ডিচ', 'hi': 'स्टैनिसा मैंडिक'}, 'shortNameTranslation': {'ar': 'س. مانديتش', 'bn': 'এস. মান্ডিক', 'hi': 'एस. मैंडिक'}}}",True,block,regular,"{'x': 17, 'y': 56, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 17, 'y': 56, 'z': 0}",0.02018,6956328,72,4309,"{'start': {'x': 56, 'y': 17}, 'block': {'x': 56, 'y': 17}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",19,1091,1609,shot,,
"{'name': 'Armin Imamović', 'firstName': '', 'lastName': '', 'slug': 'armin-imamovic', 'shortName': 'A. Imamovic', 'position': 'D', 'jerseyNumber': '14', 'userCount': 10, 'gender': 'M', 'id': 925940, 'fieldTranslations': {'nameTranslation': {'ar': 'أرمين إماموفيتش'}, 'shortNameTranslation': {'ar': 'أ. إماموفيتش'}}}",True,miss,regular,"{'x': 19, 'y': 71, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 57.9, 'z': 4.2}",,0.02818,6956327,62,3681,"{'start': {'x': 71, 'y': 19}, 'end': {'x': 42.1, 'y': 0}, 'goal': {'x': 42.1, 'y': 95.8}}",29,1719,981,shot,,
"{'name': 'Neđeljko Kovinić', 'firstName': '', 'lastName': '', 'slug': 'nedeljko-kovinic', 'shortName': 'N. Kovinić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 25, 'gender': 'M', 'id': 1130148, 'fieldTranslations': {'nameTranslation': {'ar': 'نيديلكو كوفينيتش'}, 'shortNameTranslation': {'ar': 'ن. كوفينيتش'}}}",True,miss,regular,"{'x': 3, 'y': 52, 'z': 0}",head,close-high,"{'x': 0, 'y': 49, 'z': 52.7}",,0.4752,6956326,61,3630,"{'start': {'x': 52, 'y': 3}, 'end': {'x': 51, 'y': 0}, 'goal': {'x': 51, 'y': 47.3}}",30,1770,930,shot,,
"{'name': 'Neđeljko Kovinić', 'firstName': '', 'lastName': '', 'slug': 'nedeljko-kovinic', 'shortName': 'N. Kovinić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 25, 'gender': 'M', 'id': 1130148, 'fieldTranslations': {'nameTranslation': {'ar': 'نيديلكو كوفينيتش'}, 'shortNameTranslation': {'ar': 'ن. كوفينيتش'}}}",True,save,regular,"{'x': 17, 'y': 55, 'z': 0}",head,low-left,"{'x': 0, 'y': 54.6, 'z': 12.8}",,0.01551,6956325,60,3594,"{'start': {'x': 55, 'y': 17}, 'end': {'x': 45.4, 'y': 0}, 'goal': {'x': 45.4, 'y': 87.2}}",31,1806,894,shot,0.0963,
"{'name': 'Nikola Braunović', 'firstName': '', 'lastName': '', 'slug': 'nikola-braunovic', 'shortName': 'N. Braunović', 'position': 'D', 'jerseyNumber': '29', 'userCount': 5, 'gender': 'M', 'id': 1466922, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا براونوفيتش'}, 'shortNameTranslation': {'ar': 'ن. براونوفيتش'}}}",False,miss,corner,"{'x': 23, 'y': 74, 'z': 0}",right-foot,close-high-left,"{'x': 0, 'y': 57.3, 'z': 40.3}",,0.02539,6956324,59,3495,"{'start': {'x': 74, 'y': 23}, 'end': {'x': 42.7, 'y': 0}, 'goal': {'x': 42.7, 'y': 59.7}}",32,1905,795,shot,,
"{'name': 'Neđeljko Kovinić', 'firstName': '', 'lastName': '', 'slug': 'nedeljko-kovinic', 'shortName': 'N. Kovinić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 25, 'gender': 'M', 'id': 1130148, 'fieldTranslations': {'nameTranslation': {'ar': 'نيديلكو كوفينيتش'}, 'shortNameTranslation': {'ar': 'ن. كوفينيتش'}}}",True,miss,regular,"{'x': 13, 'y': 62, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41.6, 'z': 43.8}",,0.1667,6956323,57,3419,"{'start': {'x': 62, 'y': 13}, 'end': {'x': 58.4, 'y': 0}, 'goal': {'x': 58.4, 'y': 56.2}}",34,1981,719,shot,,
"{'name': 'Balša Radusinović', 'firstName': '', 'lastName': '', 'slug': 'balsa-radusinovic', 'shortName': 'B. Radusinović', 'position': 'M', 'jerseyNumber': '32', 'userCount': 10, 'gender': 'M', 'id': 1131064, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا رادوسينوفيتش'}, 'shortNameTranslation': {'ar': 'ب. رادوسينوفيتش'}}}",False,save,regular,"{'x': 7, 'y': 51, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.2, 'z': 6}",,0.3219,6956322,56,3333,"{'start': {'x': 51, 'y': 7}, 'end': {'x': 50.8, 'y': 0}, 'goal': {'x': 50.8, 'y': 94}}",35,2067,633,shot,0.5485,
"{'name': 'Igor Vukcevic', 'firstName': '', 'lastName': '', 'slug': 'igor-vukcevic', 'shortName': 'I. Vukcevic', 'position': 'F', 'jerseyNumber': '11', 'userCount': 1, 'gender': 'M', 'id': 957906, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور فوكيفيتش'}, 'shortNameTranslation': {'ar': 'إ. فوكيفيتش'}}}",True,miss,regular,"{'x': 14, 'y': 50, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 58.4, 'z': 14.2}",,0.147,6956321,53,3124,"{'start': {'x': 50, 'y': 14}, 'end': {'x': 41.6, 'y': 0}, 'goal': {'x': 41.6, 'y': 85.8}}",38,2276,424,shot,,
"{'name': 'Dejan Perovic', 'slug': 'dejan-perovic', 'shortName': 'D. Perović', 'position': 'M', 'jerseyNumber': '44', 'userCount': 9, 'gender': 'M', 'id': 1005595, 'fieldTranslations': {'nameTranslation': {'ar': 'ديان بيروفيتش'}, 'shortNameTranslation': {'ar': 'د. بيروفيتش'}}}",False,miss,regular,"{'x': 22, 'y': 22, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 46.8, 'z': 57.6}",,0.008129,6956320,48,2870,"{'start': {'x': 22, 'y': 22}, 'end': {'x': 53.2, 'y': 0}, 'goal': {'x': 53.2, 'y': 42.4}}",43,2530,170,shot,,
