player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType,addedTime
"{'name': 'Timi Max Elšnik', 'slug': 'timi-max-elsnik', 'shortName': 'T. M. Elšnik', 'position': 'M', 'jerseyNumber': '21', 'userCount': 1618, 'gender': 'M', 'id': 827371, 'fieldTranslations': {'nameTranslation': {'ar': 'تيمي ماكس إلسنيك', 'bn': 'টিমি ম্যাক্স এলসনিক', 'hi': 'टिमी मैक्स एल्शनिक'}, 'shortNameTranslation': {'ar': 'ت. م. إلسنيك', 'bn': 'টি. এম. এলসনিক', 'hi': 'टी.एम. एल्शनिक'}}}",True,miss,set-piece,"{'x': 23.4, 'y': 49.9, 'z': 0}",left-foot,right,"{'x': 0, 'y': 40.5, 'z': 11.1}",5274429,89,5316,"{'start': {'x': 49.9, 'y': 23.4}, 'end': {'x': 59.5, 'y': 0}, 'goal': {'x': 59.5, 'y': 88.9}}",2,84,2616,shot,,,
"{'name': 'Jovan Šljivić', 'slug': 'jovan-sljivic', 'shortName': 'J. Šljivić', 'position': 'M', 'jerseyNumber': '20', 'userCount': 666, 'gender': 'M', 'id': 1153956, 'fieldTranslations': {'nameTranslation': {'ar': 'بيليتيتش إ / ميلوفانوف ت'}, 'shortNameTranslation': {'ar': 'ب. ت'}}}",True,block,free-kick,"{'x': 23.2, 'y': 34.2, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.5, 'z': 19}",5274428,89,5315,"{'start': {'x': 34.2, 'y': 23.2}, 'block': {'x': 38.3, 'y': 14.9}, 'end': {'x': 45.5, 'y': 0}, 'goal': {'x': 45.5, 'y': 81}}",2,85,2615,shot,"{'x': 14.9, 'y': 38.3, 'z': 0}",,
"{'name': 'Peter Olayinka', 'firstName': '', 'lastName': '', 'slug': 'peter-olayinka', 'shortName': 'P. Olayinka', 'position': 'M', 'jerseyNumber': '99', 'userCount': 1173, 'gender': 'M', 'id': 289181, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر أولايينكا', 'bn': 'পিটার ওলাইঙ্কা', 'hi': 'पीटर ओलायिन्का'}, 'shortNameTranslation': {'ar': 'ب. أولايينكا', 'bn': 'পি. ওলাইঙ্কা', 'hi': 'पी. ओलायिन्का'}}}",True,miss,assisted,"{'x': 6.7, 'y': 53.8, 'z': 0}",head,close-high,"{'x': 0, 'y': 44.2, 'z': 54.2}",5274385,83,4970,"{'start': {'x': 53.8, 'y': 6.7}, 'end': {'x': 55.8, 'y': 0}, 'goal': {'x': 55.8, 'y': 45.8}}",8,430,2270,shot,,,
"{'name': 'Bruno Duarte', 'slug': 'bruno-duarte', 'shortName': 'B. Duarte', 'position': 'F', 'jerseyNumber': '17', 'userCount': 1529, 'gender': 'M', 'id': 878830, 'fieldTranslations': {'nameTranslation': {'ar': 'برونو دوارتي', 'bn': 'ব্রুনো ডুয়ার্তে', 'hi': 'ब्रूनो डुआर्टे'}, 'shortNameTranslation': {'ar': 'ب. دوارتي', 'bn': 'বি. ডুয়ার্তে', 'hi': 'बी. डुआर्टे'}}}",True,goal,penalty,"{'x': 11.5, 'y': 50, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.6, 'z': 15.2}",5274354,77,4596,"{'start': {'x': 50, 'y': 11.5}, 'end': {'x': 47.4, 'y': 0}, 'goal': {'x': 47.4, 'y': 84.8}}",14,804,1896,shot,,penalty,
"{'name': 'Peter Olayinka', 'firstName': '', 'lastName': '', 'slug': 'peter-olayinka', 'shortName': 'P. Olayinka', 'position': 'M', 'jerseyNumber': '99', 'userCount': 1173, 'gender': 'M', 'id': 289181, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر أولايينكا', 'bn': 'পিটার ওলাইঙ্কা', 'hi': 'पीटर ओलायिन्का'}, 'shortNameTranslation': {'ar': 'ب. أولايينكا', 'bn': 'পি. ওলাইঙ্কা', 'hi': 'पी. ओलायिन्का'}}}",True,save,assisted,"{'x': 13, 'y': 41.3, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.1, 'z': 19.6}",5274351,73,4343,"{'start': {'x': 41.3, 'y': 13}, 'block': {'x': 48.2, 'y': 2.5}, 'end': {'x': 47.9, 'y': 0}, 'goal': {'x': 47.9, 'y': 80.4}}",18,1057,1643,shot,"{'x': 2.5, 'y': 48.2, 'z': 0}",,
"{'name': 'Young-woo Seol', 'slug': 'young-woo-seol', 'shortName': 'Y. W. Seol', 'position': 'D', 'jerseyNumber': '66', 'userCount': 2096, 'gender': 'M', 'id': 1019333, 'fieldTranslations': {'nameTranslation': {'ar': 'يونغ-وو سيول', 'bn': 'ইয়ং-উ সিওল', 'hi': 'यंग-वू सेओल'}, 'shortNameTranslation': {'ar': 'ي. سيول', 'bn': 'ওয়াই. ডব্লিউ. সিওল', 'hi': 'YW सेओल'}}}",True,block,assisted,"{'x': 13, 'y': 57.9, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.4, 'z': 19}",5274350,72,4283,"{'start': {'x': 57.9, 'y': 13}, 'block': {'x': 55.8, 'y': 9.7}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 81}}",19,1117,1583,shot,"{'x': 9.7, 'y': 55.8, 'z': 0}",,
"{'name': 'Peter Olayinka', 'firstName': '', 'lastName': '', 'slug': 'peter-olayinka', 'shortName': 'P. Olayinka', 'position': 'M', 'jerseyNumber': '99', 'userCount': 1173, 'gender': 'M', 'id': 289181, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر أولايينكا', 'bn': 'পিটার ওলাইঙ্কা', 'hi': 'पीटर ओलायिन्का'}, 'shortNameTranslation': {'ar': 'ب. أولايينكا', 'bn': 'পি. ওলাইঙ্কা', 'hi': 'पी. ओलायिन्का'}}}",True,miss,corner,"{'x': 8.6, 'y': 63.2, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 47.1, 'z': 58.3}",5274261,70,4157,"{'start': {'x': 63.2, 'y': 8.6}, 'end': {'x': 52.9, 'y': 0}, 'goal': {'x': 52.9, 'y': 41.7}}",21,1243,1457,shot,,,
"{'name': 'Bruno Duarte', 'slug': 'bruno-duarte', 'shortName': 'B. Duarte', 'position': 'F', 'jerseyNumber': '17', 'userCount': 1529, 'gender': 'M', 'id': 878830, 'fieldTranslations': {'nameTranslation': {'ar': 'برونو دوارتي', 'bn': 'ব্রুনো ডুয়ার্তে', 'hi': 'ब्रूनो डुआर्टे'}, 'shortNameTranslation': {'ar': 'ب. دوارتي', 'bn': 'বি. ডুয়ার্তে', 'hi': 'बी. डुआर्टे'}}}",True,miss,assisted,"{'x': 26.9, 'y': 51.5, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 43.2, 'z': 80.6}",5274244,66,3926,"{'start': {'x': 51.5, 'y': 26.9}, 'end': {'x': 56.8, 'y': 0}, 'goal': {'x': 56.8, 'y': 19.4}}",25,1474,1226,shot,,,
"{'name': 'Ognjen Krsmanović', 'slug': 'ognjen-krsmanovic', 'shortName': 'O. Krsmanović', 'position': 'F', 'jerseyNumber': '22', 'userCount': 24, 'gender': 'M', 'id': 1398997, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين كرسمنوفيتش'}, 'shortNameTranslation': {'ar': 'أ. كرسمنوفيتش'}}}",False,save,assisted,"{'x': 23.1, 'y': 52.6, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.9, 'z': 8.9}",5274242,66,3900,"{'start': {'x': 52.6, 'y': 23.1}, 'block': {'x': 48.6, 'y': 1.9}, 'end': {'x': 52.1, 'y': 0}, 'goal': {'x': 52.1, 'y': 91.1}}",25,1500,1200,shot,"{'x': 1.9, 'y': 48.6, 'z': 0}",,
"{'name': 'Nair Tiknizyan', 'firstName': '', 'lastName': '', 'slug': 'nair-tiknizyan', 'shortName': 'N. Tiknizyan', 'position': 'D', 'jerseyNumber': '23', 'userCount': 1528, 'gender': 'M', 'id': 904400, 'fieldTranslations': {'nameTranslation': {'ar': 'ناير تكنيزيان', 'bn': 'নায়ার টিকনিজিয়ান', 'hi': 'नायर टिक्निज़्यान'}, 'shortNameTranslation': {'ar': 'ن. تكنيزيان', 'bn': 'এন. টিকনিজিয়ান', 'hi': 'एन. टिक्निज़्यान'}}}",True,miss,corner,"{'x': 18.4, 'y': 50.1, 'z': 0}",left-foot,left,"{'x': 0, 'y': 59.7, 'z': 29.2}",5274241,65,3846,"{'start': {'x': 50.1, 'y': 18.4}, 'end': {'x': 40.3, 'y': 0}, 'goal': {'x': 40.3, 'y': 70.8}}",26,1554,1146,shot,,,
"{'name': 'Young-woo Seol', 'slug': 'young-woo-seol', 'shortName': 'Y. W. Seol', 'position': 'D', 'jerseyNumber': '66', 'userCount': 2096, 'gender': 'M', 'id': 1019333, 'fieldTranslations': {'nameTranslation': {'ar': 'يونغ-وو سيول', 'bn': 'ইয়ং-উ সিওল', 'hi': 'यंग-वू सेओल'}, 'shortNameTranslation': {'ar': 'ي. سيول', 'bn': 'ওয়াই. ডব্লিউ. সিওল', 'hi': 'YW सेओल'}}}",True,miss,corner,"{'x': 27.7, 'y': 51.3, 'z': 0}",right-foot,high,"{'x': 0, 'y': 46.2, 'z': 73.6}",5274146,63,3735,"{'start': {'x': 51.3, 'y': 27.7}, 'end': {'x': 53.8, 'y': 0}, 'goal': {'x': 53.8, 'y': 26.4}}",28,1665,1035,shot,,,
"{'name': 'Bayere Loue', 'firstName': '', 'lastName': '', 'slug': 'bayere-loue', 'shortName': 'B. Loue', 'position': 'F', 'jerseyNumber': '27', 'userCount': 74, 'gender': 'M', 'id': 972802, 'fieldTranslations': {'nameTranslation': {'ar': 'باير لو'}, 'shortNameTranslation': {'ar': 'ب. لو'}}}",False,save,assisted,"{'x': 1.4, 'y': 71.1, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 46, 'z': 12}",5274135,61,3610,"{'start': {'x': 71.1, 'y': 1.4}, 'block': {'x': 54.9, 'y': 0.3}, 'end': {'x': 54, 'y': 0}, 'goal': {'x': 54, 'y': 88}}",30,1790,910,shot,"{'x': 0.3, 'y': 54.9, 'z': 0}",,
