match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,totalContest,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,totalClearance,unsuccessfulTouch,wasFouled,fouls,keyPass,aerialWon,totalTackle,blockedScoringAttempt,wonTackle,totalOffside,dispossessed,outfielderBlock,interceptionWon,wonContest,challengeLost,hitWoodwork,bigChanceMissed,goals,savedShotsFromInsideTheBox,saves,punches
14015391,home,48614,FK Čukarički,792127,Nikola Mirković,nikola-mirkovic,G,1,False,20.0,16.0,11.0,7.0,0.0,11.0,12.0,5.0,8.0,7.0,1.0,90.0,23.0,7.0,4.0,"{'original': 7, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,63.63636363636363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015391,home,5149,FK Čukarički,1100641,Nikola Stanković,nikola-stankovic,D,24,False,39.0,31.0,3.0,,1.0,6.0,8.0,25.0,31.0,4.0,,90.0,57.0,7.3,15.0,"{'original': 7.3, 'alternative': None}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,79.48717948717949,,50.0,,,6.0,3.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
14015391,home,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,89.0,80.0,14.0,7.0,0.0,26.0,32.0,54.0,57.0,8.0,,90.0,97.0,7.5,11.0,"{'original': 7.5, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,89.8876404494382,50.0,,,,2.0,,1.0,2.0,,,,,1.0,4.0,,,1.0,,,,,,,,,,,,,,,,,
14015391,home,5148,FK Čukarički,1464578,Lazar Stojanović,lazar-stojanovic,D,29,False,70.0,62.0,8.0,6.0,0.0,17.0,21.0,45.0,49.0,1.0,,90.0,80.0,7.3,9.0,"{'original': 7.3, 'alternative': None}",0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,1,2,88.57142857142857,75.0,,,,,,1.0,3.0,4.0,,,,,7.0,,,2.0,,3.0,1.0,,,,,,,,,,,,,,
14015391,home,5148,FK Čukarički,976131,Andreja Stojanović,andreja-stojanovic,D,3,False,36.0,30.0,2.0,1.0,0.0,13.0,13.0,17.0,23.0,2.0,,89.0,63.0,7.5,13.0,"{'original': 7.5, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,7,4,83.33333333333334,50.0,44.44444444444444,,,9.0,4.0,1.0,5.0,8.0,,,,,2.0,,1.0,4.0,4.0,1.0,6.0,1.0,2.0,1.0,,,,,,,,,,,
14015391,home,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,64.0,56.0,7.0,7.0,0.0,14.0,20.0,42.0,44.0,3.0,,90.0,83.0,7.8,11.0,"{'original': 7.8, 'alternative': None}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,5,3,87.5,100.0,,,,1.0,,1.0,4.0,7.0,,,1.0,,1.0,1.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,,1.0,1.0,1.0,,,,,,,,
14015391,home,5148,FK Čukarički,345141,Marko Docić,marko-docic,M,5,False,90.0,75.0,12.0,6.0,0.0,12.0,13.0,63.0,77.0,7.0,,90.0,105.0,7.9,22.0,"{'original': 7.9, 'alternative': None}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,4,1,83.33333333333334,50.0,,66.66666666666666,,4.0,,2.0,3.0,7.0,3.0,1.0,,1.0,,1.0,1.0,,2.0,3.0,1.0,1.0,1.0,,,,,2.0,,,,,,,
14015391,home,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,M,90,False,26.0,19.0,1.0,,0.0,2.0,2.0,17.0,24.0,3.0,,77.0,41.0,7.1,12.0,"{'original': 7.1, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,4,4,73.07692307692307,,,50.0,,1.0,,4.0,8.0,5.0,4.0,,,1.0,,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,2.0,1.0,1.0,,,,,
14015391,home,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,M,22,False,30.0,27.0,3.0,2.0,0.0,8.0,8.0,19.0,22.0,3.0,,77.0,36.0,7.0,6.0,"{'original': 7, 'alternative': None}",1,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,90.0,66.66666666666666,,,,3.0,,1.0,2.0,2.0,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,
14015391,home,5148,FK Čukarički,834586,Lazar Tufegdžić,lazar-tufegdzic,M,7,False,37.0,32.0,2.0,,0.0,3.0,4.0,29.0,33.0,5.0,,90.0,48.0,7.3,8.0,"{'original': 7.3, 'alternative': None}",2,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,86.48648648648648,,,,,3.0,,1.0,3.0,5.0,,,1.0,1.0,,,,2.0,,1.0,4.0,,2.0,,,,,,,,1.0,,,,
