match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,challengeLost,totalContest,onTargetScoringAttempt,interceptionWon,totalTackle,wonTackle,wasFouled,keyPass,shotValueNormalized,dispossessed,totalClearance,aerialLost,aerialWon,shotOffTarget,unsuccessfulTouch,fouls,wonContest,bigChanceMissed,bigChanceCreated,goals,outfielderBlock,blockedScoringAttempt,totalOffside,penaltyWon,goodHighClaim,penaltyFaced,clearanceOffLine,penaltyConceded,errorLeadToAGoal,lastManTackle
14015401,home,5149,FK Crvena zvezda,603946,Matheus,matheus,G,1,False,27.0,26.0,5.0,4.0,0.0,25.0,25.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,90.0,30.0,6.7,1.0,0.0173,"{'original': 6.7, 'alternative': 6.6}",0,0.09,0.0,-0.03,0.02,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,96.29629629629629,80.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015401,home,5149,FK Crvena zvezda,1019333,Young-woo Seol,young-woo-seol,D,66,False,43.0,38.0,3.0,2.0,1.0,21.0,22.0,17.0,21.0,6.0,,,,,90.0,64.0,7.3,6.0,,"{'original': 7.3, 'alternative': 7.7}",1,0.27,0.23,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,5,2,88.37209302325581,66.66666666666666,100.0,,,1.0,1.0,2.0,5.0,1.0,1.0,1.0,4.0,3.0,3.0,2.0,2.0,-0.14,,,,,,,,,,,,,,,,,,,,,
14015401,home,60,FK Crvena zvezda,1406130,Veljko Milosavljević,milosavljevic-veljko,D,44,False,61.0,58.0,3.0,2.0,0.0,40.0,42.0,18.0,19.0,6.0,,,,,90.0,69.0,7.1,4.0,,"{'original': 7.1, 'alternative': 6.8}",0,0.33,0.28,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,95.08196721311475,66.66666666666666,,,,,,1.0,2.0,,,,2.0,2.0,1.0,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,
14015401,home,5149,FK Crvena zvezda,1146225,Stefan Leković,stefan-lekovic,D,25,False,73.0,68.0,8.0,4.0,0.0,47.0,48.0,21.0,25.0,7.0,,,,,90.0,78.0,6.6,7.0,,"{'original': 6.6, 'alternative': 6.8}",1,0.29,0.15,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,0,3,93.15068493150685,50.0,,,,,,5.0,2.0,,,,1.0,,,,,-0.12,,1.0,2.0,2.0,1.0,2.0,3.0,,,,,,,,,,,,,,
14015401,home,5149,FK Crvena zvezda,904400,Nair Tiknizyan,nair-tiknizyan,D,23,False,39.0,37.0,2.0,2.0,0.0,22.0,22.0,15.0,17.0,4.0,,,,,74.0,60.0,7.1,8.0,,"{'original': 7.1, 'alternative': 7.4}",1,0.07,0.26,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,6,4,94.87179487179486,100.0,,50.0,,1.0,,4.0,7.0,,2.0,1.0,2.0,5.0,4.0,,1.0,-0.24,2.0,2.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,
14015401,home,5149,FK Crvena zvezda,155449,Rade Krunić,rade-krunic,M,33,False,26.0,22.0,1.0,,0.0,9.0,10.0,13.0,16.0,3.0,,,,,60.0,35.0,8.3,5.0,,"{'original': 8.3, 'alternative': 7.7}",1,0.37,0.09,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,84.61538461538461,,,,,,,2.0,4.0,,1.0,1.0,2.0,,,2.0,2.0,0.54,,1.0,,2.0,,,1.0,,,1.0,1.0,1.0,,,,,,,,,
14015401,home,5149,FK Crvena zvezda,827371,Timi Max Elšnik,timi-max-elsnik,M,21,False,39.0,32.0,1.0,1.0,0.0,17.0,19.0,15.0,20.0,3.0,,,,,90.0,58.0,7.1,16.0,,"{'original': 7.1, 'alternative': 7.2}",1,0.38,0.23,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,82.05128205128204,100.0,30.0,,,10.0,3.0,2.0,4.0,,,,2.0,2.0,1.0,,2.0,-0.04,,,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,
14015401,home,5149,FK Crvena zvezda,939721,Milson,milson,M,7,False,28.0,20.0,,,2.0,4.0,5.0,16.0,23.0,4.0,,,,,90.0,41.0,10.0,13.0,,"{'original': 10, 'alternative': 9}",2,0.75,0.6,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,71.42857142857143,,33.33333333333333,50.0,,3.0,1.0,3.0,2.0,,2.0,1.0,1.0,1.0,1.0,,2.0,0.54,1.0,,1.0,,,1.0,,1.0,,2.0,1.0,,1.0,1.0,,,,,,,
14015401,home,5149,FK Crvena zvezda,278763,Mirko Ivanić,mirko-ivanic,M,4,False,20.0,14.0,,,0.0,4.0,5.0,10.0,15.0,2.0,,,,,60.0,29.0,7.4,8.0,,"{'original': 7.4, 'alternative': 7.5}",3,-0.27,-0.12,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,70.0,,,,,,,3.0,2.0,1.0,1.0,2.0,,2.0,1.0,,1.0,0.56,1.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,
14015401,home,5149,FK Crvena zvezda,802665,Nemanja Radonjić,nemanja-radonjic,M,49,False,28.0,20.0,,,0.0,6.0,8.0,14.0,20.0,3.0,,,,,60.0,45.0,6.4,20.0,,"{'original': 6.4, 'alternative': 6.1}",0,0.06,0.4,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,3,6,71.42857142857143,,50.0,25.0,,2.0,1.0,6.0,3.0,,4.0,,,1.0,1.0,1.0,1.0,,3.0,,,,,5.0,,1.0,,1.0,,,,,,,,,,,
