player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Petar Petrović', 'firstName': 'Petar', 'lastName': 'Petrović', 'slug': 'petar-petrovic', 'shortName': 'P. Petrović', 'position': 'D', 'jerseyNumber': '21', 'userCount': 51, 'gender': 'M', 'id': 1500275, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر بيتروفيتش'}, 'shortNameTranslation': {'ar': 'ب. بيتروفيتش'}}}",True,goal,own,throw-in-set-piece,"{'x': 2.3, 'y': 46.8, 'z': 0}",other,low-left,"{'x': 0, 'y': 51.9, 'z': 16.5}",5347899,90,7.0,5800,"{'start': {'x': 46.8, 'y': 2.3}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 83.5}}",1,500,400,shot,
"{'name': 'Jay Enem', 'slug': 'tyron-enem-jay-ifeanyi-junior', 'shortName': 'J. Enem', 'position': 'F', 'jerseyNumber': '42', 'userCount': 583, 'gender': 'M', 'id': 1937553, 'fieldTranslations': {'nameTranslation': {'ar': 'جاي إينيم'}, 'shortNameTranslation': {'ar': 'ج. إينيم'}}}",True,miss,,corner,"{'x': 7.1, 'y': 46.2, 'z': 0}",head,high,"{'x': 0, 'y': 48.9, 'z': 79.2}",5347814,89,,5301,"{'start': {'x': 46.2, 'y': 7.1}, 'end': {'x': 51.1, 'y': 0}, 'goal': {'x': 51.1, 'y': 20.8}}",2,99,2601,shot,
"{'name': 'Aleksa Cvetković', 'firstName': 'Aleksa Cvetkovic', 'lastName': '', 'slug': 'aleksa-cvetkovic', 'shortName': 'A. Cvetković', 'position': 'M', 'jerseyNumber': '8', 'userCount': 113, 'gender': 'M', 'id': 1406091, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكس كفيتكوفيتش'}, 'shortNameTranslation': {'ar': 'أ. كفيتكوفيتش'}}}",True,save,,corner,"{'x': 20.3, 'y': 55.8, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 48.2, 'z': 20.9}",5347813,89,,5292,"{'start': {'x': 55.8, 'y': 20.3}, 'block': {'x': 51.1, 'y': 3.1}, 'end': {'x': 51.8, 'y': 0}, 'goal': {'x': 51.8, 'y': 79.1}}",2,108,2592,shot,"{'x': 3.1, 'y': 51.1, 'z': 0}"
"{'name': 'Dušan Pantelić', 'firstName': '', 'lastName': '', 'slug': 'dusan-pantelic', 'shortName': 'D. Pantelić', 'position': 'M', 'jerseyNumber': '10', 'userCount': 11, 'gender': 'M', 'id': 98458, 'fieldTranslations': {'nameTranslation': {'ar': 'دوشان بانتليتش'}, 'shortNameTranslation': {'ar': 'د. بانتليتش'}}}",False,miss,,set-piece,"{'x': 17.9, 'y': 39.3, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 40.8, 'z': 23.6}",5347805,86,,5129,"{'start': {'x': 39.3, 'y': 17.9}, 'block': {'x': 50.2, 'y': 9}, 'end': {'x': 59.2, 'y': 0}, 'goal': {'x': 59.2, 'y': 76.4}}",5,271,2429,shot,"{'x': 9, 'y': 50.2, 'z': 0}"
"{'name': 'Nemanja Krstić', 'firstName': '', 'lastName': '', 'slug': 'nemanja-krstic', 'shortName': 'N. Krstić', 'position': 'M', 'jerseyNumber': '8', 'userCount': 25, 'gender': 'M', 'id': 804833, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانيا كريستيتش', 'bn': 'নেমাঞ্জা ক্রিস্টিক', 'hi': 'नेमांजा क्रस्टिच'}, 'shortNameTranslation': {'ar': 'ن. كريستيتش', 'bn': 'এন. ক্রিস্টিক', 'hi': 'एन. क्रस्टिच'}}}",False,miss,,set-piece,"{'x': 20.7, 'y': 35.4, 'z': 0}",right-foot,right,"{'x': 0, 'y': 36.1, 'z': 19.4}",5347795,85,,5071,"{'start': {'x': 35.4, 'y': 20.7}, 'block': {'x': 43.3, 'y': 15.3}, 'end': {'x': 63.9, 'y': 0}, 'goal': {'x': 63.9, 'y': 80.6}}",6,329,2371,shot,"{'x': 15.3, 'y': 43.3, 'z': 0}"
"{'name': 'Jay Enem', 'slug': 'tyron-enem-jay-ifeanyi-junior', 'shortName': 'J. Enem', 'position': 'F', 'jerseyNumber': '42', 'userCount': 583, 'gender': 'M', 'id': 1937553, 'fieldTranslations': {'nameTranslation': {'ar': 'جاي إينيم'}, 'shortNameTranslation': {'ar': 'ج. إينيم'}}}",True,miss,,throw-in-set-piece,"{'x': 8.3, 'y': 41.9, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 58.2, 'z': 11.1}",5347730,81,,4830,"{'start': {'x': 41.9, 'y': 8.3}, 'end': {'x': 41.8, 'y': 0}, 'goal': {'x': 41.8, 'y': 88.9}}",10,570,2130,shot,
"{'name': 'Ognjen Krsmanović', 'slug': 'ognjen-krsmanovic', 'shortName': 'O. Krsmanović', 'position': 'F', 'jerseyNumber': '22', 'userCount': 24, 'gender': 'M', 'id': 1398997, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين كرسمنوفيتش'}, 'shortNameTranslation': {'ar': 'أ. كرسمنوفيتش'}}}",False,save,,set-piece,"{'x': 12, 'y': 41.3, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 50.5, 'z': 33.5}",5347709,74,,4414,"{'start': {'x': 41.3, 'y': 12}, 'block': {'x': 49.5, 'y': 1}, 'end': {'x': 49.5, 'y': 0}, 'goal': {'x': 49.5, 'y': 66.5}}",17,986,1714,shot,"{'x': 1, 'y': 49.5, 'z': 0}"
"{'name': 'Đorđe Skoko', 'slug': 'dorde-skoko', 'shortName': 'Đ. Skoko', 'position': 'D', 'jerseyNumber': '26', 'userCount': 52, 'gender': 'M', 'id': 1468253, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي سكوكو'}, 'shortNameTranslation': {'ar': 'د. سكوكو'}}}",False,miss,,set-piece,"{'x': 4.2, 'y': 58.5, 'z': 0}",head,high-left,"{'x': 0, 'y': 60.7, 'z': 47.2}",5347641,72,,4282,"{'start': {'x': 58.5, 'y': 4.2}, 'end': {'x': 39.3, 'y': 0}, 'goal': {'x': 39.3, 'y': 52.8}}",19,1118,1582,shot,
"{'name': 'Diogo Bezerra', 'firstName': 'Diogo Bezerra', 'lastName': '', 'slug': 'diogo-bezerra', 'shortName': 'D. Bezerra', 'position': 'M', 'jerseyNumber': '7', 'userCount': 184, 'gender': 'M', 'id': 1176881, 'fieldTranslations': {'nameTranslation': {'ar': 'دييغو بيزيرا'}, 'shortNameTranslation': {'ar': 'د. بيزيرا'}}}",True,miss,,assisted,"{'x': 29.9, 'y': 43.1, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 27.7, 'z': 59.7}",5347626,68,,4043,"{'start': {'x': 43.1, 'y': 29.9}, 'end': {'x': 72.3, 'y': 0}, 'goal': {'x': 72.3, 'y': 40.3}}",23,1357,1343,shot,
"{'name': 'Aleksandar Đermanović', 'firstName': 'Aleksandar Djermanovic', 'slug': 'aleksandar-dermanovic', 'shortName': 'A. Đermanović', 'position': 'D', 'jerseyNumber': '15', 'userCount': 53, 'gender': 'M', 'id': 1147556, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر جيرمانوفيتش'}, 'shortNameTranslation': {'ar': 'أ. جيرمانوفيتش'}}}",True,save,,corner,"{'x': 9.7, 'y': 39.1, 'z': 0}",head,low-left,"{'x': 0, 'y': 52.6, 'z': 15.2}",5347582,63,,3729,"{'start': {'x': 39.1, 'y': 9.7}, 'block': {'x': 47.1, 'y': 1.2}, 'end': {'x': 47.4, 'y': 0}, 'goal': {'x': 47.4, 'y': 84.8}}",28,1671,1029,shot,"{'x': 1.2, 'y': 47.1, 'z': 0}"
"{'name': 'Ognjen Krsmanović', 'slug': 'ognjen-krsmanovic', 'shortName': 'O. Krsmanović', 'position': 'F', 'jerseyNumber': '22', 'userCount': 24, 'gender': 'M', 'id': 1398997, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين كرسمنوفيتش'}, 'shortNameTranslation': {'ar': 'أ. كرسمنوفيتش'}}}",False,miss,,corner,"{'x': 3.2, 'y': 55.6, 'z': 0}",head,close-high-left,"{'x': 0, 'y': 58.2, 'z': 48.6}",5347557,55,,3296,"{'start': {'x': 55.6, 'y': 3.2}, 'end': {'x': 41.8, 'y': 0}, 'goal': {'x': 41.8, 'y': 51.4}}",36,2104,596,shot,
"{'name': 'Petar Petrović', 'firstName': 'Petar', 'lastName': 'Petrović', 'slug': 'petar-petrovic', 'shortName': 'P. Petrović', 'position': 'D', 'jerseyNumber': '21', 'userCount': 51, 'gender': 'M', 'id': 1500275, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر بيتروفيتش'}, 'shortNameTranslation': {'ar': 'ب. بيتروفيتش'}}}",False,miss,,corner,"{'x': 4.4, 'y': 33.7, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 60, 'z': 66.7}",5347494,48,,2854,"{'start': {'x': 33.7, 'y': 4.4}, 'end': {'x': 40, 'y': 0}, 'goal': {'x': 40, 'y': 33.3}}",43,2546,154,shot,
"{'name': 'Ognjen Krsmanović', 'slug': 'ognjen-krsmanovic', 'shortName': 'O. Krsmanović', 'position': 'F', 'jerseyNumber': '22', 'userCount': 24, 'gender': 'M', 'id': 1398997, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين كرسمنوفيتش'}, 'shortNameTranslation': {'ar': 'أ. كرسمنوفيتش'}}}",False,save,,corner,"{'x': 8.1, 'y': 44.6, 'z': 0}",head,low-left,"{'x': 0, 'y': 51.9, 'z': 11.4}",5347370,44,,2594,"{'start': {'x': 44.6, 'y': 8.1}, 'block': {'x': 48.2, 'y': 1.1}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 88.6}}",2,106,2594,shot,"{'x': 1.1, 'y': 48.2, 'z': 0}"
"{'name': 'Bayere Loue', 'firstName': '', 'lastName': '', 'slug': 'bayere-loue', 'shortName': 'B. Loue', 'position': 'F', 'jerseyNumber': '27', 'userCount': 74, 'gender': 'M', 'id': 972802, 'fieldTranslations': {'nameTranslation': {'ar': 'باير لو'}, 'shortNameTranslation': {'ar': 'ب. لو'}}}",False,block,,fast-break,"{'x': 26.5, 'y': 59.1, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.1, 'z': 19}",5347360,42,,2465,"{'start': {'x': 59.1, 'y': 26.5}, 'block': {'x': 54.3, 'y': 11.1}, 'end': {'x': 50.9, 'y': 0}, 'goal': {'x': 50.9, 'y': 81}}",4,235,2465,shot,"{'x': 11.1, 'y': 54.3, 'z': 0}"
