match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,duelLost,dispossessed,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,fouls,aerialLost,shotOffTarget,onTargetScoringAttempt,outfielderBlock,interceptionWon,keyPass,shotValueNormalized,accurateCross,challengeLost,totalContest,wonContest,totalOffside,blockedScoringAttempt,totalKeeperSweeper,accurateKeeperSweeper,ownGoals,bigChanceCreated,bigChanceMissed
14015402,home,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,False,23.0,18.0,8.0,3.0,0.0,18.0,19.0,4.0,1.0,1.0,10.0,1.0,3.0,3.0,90.0,35.0,8.1,5.0,0.2351,"{'original': 8.1, 'alternative': 7.3}",0,0.0,0.0,0.37,0.27,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,78.26086956521739,37.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015402,home,5153,OFK Beograd,1104741,Stefan Despotovski,stefan-despotovski,D,2,False,44.0,39.0,6.0,3.0,0.0,19.0,21.0,23.0,1.0,4.0,2.0,1.0,,,90.0,66.0,7.2,11.0,,"{'original': 7.2, 'alternative': 7.2}",0,0.2,0.02,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,88.63636363636364,50.0,,,,20.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,
14015402,home,334956,OFK Beograd,1147556,Aleksandar Đermanović,aleksandar-dermanovic,D,15,False,60.0,58.0,5.0,3.0,0.0,38.0,38.0,22.0,4.0,5.0,3.0,,,,90.0,89.0,7.5,3.0,,"{'original': 7.5, 'alternative': 8.1}",2,0.19,0.1,0.51,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,7,2,1,1,96.66666666666667,60.0,,,,20.0,,4.0,,17.0,1.0,,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,-0.28,,,,,,,,,,,
14015402,home,5153,OFK Beograd,1000367,Miljan Momčilović,miljan-momcilovic,D,14,False,48.0,45.0,1.0,,0.0,37.0,37.0,11.0,,1.0,3.0,,,,90.0,55.0,6.7,3.0,,"{'original': 6.7, 'alternative': 6.9}",0,0.03,0.04,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,93.75,,,,,8.0,,2.0,,4.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
14015402,home,263360,OFK Beograd,1981973,Dragan Tegeltija,dragan-tegeltija,D,33,False,31.0,24.0,3.0,,0.0,16.0,18.0,13.0,1.0,5.0,3.0,1.0,,,45.0,43.0,7.0,11.0,,"{'original': 7, 'alternative': 6.7}",0,0.07,0.03,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,77.41935483870968,,100.0,,,8.0,1.0,4.0,2.0,,3.0,2.0,2.0,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,
14015402,home,5153,OFK Beograd,352610,Miloš Pantović,milos-pantovic,M,27,False,26.0,21.0,2.0,1.0,0.0,16.0,18.0,8.0,1.0,4.0,1.0,2.0,,,45.0,33.0,6.7,8.0,,"{'original': 6.7, 'alternative': 6.7}",0,-0.05,0.08,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,80.76923076923077,50.0,,,,5.0,,4.0,,1.0,1.0,1.0,2.0,1.0,2.0,,,,,,,,,1.0,,,,,,,,
14015402,home,334956,OFK Beograd,1147565,Nikola Knežević,nikola-knezevic,M,7,False,46.0,41.0,1.0,1.0,0.0,18.0,18.0,28.0,1.0,4.0,4.0,,,,80.0,54.0,6.7,7.0,,"{'original': 6.7, 'alternative': 6.9}",0,0.11,0.13,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,3,5,89.13043478260869,100.0,,100.0,,23.0,,8.0,,1.0,2.0,1.0,,4.0,3.0,,,,2.0,,,,1.0,1.0,1.0,,,,,,,
14015402,home,2933,OFK Beograd,1102965,Nikola Mituljikić,nikola-mituljikic,M,11,False,13.0,11.0,,,0.0,6.0,6.0,7.0,,6.0,6.0,4.0,,,68.0,23.0,6.9,4.0,,"{'original': 6.9, 'alternative': 6.9}",0,-0.1,0.24,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,6,2,84.61538461538461,,,100.0,,5.0,1.0,3.0,1.0,2.0,1.0,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,
14015402,home,5153,OFK Beograd,1406091,Aleksa Cvetković,aleksa-cvetkovic,M,8,False,17.0,10.0,,,0.0,7.0,11.0,6.0,,7.0,3.0,2.0,,,90.0,35.0,6.6,15.0,,"{'original': 6.6, 'alternative': 6.5}",1,-0.14,0.19,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,2,16,7,9,58.82352941176471,,,50.0,,3.0,,11.0,2.0,,3.0,2.0,4.0,3.0,2.0,,1.0,1.0,,,-0.04,,2.0,4.0,2.0,1.0,,,,,,
14015402,home,3036,OFK Beograd,1176881,Diogo Bezerra,diogo-bezerra,M,94,False,27.0,19.0,4.0,2.0,0.0,5.0,6.0,21.0,,4.0,3.0,1.0,,,90.0,60.0,7.1,28.0,,"{'original': 7.1, 'alternative': 6.8}",2,0.64,0.42,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,3,16,4,12,70.37037037037037,50.0,18.181818181818183,42.857142857142854,,14.0,11.0,15.0,4.0,1.0,,,3.0,2.0,3.0,1.0,,,,4.0,-0.08,2.0,2.0,7.0,3.0,,1.0,,,,,
