player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,blockCoordinates
"{'name': 'Lacine Kone', 'firstName': 'Lacine Kone', 'lastName': '', 'slug': 'lacine-kone', 'shortName': 'L. Kone', 'position': 'F', 'jerseyNumber': '9', 'userCount': 14, 'gender': 'M', 'id': 1429076, 'fieldTranslations': {'nameTranslation': {'ar': 'لاسين كوني'}, 'shortNameTranslation': {'ar': 'ل. كوني'}}}",False,miss,assisted,"{'x': 6.7, 'y': 53.3, 'z': 0}",head,right,"{'x': 0, 'y': 35.5, 'z': 20.8}",5356827,90,8.0,5868,"{'start': {'x': 53.3, 'y': 6.7}, 'end': {'x': 64.5, 'y': 0}, 'goal': {'x': 64.5, 'y': 79.2}}",1,432,468,shot,,
"{'name': 'Babacar Mboup', 'slug': 'babacar-mboup', 'shortName': 'B. Mboup', 'position': 'F', 'jerseyNumber': '12', 'userCount': 93, 'gender': 'M', 'id': 1566364, 'fieldTranslations': {'nameTranslation': {'ar': 'مبوب، باباكار'}, 'shortNameTranslation': {'ar': 'ب. مبوب'}}}",False,goal,regular,"{'x': 2.7, 'y': 45.8, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 53.1, 'z': 7.6}",5356749,90,5.0,5655,"{'start': {'x': 45.8, 'y': 2.7}, 'end': {'x': 46.9, 'y': 0}, 'goal': {'x': 46.9, 'y': 92.4}}",1,645,255,shot,regular,
"{'name': 'Dušan Pavlović', 'firstName': 'Dusan Pavlovic', 'lastName': '', 'slug': 'dusan-pavlovic', 'shortName': 'D. Pavlović', 'position': 'D', 'jerseyNumber': '15', 'userCount': 69, 'gender': 'M', 'id': 1165955, 'fieldTranslations': {'nameTranslation': {'ar': 'دوشان بافلوفيتش'}, 'shortNameTranslation': {'ar': 'د. بافلوفيتش'}}}",False,post,assisted,"{'x': 13.5, 'y': 44, 'z': 0}",head,right,"{'x': 0, 'y': 44.8, 'z': 9.5}",5356750,90,5.0,5652,"{'start': {'x': 44, 'y': 13.5}, 'end': {'x': 55.2, 'y': 0}, 'goal': {'x': 55.2, 'y': 90.5}}",1,648,252,shot,,
"{'name': 'Radomir Milosavljević', 'slug': 'radomir-milosavljevic', 'shortName': 'R. Milosavljević', 'position': 'M', 'jerseyNumber': '22', 'userCount': 30, 'gender': 'M', 'id': 112321, 'fieldTranslations': {'nameTranslation': {'ar': 'رادومير ميلوسافليفيتش'}, 'shortNameTranslation': {'ar': 'ر. ميلوسافليفيتش'}}}",False,save,assisted,"{'x': 8.6, 'y': 51.8, 'z': 0}",head,low-right,"{'x': 0, 'y': 47.7, 'z': 13.3}",5356727,90,4.0,5580,"{'start': {'x': 51.8, 'y': 8.6}, 'block': {'x': 51.1, 'y': 1.8}, 'end': {'x': 52.3, 'y': 0}, 'goal': {'x': 52.3, 'y': 86.7}}",1,720,180,shot,,"{'x': 1.8, 'y': 51.1, 'z': 0}"
"{'name': 'Radivoj Bosić', 'firstName': '', 'lastName': '', 'slug': 'radivoj-bosic', 'shortName': 'R. Bosić', 'position': 'M', 'jerseyNumber': '12', 'userCount': 67, 'gender': 'M', 'id': 965889, 'fieldTranslations': {'nameTranslation': {'ar': 'راديفوي بوسيتش', 'bn': 'রেডিভোজ বসিক', 'hi': 'रेडिवो बोसिक'}, 'shortNameTranslation': {'ar': 'ر. بوسيتش', 'bn': 'আর. বোসিচ', 'hi': 'आर. बोसिक'}}}",False,block,throw-in-set-piece,"{'x': 22, 'y': 34.6, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.7, 'z': 19}",5356726,90,2.0,5495,"{'start': {'x': 34.6, 'y': 22}, 'block': {'x': 38.6, 'y': 16.7}, 'end': {'x': 51.3, 'y': 0}, 'goal': {'x': 51.3, 'y': 81}}",1,805,95,shot,,"{'x': 16.7, 'y': 38.6, 'z': 0}"
"{'name': 'Lacine Kone', 'firstName': 'Lacine Kone', 'lastName': '', 'slug': 'lacine-kone', 'shortName': 'L. Kone', 'position': 'F', 'jerseyNumber': '9', 'userCount': 14, 'gender': 'M', 'id': 1429076, 'fieldTranslations': {'nameTranslation': {'ar': 'لاسين كوني'}, 'shortNameTranslation': {'ar': 'ل. كوني'}}}",False,block,assisted,"{'x': 14.8, 'y': 45.6, 'z': 0}",head,low-centre,"{'x': 0, 'y': 50.4, 'z': 19}",5356834,90,1.0,5446,"{'start': {'x': 45.6, 'y': 14.8}, 'block': {'x': 46.6, 'y': 11.2}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 81}}",1,854,46,shot,,"{'x': 11.2, 'y': 46.6, 'z': 0}"
"{'name': 'Slobodan Tedić', 'slug': 'slobodan-tedic', 'shortName': 'S. Tedić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 284, 'gender': 'M', 'id': 905103, 'fieldTranslations': {'nameTranslation': {'ar': 'سلوبودان تيديتش', 'bn': 'স্লোবোডান টেডিক', 'hi': 'स्लोबोदान टेडिच'}, 'shortNameTranslation': {'ar': 'س. تيديتش', 'bn': 'এস. টেডিক', 'hi': 'एस. टेडिच'}}}",True,block,assisted,"{'x': 11.3, 'y': 59.3, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.8, 'z': 19}",5356673,81,,4801,"{'start': {'x': 59.3, 'y': 11.3}, 'block': {'x': 57.2, 'y': 8}, 'end': {'x': 52.2, 'y': 0}, 'goal': {'x': 52.2, 'y': 81}}",10,599,2101,shot,,"{'x': 8, 'y': 57.2, 'z': 0}"
"{'name': 'Dušan Pavlović', 'firstName': 'Dusan Pavlovic', 'lastName': '', 'slug': 'dusan-pavlovic', 'shortName': 'D. Pavlović', 'position': 'D', 'jerseyNumber': '15', 'userCount': 69, 'gender': 'M', 'id': 1165955, 'fieldTranslations': {'nameTranslation': {'ar': 'دوشان بافلوفيتش'}, 'shortNameTranslation': {'ar': 'د. بافلوفيتش'}}}",False,miss,assisted,"{'x': 21.9, 'y': 44.6, 'z': 0}",right-foot,high,"{'x': 0, 'y': 47.9, 'z': 73.6}",5356666,79,,4733,"{'start': {'x': 44.6, 'y': 21.9}, 'end': {'x': 52.1, 'y': 0}, 'goal': {'x': 52.1, 'y': 26.4}}",12,667,2033,shot,,
"{'name': 'Lacine Kone', 'firstName': 'Lacine Kone', 'lastName': '', 'slug': 'lacine-kone', 'shortName': 'L. Kone', 'position': 'F', 'jerseyNumber': '9', 'userCount': 14, 'gender': 'M', 'id': 1429076, 'fieldTranslations': {'nameTranslation': {'ar': 'لاسين كوني'}, 'shortNameTranslation': {'ar': 'ل. كوني'}}}",False,block,assisted,"{'x': 9.2, 'y': 55.6, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.5, 'z': 19}",5356846,78,,4637,"{'start': {'x': 55.6, 'y': 9.2}, 'block': {'x': 54, 'y': 7.3}, 'end': {'x': 47.5, 'y': 0}, 'goal': {'x': 47.5, 'y': 81}}",13,763,1937,shot,,"{'x': 7.3, 'y': 54, 'z': 0}"
"{'name': 'Radivoj Bosić', 'firstName': '', 'lastName': '', 'slug': 'radivoj-bosic', 'shortName': 'R. Bosić', 'position': 'M', 'jerseyNumber': '12', 'userCount': 67, 'gender': 'M', 'id': 965889, 'fieldTranslations': {'nameTranslation': {'ar': 'راديفوي بوسيتش', 'bn': 'রেডিভোজ বসিক', 'hi': 'रेडिवो बोसिक'}, 'shortNameTranslation': {'ar': 'ر. بوسيتش', 'bn': 'আর. বোসিচ', 'hi': 'आर. बोसिक'}}}",False,miss,regular,"{'x': 20.6, 'y': 32.1, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 42.4, 'z': 75}",5356600,73,,4377,"{'start': {'x': 32.1, 'y': 20.6}, 'end': {'x': 57.6, 'y': 0}, 'goal': {'x': 57.6, 'y': 25}}",18,1023,1677,shot,,
