match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelLost,ballRecovery,penaltyConceded,fouls,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,duelWon,challengeLost,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,aerialWon,totalContest,wonContest,bigChanceMissed,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,shotValueNormalized,aerialLost,totalCross,accurateCross,onTargetScoringAttempt,keyPass,goals,dispossessed,clearanceOffLine,totalOffside,penaltyWon,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,bigChanceCreated,blockedScoringAttempt
14015413,home,229348,FK IMT Beograd,112020,Bojan Brać,bojan-brac,G,90,False,18.0,15.0,4.0,3.0,0.0,14.0,16.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,90.0,22.0,5.6,3.0,0.0187,"{'original': 5.6, 'alternative': 5.8}",0,-0.03,0.0,-0.76,0.02,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,83.33333333333334,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015413,home,308176,FK IMT Beograd,1627088,Stefan Bastaja,stefan-bastaja,D,16,False,10.0,6.0,3.0,,0.0,2.0,3.0,4.0,7.0,2.0,1.0,1.0,1.0,,,,39.0,17.0,5.2,5.0,,"{'original': 5.2, 'alternative': 5.6}",0,-0.03,0.02,-0.95,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,60.0,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14015413,home,313716,FK IMT Beograd,595042,Antoine Batisse,antoine-batisse,D,4,False,56.0,44.0,5.0,,0.0,34.0,39.0,10.0,17.0,1.0,4.0,,1.0,,,,90.0,66.0,5.8,12.0,,"{'original': 5.8, 'alternative': 6.3}",1,-0.04,0.12,-0.54,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,78.57142857142857,,,100.0,,3.0,,,,,,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,-0.19,,,,,,,,,,,,,,,
14015413,home,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,D,14,False,60.0,52.0,7.0,3.0,0.0,31.0,34.0,21.0,26.0,2.0,2.0,,,,,,90.0,67.0,5.8,8.0,,"{'original': 5.8, 'alternative': 6.1}",0,0.09,0.26,-0.69,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,4,0,0,0,86.66666666666667,42.857142857142854,,,,2.0,,,,,,2.0,,,,,4.0,,,,2.0,,,,,,,,,,,,,,
14015413,home,308176,FK IMT Beograd,1111990,Nikola Glišić,nikola-glisic,D,7,False,39.0,27.0,7.0,4.0,0.0,15.0,18.0,12.0,21.0,5.0,5.0,,1.0,,,,90.0,85.0,6.7,25.0,,"{'original': 6.7, 'alternative': 7.3}",1,0.03,0.37,-0.59,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,0,19,14,5,69.23076923076923,57.14285714285714,14.285714285714285,70.0,,14.0,1.0,4.0,3.0,2.0,3.0,,10.0,7.0,,,,2.0,1.0,-0.51,,7.0,1.0,1.0,,,,,,,,,,,
14015413,home,308176,FK IMT Beograd,314246,Luka Luković,luka-lukovic,M,8,False,13.0,10.0,3.0,2.0,0.0,4.0,5.0,6.0,8.0,2.0,1.0,,,,,,40.0,18.0,6.5,6.0,,"{'original': 6.5, 'alternative': 6.5}",0,0.28,0.05,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,76.92307692307693,66.66666666666666,,,,2.0,1.0,,,2.0,1.0,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,
14015413,home,308176,FK IMT Beograd,1957265,Vasilije Novičić,vasilije-novicic,M,22,False,62.0,54.0,6.0,3.0,0.0,29.0,32.0,25.0,30.0,7.0,4.0,,2.0,,,,90.0,80.0,7.2,14.0,,"{'original': 7.2, 'alternative': 7.3}",1,0.25,0.2,-0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,3,6,87.09677419354838,50.0,16.666666666666664,,,4.0,3.0,3.0,3.0,,,1.0,1.0,,,,1.0,,3.0,0.32,1.0,6.0,1.0,1.0,2.0,1.0,,,,,,,,,
14015413,home,308176,FK IMT Beograd,1481264,Nikola Krstić,nikola-krstic,M,25,False,31.0,21.0,1.0,,0.0,6.0,8.0,15.0,23.0,3.0,9.0,,3.0,,,,90.0,45.0,7.4,14.0,,"{'original': 7.4, 'alternative': 6.9}",0,0.38,0.36,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,7,3,67.74193548387096,,,,,8.0,,7.0,5.0,2.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,
14015413,home,1671,FK IMT Beograd,988937,Ugo Bonnet,ugo-bonnet,M,11,False,15.0,12.0,1.0,1.0,0.0,7.0,8.0,5.0,7.0,6.0,,,1.0,,,,79.0,24.0,5.9,6.0,,"{'original': 5.9, 'alternative': 6.6}",3,-0.16,0.11,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,2,2,80.0,100.0,,,,4.0,,1.0,1.0,2.0,1.0,2.0,,,,2.0,,,,-0.56,4.0,,,1.0,,,1.0,,,,,,,,
14015413,home,308176,FK IMT Beograd,2059299,Dušan Zagar,dusan-zagar,M,10,False,17.0,12.0,1.0,,0.0,5.0,6.0,7.0,11.0,2.0,2.0,,,,,,45.0,29.0,6.4,9.0,,"{'original': 6.4, 'alternative': 6.7}",1,-0.2,0.07,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,6,2,70.58823529411765,,,66.66666666666666,,6.0,,4.0,3.0,1.0,,,3.0,2.0,,,,,,0.02,,1.0,,1.0,,,1.0,,,,,,,,
