match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,aerialWon,shotOffTarget,shotValueNormalized,wasFouled,dispossessed,blockedScoringAttempt,penaltyWon,bigChanceCreated,outfielderBlock,onTargetScoringAttempt,goals,bigChanceMissed,totalOffside,penaltyFaced,penaltyConceded
14015414,home,25737,FK Radnički Niš,990184,Strahinja Manojlović,strahinja-manojlovic,G,98,False,20.0,12.0,8.0,1.0,0.0,11.0,12.0,1.0,8.0,1.0,10.0,3.0,5.0,1.0,1.0,90.0,33.0,6.9,9.0,0.6256,"{'original': 6.9, 'alternative': 6.7}",0,0.03,-0.03,-0.1,0.49,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,60.0,12.5,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015414,home,25737,FK Radnički Niš,2198962,Djordje Petrović,djordje-petrovic,D,71,False,24.0,20.0,5.0,3.0,0.0,7.0,7.0,13.0,17.0,2.0,5.0,,,,,67.0,42.0,6.5,11.0,,"{'original': 6.5, 'alternative': 6.8}",0,0.27,0.26,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,83.33333333333334,60.0,20.0,66.66666666666666,,5.0,1.0,1.0,5.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,
14015414,home,25737,FK Radnički Niš,137702,Uroš Vitas,uros-vitas,D,4,False,60.0,49.0,9.0,2.0,0.0,21.0,24.0,28.0,36.0,6.0,5.0,,,,,90.0,72.0,6.6,12.0,,"{'original': 6.6, 'alternative': 6.5}",1,0.32,0.19,-0.48,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,6,2,1,1,81.66666666666667,22.22222222222222,,,,,,1.0,2.0,6.0,,,,1.0,1.0,1.0,1.0,1.0,,5.0,1.0,-0.08,,,,,,,,,,,,
14015414,home,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,50.0,42.0,2.0,1.0,0.0,19.0,22.0,23.0,28.0,6.0,1.0,,,,,90.0,61.0,6.7,9.0,,"{'original': 6.7, 'alternative': 6.5}",0,0.1,0.2,-0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,9,3,2,1,84.0,50.0,,,,,,2.0,3.0,9.0,,,,,,,1.0,1.0,,7.0,,,2.0,,,,,,,,,,,
14015414,home,295152,FK Radnički Niš,1099198,Mbouri Yamkam,mbouri-yamkam,D,3,False,33.0,23.0,6.0,1.0,0.0,10.0,12.0,13.0,21.0,3.0,5.0,,,,,90.0,60.0,5.8,18.0,,"{'original': 5.8, 'alternative': 6.2}",0,0.06,0.04,-0.53,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,1,2,69.6969696969697,16.666666666666664,,,,2.0,,2.0,4.0,3.0,,,,,1.0,,2.0,,3.0,2.0,,,,2.0,,,,,,,,,,
14015414,home,25737,FK Radnički Niš,112321,Radomir Milosavljević,radomir-milosavljevic,M,22,False,37.0,27.0,4.0,2.0,0.0,6.0,8.0,21.0,29.0,2.0,3.0,,,,,90.0,53.0,7.7,13.0,,"{'original': 7.7, 'alternative': 7.5}",2,0.25,0.36,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,6,8,5,3,72.97297297297297,50.0,,100.0,,1.0,,,3.0,11.0,1.0,2.0,2.0,,2.0,1.0,1.0,1.0,1.0,6.0,1.0,-0.52,2.0,1.0,1.0,1.0,,,,,,,,
14015414,home,25737,FK Radnički Niš,810663,Nikola Srećković,nikola-sreckovic,M,20,False,26.0,19.0,3.0,2.0,0.0,7.0,8.0,12.0,18.0,,3.0,,,,,58.0,47.0,6.6,13.0,,"{'original': 6.6, 'alternative': 7.4}",3,0.05,0.14,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,4,3,73.07692307692307,66.66666666666666,25.0,100.0,,4.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,1.0,0.01,1.0,1.0,2.0,,1.0,,,,,,,
14015414,home,40263,FK Radnički Niš,889059,Vanja Ilić,vanja-ilic,M,21,False,30.0,27.0,1.0,1.0,0.0,10.0,10.0,17.0,20.0,,1.0,,,,,79.0,55.0,6.5,12.0,,"{'original': 6.5, 'alternative': 6.7}",3,0.09,0.03,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,3,6,90.0,100.0,50.0,,,2.0,1.0,1.0,7.0,4.0,1.0,2.0,,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,-0.45,1.0,2.0,2.0,,,1.0,,,,,,
14015414,home,263360,FK Radnički Niš,965889,Radivoj Bosić,radivoj-bosic,M,7,False,20.0,14.0,3.0,3.0,0.0,6.0,7.0,8.0,13.0,1.0,3.0,,,,,90.0,44.0,8.1,13.0,,"{'original': 8.1, 'alternative': 7.5}",4,0.16,0.36,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,2,16,8,8,70.0,100.0,50.0,57.14285714285714,,2.0,1.0,2.0,10.0,8.0,,7.0,4.0,,2.0,2.0,,3.0,2.0,,,0.51,2.0,2.0,3.0,,,,1.0,1.0,,,,
14015414,home,25737,FK Radnički Niš,1566364,Babacar Mboup,babacar-mboup,F,12,False,15.0,10.0,,,0.0,1.0,3.0,9.0,12.0,,1.0,,,,,67.0,27.0,6.4,11.0,,"{'original': 6.4, 'alternative': 6.7}",3,-0.12,0.54,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,7,3,0,3,66.66666666666666,,,,,,,5.0,8.0,2.0,,2.0,,1.0,,,2.0,,1.0,2.0,2.0,-0.64,,1.0,,,,,1.0,,1.0,1.0,,
