match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,punches,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,dispossessed,totalContest,bigChanceCreated,shotOffTarget,outfielderBlock,totalTackle,wonTackle,wasFouled,fouls,keyPass,shotValueNormalized,aerialLost,challengeLost,interceptionWon,unsuccessfulTouch,wonContest,blockedScoringAttempt,bigChanceMissed,onTargetScoringAttempt,goals,totalOffside,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,keeperSaveValue,errorLeadToAGoal,errorLeadToAShot
14015415,home,111127,FK Radnik Surdulica,954755,Stefan Ranđelović,stefan-randjelovic,G,99,False,28.0,17.0,20.0,10.0,0.0,11.0,14.0,6.0,14.0,1.0,1.0,1.0,11.0,2.0,1.0,90.0,33.0,6.5,11.0,"{'original': 6.5, 'alternative': 6.6}",0,0.11,-0.02,-0.02,-0.69,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,60.71428571428571,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015415,home,111127,FK Radnik Surdulica,1147541,Mateja Gašić,mateja-gasic,D,66,False,24.0,18.0,5.0,4.0,0.0,8.0,10.0,10.0,14.0,1.0,4.0,2.0,6.0,,,90.0,46.0,7.0,10.0,"{'original': 7, 'alternative': 7.1}",1,0.25,0.17,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,75.0,80.0,50.0,,,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,-0.47,,,,,,,,,,,,,,,,,
14015415,home,111127,FK Radnik Surdulica,1147568,Sadick Abubakar,sadick-abubakar,D,37,False,9.0,5.0,4.0,,0.0,5.0,5.0,,4.0,2.0,4.0,12.0,,,,90.0,24.0,6.5,4.0,"{'original': 6.5, 'alternative': 6.5}",0,-0.02,-0.02,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,2,6,55.55555555555556,,,,,,,8.0,,,,,,1.0,1.0,1.0,5.0,,,2.0,1.0,,,,,,,,,,,,,,,
14015415,home,111127,FK Radnik Surdulica,1388249,Sandro Trémoulet,sandro-tremoulet,D,18,False,20.0,15.0,5.0,2.0,0.0,10.0,11.0,5.0,9.0,6.0,6.0,8.0,2.0,,,90.0,33.0,6.7,5.0,"{'original': 6.7, 'alternative': 7}",0,0.1,0.03,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,10,3,0,3,75.0,40.0,,,,,,7.0,,,,,2.0,,,,3.0,,,4.0,,1.0,,,,,,,,,,,,,,
14015415,home,111127,FK Radnik Surdulica,1406169,Uroš Ilić,uros-ilic,D,14,False,7.0,5.0,1.0,,0.0,3.0,3.0,2.0,4.0,1.0,2.0,4.0,,,,60.0,20.0,6.7,5.0,"{'original': 6.7, 'alternative': 6.6}",0,0.0,-0.04,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,71.42857142857143,,,,,,,2.0,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,
14015415,home,111127,FK Radnik Surdulica,804662,Aleksandar Pejović,aleksandar-pejovic,M,28,False,32.0,24.0,10.0,6.0,0.0,10.0,12.0,14.0,20.0,1.0,7.0,2.0,6.0,,,86.0,57.0,7.1,17.0,"{'original': 7.1, 'alternative': 7.2}",1,0.12,0.33,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,6,5,75.0,60.0,12.5,,,8.0,1.0,7.0,1.0,,1.0,1.0,,6.0,2.0,,4.0,2.0,-0.14,2.0,1.0,1.0,1.0,,,,,,,,,,,,,
14015415,home,5149,FK Radnik Surdulica,1916326,Douglas Owusu,owusu-douglas,M,7,False,33.0,27.0,5.0,2.0,0.0,7.0,8.0,20.0,25.0,,8.0,3.0,8.0,,,90.0,55.0,7.3,12.0,"{'original': 7.3, 'alternative': 7.3}",3,0.44,0.32,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,0,16,8,8,81.81818181818183,40.0,,50.0,,,,8.0,,4.0,,2.0,,4.0,3.0,2.0,4.0,2.0,-0.47,,2.0,,4.0,2.0,1.0,,,,,,,,,,,
14015415,home,111127,FK Radnik Surdulica,938002,Mlađan Stevanović,mladjan-stevanovic,M,24,False,30.0,25.0,3.0,1.0,0.0,11.0,12.0,14.0,18.0,1.0,6.0,1.0,6.0,,,90.0,45.0,7.3,8.0,"{'original': 7.3, 'alternative': 7.1}",1,0.28,0.15,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,5,2,83.33333333333334,33.33333333333333,,,,,,2.0,1.0,,,,,3.0,3.0,2.0,1.0,,-0.06,,1.0,1.0,2.0,,1.0,,,,,,,,,,,
14015415,home,111127,FK Radnik Surdulica,1130262,Đorđe Jovanović,dorde-jovanovic,M,88,False,11.0,8.0,1.0,,1.0,3.0,4.0,5.0,7.0,,2.0,1.0,4.0,,,90.0,26.0,8.5,10.0,"{'original': 8.5, 'alternative': 8.2}",3,0.3,0.37,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,72.72727272727273,,33.33333333333333,,,3.0,1.0,4.0,,2.0,1.0,,,2.0,1.0,,1.0,2.0,0.72,2.0,,,2.0,,,1.0,3.0,1.0,,,,,,,,
14015415,home,111127,FK Radnik Surdulica,1031603,Vukašin Bogdanović,vukasin-bogdanovic,F,9,False,23.0,18.0,1.0,,1.0,5.0,5.0,13.0,18.0,5.0,10.0,,2.0,,,89.0,40.0,9.0,14.0,"{'original': 9, 'alternative': 8.5}",2,-0.26,0.77,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,6,9,5,4,78.26086956521739,,,,,,,5.0,,1.0,,1.0,,1.0,1.0,4.0,3.0,3.0,0.44,1.0,,,7.0,,,,1.0,1.0,1.0,,,,,,,
14015415,home,111127,FK Radnik Surdulica,901590,Haris Hajdarević,haris-hajdarevic,F,4,False,15.0,13.0,,,0.0,6.0,6.0,7.0,9.0,1.0,3.0,1.0,3.0,,,60.0,30.0,7.2,7.0,"{'original': 7.2, 'alternative': 6.6}",4,0.21,0.63,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,86.66666666666667,,100.0,100.0,,1.0,1.0,3.0,2.0,1.0,1.0,,,1.0,,,,2.0,-0.57,1.0,,,3.0,1.0,2.0,2.0,2.0,,,,,,,,,
14015415,home,202066,FK Radnik Surdulica,997182,Uroš Blagojević,uros-blagojevic,D,33,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,,,,30.0,11.0,6.6,1.0,"{'original': 6.6, 'alternative': 6.8}",0,0.04,-0.19,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,66.66666666666666,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,
14015415,home,111127,FK Radnik Surdulica,1166090,Luka Puzovic,luka-puzovic,M,8,True,6.0,3.0,2.0,,0.0,2.0,2.0,1.0,4.0,,,,1.0,,,30.0,12.0,6.4,6.0,"{'original': 6.4, 'alternative': 6.6}",1,0.01,0.02,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,,,,,2.0,,,,,,,,,,,,,-0.1,,,,1.0,,,,1.0,,,,,,,,,
14015415,home,301263,FK Radnik Surdulica,72116,Evgen Pavlov,evgen-pavlov,F,17,True,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,9.0,7.0,7.8,1.0,"{'original': 7.8, 'alternative': 7.8}",2,0.01,0.07,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,66.66666666666666,100.0,,,,,,1.0,,,,1.0,,,,1.0,,,0.51,1.0,,1.0,,,,,1.0,1.0,,,,,,,,
14015415,home,203041,FK Radnik Surdulica,904377,Vladimir Petrović,vladimir-petrovic,M,10,True,1.0,1.0,,,0.0,1.0,1.0,0.0,0.0,,,,1.0,,,1.0,4.0,,2.0,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,100.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,
14015415,home,111127,FK Radnik Surdulica,1215907,David Stojanović,david-stojanovic,D,6,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015415,home,111127,FK Radnik Surdulica,997184,Martin Novaković,martin-novakovic,M,30,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015415,home,111127,FK Radnik Surdulica,1000660,Savo Rašković,savo-raskovic,M,80,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015415,home,111127,FK Radnik Surdulica,954756,Stefan Ilić,stefan-ilic,G,26,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015415,home,35326,FK Radnik Surdulica,1166049,Andrija Lazarević,andrija-lazarevic,F,19,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015415,home,111127,FK Radnik Surdulica,2208696,Emmanuel Quarshie,emmanuel-quarshie,F,47,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015415,home,111127,FK Radnik Surdulica,1544668,Darije Markočević,darije-markocevic,F,49,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015415,away,48614,FK Čukarički,792127,Nikola Mirković,nikola-mirkovic,G,1,False,44.0,32.0,22.0,10.0,0.0,26.0,27.0,6.0,17.0,,,1.0,11.0,,,90.0,52.0,7.0,12.0,"{'original': 7, 'alternative': 6.8}",0,0.09,-0.37,-0.27,0.84,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,72.72727272727273,45.45454545454545,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,1.0,1.0,1.2177,,
14015415,away,5148,FK Čukarički,69362,Miloš Cvetković,milos-cvetkovic,D,27,False,42.0,34.0,13.0,9.0,0.0,22.0,24.0,12.0,18.0,1.0,2.0,4.0,,,,90.0,72.0,5.8,17.0,"{'original': 5.8, 'alternative': 5.9}",0,0.19,-0.6,-0.9,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,80.95238095238095,69.23076923076923,,,,6.0,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,
14015415,away,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,51.0,43.0,15.0,10.0,0.0,23.0,25.0,20.0,26.0,2.0,2.0,6.0,2.0,,,90.0,63.0,6.9,10.0,"{'original': 6.9, 'alternative': 7}",0,0.34,0.1,-0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,4,0,0,0,84.31372549019608,66.66666666666666,,,,,,2.0,,,,,2.0,,,,,,,2.0,,,2.0,,,,,,,,,,,,,
14015415,away,5148,FK Čukarički,1464578,Lazar Stojanović,lazar-stojanovic,D,29,False,46.0,43.0,9.0,7.0,0.0,21.0,21.0,22.0,25.0,1.0,3.0,3.0,4.0,,,90.0,65.0,6.6,9.0,"{'original': 6.6, 'alternative': 7.1}",0,0.35,0.03,-0.52,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,93.47826086956522,77.77777777777779,66.66666666666666,100.0,,3.0,2.0,5.0,,1.0,1.0,,,1.0,1.0,,2.0,2.0,,2.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,
14015415,away,5148,FK Čukarički,976131,Andreja Stojanović,andreja-stojanovic,D,3,False,18.0,14.0,8.0,5.0,0.0,5.0,5.0,9.0,13.0,,2.0,3.0,2.0,,,45.0,33.0,6.2,7.0,"{'original': 6.2, 'alternative': 6.3}",0,0.18,0.06,-0.45,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,77.77777777777779,62.5,,100.0,,,,5.0,,2.0,,,,,,,2.0,,,1.0,2.0,,,2.0,,,,,,,,,,,,
14015415,away,5148,FK Čukarički,267523,Dušan Jovančić,dusan-jovancic,M,77,False,57.0,46.0,9.0,7.0,1.0,21.0,22.0,25.0,35.0,,10.0,,6.0,,,90.0,81.0,7.3,18.0,"{'original': 7.3, 'alternative': 7.3}",0,0.46,0.05,-0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,10,5,80.7017543859649,77.77777777777779,66.66666666666666,,,3.0,2.0,6.0,1.0,3.0,,,,5.0,3.0,5.0,1.0,1.0,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0
14015415,away,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,36.0,29.0,6.0,5.0,0.0,18.0,18.0,11.0,18.0,1.0,3.0,2.0,3.0,,,90.0,49.0,6.8,10.0,"{'original': 6.8, 'alternative': 7}",1,-0.13,0.11,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,80.55555555555556,83.33333333333334,,,,1.0,,2.0,1.0,1.0,,1.0,1.0,2.0,2.0,,,,-0.19,,,2.0,,,,,,,,,,,,,,
14015415,away,5148,FK Čukarički,834586,Lazar Tufegdžić,lazar-tufegdzic,M,7,False,6.0,3.0,,,0.0,1.0,2.0,2.0,4.0,1.0,1.0,,1.0,,,17.0,6.0,6.6,3.0,"{'original': 6.6, 'alternative': 6.5}",0,0.16,,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,50.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
14015415,away,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,M,22,False,11.0,8.0,1.0,1.0,0.0,1.0,2.0,7.0,9.0,1.0,3.0,,,,,63.0,22.0,6.3,10.0,"{'original': 6.3, 'alternative': 6.7}",1,-0.23,0.32,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,72.72727272727273,100.0,,,,1.0,,3.0,,1.0,,1.0,,,,2.0,1.0,,-0.37,1.0,,,4.0,,,,,,,,,,,,,
14015415,away,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,M,90,False,10.0,6.0,1.0,,0.0,,1.0,6.0,9.0,,8.0,,3.0,,,79.0,36.0,6.8,18.0,"{'original': 6.8, 'alternative': 6.6}",3,-0.17,0.39,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,1,16,8,8,60.0,,,33.33333333333333,,2.0,,9.0,4.0,3.0,,2.0,,1.0,1.0,6.0,2.0,,-0.51,1.0,,,5.0,1.0,1.0,,,,,,,,,,,
