match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,shotValueNormalized,dispossessed,outfielderBlock,totalCross,accurateCross,shotOffTarget,unsuccessfulTouch,onTargetScoringAttempt,keyPass,bigChanceCreated,bigChanceMissed,challengeLost,goals,totalOffside,errorLeadToAShot
14015416,home,36967,FK Spartak Subotica,1049522,Aleksandar Vulić,aleksandar-vulic,G,1,False,17.0,11.0,7.0,1.0,0.0,10.0,10.0,1.0,7.0,1.0,7.0,2.0,4.0,1.0,1.0,90.0,27.0,6.2,6.0,0.3706,"{'original': 6.2, 'alternative': 6.8}",0,-0.01,0.0,0.15,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,64.70588235294117,14.285714285714285,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015416,home,36967,FK Spartak Subotica,949370,Yohan Bilingi,bilingi-yohan,D,28,False,55.0,49.0,7.0,4.0,0.0,33.0,35.0,16.0,20.0,2.0,5.0,,,,,90.0,84.0,7.5,10.0,,"{'original': 7.5, 'alternative': 7.5}",1,0.05,0.16,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,7,4,89.0909090909091,57.14285714285714,,50.0,,1.0,1.0,5.0,8.0,2.0,1.0,1.0,2.0,5.0,4.0,1.0,3.0,-0.05,,,,,,,,,,,,,,
14015416,home,36967,FK Spartak Subotica,1104740,Luka Subotić,luka-subotic,D,15,False,76.0,67.0,10.0,3.0,0.0,54.0,56.0,13.0,20.0,7.0,7.0,,,,,90.0,86.0,7.3,9.0,,"{'original': 7.3, 'alternative': 7}",0,0.21,0.18,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,2,0,88.1578947368421,30.0,,,,,3.0,,5.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,
14015416,home,36967,FK Spartak Subotica,1489498,Danijel Kolaric,danijel-kolaric,D,16,False,65.0,50.0,7.0,1.0,0.0,33.0,37.0,17.0,28.0,3.0,4.0,,,,,90.0,81.0,7.2,16.0,,"{'original': 7.2, 'alternative': 7.2}",0,0.07,0.17,0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,8,5,4,1,76.92307692307693,14.285714285714285,,,,4.0,4.0,5.0,8.0,,,,1.0,4.0,2.0,1.0,,,1.0,2.0,,,,,,,,,,,,
14015416,home,36967,FK Spartak Subotica,913382,Vladimir Vitorović,vladimir-vitorovic,D,3,False,49.0,40.0,4.0,1.0,0.0,22.0,24.0,18.0,25.0,2.0,4.0,,,,,90.0,76.0,6.8,15.0,,"{'original': 6.8, 'alternative': 7.1}",1,-0.13,0.33,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,3,2,81.63265306122449,25.0,50.0,50.0,,2.0,3.0,4.0,6.0,2.0,1.0,,2.0,2.0,2.0,,2.0,-0.23,,,2.0,1.0,1.0,4.0,,,,,,,,
14015416,home,36967,FK Spartak Subotica,124960,Muhamed Bešić,muhamed-besic,M,5,False,39.0,36.0,3.0,2.0,0.0,20.0,21.0,16.0,18.0,1.0,3.0,,,,,45.0,44.0,6.9,4.0,,"{'original': 6.9, 'alternative': 6.9}",1,0.31,0.09,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,92.3076923076923,66.66666666666666,,,,,,1.0,,,,,2.0,,,,1.0,-0.08,,,,,,,1.0,,,,,,,
14015416,home,37064,FK Spartak Subotica,1094065,Eldar Mehmedović,eldar-mehmedovic,M,44,False,65.0,59.0,1.0,,0.0,26.0,27.0,33.0,38.0,2.0,10.0,,,,,90.0,84.0,7.0,11.0,,"{'original': 7, 'alternative': 7.1}",2,0.0,0.34,0.43,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,5,3,90.76923076923077,,,,,1.0,2.0,4.0,7.0,1.0,,2.0,1.0,3.0,3.0,2.0,1.0,-0.29,1.0,1.0,,,,2.0,,1.0,,,,,,
14015416,home,36967,FK Spartak Subotica,997194,Ilija Babić,ilija-babic,M,21,False,20.0,19.0,1.0,1.0,1.0,8.0,9.0,11.0,11.0,,4.0,,,,,55.0,41.0,7.1,10.0,,"{'original': 7.1, 'alternative': 7.1}",2,0.12,0.3,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,5,3,95.0,100.0,20.0,,,,,3.0,5.0,,,1.0,,2.0,2.0,3.0,1.0,0.28,2.0,,5.0,1.0,,3.0,1.0,1.0,1.0,1.0,,,,
14015416,home,36967,FK Spartak Subotica,1981794,Aleksa Trajković,aleksa-trajkovic,M,17,False,12.0,8.0,1.0,,0.0,1.0,3.0,7.0,9.0,1.0,1.0,,,,,56.0,20.0,6.3,6.0,,"{'original': 6.3, 'alternative': 6.4}",1,-0.03,0.27,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,2,3,66.66666666666666,,,,,1.0,,4.0,2.0,1.0,,,,,,2.0,1.0,-0.25,1.0,,,,1.0,,,1.0,,,,,,
14015416,home,36967,FK Spartak Subotica,1063371,Stefan Tomović,stefan-tomovic,M,70,False,64.0,55.0,2.0,1.0,0.0,20.0,22.0,35.0,42.0,,6.0,,,,,90.0,71.0,7.8,11.0,,"{'original': 7.8, 'alternative': 7.7}",2,0.07,0.29,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,85.9375,50.0,66.66666666666666,100.0,,,,2.0,1.0,1.0,1.0,,,,,,,0.52,1.0,,3.0,2.0,,,2.0,1.0,,,1.0,1.0,,
