match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,totalContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,totalOffside,keyPass,outfielderBlock,shotOffTarget,shotValueNormalized,wonContest,errorLeadToAShot,dispossessed,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,bigChanceCreated,challengeLost,goals
14015417,home,5149,FK Crvena zvezda,797083,Omri Glazer,omri-glazer,G,18,False,26.0,20.0,15.0,9.0,0.0,17.0,18.0,3.0,8.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,90.0,34.0,7.2,6.0,0.2327,"{'original': 7.2, 'alternative': 7.4}",0,0.02,0.0,0.19,0.26,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,76.92307692307693,60.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,
14015417,home,5149,FK Crvena zvezda,1100641,Nikola Stanković,nikola-stankovic,D,24,False,44.0,37.0,6.0,5.0,0.0,19.0,21.0,18.0,23.0,2.0,5.0,,2.0,,,,,,90.0,72.0,7.1,13.0,,"{'original': 7.1, 'alternative': 7.2}",0,0.3,-0.23,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,3,4,84.0909090909091,83.33333333333334,66.66666666666666,,,3.0,2.0,2.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,
14015417,home,60,FK Crvena zvezda,1406130,Veljko Milosavljević,milosavljevic-veljko,D,44,False,59.0,53.0,7.0,3.0,0.0,36.0,38.0,17.0,21.0,1.0,4.0,5.0,3.0,,,,,,90.0,74.0,7.5,7.0,,"{'original': 7.5, 'alternative': 7.6}",0,0.26,0.2,0.54,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,3,0,89.83050847457628,42.857142857142854,,,,,,3.0,3.0,,2.0,,,,3.0,,1.0,,2.0,,,,,,,,,,,
14015417,home,5149,FK Crvena zvezda,1146225,Stefan Leković,stefan-lekovic,D,25,False,43.0,36.0,5.0,1.0,0.0,26.0,29.0,10.0,14.0,3.0,4.0,4.0,4.0,,,,,,90.0,52.0,7.3,7.0,,"{'original': 7.3, 'alternative': 7.6}",1,0.25,0.09,0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,1,0,83.72093023255815,20.0,,,,,,,,,,1.0,1.0,,,,,1.0,2.0,1.0,-0.3,,,,,,,,,
14015417,home,5149,FK Crvena zvezda,1493918,Adem Avdić,adem-avdic,D,71,False,13.0,10.0,1.0,,0.0,6.0,8.0,4.0,5.0,,4.0,5.0,2.0,,,,,,45.0,31.0,6.9,8.0,,"{'original': 6.9, 'alternative': 6.9}",0,0.05,0.03,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,4,1,76.92307692307693,,,50.0,,,,,1.0,2.0,,2.0,2.0,2.0,1.0,,,,,,,1.0,1.0,,,,,,,
14015417,home,5149,FK Crvena zvezda,1516318,Mahmudu Bajo,bajo,M,6,False,30.0,27.0,2.0,1.0,0.0,16.0,16.0,11.0,14.0,2.0,8.0,,6.0,,,,,,90.0,50.0,7.2,9.0,,"{'original': 7.2, 'alternative': 7}",3,0.05,0.31,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,6,6,90.0,50.0,,50.0,,,,2.0,8.0,4.0,1.0,1.0,1.0,3.0,3.0,3.0,,1.0,1.0,1.0,0.29,2.0,,1.0,1.0,1.0,1.0,,,
14015417,home,5149,FK Crvena zvezda,1825955,Vasilije Kostov,vasilije-kostov,M,22,False,31.0,27.0,3.0,3.0,0.0,15.0,16.0,12.0,15.0,,2.0,1.0,3.0,,,,,,90.0,47.0,7.0,9.0,,"{'original': 7, 'alternative': 7.7}",1,0.37,0.03,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,87.09677419354838,100.0,66.66666666666666,,,6.0,4.0,,3.0,1.0,1.0,2.0,2.0,1.0,,1.0,,4.0,,,-0.09,,,1.0,,1.0,,1.0,,
14015417,home,5149,FK Crvena zvezda,1136280,Shavy Warren Babicka,babicka-shavy-warren,M,80,False,11.0,9.0,,,0.0,1.0,1.0,8.0,10.0,,1.0,,2.0,,,,,,45.0,19.0,6.9,6.0,,"{'original': 6.9, 'alternative': 6.6}",2,0.35,0.32,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,81.81818181818183,,,100.0,,2.0,,,2.0,1.0,,,,1.0,,1.0,,2.0,,1.0,-0.52,1.0,,1.0,1.0,,1.0,1.0,,
14015417,home,5153,FK Crvena zvezda,1153956,Jovan Šljivić,jovan-sljivic,M,8,False,14.0,9.0,2.0,1.0,1.0,1.0,2.0,8.0,12.0,1.0,2.0,,2.0,,,,,,90.0,35.0,6.7,15.0,,"{'original': 6.7, 'alternative': 6.9}",4,0.56,0.3,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,1,3,64.28571428571429,50.0,50.0,,,4.0,2.0,1.0,4.0,2.0,,,,5.0,1.0,,1.0,4.0,,3.0,-0.64,,,,1.0,1.0,,,1.0,
14015417,home,3398,FK Crvena zvezda,289181,Peter Olayinka,peter-olayinka,M,14,False,11.0,8.0,1.0,,0.0,3.0,5.0,5.0,6.0,2.0,5.0,,2.0,,,,,,45.0,24.0,6.6,12.0,,"{'original': 6.6, 'alternative': 6.3}",1,0.0,0.43,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,3,7,72.72727272727273,,,,,,,1.0,8.0,3.0,,3.0,2.0,4.0,,2.0,,,,1.0,-0.51,,,2.0,,,,,,
