player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,addedTime
"{'name': 'Nemanja Milojević', 'firstName': '', 'lastName': '', 'slug': 'nemanja-milojevic', 'shortName': 'N. Milojević', 'position': 'M', 'jerseyNumber': '38', 'userCount': 65, 'gender': 'M', 'id': 837894, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا ميلوجيفيتش'}, 'shortNameTranslation': {'ar': 'ن. ميلوجيفيتش'}}}",True,save,free-kick,"{'x': 24.9, 'y': 74.2, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.2, 'z': 17.1}","{'x': 2.7, 'y': 51.3, 'z': 0}",5425401,90,5356,"{'start': {'x': 74.2, 'y': 24.9}, 'block': {'x': 51.3, 'y': 2.7}, 'end': {'x': 49.8, 'y': 0}, 'goal': {'x': 49.8, 'y': 82.9}}",1,44,2656,shot,,
"{'name': 'Aleksandar Katai', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katai', 'shortName': 'A. Katai', 'position': 'M', 'jerseyNumber': '10', 'userCount': 2418, 'gender': 'M', 'id': 110701, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتاي', 'bn': 'আলেকসান্ডার কাটাই', 'hi': 'एलेक्ज़ेंडर कटई'}, 'shortNameTranslation': {'ar': 'أ. كاتاي', 'bn': 'এ. কাটাই', 'hi': 'ए. कटई'}}}",False,goal,regular,"{'x': 11.7, 'y': 47.4, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.3, 'z': 3.2}",,5425377,87,5210,"{'start': {'x': 47.4, 'y': 11.7}, 'end': {'x': 47.7, 'y': 0}, 'goal': {'x': 47.7, 'y': 96.8}}",4,190,2510,shot,regular,
"{'name': 'Milson', 'slug': 'milson', 'shortName': 'Milson', 'position': 'M', 'jerseyNumber': '77', 'userCount': 4342, 'gender': 'M', 'id': 939721, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}, 'shortNameTranslation': {'ar': 'ميلسون', 'bn': 'মিলসন', 'hi': 'मिल्सन'}}}",False,block,assisted,"{'x': 18.8, 'y': 73, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.2, 'z': 19}","{'x': 11.4, 'y': 63.4, 'z': 0}",5425381,87,5206,"{'start': {'x': 73, 'y': 18.8}, 'block': {'x': 63.4, 'y': 11.4}, 'end': {'x': 50.8, 'y': 0}, 'goal': {'x': 50.8, 'y': 81}}",4,194,2506,shot,,
"{'name': 'Aleksandar Katai', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katai', 'shortName': 'A. Katai', 'position': 'M', 'jerseyNumber': '10', 'userCount': 2418, 'gender': 'M', 'id': 110701, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتاي', 'bn': 'আলেকসান্ডার কাটাই', 'hi': 'एलेक्ज़ेंडर कटई'}, 'shortNameTranslation': {'ar': 'أ. كاتاي', 'bn': 'এ. কাটাই', 'hi': 'ए. कटई'}}}",False,goal,assisted,"{'x': 9.9, 'y': 39.1, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 48, 'z': 3.2}",,5425343,83,4920,"{'start': {'x': 39.1, 'y': 9.9}, 'end': {'x': 52, 'y': 0}, 'goal': {'x': 52, 'y': 96.8}}",8,480,2220,shot,regular,
"{'name': 'Nikola Andrić', 'firstName': '', 'lastName': '', 'slug': 'nikola-andric', 'shortName': 'N. Andrić', 'position': 'D', 'jerseyNumber': '7', 'userCount': 12, 'gender': 'M', 'id': 193130, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا أندريتش', 'bn': 'নিকোলা আন্দ্রিক', 'hi': 'निकोला एंड्रीक'}, 'shortNameTranslation': {'ar': 'ن. أندريتش', 'bn': 'এন. আন্দ্রিক', 'hi': 'एन. एंड्रीक'}}}",True,block,corner,"{'x': 15.7, 'y': 41.3, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.5, 'z': 19}","{'x': 14.1, 'y': 42.2, 'z': 0}",5425363,81,4805,"{'start': {'x': 41.3, 'y': 15.7}, 'block': {'x': 42.2, 'y': 14.1}, 'end': {'x': 50.5, 'y': 0}, 'goal': {'x': 50.5, 'y': 81}}",10,595,2105,shot,,
"{'name': 'Nemanja Milojević', 'firstName': '', 'lastName': '', 'slug': 'nemanja-milojevic', 'shortName': 'N. Milojević', 'position': 'M', 'jerseyNumber': '38', 'userCount': 65, 'gender': 'M', 'id': 837894, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا ميلوجيفيتش'}, 'shortNameTranslation': {'ar': 'ن. ميلوجيفيتش'}}}",True,block,throw-in-set-piece,"{'x': 19.2, 'y': 34.8, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.3, 'z': 19}","{'x': 13.7, 'y': 39.3, 'z': 0}",5425296,80,4772,"{'start': {'x': 34.8, 'y': 19.2}, 'block': {'x': 39.3, 'y': 13.7}, 'end': {'x': 50.7, 'y': 0}, 'goal': {'x': 50.7, 'y': 81}}",11,628,2072,shot,,
"{'name': 'Aleksandar Katai', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katai', 'shortName': 'A. Katai', 'position': 'M', 'jerseyNumber': '10', 'userCount': 2418, 'gender': 'M', 'id': 110701, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتاي', 'bn': 'আলেকসান্ডার কাটাই', 'hi': 'एलेक्ज़ेंडर कटई'}, 'shortNameTranslation': {'ar': 'أ. كاتاي', 'bn': 'এ. কাটাই', 'hi': 'ए. कटई'}}}",False,goal,penalty,"{'x': 11.5, 'y': 50, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.1, 'z': 3.2}",,5425274,78,4677,"{'start': {'x': 50, 'y': 11.5}, 'end': {'x': 46.9, 'y': 0}, 'goal': {'x': 46.9, 'y': 96.8}}",13,723,1977,shot,penalty,
"{'name': 'Vasilije Kostov', 'slug': 'vasilije-kostov', 'shortName': 'V. Kostov', 'position': 'M', 'jerseyNumber': '22', 'userCount': 2752, 'gender': 'M', 'id': 1825955, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي كوستوف'}, 'shortNameTranslation': {'ar': 'ف. كوستوف'}}}",False,miss,assisted,"{'x': 15.8, 'y': 48.5, 'z': 0}",left-foot,left,"{'x': 0, 'y': 60.7, 'z': 2.8}",,5425211,70,4197,"{'start': {'x': 48.5, 'y': 15.8}, 'end': {'x': 39.3, 'y': 0}, 'goal': {'x': 39.3, 'y': 97.2}}",21,1203,1497,shot,,
"{'name': 'Ognjen Bondžulić', 'firstName': 'Ognjen Bondzulic', 'slug': 'ognjen-bondzulic', 'shortName': 'O. Bondžulić', 'position': 'M', 'jerseyNumber': '11', 'userCount': 97, 'gender': 'M', 'id': 1835422, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنين بوندجوليتش'}, 'shortNameTranslation': {'ar': 'أ. بوندجوليتش'}}}",True,goal,assisted,"{'x': 11.4, 'y': 40.5, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.6, 'z': 13.3}",,5425181,67,3962,"{'start': {'x': 40.5, 'y': 11.4}, 'end': {'x': 53.4, 'y': 0}, 'goal': {'x': 53.4, 'y': 86.7}}",24,1438,1262,shot,regular,
"{'name': 'Danilo Pantić', 'firstName': '', 'lastName': '', 'slug': 'danilo-pantic', 'shortName': 'D. Pantić', 'position': 'M', 'userCount': 151, 'gender': 'M', 'id': 280827, 'fieldTranslations': {'nameTranslation': {'ar': 'بانتيتش, دانيلو'}, 'shortNameTranslation': {'ar': 'د. بانتيتش'}}}",True,miss,assisted,"{'x': 18.7, 'y': 61.5, 'z': 0}",right-foot,high,"{'x': 0, 'y': 44.5, 'z': 80.6}",,5425166,65,3894,"{'start': {'x': 61.5, 'y': 18.7}, 'end': {'x': 55.5, 'y': 0}, 'goal': {'x': 55.5, 'y': 19.4}}",26,1506,1194,shot,,
