player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType
"{'name': 'Sandro Trémoulet', 'slug': 'sandro-tremoulet', 'shortName': 'S. Trémoulet', 'position': 'D', 'jerseyNumber': '18', 'userCount': 165, 'gender': 'M', 'id': 1388249, 'fieldTranslations': {'nameTranslation': {'ar': 'ساندرو تريموليه'}, 'shortNameTranslation': {'ar': 'س. تريموليه'}}}",False,save,corner,"{'x': 2.7, 'y': 51.7, 'z': 0}",head,low-left,"{'x': 0, 'y': 54.4, 'z': 19}","{'x': 0.59999999999999, 'y': 46.9, 'z': 0}",5431502,90,5.0,5670,"{'start': {'x': 51.7, 'y': 2.7}, 'block': {'x': 46.9, 'y': 0.59999999999999}, 'end': {'x': 45.6, 'y': 0}, 'goal': {'x': 45.6, 'y': 81}}",1,630,270,shot,
"{'name': 'Vukašin Bogdanović', 'firstName': '', 'lastName': '', 'slug': 'vukasin-bogdanovic', 'shortName': 'V. Bogdanović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 100, 'gender': 'M', 'id': 1031603, 'fieldTranslations': {'nameTranslation': {'ar': 'فوكاشين بوغدانوفيتش'}, 'shortNameTranslation': {'ar': 'ف. بوغدانوفيتش'}}}",False,miss,set-piece,"{'x': 12.5, 'y': 45.4, 'z': 0}",head,high,"{'x': 0, 'y': 49.4, 'z': 63.9}",,5431359,89,,5297,"{'start': {'x': 45.4, 'y': 12.5}, 'end': {'x': 50.6, 'y': 0}, 'goal': {'x': 50.6, 'y': 36.1}}",2,103,2597,shot,
"{'name': 'Ahmed Hadzimujovic', 'firstName': 'Ahmed Hadzimujovic', 'slug': 'ahmed-hadzimujovic', 'shortName': 'A. Hadzimujovic', 'position': 'D', 'jerseyNumber': '4', 'userCount': 132, 'gender': 'M', 'id': 1981962, 'fieldTranslations': {'nameTranslation': {'ar': 'أحمد هادزيموجوفيتش'}, 'shortNameTranslation': {'ar': 'أ. هادزيموجوفيتش'}}}",True,miss,set-piece,"{'x': 3.4, 'y': 48.4, 'z': 0}",head,high-left,"{'x': 0, 'y': 57.5, 'z': 65.3}",,5431343,86,,5149,"{'start': {'x': 48.4, 'y': 3.4}, 'end': {'x': 42.5, 'y': 0}, 'goal': {'x': 42.5, 'y': 34.7}}",5,251,2449,shot,
"{'name': 'David Stojanović', 'slug': 'david-stojanovic', 'shortName': 'D. Stojanović', 'position': 'D', 'jerseyNumber': '6', 'userCount': 16, 'gender': 'M', 'id': 1215907, 'fieldTranslations': {'nameTranslation': {'ar': 'ديفيد ستويانوفيتش'}, 'shortNameTranslation': {'ar': 'د. ستويانوفيتش'}}}",False,miss,corner,"{'x': 7.2, 'y': 57.3, 'z': 0}",right-foot,high,"{'x': 0, 'y': 50.4, 'z': 62.5}",,5431309,83,,4970,"{'start': {'x': 57.3, 'y': 7.2}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 37.5}}",8,430,2270,shot,
"{'name': 'Vukašin Bogdanović', 'firstName': '', 'lastName': '', 'slug': 'vukasin-bogdanovic', 'shortName': 'V. Bogdanović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 100, 'gender': 'M', 'id': 1031603, 'fieldTranslations': {'nameTranslation': {'ar': 'فوكاشين بوغدانوفيتش'}, 'shortNameTranslation': {'ar': 'ف. بوغدانوفيتش'}}}",False,save,assisted,"{'x': 9.8, 'y': 50.5, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.6, 'z': 5.1}","{'x': 3.5, 'y': 49.5, 'z': 0}",5431272,79,,4736,"{'start': {'x': 50.5, 'y': 9.8}, 'block': {'x': 49.5, 'y': 3.5}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 94.9}}",12,664,2036,shot,
"{'name': 'Abdulsamed Abdullahi', 'slug': 'abdulsamed-abdullahi', 'shortName': 'A. Abdullahi', 'position': 'M', 'jerseyNumber': '8', 'userCount': 106, 'gender': 'M', 'id': 907763, 'fieldTranslations': {'nameTranslation': {'ar': 'عبدالسلام عبد اللهي'}, 'shortNameTranslation': {'ar': 'ع. اللهي'}}}",True,block,fast-break,"{'x': 17, 'y': 73.7, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 48, 'z': 19}","{'x': 13.7, 'y': 69.5, 'z': 0}",5431261,77,,4615,"{'start': {'x': 73.7, 'y': 17}, 'block': {'x': 69.5, 'y': 13.7}, 'end': {'x': 52, 'y': 0}, 'goal': {'x': 52, 'y': 81}}",14,785,1915,shot,
"{'name': 'Evgen Pavlov', 'firstName': '', 'lastName': '', 'slug': 'evgen-pavlov', 'shortName': 'E. Pavlov', 'position': 'F', 'jerseyNumber': '17', 'userCount': 27, 'gender': 'M', 'id': 72116, 'fieldTranslations': {'nameTranslation': {'ar': 'يفغين بافلوف'}, 'shortNameTranslation': {'ar': 'ي. بافلوف'}}}",False,miss,corner,"{'x': 7.6, 'y': 34.4, 'z': 0}",left-foot,high,"{'x': 0, 'y': 44.9, 'z': 88.9}",,5431252,75,,4458,"{'start': {'x': 34.4, 'y': 7.6}, 'end': {'x': 55.1, 'y': 0}, 'goal': {'x': 55.1, 'y': 11.1}}",16,942,1758,shot,
"{'name': 'Evgen Pavlov', 'firstName': '', 'lastName': '', 'slug': 'evgen-pavlov', 'shortName': 'E. Pavlov', 'position': 'F', 'jerseyNumber': '17', 'userCount': 27, 'gender': 'M', 'id': 72116, 'fieldTranslations': {'nameTranslation': {'ar': 'يفغين بافلوف'}, 'shortNameTranslation': {'ar': 'ي. بافلوف'}}}",False,block,assisted,"{'x': 12.3, 'y': 46.2, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.6, 'z': 19}","{'x': 10.3, 'y': 46.4, 'z': 0}",5431243,74,,4425,"{'start': {'x': 46.2, 'y': 12.3}, 'block': {'x': 46.4, 'y': 10.3}, 'end': {'x': 47.4, 'y': 0}, 'goal': {'x': 47.4, 'y': 81}}",17,975,1725,shot,
"{'name': 'Matija Malekinušić', 'firstName': '', 'lastName': '', 'slug': 'matija-malekinusic', 'shortName': 'M. Malekinušić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 112, 'gender': 'M', 'id': 1003429, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتيا مالاكينوشيتش', 'bn': 'মাতিজা মালেকিনুসিচ', 'hi': 'मतिजा मालेकिनुसिक'}, 'shortNameTranslation': {'ar': 'م. مالاكينوشيتش', 'bn': 'এম. মালেকিনুশিচ', 'hi': 'एम. मालेकिनुसिक'}}}",True,goal,assisted,"{'x': 7.1, 'y': 52.1, 'z': 0}",head,high-right,"{'x': 0, 'y': 48.1, 'z': 24.1}",,5431114,56,,3328,"{'start': {'x': 52.1, 'y': 7.1}, 'end': {'x': 51.9, 'y': 0}, 'goal': {'x': 51.9, 'y': 75.9}}",35,2072,628,shot,regular
"{'name': 'Matija Malekinušić', 'firstName': '', 'lastName': '', 'slug': 'matija-malekinusic', 'shortName': 'M. Malekinušić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 112, 'gender': 'M', 'id': 1003429, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتيا مالاكينوشيتش', 'bn': 'মাতিজা মালেকিনুসিচ', 'hi': 'मतिजा मालेकिनुसिक'}, 'shortNameTranslation': {'ar': 'م. مالاكينوشيتش', 'bn': 'এম. মালেকিনুশিচ', 'hi': 'एम. मालेकिनुसिक'}}}",True,save,assisted,"{'x': 20.1, 'y': 73.8, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.8, 'z': 6.3}","{'x': 3.1, 'y': 53.4, 'z': 0}",5431101,54,,3228,"{'start': {'x': 73.8, 'y': 20.1}, 'block': {'x': 53.4, 'y': 3.1}, 'end': {'x': 45.2, 'y': 0}, 'goal': {'x': 45.2, 'y': 93.7}}",37,2172,528,shot,
