match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,challengeLost,dispossessed,bigChanceCreated,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,aerialLost,aerialWon,totalContest,wonContest,shotOffTarget,onTargetScoringAttempt,hitWoodwork,goals,outfielderBlock,shotValueNormalized,blockedScoringAttempt,bigChanceMissed,totalOffside
14015425,home,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,30.0,22.0,13.0,5.0,0.0,20.0,21.0,2.0,9.0,3.0,11.0,1.0,4.0,6.0,3.0,90.0,47.0,7.6,8.0,0.1122,"{'original': 7.6, 'alternative': 8.4}",0,0.12,-0.05,0.28,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,73.33333333333333,38.46153846153847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015425,home,282203,FK Železničar Pančevo,905167,Abdul Yusif,abdul-yusif,D,12,False,50.0,47.0,4.0,3.0,1.0,29.0,29.0,18.0,21.0,2.0,4.0,,,,,90.0,66.0,7.4,10.0,,"{'original': 7.4, 'alternative': 7.5}",0,0.45,-0.07,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,3,5,94.0,75.0,25.0,,,4.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,,,,,,
14015425,home,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,76.0,72.0,8.0,5.0,0.0,54.0,54.0,18.0,22.0,7.0,2.0,,,,,90.0,86.0,7.3,4.0,,"{'original': 7.3, 'alternative': 7.1}",0,0.05,0.2,0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,0,2,94.73684210526315,62.5,,,,,,3.0,3.0,1.0,,,1.0,,,,,1.0,,1.0,3.0,,,,,,,,,,,
14015425,home,282203,FK Železničar Pančevo,111456,Miloš Kosanović,milos-kosanovic,D,15,False,82.0,75.0,16.0,11.0,0.0,49.0,51.0,26.0,31.0,3.0,1.0,,,,,90.0,93.0,9.2,7.0,,"{'original': 9.2, 'alternative': 8.2}",2,0.55,0.1,0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,3,4,91.46341463414635,68.75,100.0,100.0,,1.0,1.0,6.0,5.0,,,,,1.0,,,1.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.56,,,
14015425,home,282203,FK Železničar Pančevo,1466631,Nikola Đuričić,nikola-duricic,D,33,False,57.0,52.0,3.0,2.0,0.0,27.0,28.0,25.0,29.0,1.0,3.0,,,,,90.0,73.0,7.2,6.0,,"{'original': 7.2, 'alternative': 7.3}",0,0.25,0.06,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,91.22807017543859,66.66666666666666,,,,,,2.0,1.0,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,
14015425,home,5136,FK Železničar Pančevo,988828,Hristo Ivanov,hristo-ivanov,M,16,False,50.0,43.0,4.0,2.0,0.0,26.0,28.0,17.0,22.0,1.0,5.0,,,,,90.0,59.0,7.0,9.0,,"{'original': 7, 'alternative': 7}",1,0.17,0.24,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,4,2,86.0,50.0,,100.0,,,,2.0,4.0,1.0,,1.0,1.0,3.0,2.0,2.0,,1.0,1.0,,,1.0,1.0,,,,,,0.02,1.0,,
14015425,home,282203,FK Železničar Pančevo,1417509,Aleksa Kuljanin,aleksa-kuljanin,M,13,False,14.0,10.0,2.0,1.0,0.0,5.0,5.0,5.0,9.0,,4.0,,,,,61.0,29.0,6.5,12.0,,"{'original': 6.5, 'alternative': 6.3}",0,0.03,0.24,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,4,9,71.42857142857143,50.0,,40.0,,2.0,,10.0,4.0,4.0,,,,,,3.0,2.0,2.0,,1.0,,5.0,2.0,,,,,1.0,,,,
14015425,home,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,False,21.0,19.0,3.0,1.0,0.0,14.0,14.0,5.0,7.0,1.0,2.0,,,,,61.0,35.0,6.8,4.0,,"{'original': 6.8, 'alternative': 6.8}",5,0.16,0.31,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,90.47619047619048,33.33333333333333,,,,,,2.0,2.0,,,,,1.0,,1.0,1.0,2.0,,,,,,3.0,,,,,-0.51,2.0,,
14015425,home,1892,FK Železničar Pančevo,1885765,Jovan Milosavljević,jovan-milosavljevic,M,22,False,25.0,20.0,3.0,1.0,0.0,10.0,11.0,10.0,14.0,2.0,4.0,,,,,86.0,42.0,7.8,9.0,,"{'original': 7.8, 'alternative': 7.8}",4,0.03,0.27,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,3,4,80.0,33.33333333333333,50.0,,,2.0,1.0,5.0,4.0,2.0,,,1.0,1.0,,1.0,2.0,,1.0,1.0,1.0,2.0,,1.0,2.0,1.0,1.0,,0.58,1.0,,
14015425,home,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,False,26.0,23.0,1.0,1.0,0.0,7.0,7.0,16.0,19.0,,3.0,,,,,85.0,46.0,8.1,11.0,,"{'original': 8.1, 'alternative': 8.1}",1,0.55,0.51,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,7,3,88.46153846153845,100.0,37.5,75.0,,8.0,3.0,3.0,7.0,1.0,,1.0,,,,2.0,4.0,1.0,4.0,,,4.0,3.0,,,,,,-0.47,1.0,,
