player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType
"{'name': 'Andrej Kostić', 'firstName': 'Andrej', 'lastName': 'Kostić', 'slug': 'andrej-kostic', 'shortName': 'A. Kostić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 1085, 'gender': 'M', 'id': 1819171, 'fieldTranslations': {'nameTranslation': {'ar': 'أندري كوستيتش'}, 'shortNameTranslation': {'ar': 'أ. كوستيتش'}}}",True,block,assisted,"{'x': 10.7, 'y': 52.1, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.4, 'z': 19}","{'x': 7.9, 'y': 50.7, 'z': 0}",5451372,88,5225,"{'start': {'x': 52.1, 'y': 10.7}, 'block': {'x': 50.7, 'y': 7.9}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 81}}",3,175,2525,shot,
"{'name': 'Milan Vukotić', 'firstName': '', 'lastName': '', 'slug': 'milan-vukotic', 'shortName': 'M. Vukotić', 'position': 'M', 'jerseyNumber': '11', 'userCount': 946, 'gender': 'M', 'id': 1005605, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان فوكوتيتش', 'bn': 'মিলান ভুকোতিক', 'hi': 'मिलन वुकोटिक'}, 'shortNameTranslation': {'ar': 'م. فوكوتيتش', 'bn': 'এম. ভুকোতিক', 'hi': 'एम. वुकोटिक'}}}",True,block,assisted,"{'x': 5.4, 'y': 34.7, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.2, 'z': 19}","{'x': 4.9, 'y': 35.9, 'z': 0}",5451371,85,5097,"{'start': {'x': 34.7, 'y': 5.4}, 'block': {'x': 35.9, 'y': 4.9}, 'end': {'x': 47.8, 'y': 0}, 'goal': {'x': 47.8, 'y': 81}}",6,303,2397,shot,
"{'name': 'Milan Vukotić', 'firstName': '', 'lastName': '', 'slug': 'milan-vukotic', 'shortName': 'M. Vukotić', 'position': 'M', 'jerseyNumber': '11', 'userCount': 946, 'gender': 'M', 'id': 1005605, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان فوكوتيتش', 'bn': 'মিলান ভুকোতিক', 'hi': 'मिलन वुकोटिक'}, 'shortNameTranslation': {'ar': 'م. فوكوتيتش', 'bn': 'এম. ভুকোতিক', 'hi': 'एम. वुकोटिक'}}}",True,goal,fast-break,"{'x': 17.9, 'y': 53.6, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 53.6, 'z': 29.7}",,5451296,83,4937,"{'start': {'x': 53.6, 'y': 17.9}, 'end': {'x': 46.4, 'y': 0}, 'goal': {'x': 46.4, 'y': 70.3}}",8,463,2237,shot,regular
"{'name': 'Nikola Simic', 'firstName': 'Nikola Simic', 'slug': 'nikola-simic', 'shortName': 'N. Simić', 'position': 'D', 'jerseyNumber': '40', 'userCount': 685, 'gender': 'M', 'id': 1427163, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا سيميتش'}, 'shortNameTranslation': {'ar': 'ن. سيميتش'}}}",True,block,set-piece,"{'x': 8.2, 'y': 52.8, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.6, 'z': 19}","{'x': 7.8, 'y': 52.7, 'z': 0}",5451288,79,4730,"{'start': {'x': 52.8, 'y': 8.2}, 'block': {'x': 52.7, 'y': 7.8}, 'end': {'x': 51.4, 'y': 0}, 'goal': {'x': 51.4, 'y': 81}}",12,670,2030,shot,
"{'name': 'Andrej Kostić', 'firstName': 'Andrej', 'lastName': 'Kostić', 'slug': 'andrej-kostic', 'shortName': 'A. Kostić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 1085, 'gender': 'M', 'id': 1819171, 'fieldTranslations': {'nameTranslation': {'ar': 'أندري كوستيتش'}, 'shortNameTranslation': {'ar': 'أ. كوستيتش'}}}",True,post,set-piece,"{'x': 7.3, 'y': 43.6, 'z': 0}",head,high,"{'x': 0, 'y': 52.2, 'z': 39.9}",,5451287,79,4727,"{'start': {'x': 43.6, 'y': 7.3}, 'end': {'x': 47.8, 'y': 0}, 'goal': {'x': 47.8, 'y': 60.1}}",12,673,2027,shot,
"{'name': 'Milan Roganović', 'firstName': '', 'lastName': '', 'slug': 'milan-roganovic', 'shortName': 'M. Roganović', 'position': 'D', 'jerseyNumber': '30', 'userCount': 544, 'gender': 'M', 'id': 1150389, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان روجانوفيتش'}, 'shortNameTranslation': {'ar': 'م. روجانوفيتش'}}}",True,block,regular,"{'x': 18.9, 'y': 68.7, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.2, 'z': 19}","{'x': 15.1, 'y': 65.5, 'z': 0}",5451277,78,4630,"{'start': {'x': 68.7, 'y': 18.9}, 'block': {'x': 65.5, 'y': 15.1}, 'end': {'x': 52.8, 'y': 0}, 'goal': {'x': 52.8, 'y': 81}}",13,770,1930,shot,
"{'name': 'Alen Stevanović', 'firstName': 'Alen', 'lastName': 'Stevanović', 'slug': 'alen-stevanovic', 'shortName': 'A. Stevanović', 'position': 'M', 'jerseyNumber': '21', 'userCount': 26, 'gender': 'M', 'id': 103157, 'fieldTranslations': {'nameTranslation': {'ar': 'ألين ستيفانوفيتش'}, 'shortNameTranslation': {'ar': 'أ. ستيفانوفيتش'}}}",False,block,regular,"{'x': 28.7, 'y': 57.3, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.6, 'z': 19}","{'x': 23.8, 'y': 56, 'z': 0}",5451266,77,4562,"{'start': {'x': 57.3, 'y': 28.7}, 'block': {'x': 56, 'y': 23.8}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 81}}",14,838,1862,shot,
"{'name': 'Andrej Kostić', 'firstName': 'Andrej', 'lastName': 'Kostić', 'slug': 'andrej-kostic', 'shortName': 'A. Kostić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 1085, 'gender': 'M', 'id': 1819171, 'fieldTranslations': {'nameTranslation': {'ar': 'أندري كوستيتش'}, 'shortNameTranslation': {'ar': 'أ. كوستيتش'}}}",True,goal,assisted,"{'x': 13, 'y': 49.3, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.9, 'z': 19.6}",,5451260,75,4488,"{'start': {'x': 49.3, 'y': 13}, 'end': {'x': 54.1, 'y': 0}, 'goal': {'x': 54.1, 'y': 80.4}}",16,912,1788,shot,regular
"{'name': 'Nemanja Trifunović', 'firstName': 'Nemanja Trifunovic', 'slug': 'nemanja-trifunovic', 'shortName': 'N. Trifunović', 'position': 'M', 'jerseyNumber': '32', 'userCount': 515, 'gender': 'M', 'id': 1166188, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانيا تريفتش'}, 'shortNameTranslation': {'ar': 'ن. تريفتش'}}}",True,block,assisted,"{'x': 15.7, 'y': 55.8, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.1, 'z': 19}","{'x': 12.8, 'y': 54.3, 'z': 0}",5451155,66,3959,"{'start': {'x': 55.8, 'y': 15.7}, 'block': {'x': 54.3, 'y': 12.8}, 'end': {'x': 47.9, 'y': 0}, 'goal': {'x': 47.9, 'y': 81}}",25,1441,1259,shot,
"{'name': 'Luka Luković', 'firstName': '', 'lastName': '', 'slug': 'luka-lukovic', 'shortName': 'L. Luković', 'position': 'M', 'jerseyNumber': '8', 'userCount': 42, 'gender': 'M', 'id': 314246, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا لوكوفيتش', 'bn': 'লুকা লুকোভিচ', 'hi': 'लुका लुकोविक'}, 'shortNameTranslation': {'ar': 'ل. لوكوفيتش', 'bn': 'এল. লুকোভিচ', 'hi': 'एल. लुकोविक'}}}",False,save,assisted,"{'x': 14.2, 'y': 57.5, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.3, 'z': 5.7}","{'x': 1.6, 'y': 52, 'z': 0}",5451026,62,3669,"{'start': {'x': 57.5, 'y': 14.2}, 'block': {'x': 52, 'y': 1.6}, 'end': {'x': 51.7, 'y': 0}, 'goal': {'x': 51.7, 'y': 94.3}}",29,1731,969,shot,
"{'name': 'Nikola Glišić', 'firstName': '', 'lastName': '', 'slug': 'nikola-glisic', 'shortName': 'N. Glišić', 'position': 'D', 'jerseyNumber': '7', 'userCount': 60, 'gender': 'M', 'id': 1111990, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا غليشيتش'}, 'shortNameTranslation': {'ar': 'ن. غليشيتش'}}}",False,miss,free-kick,"{'x': 23.6, 'y': 63.8, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 39.8, 'z': 61.1}",,5451014,57,3405,"{'start': {'x': 63.8, 'y': 23.6}, 'end': {'x': 60.2, 'y': 0}, 'goal': {'x': 60.2, 'y': 38.9}}",34,1995,705,shot,
"{'name': 'Ugo Bonnet', 'firstName': '', 'lastName': '', 'slug': 'ugo-bonnet', 'shortName': 'U. Bonnet', 'position': 'F', 'jerseyNumber': '12', 'userCount': 58, 'gender': 'M', 'id': 988937, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغو بونيت'}, 'shortNameTranslation': {'ar': 'أ. بونيت'}}}",False,goal,assisted,"{'x': 8, 'y': 38.7, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.5, 'z': 2.5}",,5450925,51,3029,"{'start': {'x': 38.7, 'y': 8}, 'end': {'x': 53.5, 'y': 0}, 'goal': {'x': 53.5, 'y': 97.5}}",40,2371,329,shot,regular
"{'name': 'Jovan Milošević', 'firstName': 'Jovan Milosevic', 'lastName': '', 'slug': 'jovan-milosevic', 'shortName': 'J. Milošević', 'position': 'F', 'jerseyNumber': '7', 'userCount': 2321, 'gender': 'M', 'id': 1154491, 'fieldTranslations': {'nameTranslation': {'ar': 'يوفان ميلوسيفيتش', 'bn': 'জোভান মিলোসেভিচ', 'hi': 'जोवन मिलोसेवीक'}, 'shortNameTranslation': {'ar': 'ي. ميلوسيفيتش', 'bn': 'জে. মিলোসেভিচ', 'hi': 'जे. मिलोसेवीक'}}}",True,goal,fast-break,"{'x': 11.9, 'y': 47.2, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 54.2, 'z': 20.3}",,5450501,40,2383,"{'start': {'x': 47.2, 'y': 11.9}, 'end': {'x': 45.8, 'y': 0}, 'goal': {'x': 45.8, 'y': 79.7}}",6,317,2383,shot,regular
