player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType
"{'name': 'Nikola Skrobonja', 'firstName': 'Nikola Skrobonja', 'slug': 'nikola-skrobonja', 'shortName': 'N. Skrobonja', 'position': 'M', 'jerseyNumber': '44', 'userCount': 38, 'gender': 'M', 'id': 1616139, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا سكروبونيا'}, 'shortNameTranslation': {'ar': 'ن. سكروبونيا'}}}",True,block,assisted,"{'x': 14.5, 'y': 46.8, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.4, 'z': 2.8}","{'x': 4.2, 'y': 49.6, 'z': 0}",5442517,90,7.0,5798,"{'start': {'x': 46.8, 'y': 14.5}, 'block': {'x': 49.6, 'y': 4.2}, 'end': {'x': 48.6, 'y': 0}, 'goal': {'x': 48.6, 'y': 97.2}}",1,502,398,shot
"{'name': 'Stefan Hajdin', 'firstName': 'Stefan', 'lastName': 'Hajdin', 'slug': 'stefan-hajdin', 'shortName': 'S. Hajdin', 'position': 'D', 'jerseyNumber': '3', 'userCount': 47, 'gender': 'M', 'id': 889448, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان حيدين'}, 'shortNameTranslation': {'ar': 'س. حيدين'}}}",False,block,assisted,"{'x': 8.3, 'y': 64.4, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 51.9, 'z': 19}","{'x': 7.2, 'y': 62.3, 'z': 0}",5442518,90,7.0,5769,"{'start': {'x': 64.4, 'y': 8.3}, 'block': {'x': 62.3, 'y': 7.2}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 81}}",1,531,369,shot
"{'name': 'Miloš Ristić', 'firstName': '', 'lastName': '', 'slug': 'milos-ristic', 'shortName': 'M. Ristić', 'position': 'M', 'jerseyNumber': '27', 'userCount': 27, 'gender': 'M', 'id': 879829, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش ريستيتش'}, 'shortNameTranslation': {'ar': 'م. ريستيتش'}}}",True,miss,assisted,"{'x': 24.1, 'y': 55.8, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.5, 'z': 56.9}",,5442479,90,3.0,5534,"{'start': {'x': 55.8, 'y': 24.1}, 'end': {'x': 56.5, 'y': 0}, 'goal': {'x': 56.5, 'y': 43.1}}",1,766,134,shot
"{'name': 'Luka Stankovski', 'slug': 'stankovski-luka', 'shortName': 'L. Stankovski', 'position': 'M', 'jerseyNumber': '80', 'userCount': 100, 'gender': 'M', 'id': 1063157, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا ستانكوفسكي'}, 'shortNameTranslation': {'ar': 'ل. ستانكوفسكي'}}}",True,miss,assisted,"{'x': 2.4, 'y': 47.4, 'z': 0}",head,close-right,"{'x': 0, 'y': 41, 'z': 38.9}",,5442458,90,,5372,"{'start': {'x': 47.4, 'y': 2.4}, 'end': {'x': 59, 'y': 0}, 'goal': {'x': 59, 'y': 61.1}}",1,28,2672,shot
"{'name': 'Mehmed Ćosić', 'firstName': '', 'lastName': '', 'slug': 'mehmed-cosic', 'shortName': 'M. Ćosić', 'position': 'D', 'jerseyNumber': '8', 'userCount': 46, 'gender': 'M', 'id': 876751, 'fieldTranslations': {'nameTranslation': {'ar': 'محمد يوسيتش', 'bn': 'মেহমেদ সিওসিচ', 'hi': 'मेहमद कोसिक'}, 'shortNameTranslation': {'ar': 'م. يوسيتش', 'bn': 'এম. সিওসিচ', 'hi': 'एम. कोसिक'}}}",True,miss,regular,"{'x': 3, 'y': 42.7, 'z': 0}",head,left,"{'x': 0, 'y': 61.2, 'z': 33.3}",,5442446,89,,5319,"{'start': {'x': 42.7, 'y': 3}, 'end': {'x': 38.8, 'y': 0}, 'goal': {'x': 38.8, 'y': 66.7}}",2,81,2619,shot
"{'name': 'Milan Mitrović', 'slug': 'milan-mitrovic', 'shortName': 'M. Mitrović', 'position': 'D', 'jerseyNumber': '15', 'userCount': 28, 'gender': 'M', 'id': 80236, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان ميتروفيتش', 'bn': 'মিলান মিত্রোভিচ', 'hi': 'मिलन मिट्रोविक'}, 'shortNameTranslation': {'ar': 'م. ميتروفيتش', 'bn': 'এম. মিত্রোভিচ', 'hi': 'एम. मिट्रोविक'}}}",True,miss,corner,"{'x': 7.3, 'y': 57.3, 'z': 0}",head,right,"{'x': 0, 'y': 40.5, 'z': 22.2}",,5442438,87,,5206,"{'start': {'x': 57.3, 'y': 7.3}, 'end': {'x': 59.5, 'y': 0}, 'goal': {'x': 59.5, 'y': 77.8}}",4,194,2506,shot
"{'name': 'Milan Vidakov', 'firstName': '', 'lastName': '', 'slug': 'vidakov-milan', 'shortName': 'M. Vidakov', 'position': 'F', 'jerseyNumber': '90', 'userCount': 33, 'gender': 'M', 'id': 1022058, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان فيداكوف'}, 'shortNameTranslation': {'ar': 'م. فيداكوف'}}}",True,block,assisted,"{'x': 8.6, 'y': 54, 'z': 0}",head,low-centre,"{'x': 0, 'y': 49.7, 'z': 19}","{'x': 6.4, 'y': 53.1, 'z': 0}",5442536,87,,5181,"{'start': {'x': 54, 'y': 8.6}, 'block': {'x': 53.1, 'y': 6.4}, 'end': {'x': 50.3, 'y': 0}, 'goal': {'x': 50.3, 'y': 81}}",4,219,2481,shot
"{'name': 'Milan Vidakov', 'firstName': '', 'lastName': '', 'slug': 'vidakov-milan', 'shortName': 'M. Vidakov', 'position': 'F', 'jerseyNumber': '90', 'userCount': 33, 'gender': 'M', 'id': 1022058, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان فيداكوف'}, 'shortNameTranslation': {'ar': 'م. فيداكوف'}}}",True,block,assisted,"{'x': 15.2, 'y': 48.5, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 48.1, 'z': 19}","{'x': 13.3, 'y': 48.9, 'z': 0}",5442844,87,,5164,"{'start': {'x': 48.5, 'y': 15.2}, 'block': {'x': 48.9, 'y': 13.3}, 'end': {'x': 51.9, 'y': 0}, 'goal': {'x': 51.9, 'y': 81}}",4,236,2464,shot
"{'name': 'Matija Glušćević', 'firstName': 'Matija Gluscevic', 'lastName': '', 'slug': 'matija-gluscevic', 'shortName': 'M. Glušćević', 'position': 'M', 'jerseyNumber': '7', 'userCount': 151, 'gender': 'M', 'id': 1147561, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتيا غلوسيفيتش'}, 'shortNameTranslation': {'ar': 'م. غلوسيفيتش'}}}",True,miss,corner,"{'x': 8.6, 'y': 57.2, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 41.7, 'z': 22.2}",,5442392,86,,5117,"{'start': {'x': 57.2, 'y': 8.6}, 'end': {'x': 58.3, 'y': 0}, 'goal': {'x': 58.3, 'y': 77.8}}",5,283,2417,shot
"{'name': 'Bogdan Mirčetić', 'slug': 'bogdan-mircetic', 'shortName': 'B. Mirčetić', 'position': 'M', 'jerseyNumber': '44', 'userCount': 325, 'gender': 'M', 'id': 1382153, 'fieldTranslations': {'nameTranslation': {'ar': 'بوغدان ميريتيتش'}, 'shortNameTranslation': {'ar': 'ب. ميريتيتش'}}}",True,miss,corner,"{'x': 20.4, 'y': 49.1, 'z': 0}",left-foot,right,"{'x': 0, 'y': 17, 'z': 23.6}","{'x': 18.4, 'y': 54.2, 'z': 0}",5442371,82,,4863,"{'start': {'x': 49.1, 'y': 20.4}, 'block': {'x': 54.2, 'y': 18.4}, 'end': {'x': 83, 'y': 0}, 'goal': {'x': 83, 'y': 76.4}}",9,537,2163,shot
