player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Stefan Vilotic', 'slug': 'stefan-vilotic', 'shortName': 'S. Vilotic', 'position': 'D', 'jerseyNumber': '3', 'userCount': 17, 'gender': 'M', 'id': 943573, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان فيلوتيتش'}, 'shortNameTranslation': {'ar': 'س. فيلوتيتش'}}}",True,miss,set-piece,"{'x': 6.7, 'y': 39.5, 'z': 0}",head,high,"{'x': 0, 'y': 44.5, 'z': 63.9}",5472377,86,5153,"{'start': {'x': 39.5, 'y': 6.7}, 'end': {'x': 55.5, 'y': 0}, 'goal': {'x': 55.5, 'y': 36.1}}",5,247,2453,shot,
"{'name': 'Nikola Vukajlović', 'firstName': 'Nikola', 'lastName': 'Vukajlović', 'slug': 'nikola-vukajlovic', 'shortName': 'N. Vukajlović', 'position': 'D', 'jerseyNumber': '7', 'userCount': 16, 'gender': 'M', 'id': 937992, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فوكاجلوفيتش'}, 'shortNameTranslation': {'ar': 'ن. فوكاجلوفيتش'}}}",False,save,set-piece,"{'x': 16.1, 'y': 48.3, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 54.2, 'z': 33.5}",5472366,85,5084,"{'start': {'x': 48.3, 'y': 16.1}, 'block': {'x': 49.6, 'y': 1.2}, 'end': {'x': 45.8, 'y': 0}, 'goal': {'x': 45.8, 'y': 66.5}}",6,316,2384,shot,"{'x': 1.2, 'y': 49.6, 'z': 0}"
"{'name': 'Mamane Amadou Sabo', 'slug': 'mamane-amadou-sabo', 'shortName': 'M. A. Sabo', 'position': 'M', 'jerseyNumber': '6', 'userCount': 199, 'gender': 'M', 'id': 1435246, 'fieldTranslations': {'nameTranslation': {'ar': 'ماماني أمدو سابو'}, 'shortNameTranslation': {'ar': 'م. سابو'}}}",True,miss,assisted,"{'x': 27.2, 'y': 51.1, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 29.9, 'z': 83.3}",5472296,75,4475,"{'start': {'x': 51.1, 'y': 27.2}, 'end': {'x': 70.1, 'y': 0}, 'goal': {'x': 70.1, 'y': 16.7}}",16,925,1775,shot,
"{'name': 'Kayode Saliman', 'firstName': 'Kayode', 'lastName': 'Saliman', 'slug': 'kayode-saliman', 'shortName': 'K. Saliman', 'position': 'M', 'jerseyNumber': '14', 'userCount': 39, 'gender': 'M', 'id': 1472922, 'fieldTranslations': {'nameTranslation': {'ar': 'كايويد ساليمان'}, 'shortNameTranslation': {'ar': 'ك. ساليمان'}}}",True,miss,assisted,"{'x': 13.4, 'y': 24.9, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 41.7, 'z': 63.9}",5500677,65,3890,"{'start': {'x': 24.9, 'y': 13.4}, 'end': {'x': 58.3, 'y': 0}, 'goal': {'x': 58.3, 'y': 36.1}}",26,1510,1190,shot,
"{'name': 'Lazar Mićić', 'firstName': 'Lazar Micic', 'lastName': '', 'slug': 'lazar-micic', 'shortName': 'L. Mićić', 'position': 'M', 'jerseyNumber': '28', 'userCount': 43, 'gender': 'M', 'id': 1147526, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار ميتشيتش'}, 'shortNameTranslation': {'ar': 'ل. ميتشيتش'}}}",True,miss,regular,"{'x': 8.6, 'y': 67.3, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 62.2, 'z': 98.6}",5472224,64,3809,"{'start': {'x': 67.3, 'y': 8.6}, 'end': {'x': 37.8, 'y': 0}, 'goal': {'x': 37.8, 'y': 1.4}}",27,1591,1109,shot,
"{'name': 'Boubacari Doucoure', 'firstName': '', 'lastName': '', 'slug': 'boubacari-doucoure', 'shortName': 'B. Doucoure', 'position': 'M', 'jerseyNumber': '19', 'userCount': 40, 'gender': 'M', 'id': 986764, 'fieldTranslations': {'nameTranslation': {'ar': 'بوباكاري دوكوري'}, 'shortNameTranslation': {'ar': 'ب. دوكوري'}}}",True,save,assisted,"{'x': 12.2, 'y': 54.8, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.7, 'z': 5.7}",5472223,64,3806,"{'start': {'x': 54.8, 'y': 12.2}, 'block': {'x': 50.4, 'y': 0.90000000000001}, 'end': {'x': 48.3, 'y': 0}, 'goal': {'x': 48.3, 'y': 94.3}}",27,1594,1106,shot,"{'x': 0.90000000000001, 'y': 50.4, 'z': 0}"
"{'name': 'Aleksandar Lutovac', 'firstName': 'Aleksandar', 'lastName': 'Lutovac', 'slug': 'aleksandar-lutovac', 'shortName': 'A. Lutovac', 'position': 'M', 'jerseyNumber': '15', 'userCount': 43, 'gender': 'M', 'id': 799152, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر لوتوفاك', 'bn': 'আলেকসান্ডার লুটোভাক', 'hi': 'अलेक्जेंडर लुटोवैक'}, 'shortNameTranslation': {'ar': 'أ. لوتوفاك', 'bn': 'এ. লুটোভাক', 'hi': 'ए. लुटोवैक'}}}",False,miss,assisted,"{'x': 5.8, 'y': 68.5, 'z': 0}",left-foot,close-high,"{'x': 0, 'y': 51.6, 'z': 54.2}",5472213,62,3666,"{'start': {'x': 68.5, 'y': 5.8}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 45.8}}",29,1734,966,shot,
"{'name': 'Boubacari Doucoure', 'firstName': '', 'lastName': '', 'slug': 'boubacari-doucoure', 'shortName': 'B. Doucoure', 'position': 'M', 'jerseyNumber': '19', 'userCount': 40, 'gender': 'M', 'id': 986764, 'fieldTranslations': {'nameTranslation': {'ar': 'بوباكاري دوكوري'}, 'shortNameTranslation': {'ar': 'ب. دوكوري'}}}",True,block,set-piece,"{'x': 8.2, 'y': 58.9, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.9, 'z': 19}",5472281,57,3362,"{'start': {'x': 58.9, 'y': 8.2}, 'block': {'x': 54, 'y': 6.3}, 'end': {'x': 49.1, 'y': 0}, 'goal': {'x': 49.1, 'y': 81}}",34,2038,662,shot,"{'x': 6.3, 'y': 54, 'z': 0}"
"{'name': 'Stefan Hajdin', 'firstName': 'Stefan', 'lastName': 'Hajdin', 'slug': 'stefan-hajdin', 'shortName': 'S. Hajdin', 'position': 'D', 'jerseyNumber': '3', 'userCount': 47, 'gender': 'M', 'id': 889448, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان حيدين'}, 'shortNameTranslation': {'ar': 'س. حيدين'}}}",False,block,assisted,"{'x': 13.9, 'y': 43.4, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.1, 'z': 2.8}",5472177,55,3287,"{'start': {'x': 43.4, 'y': 13.9}, 'block': {'x': 44.8, 'y': 11.4}, 'end': {'x': 48.9, 'y': 0}, 'goal': {'x': 48.9, 'y': 97.2}}",36,2113,587,shot,"{'x': 11.4, 'y': 44.8, 'z': 0}"
"{'name': 'Andrija Majdevac', 'firstName': '', 'lastName': '', 'slug': 'andrija-majdevac', 'shortName': 'A. Majdevac', 'position': 'F', 'jerseyNumber': '11', 'userCount': 71, 'gender': 'M', 'id': 796223, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا ماجديفاك', 'bn': 'আন্দ্রিজা মাজদেভাক', 'hi': 'एंड्रीजा मजदेवैक'}, 'shortNameTranslation': {'ar': 'أ. ماجديفاك', 'bn': 'এ. মাজদেভাক', 'hi': 'ए. मजदेवैक'}}}",False,block,assisted,"{'x': 18.1, 'y': 51.5, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49, 'z': 19}",5472237,55,3285,"{'start': {'x': 51.5, 'y': 18.1}, 'block': {'x': 51.4, 'y': 16.2}, 'end': {'x': 51, 'y': 0}, 'goal': {'x': 51, 'y': 81}}",36,2115,585,shot,"{'x': 16.2, 'y': 51.4, 'z': 0}"
