match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,totalContest,wonContest,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,keyPass,aerialLost,challengeLost,shotOffTarget,interceptionWon,fouls,shotValueNormalized,outfielderBlock,errorLeadToAShot,dispossessed,bigChanceCreated,blockedScoringAttempt,onTargetScoringAttempt,totalOffside,goals,bigChanceMissed,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper
14015432,home,111127,FK Radnik Surdulica,954755,Stefan Ranđelović,stefan-randjelovic,G,99,False,42.0,33.0,16.0,8.0,0.0,28.0,30.0,5.0,12.0,1.0,1.0,5.0,6.0,2.0,3.0,3.0,90.0,54.0,7.0,9.0,0.2954,"{'original': 7, 'alternative': 7.1}",0,0.06,0.0,-0.19,0.3,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,78.57142857142857,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015432,home,111127,FK Radnik Surdulica,1147541,Mateja Gašić,mateja-gasic,D,66,False,20.0,16.0,2.0,1.0,0.0,7.0,8.0,9.0,12.0,3.0,8.0,2.0,3.0,,,,90.0,46.0,6.7,9.0,,"{'original': 6.7, 'alternative': 7.1}",0,0.25,0.03,-0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,5,1,80.0,50.0,50.0,50.0,,4.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,
14015432,home,111127,FK Radnik Surdulica,1215907,David Stojanović,david-stojanovic,D,6,False,53.0,46.0,14.0,8.0,0.0,29.0,30.0,17.0,23.0,1.0,3.0,4.0,2.0,,,,90.0,64.0,6.8,7.0,,"{'original': 6.8, 'alternative': 6.9}",1,0.31,0.04,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,86.79245283018868,57.14285714285714,,,,,,4.0,,,1.0,1.0,,1.0,,1.0,1.0,1.0,3.0,2.0,-0.17,,,,,,,,,,,,
14015432,home,111127,FK Radnik Surdulica,1388249,Sandro Trémoulet,sandro-tremoulet,D,18,False,61.0,48.0,18.0,10.0,0.0,34.0,37.0,14.0,24.0,2.0,6.0,4.0,6.0,,,,90.0,76.0,6.7,15.0,,"{'original': 6.7, 'alternative': 6.7}",0,0.31,0.08,-0.47,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,4,1,78.68852459016394,55.55555555555556,,,,,,3.0,,,4.0,2.0,2.0,,,2.0,1.0,,1.0,,,1.0,2.0,,,,,,,,,,
14015432,home,202066,FK Radnik Surdulica,997182,Uroš Blagojević,uros-blagojevic,D,33,False,13.0,11.0,3.0,2.0,0.0,4.0,4.0,7.0,9.0,1.0,4.0,3.0,3.0,,,,61.0,33.0,6.8,3.0,,"{'original': 6.8, 'alternative': 6.6}",0,0.14,0.06,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,84.61538461538461,66.66666666666666,100.0,100.0,,2.0,2.0,4.0,2.0,2.0,1.0,1.0,,,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,
14015432,home,111127,FK Radnik Surdulica,804662,Aleksandar Pejović,aleksandar-pejovic,M,28,False,34.0,23.0,7.0,1.0,0.0,11.0,14.0,12.0,20.0,1.0,4.0,,4.0,,,,62.0,45.0,6.6,15.0,,"{'original': 6.6, 'alternative': 7.1}",1,0.27,0.01,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,67.64705882352942,14.285714285714285,25.0,,,4.0,1.0,3.0,,,2.0,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,,-0.08,,,,,,,,,,,,
14015432,home,5149,FK Radnik Surdulica,1916326,Douglas Owusu,owusu-douglas,M,7,False,18.0,13.0,,,0.0,1.0,2.0,12.0,16.0,2.0,9.0,1.0,2.0,,,,90.0,42.0,6.6,13.0,,"{'original': 6.6, 'alternative': 7}",3,0.42,0.36,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,6,14,7,7,72.22222222222221,,,33.33333333333333,,1.0,,11.0,3.0,1.0,5.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,-0.31,,,2.0,1.0,1.0,,,,,,,
14015432,home,111127,FK Radnik Surdulica,938002,Mlađan Stevanović,mladjan-stevanovic,M,24,False,46.0,35.0,10.0,3.0,0.0,11.0,14.0,24.0,32.0,,4.0,,6.0,,,,90.0,55.0,7.0,13.0,,"{'original': 7, 'alternative': 7.2}",2,0.23,0.13,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,4,4,76.08695652173914,30.0,,,,,,4.0,,,3.0,1.0,1.0,1.0,1.0,,,,,3.0,0.15,,,1.0,,1.0,1.0,,,,,,
14015432,home,111127,FK Radnik Surdulica,1130262,Đorđe Jovanović,dorde-jovanovic,M,88,False,17.0,14.0,3.0,1.0,0.0,3.0,3.0,11.0,14.0,1.0,4.0,,5.0,,,,89.0,35.0,6.9,10.0,,"{'original': 6.9, 'alternative': 6.8}",0,0.27,0.08,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,3,5,82.35294117647058,33.33333333333333,33.33333333333333,33.33333333333333,,3.0,1.0,8.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,,1.0,,,,,2.0,,,,1.0,,,,,
14015432,home,35326,FK Radnik Surdulica,1166049,Andrija Lazarević,andrija-lazarevic,F,19,False,9.0,7.0,1.0,1.0,0.0,2.0,3.0,5.0,6.0,,3.0,,2.0,,,,62.0,21.0,6.3,8.0,,"{'original': 6.3, 'alternative': 6.4}",1,-0.01,-0.3,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,3,6,77.77777777777779,100.0,,20.0,,,,7.0,5.0,1.0,,,,2.0,,1.0,,1.0,1.0,,-0.51,,,2.0,,,,,,,,,
