player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Uroš Ljubomirac', 'firstName': '', 'lastName': '', 'slug': 'uros-ljubomirac', 'shortName': 'U. Ljubomirac', 'position': 'M', 'jerseyNumber': '77', 'userCount': 7, 'gender': 'M', 'id': 892174, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروس ليوبوميراك', 'bn': 'উরোস লুবোমিরাক', 'hi': 'उरोस लुबोमिराक'}, 'shortNameTranslation': {'ar': 'أ. ليوبوميراك', 'bn': 'ইউ. জুবোমিরাক', 'hi': 'यू. लुजोमिराक'}}}",False,miss,assisted,"{'x': 18.7, 'y': 67.7, 'z': 0}",left-foot,high,"{'x': 0, 'y': 52.3, 'z': 76.4}",5479759,90,4.0,5594,"{'start': {'x': 67.7, 'y': 18.7}, 'end': {'x': 47.7, 'y': 0}, 'goal': {'x': 47.7, 'y': 23.6}}",1,706,194,shot,,
"{'name': 'Uroš Ljubomirac', 'firstName': '', 'lastName': '', 'slug': 'uros-ljubomirac', 'shortName': 'U. Ljubomirac', 'position': 'M', 'jerseyNumber': '77', 'userCount': 7, 'gender': 'M', 'id': 892174, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروس ليوبوميراك', 'bn': 'উরোস লুবোমিরাক', 'hi': 'उरोस लुबोमिराक'}, 'shortNameTranslation': {'ar': 'أ. ليوبوميراك', 'bn': 'ইউ. জুবোমিরাক', 'hi': 'यू. लुजोमिराक'}}}",False,save,assisted,"{'x': 21.6, 'y': 69.1, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54, 'z': 9.5}",5479690,88,,5263,"{'start': {'x': 69.1, 'y': 21.6}, 'block': {'x': 50.9, 'y': 1}, 'end': {'x': 46, 'y': 0}, 'goal': {'x': 46, 'y': 90.5}}",3,137,2563,shot,"{'x': 1, 'y': 50.9, 'z': 0}",
"{'name': 'Mihailo Oreščanin', 'firstName': '', 'lastName': '', 'slug': 'mihailo-orescanin', 'shortName': 'M. Oreščanin', 'position': 'D', 'jerseyNumber': '37', 'userCount': 14, 'gender': 'M', 'id': 1022062, 'fieldTranslations': {'nameTranslation': {'ar': 'ميهايلو أوريسكانين'}, 'shortNameTranslation': {'ar': 'م. أوريسكانين'}}}",False,miss,regular,"{'x': 11.9, 'y': 73.8, 'z': 0}",right-foot,left,"{'x': 0, 'y': 61.3, 'z': 4.2}",5479780,85,,5074,"{'start': {'x': 73.8, 'y': 11.9}, 'block': {'x': 55.2, 'y': 7.3}, 'end': {'x': 38.7, 'y': 0}, 'goal': {'x': 38.7, 'y': 95.8}}",6,326,2374,shot,"{'x': 7.3, 'y': 55.2, 'z': 0}",
"{'name': 'Uroš Sremčević', 'slug': 'uros-sremcevic', 'shortName': 'U. Sremčević', 'position': 'F', 'jerseyNumber': '17', 'userCount': 1585, 'gender': 'M', 'id': 1166063, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش سريمشيفيتش'}, 'shortNameTranslation': {'ar': 'أ. سريمشيفيتش'}}}",False,save,assisted,"{'x': 7.4, 'y': 49.5, 'z': 0}",head,low-left,"{'x': 0, 'y': 54.3, 'z': 17.7}",5479540,76,,4527,"{'start': {'x': 49.5, 'y': 7.4}, 'block': {'x': 49.6, 'y': 1}, 'end': {'x': 45.7, 'y': 0}, 'goal': {'x': 45.7, 'y': 82.3}}",15,873,1827,shot,"{'x': 1, 'y': 49.6, 'z': 0}",
"{'name': 'Diogo Bezerra', 'firstName': 'Diogo Bezerra', 'lastName': '', 'slug': 'diogo-bezerra', 'shortName': 'D. Bezerra', 'position': 'M', 'jerseyNumber': '7', 'userCount': 184, 'gender': 'M', 'id': 1176881, 'fieldTranslations': {'nameTranslation': {'ar': 'دييغو بيزيرا'}, 'shortNameTranslation': {'ar': 'د. بيزيرا'}}}",True,miss,fast-break,"{'x': 17, 'y': 58.3, 'z': 0}",right-foot,left,"{'x': 0, 'y': 59.7, 'z': 13.9}",5479523,74,,4418,"{'start': {'x': 58.3, 'y': 17}, 'end': {'x': 40.3, 'y': 0}, 'goal': {'x': 40.3, 'y': 86.1}}",17,982,1718,shot,,
"{'name': 'Ognjen Bondžulić', 'firstName': 'Ognjen Bondzulic', 'slug': 'ognjen-bondzulic', 'shortName': 'O. Bondžulić', 'position': 'M', 'jerseyNumber': '11', 'userCount': 97, 'gender': 'M', 'id': 1835422, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنين بوندجوليتش'}, 'shortNameTranslation': {'ar': 'أ. بوندجوليتش'}}}",False,block,assisted,"{'x': 19.8, 'y': 49.1, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.8, 'z': 19}",5479712,74,,4392,"{'start': {'x': 49.1, 'y': 19.8}, 'block': {'x': 49.8, 'y': 16.3}, 'end': {'x': 53.2, 'y': 0}, 'goal': {'x': 53.2, 'y': 81}}",17,1008,1692,shot,"{'x': 16.3, 'y': 49.8, 'z': 0}",
"{'name': 'Filip Žunić', 'firstName': '', 'lastName': '', 'slug': 'filip-zunic', 'shortName': 'F. Žunić', 'position': 'M', 'jerseyNumber': '18', 'userCount': 10, 'gender': 'M', 'id': 1030454, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليب زونيش'}, 'shortNameTranslation': {'ar': 'ف. زونيش'}}}",False,save,assisted,"{'x': 12.6, 'y': 66.9, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.6, 'z': 18.4}",5479698,73,,4326,"{'start': {'x': 66.9, 'y': 12.6}, 'block': {'x': 51.8, 'y': 0.90000000000001}, 'end': {'x': 53.4, 'y': 0}, 'goal': {'x': 53.4, 'y': 81.6}}",18,1074,1626,shot,"{'x': 0.90000000000001, 'y': 51.8, 'z': 0}",
"{'name': 'Danilo Pantić', 'firstName': '', 'lastName': '', 'slug': 'danilo-pantic', 'shortName': 'D. Pantić', 'position': 'M', 'userCount': 151, 'gender': 'M', 'id': 280827, 'fieldTranslations': {'nameTranslation': {'ar': 'بانتيتش, دانيلو'}, 'shortNameTranslation': {'ar': 'د. بانتيتش'}}}",False,block,assisted,"{'x': 13, 'y': 72.4, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 19}",5479689,71,,4234,"{'start': {'x': 72.4, 'y': 13}, 'block': {'x': 66.2, 'y': 9.4}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 81}}",20,1166,1534,shot,"{'x': 9.4, 'y': 66.2, 'z': 0}",
"{'name': 'Ognjen Bondžulić', 'firstName': 'Ognjen Bondzulic', 'slug': 'ognjen-bondzulic', 'shortName': 'O. Bondžulić', 'position': 'M', 'jerseyNumber': '11', 'userCount': 97, 'gender': 'M', 'id': 1835422, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنين بوندجوليتش'}, 'shortNameTranslation': {'ar': 'أ. بوندجوليتش'}}}",False,miss,assisted,"{'x': 8, 'y': 43.2, 'z': 0}",head,close-left,"{'x': 0, 'y': 57.8, 'z': 12.5}",5498217,69,,4100,"{'start': {'x': 43.2, 'y': 8}, 'block': {'x': 43.1, 'y': 0.5}, 'end': {'x': 42.2, 'y': 0}, 'goal': {'x': 42.2, 'y': 87.5}}",22,1300,1400,shot,"{'x': 0.5, 'y': 43.1, 'z': 0}",
"{'name': 'Aleksandar Varjačić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-varjacic', 'shortName': 'A. Varjačić', 'position': 'D', 'jerseyNumber': '17', 'userCount': 12, 'gender': 'M', 'id': 795855, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فارجاتجيتش'}, 'shortNameTranslation': {'ar': 'أ. فارجاتجيتش'}}}",False,miss,assisted,"{'x': 7.7, 'y': 72.2, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 43, 'z': 16.7}",5479423,64,,3785,"{'start': {'x': 72.2, 'y': 7.7}, 'end': {'x': 57, 'y': 0}, 'goal': {'x': 57, 'y': 83.3}}",27,1615,1085,shot,,
