match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,dispossessed,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialLost,challengeLost,totalContest,wonContest,bigChanceCreated,keyPass,accurateCross,shotOffTarget,totalOffside,shotValueNormalized,onTargetScoringAttempt,goals,hitWoodwork,punches,blockedScoringAttempt,lastManTackle
14015436,home,5150,FK Vojvodina,844128,Dragan Rosić,dragan-rosic,G,12,False,21.0,6.0,19.0,4.0,0.0,3.0,4.0,3.0,17.0,1.0,8.0,1.0,1.0,90.0,30.0,6.7,15.0,0.3565,"{'original': 6.7, 'alternative': 6.9}",0,0.05,-0.03,0.18,0.34,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,28.57142857142857,21.052631578947366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015436,home,5150,FK Vojvodina,862782,Lazar Nikolić,lazar-nikolic,D,22,False,28.0,18.0,5.0,2.0,0.0,10.0,12.0,8.0,16.0,3.0,6.0,,,90.0,55.0,7.4,14.0,,"{'original': 7.4, 'alternative': 7.6}",0,0.12,0.05,0.4,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,6,2,64.28571428571429,40.0,,,,1.0,1.0,2.0,7.0,1.0,1.0,3.0,4.0,4.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,
14015436,home,47,FK Vojvodina,1198768,Collins Sichenje,collins-sichenje,D,29,False,43.0,37.0,4.0,3.0,0.0,27.0,30.0,10.0,13.0,6.0,3.0,,,90.0,55.0,6.9,8.0,,"{'original': 6.9, 'alternative': 7}",0,0.13,0.07,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,0,4,86.04651162790698,75.0,,,,,2.0,6.0,2.0,,1.0,1.0,,,1.0,,3.0,2.0,1.0,,,,,,,,,,,,,,
14015436,home,5150,FK Vojvodina,1892868,Kufre Eta,kufre-eta,D,2,False,33.0,30.0,5.0,4.0,1.0,24.0,25.0,6.0,8.0,3.0,3.0,,,59.0,42.0,7.3,3.0,,"{'original': 7.3, 'alternative': 7.3}",0,0.26,0.05,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,3,0,90.9090909090909,80.0,,100.0,,,,1.0,3.0,,,,,,,1.0,,1.0,,2.0,2.0,1.0,1.0,,,,,,,,,,
14015436,home,2445,FK Vojvodina,1152947,Stefan Bukinac,stefan-bukinac,D,30,False,40.0,35.0,3.0,2.0,0.0,18.0,19.0,17.0,21.0,2.0,6.0,,,90.0,65.0,7.4,7.0,,"{'original': 7.4, 'alternative': 7.7}",0,0.85,-0.36,0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,87.5,66.66666666666666,100.0,,,1.0,,3.0,2.0,,,4.0,2.0,1.0,,,2.0,1.0,,,,,2.0,1.0,,,,,,,,,
14015436,home,5150,FK Vojvodina,50306,Slobodan Medojević,slobodan-medojevic,M,34,False,30.0,26.0,3.0,,0.0,11.0,12.0,15.0,18.0,,,,,86.0,42.0,6.7,8.0,,"{'original': 6.7, 'alternative': 6.6}",0,0.27,0.01,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,2,4,86.66666666666667,,,,,,1.0,5.0,3.0,,,2.0,2.0,1.0,3.0,,3.0,1.0,1.0,,,,1.0,,,,,,,,,,
14015436,home,5150,FK Vojvodina,844179,Njegoš Petrović,njegos-petrovic,M,18,False,37.0,28.0,7.0,3.0,0.0,12.0,15.0,16.0,22.0,2.0,3.0,,,90.0,52.0,7.0,14.0,,"{'original': 7, 'alternative': 6.8}",0,0.35,-0.51,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,75.67567567567568,42.857142857142854,33.33333333333333,,,3.0,,3.0,2.0,,,1.0,2.0,1.0,1.0,,,1.0,,2.0,,,1.0,1.0,,,,,,,,,
14015436,home,5150,FK Vojvodina,1656621,Petar Sukačev,petar-sukacev,M,27,False,18.0,15.0,,,0.0,6.0,7.0,9.0,11.0,1.0,6.0,,,86.0,38.0,6.1,15.0,,"{'original': 6.1, 'alternative': 6}",2,0.07,-0.57,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,4,9,83.33333333333334,,,,,,,11.0,4.0,1.0,,,2.0,,7.0,2.0,1.0,2.0,4.0,3.0,,,,,2.0,1.0,-0.54,,,,,,
14015436,home,5150,FK Vojvodina,858238,Milutin Vidosavljević,milutin-vidosavljevic,M,55,False,17.0,13.0,,,0.0,5.0,7.0,8.0,10.0,,3.0,,,72.0,25.0,8.0,6.0,,"{'original': 8, 'alternative': 7.6}",1,0.22,0.11,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,5,3,76.47058823529412,,,,,,,3.0,5.0,1.0,,,2.0,2.0,1.0,3.0,,,2.0,,,,1.0,,,,0.51,1.0,1.0,,,,
14015436,home,1925,FK Vojvodina,1020116,Yusuf Bamidele,yusuf-bamidele,M,7,False,23.0,19.0,1.0,,1.0,7.0,7.0,12.0,16.0,,6.0,,,90.0,42.0,9.0,10.0,,"{'original': 9, 'alternative': 8.6}",3,0.52,0.17,0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,5,6,82.6086956521739,,100.0,50.0,,2.0,2.0,6.0,7.0,1.0,,1.0,3.0,3.0,4.0,1.0,3.0,,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.47,1.0,1.0,,,,
14015436,home,5150,FK Vojvodina,842317,Aleksa Vukanović,aleksa-vukanovic,F,9,False,29.0,21.0,,,0.0,6.0,7.0,15.0,22.0,2.0,4.0,,,90.0,51.0,7.0,19.0,,"{'original': 7, 'alternative': 6.9}",1,0.41,0.18,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,5,12,6,6,72.41379310344827,,,66.66666666666666,,,2.0,9.0,8.0,3.0,,,,,5.0,2.0,1.0,3.0,,6.0,4.0,,,,1.0,,-0.64,,,1.0,,,
14015436,home,5150,FK Vojvodina,974434,Lucas Barros,lucas-barros,D,23,True,15.0,14.0,2.0,1.0,0.0,6.0,6.0,8.0,9.0,3.0,1.0,,,31.0,20.0,6.8,1.0,,"{'original': 6.8, 'alternative': 6.7}",0,0.18,0.03,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,93.33333333333333,50.0,,,,,1.0,2.0,1.0,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,
