match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelLost,duelWon,dispossessed,totalContest,interceptionWon,totalTackle,errorLeadToAShot,unsuccessfulTouch,fouls,aerialWon,challengeLost,wonContest,keyPass,outfielderBlock,wonTackle,aerialLost,wasFouled,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,goals,shotValueNormalized,totalOffside,bigChanceCreated,accurateCross,bigChanceMissed
14015437,home,263360,FK TSC Bačka Topola,805915,Nikola Simić,nikola-simic,G,1,False,43.0,32.0,15.0,4.0,0.0,29.0,33.0,3.0,10.0,2.0,12.0,1.0,3.0,3.0,1.0,2.0,2.0,90.0,54.0,6.3,11.0,0.1837,"{'original': 6.3, 'alternative': 6.7}",0,0.04,-0.15,-0.19,0.21,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,74.4186046511628,26.666666666666668,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015437,home,263360,FK TSC Bačka Topola,879556,Stefan Jovanović,stefan-jovanovic,D,22,False,31.0,28.0,1.0,,0.0,11.0,13.0,17.0,18.0,1.0,2.0,,,,,,,70.0,45.0,6.3,7.0,,"{'original': 6.3, 'alternative': 6.4}",0,-0.01,-0.56,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,90.32258064516128,,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
14015437,home,3398,FK TSC Bačka Topola,155961,Miloš Degenek,milos-degenek,D,32,False,68.0,63.0,9.0,6.0,0.0,33.0,34.0,30.0,34.0,4.0,1.0,,,,,,,90.0,76.0,7.0,6.0,,"{'original': 7, 'alternative': 6.8}",0,0.34,0.14,-0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,92.64705882352942,66.66666666666666,,100.0,,,1.0,5.0,,1.0,,1.0,,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,,,,,
14015437,home,263360,FK TSC Bačka Topola,1049576,Baptiste Roux,baptiste-roux,D,5,False,70.0,58.0,9.0,3.0,0.0,45.0,49.0,13.0,21.0,6.0,4.0,,,,,,,90.0,81.0,6.7,12.0,,"{'original': 6.7, 'alternative': 6.7}",0,0.14,0.09,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,82.85714285714286,33.33333333333333,,,,,1.0,5.0,,,,2.0,,,1.0,3.0,,,,1.0,1.0,,,,,,,,,,,
14015437,home,263360,FK TSC Bačka Topola,1102967,Vukašin Krstić,vukasin-krstic,D,4,False,51.0,47.0,7.0,6.0,0.0,25.0,26.0,22.0,25.0,1.0,7.0,,,,,,,90.0,71.0,7.1,5.0,,"{'original': 7.1, 'alternative': 7.2}",0,0.23,0.23,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,3,4,92.15686274509804,85.71428571428571,,,,1.0,6.0,3.0,,,2.0,3.0,,,3.0,,1.0,,1.0,2.0,3.0,2.0,,,,,,,,,,
14015437,home,263360,FK TSC Bačka Topola,220231,Branko Jovičić,branko-jovicic,M,18,False,45.0,38.0,,,1.0,16.0,16.0,22.0,29.0,,3.0,,,,,,,45.0,51.0,7.0,10.0,,"{'original': 7, 'alternative': 7}",0,0.41,0.0,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,84.44444444444444,,,,,,2.0,1.0,2.0,,1.0,,,,,1.0,,,2.0,,,,,,,,,,,,,
14015437,home,263360,FK TSC Bačka Topola,1619543,Aleksandar Stančić,aleksandar-stancic,M,16,False,62.0,51.0,5.0,2.0,0.0,14.0,15.0,37.0,47.0,2.0,6.0,,,,,,,90.0,80.0,6.1,16.0,,"{'original': 6.1, 'alternative': 6.4}",0,-0.22,0.29,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,3,5,82.25806451612904,40.0,,100.0,,,8.0,3.0,2.0,2.0,1.0,,,2.0,3.0,,,2.0,1.0,,,3.0,1.0,,,,,,,,,
14015437,home,263360,FK TSC Bačka Topola,888023,Andrej Todoroski,andrej-todoroski,M,10,False,31.0,27.0,1.0,,0.0,1.0,3.0,26.0,28.0,,3.0,,,,,,,90.0,59.0,7.1,17.0,,"{'original': 7.1, 'alternative': 7.2}",5,0.21,0.13,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,4,15,5,10,87.09677419354838,,,80.0,,5.0,14.0,5.0,5.0,5.0,,,,1.0,4.0,,,4.0,1.0,,,4.0,1.0,2.0,1.0,2.0,1.0,0.49,,,,
14015437,home,263360,FK TSC Bačka Topola,947036,Szabolcs Mezei,szabolcs-mezei,M,26,False,61.0,51.0,3.0,2.0,0.0,19.0,21.0,32.0,40.0,,2.0,,,,,,,90.0,73.0,6.8,14.0,,"{'original': 6.8, 'alternative': 7.1}",1,0.29,0.08,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,5,2,83.60655737704919,66.66666666666666,,100.0,,2.0,3.0,5.0,,1.0,1.0,2.0,,1.0,2.0,,,1.0,1.0,,2.0,1.0,2.0,1.0,,,,-0.12,,,,
14015437,home,263360,FK TSC Bačka Topola,980796,Dragoljub Savić,dragoljub-savic,M,21,False,37.0,28.0,5.0,4.0,0.0,10.0,12.0,18.0,25.0,1.0,5.0,,,,,,,90.0,46.0,6.6,12.0,,"{'original': 6.6, 'alternative': 6.8}",0,0.0,0.19,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,75.67567567567568,80.0,,66.66666666666666,,,4.0,3.0,,3.0,1.0,,,2.0,2.0,,,2.0,1.0,,,1.0,1.0,,,,,,,,,
