player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Vukan Savićević', 'slug': 'vukan-savicevic', 'shortName': 'V. Savićević', 'position': 'M', 'jerseyNumber': '8', 'userCount': 75, 'gender': 'M', 'id': 257071, 'fieldTranslations': {'nameTranslation': {'ar': 'فوكان سافييفيتش', 'bn': 'ভুকান সাভিসেভিচ', 'hi': 'वुकान सविसेविक'}, 'shortNameTranslation': {'ar': 'ف. سافييفيتش', 'bn': 'ভি. সাভিচেভিচ', 'hi': 'वी. सविसेविक'}}}",False,miss,corner,"{'x': 10.7, 'y': 22.9, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 39.5, 'z': 66.7}",5523981,90,2.0,5485,"{'start': {'x': 22.9, 'y': 10.7}, 'end': {'x': 60.5, 'y': 0}, 'goal': {'x': 60.5, 'y': 33.3}}",1,815,85,shot,
"{'name': 'Marko Veličković', 'firstName': '', 'lastName': '', 'slug': 'marko-velickovic', 'shortName': 'M. Veličković', 'position': 'M', 'jerseyNumber': '24', 'userCount': 78, 'gender': 'M', 'id': 1121635, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو فيليتشكوفيتش'}, 'shortNameTranslation': {'ar': 'م. فيليتشكوفيتش'}}}",False,miss,regular,"{'x': 11.3, 'y': 46.4, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 41.3, 'z': 6.9}",5523967,89,,5286,"{'start': {'x': 46.4, 'y': 11.3}, 'end': {'x': 58.7, 'y': 0}, 'goal': {'x': 58.7, 'y': 93.1}}",2,114,2586,shot,
"{'name': 'Uroš Nikolić', 'slug': 'uros-nikolic', 'shortName': 'U. Nikolić', 'position': 'M', 'jerseyNumber': '10', 'userCount': 34, 'gender': 'M', 'id': 194450, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش نيكوليتش'}, 'shortNameTranslation': {'ar': 'أ. نيكوليتش'}}}",False,save,assisted,"{'x': 12.3, 'y': 58.5, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 49.7, 'z': 20.9}",5523958,87,,5212,"{'start': {'x': 58.5, 'y': 12.3}, 'block': {'x': 53.1, 'y': 1.5}, 'end': {'x': 50.3, 'y': 0}, 'goal': {'x': 50.3, 'y': 79.1}}",4,188,2512,shot,"{'x': 1.5, 'y': 53.1, 'z': 0}"
"{'name': 'Aleksa Vukanović', 'slug': 'aleksa-vukanovic', 'shortName': 'A. Vukanović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 157, 'gender': 'M', 'id': 842317, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسا فوكانوفيتش', 'bn': 'আলেক্সা ভুকানোভিচ', 'hi': 'अलेक्सा वुकानोविक'}, 'shortNameTranslation': {'ar': 'أ. فوكانوفيتش', 'bn': 'এ. ভুকানোভিচ', 'hi': 'ए. वुकानोविक'}}}",False,miss,assisted,"{'x': 5.5, 'y': 60.3, 'z': 0}",head,right,"{'x': 0, 'y': 40.7, 'z': 30.6}",5523934,84,,5038,"{'start': {'x': 60.3, 'y': 5.5}, 'end': {'x': 59.3, 'y': 0}, 'goal': {'x': 59.3, 'y': 69.4}}",7,362,2338,shot,
"{'name': 'Vukan Savićević', 'slug': 'vukan-savicevic', 'shortName': 'V. Savićević', 'position': 'M', 'jerseyNumber': '8', 'userCount': 75, 'gender': 'M', 'id': 257071, 'fieldTranslations': {'nameTranslation': {'ar': 'فوكان سافييفيتش', 'bn': 'ভুকান সাভিসেভিচ', 'hi': 'वुकान सविसेविक'}, 'shortNameTranslation': {'ar': 'ف. سافييفيتش', 'bn': 'ভি. সাভিচেভিচ', 'hi': 'वी. सविसेविक'}}}",False,miss,corner,"{'x': 26.8, 'y': 44.6, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 60.2, 'z': 54.2}",5523885,82,,4878,"{'start': {'x': 44.6, 'y': 26.8}, 'end': {'x': 39.8, 'y': 0}, 'goal': {'x': 39.8, 'y': 45.8}}",9,522,2178,shot,
"{'name': 'Marko Veličković', 'firstName': '', 'lastName': '', 'slug': 'marko-velickovic', 'shortName': 'M. Veličković', 'position': 'M', 'jerseyNumber': '24', 'userCount': 78, 'gender': 'M', 'id': 1121635, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو فيليتشكوفيتش'}, 'shortNameTranslation': {'ar': 'م. فيليتشكوفيتش'}}}",False,miss,assisted,"{'x': 15, 'y': 41.5, 'z': 0}",right-foot,high,"{'x': 0, 'y': 52.6, 'z': 62.5}",5523867,79,,4706,"{'start': {'x': 41.5, 'y': 15}, 'end': {'x': 47.4, 'y': 0}, 'goal': {'x': 47.4, 'y': 37.5}}",12,694,2006,shot,
"{'name': 'Marko Veličković', 'firstName': '', 'lastName': '', 'slug': 'marko-velickovic', 'shortName': 'M. Veličković', 'position': 'M', 'jerseyNumber': '24', 'userCount': 78, 'gender': 'M', 'id': 1121635, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو فيليتشكوفيتش'}, 'shortNameTranslation': {'ar': 'م. فيليتشكوفيتش'}}}",False,block,assisted,"{'x': 10.2, 'y': 70.5, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.8, 'z': 19}",5523855,77,,4560,"{'start': {'x': 70.5, 'y': 10.2}, 'block': {'x': 64.4, 'y': 6.8}, 'end': {'x': 52.2, 'y': 0}, 'goal': {'x': 52.2, 'y': 81}}",14,840,1860,shot,"{'x': 6.8, 'y': 64.4, 'z': 0}"
"{'name': 'Lazar Ranđelović', 'slug': 'lazar-randelovic', 'shortName': 'L. Ranđelović', 'position': 'M', 'jerseyNumber': '77', 'userCount': 316, 'gender': 'M', 'id': 938000, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار راندجيلوفيتش', 'bn': 'লাজার রানডেলোভিচ', 'hi': 'लाज़र रांडेलोविच'}, 'shortNameTranslation': {'ar': 'ل. راندجيلوفيتش', 'bn': 'এল. রানডেলোভিচ', 'hi': 'एल. रांडेलोविच'}}}",False,miss,assisted,"{'x': 8.2, 'y': 59.4, 'z': 0}",head,close-right,"{'x': 0, 'y': 42.4, 'z': 31.9}",5523790,69,,4097,"{'start': {'x': 59.4, 'y': 8.2}, 'end': {'x': 57.6, 'y': 0}, 'goal': {'x': 57.6, 'y': 68.1}}",22,1303,1397,shot,
"{'name': 'Nemanja Milojević', 'firstName': '', 'lastName': '', 'slug': 'nemanja-milojevic', 'shortName': 'N. Milojević', 'position': 'M', 'jerseyNumber': '38', 'userCount': 65, 'gender': 'M', 'id': 837894, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا ميلوجيفيتش'}, 'shortNameTranslation': {'ar': 'ن. ميلوجيفيتش'}}}",True,block,throw-in-set-piece,"{'x': 18.7, 'y': 59.5, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.7, 'z': 19}",5523752,62,,3696,"{'start': {'x': 59.5, 'y': 18.7}, 'block': {'x': 58.1, 'y': 16.2}, 'end': {'x': 49.3, 'y': 0}, 'goal': {'x': 49.3, 'y': 81}}",29,1704,996,shot,"{'x': 16.2, 'y': 58.1, 'z': 0}"
"{'name': 'Milutin Vidosavljević', 'slug': 'milutin-vidosavljevic', 'shortName': 'M. Vidosavljević', 'position': 'M', 'jerseyNumber': '55', 'userCount': 182, 'gender': 'M', 'id': 858238, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوتين فيدوسافليفيتش', 'bn': 'মিলুটিন ভিদোসাভলজেভিচ', 'hi': 'मिलुटिन विडोसावलेजेविक'}, 'shortNameTranslation': {'ar': 'م. فيدوسافليفيتش', 'bn': 'এম. ভিদোসাভলজেভিচ', 'hi': 'एम. विडोसावलेजेविक'}}}",False,miss,assisted,"{'x': 24.1, 'y': 57.5, 'z': 0}",left-foot,left,"{'x': 0, 'y': 61, 'z': 36.1}",5523697,61,,3600,"{'start': {'x': 57.5, 'y': 24.1}, 'end': {'x': 39, 'y': 0}, 'goal': {'x': 39, 'y': 63.9}}",30,1800,900,shot,
"{'name': 'Aleksa Vukanović', 'slug': 'aleksa-vukanovic', 'shortName': 'A. Vukanović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 157, 'gender': 'M', 'id': 842317, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسا فوكانوفيتش', 'bn': 'আলেক্সা ভুকানোভিচ', 'hi': 'अलेक्सा वुकानोविक'}, 'shortNameTranslation': {'ar': 'أ. فوكانوفيتش', 'bn': 'এ. ভুকানোভিচ', 'hi': 'ए. वुकानोविक'}}}",False,miss,assisted,"{'x': 5.2, 'y': 42.3, 'z': 0}",head,left,"{'x': 0, 'y': 61, 'z': 26.4}",5523696,60,,3543,"{'start': {'x': 42.3, 'y': 5.2}, 'end': {'x': 39, 'y': 0}, 'goal': {'x': 39, 'y': 73.6}}",31,1857,843,shot,
"{'name': 'Njegoš Petrović', 'firstName': '', 'lastName': '', 'slug': 'njegos-petrovic', 'shortName': 'N. Petrović', 'position': 'M', 'jerseyNumber': '18', 'userCount': 331, 'gender': 'M', 'id': 844179, 'fieldTranslations': {'nameTranslation': {'ar': 'نييغوس بيتروفيتش', 'bn': 'এনজেগোস পেট্রোভিচ', 'hi': 'नेजेगोस पेत्रोविच'}, 'shortNameTranslation': {'ar': 'ن. بيتروفيتش', 'bn': 'এন. পেট্রোভিচ', 'hi': 'एन. पेत्रोविच'}}}",False,miss,corner,"{'x': 23.6, 'y': 37.6, 'z': 0}",right-foot,right,"{'x': 0, 'y': 40, 'z': 29.2}",5523644,53,,3169,"{'start': {'x': 37.6, 'y': 23.6}, 'end': {'x': 60, 'y': 0}, 'goal': {'x': 60, 'y': 70.8}}",38,2231,469,shot,
"{'name': 'Uroš Sremčević', 'slug': 'uros-sremcevic', 'shortName': 'U. Sremčević', 'position': 'F', 'jerseyNumber': '17', 'userCount': 1585, 'gender': 'M', 'id': 1166063, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش سريمشيفيتش'}, 'shortNameTranslation': {'ar': 'أ. سريمشيفيتش'}}}",True,post,corner,"{'x': 5.5, 'y': 47.2, 'z': 0}",left-foot,high,"{'x': 0, 'y': 52.9, 'z': 39.2}",5523624,52,,3088,"{'start': {'x': 47.2, 'y': 5.5}, 'end': {'x': 47.1, 'y': 0}, 'goal': {'x': 47.1, 'y': 60.8}}",39,2312,388,shot,
