player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Bibars\xa0Natcho', 'firstName': '', 'lastName': '', 'slug': 'bibars-natcho', 'shortName': 'Bibars\xa0Natcho', 'position': 'M', 'jerseyNumber': '10', 'userCount': 1028, 'gender': 'M', 'id': 19191, 'fieldTranslations': {'nameTranslation': {'ar': 'بيبراس ناتخو', 'bn': 'বিবরস নাচো', 'hi': 'बिबर्स नैचो'}, 'shortNameTranslation': {'ar': 'ب. ناتخو', 'bn': 'নাচো বিবার্স', 'hi': 'बिबर्स नैचो'}}}",True,goal,penalty,penalty,"{'x': 11.5, 'y': 50, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 47.2, 'z': 20.3}",5523005,90,5396,"{'start': {'x': 50, 'y': 11.5}, 'end': {'x': 52.8, 'y': 0}, 'goal': {'x': 52.8, 'y': 79.7}}",1,4,2696,shot,
"{'name': 'Nemanja Trifunović', 'firstName': 'Nemanja Trifunovic', 'slug': 'nemanja-trifunovic', 'shortName': 'N. Trifunović', 'position': 'M', 'jerseyNumber': '32', 'userCount': 515, 'gender': 'M', 'id': 1166188, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانيا تريفتش'}, 'shortNameTranslation': {'ar': 'ن. تريفتش'}}}",True,block,,assisted,"{'x': 18.1, 'y': 53.6, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.8, 'z': 19}",5522998,89,5320,"{'start': {'x': 53.6, 'y': 18.1}, 'block': {'x': 52.5, 'y': 12.4}, 'end': {'x': 50.2, 'y': 0}, 'goal': {'x': 50.2, 'y': 81}}",2,80,2620,shot,"{'x': 12.4, 'y': 52.5, 'z': 0}"
"{'name': 'Douglas Owusu', 'firstName': 'Owusu', 'lastName': 'Douglas', 'slug': 'owusu-douglas', 'shortName': 'O. Douglas', 'position': 'M', 'jerseyNumber': '35', 'userCount': 634, 'gender': 'M', 'id': 1916326, 'fieldTranslations': {'nameTranslation': {'ar': 'أووسو دوغلاس'}, 'shortNameTranslation': {'ar': 'أ. دوغلاس'}}}",False,miss,,corner,"{'x': 25.6, 'y': 38.5, 'z': 0}",left-foot,high,"{'x': 0, 'y': 55.8, 'z': 83.3}",5522939,85,5066,"{'start': {'x': 38.5, 'y': 25.6}, 'end': {'x': 44.2, 'y': 0}, 'goal': {'x': 44.2, 'y': 16.7}}",6,334,2366,shot,
"{'name': 'Mlađan Stevanović', 'slug': 'mladjan-stevanovic', 'shortName': 'M. Stevanović', 'position': 'M', 'jerseyNumber': '24', 'userCount': 7, 'gender': 'M', 'id': 938002, 'fieldTranslations': {'nameTranslation': {'ar': 'ملادجان ستيفانوفيتش'}, 'shortNameTranslation': {'ar': 'م. ستيفانوفيتش'}}}",False,block,,assisted,"{'x': 28.1, 'y': 58.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.1, 'z': 19}",5522834,76,4501,"{'start': {'x': 58.7, 'y': 28.1}, 'block': {'x': 55.1, 'y': 21.5}, 'end': {'x': 49.9, 'y': 0}, 'goal': {'x': 49.9, 'y': 81}}",15,899,1801,shot,"{'x': 21.5, 'y': 55.1, 'z': 0}"
"{'name': 'Andrej Kostić', 'firstName': 'Andrej', 'lastName': 'Kostić', 'slug': 'andrej-kostic', 'shortName': 'A. Kostić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 1085, 'gender': 'M', 'id': 1819171, 'fieldTranslations': {'nameTranslation': {'ar': 'أندري كوستيتش'}, 'shortNameTranslation': {'ar': 'أ. كوستيتش'}}}",True,block,,assisted,"{'x': 10.2, 'y': 64, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.1, 'z': 19}",5522805,73,4370,"{'start': {'x': 64, 'y': 10.2}, 'block': {'x': 62.3, 'y': 9}, 'end': {'x': 48.9, 'y': 0}, 'goal': {'x': 48.9, 'y': 81}}",18,1030,1670,shot,"{'x': 9, 'y': 62.3, 'z': 0}"
"{'name': 'Andrej Kostić', 'firstName': 'Andrej', 'lastName': 'Kostić', 'slug': 'andrej-kostic', 'shortName': 'A. Kostić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 1085, 'gender': 'M', 'id': 1819171, 'fieldTranslations': {'nameTranslation': {'ar': 'أندري كوستيتش'}, 'shortNameTranslation': {'ar': 'أ. كوستيتش'}}}",True,goal,regular,assisted,"{'x': 8, 'y': 47, 'z': 0}",head,high-right,"{'x': 0, 'y': 45.9, 'z': 22.2}",5522778,71,4254,"{'start': {'x': 47, 'y': 8}, 'end': {'x': 54.1, 'y': 0}, 'goal': {'x': 54.1, 'y': 77.8}}",20,1146,1554,shot,
"{'name': 'Andrej Kostić', 'firstName': 'Andrej', 'lastName': 'Kostić', 'slug': 'andrej-kostic', 'shortName': 'A. Kostić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 1085, 'gender': 'M', 'id': 1819171, 'fieldTranslations': {'nameTranslation': {'ar': 'أندري كوستيتش'}, 'shortNameTranslation': {'ar': 'أ. كوستيتش'}}}",True,save,,assisted,"{'x': 8.6, 'y': 49.1, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.7, 'z': 1.3}",5522767,69,4108,"{'start': {'x': 49.1, 'y': 8.6}, 'block': {'x': 51.1, 'y': 1}, 'end': {'x': 51.3, 'y': 0}, 'goal': {'x': 51.3, 'y': 98.7}}",22,1292,1408,shot,"{'x': 1, 'y': 51.1, 'z': 0}"
"{'name': 'Vukašin Bogdanović', 'firstName': '', 'lastName': '', 'slug': 'vukasin-bogdanovic', 'shortName': 'V. Bogdanović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 100, 'gender': 'M', 'id': 1031603, 'fieldTranslations': {'nameTranslation': {'ar': 'فوكاشين بوغدانوفيتش'}, 'shortNameTranslation': {'ar': 'ف. بوغدانوفيتش'}}}",False,save,,fast-break,"{'x': 6.6, 'y': 52.1, 'z': 0}",head,high-right,"{'x': 0, 'y': 46, 'z': 32.3}",5522744,67,3970,"{'start': {'x': 52.1, 'y': 6.6}, 'block': {'x': 50.5, 'y': 1.9}, 'end': {'x': 54, 'y': 0}, 'goal': {'x': 54, 'y': 67.7}}",24,1430,1270,shot,"{'x': 1.9, 'y': 50.5, 'z': 0}"
"{'name': 'Demba Seck', 'slug': 'demba-seck', 'shortName': 'D. Seck', 'position': 'M', 'jerseyNumber': '19', 'userCount': 1135, 'gender': 'M', 'id': 1012248, 'fieldTranslations': {'nameTranslation': {'ar': 'ديمبا سيك', 'bn': 'ডেম্বা সেক', 'hi': 'डेम्बा सेक'}, 'shortNameTranslation': {'ar': 'د. سيك', 'bn': 'ডি. সেক', 'hi': 'डी. सेक'}}}",True,save,,corner,"{'x': 18.5, 'y': 45.2, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 52.4, 'z': 22.2}",5522726,65,3860,"{'start': {'x': 45.2, 'y': 18.5}, 'block': {'x': 50.2, 'y': 2.8}, 'end': {'x': 47.6, 'y': 0}, 'goal': {'x': 47.6, 'y': 77.8}}",26,1540,1160,shot,"{'x': 2.8, 'y': 50.2, 'z': 0}"
"{'name': 'Demba Seck', 'slug': 'demba-seck', 'shortName': 'D. Seck', 'position': 'M', 'jerseyNumber': '19', 'userCount': 1135, 'gender': 'M', 'id': 1012248, 'fieldTranslations': {'nameTranslation': {'ar': 'ديمبا سيك', 'bn': 'ডেম্বা সেক', 'hi': 'डेम्बा सेक'}, 'shortNameTranslation': {'ar': 'د. سيك', 'bn': 'ডি. সেক', 'hi': 'डी. सेक'}}}",True,save,,fast-break,"{'x': 11.5, 'y': 67.3, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 48.1, 'z': 7}",5522725,64,3813,"{'start': {'x': 67.3, 'y': 11.5}, 'block': {'x': 64.1, 'y': 9.6}, 'end': {'x': 51.9, 'y': 0}, 'goal': {'x': 51.9, 'y': 93}}",27,1587,1113,shot,"{'x': 9.6, 'y': 64.1, 'z': 0}"
