match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelWon,interceptionWon,unsuccessfulTouch,wasFouled,aerialLost,aerialWon,duelLost,challengeLost,totalContest,wonContest,totalTackle,fouls,outfielderBlock,accurateCross,wonTackle,keyPass,shotOffTarget,shotValueNormalized,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,dispossessed,bigChanceCreated,goals,errorLeadToAShot,penaltyFaced,clearanceOffLine,totalOffside,penaltyConceded
14015443,home,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,32.0,28.0,7.0,3.0,0.0,27.0,29.0,1.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,90.0,40.0,7.3,4.0,0.2909,"{'original': 7.3, 'alternative': 7.1}",0,-0.01,-0.03,0.2,0.3,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,87.5,42.857142857142854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015443,home,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,42.0,34.0,3.0,,0.0,19.0,20.0,15.0,22.0,,5.0,,,,,90.0,60.0,6.8,13.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.06,0.06,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,80.95238095238095,,,,,3.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
14015443,home,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,False,77.0,70.0,9.0,4.0,0.0,48.0,50.0,22.0,27.0,1.0,6.0,,,,,90.0,85.0,7.2,7.0,,"{'original': 7.2, 'alternative': 7}",0,0.3,0.1,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,3,4,90.9090909090909,44.44444444444444,,100.0,,,6.0,,,1.0,2.0,3.0,6.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,
14015443,home,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,61.0,56.0,6.0,5.0,0.0,35.0,38.0,21.0,23.0,2.0,1.0,,,,,90.0,67.0,7.3,5.0,,"{'original': 7.3, 'alternative': 7.3}",0,0.25,0.13,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,3,0,0,0,91.80327868852459,83.33333333333334,,,,,2.0,2.0,,,1.0,2.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
14015443,home,5152,FK Partizan,555538,Mario Jurčevič,mario-jurcevic,D,4,False,36.0,30.0,1.0,,1.0,12.0,15.0,18.0,21.0,,2.0,,,,,90.0,57.0,7.1,11.0,,"{'original': 7.1, 'alternative': 7.5}",0,0.39,-0.01,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,1,3,83.33333333333334,,50.0,,,6.0,3.0,,1.0,,,2.0,3.0,,,,1.0,4.0,,3.0,1.0,4.0,,,,,,,,,,,,,
14015443,home,1892,FK Partizan,286121,Yanis Karabelyov,yanis-karabelyov,M,28,False,81.0,69.0,4.0,2.0,0.0,27.0,31.0,42.0,50.0,3.0,4.0,,,,,90.0,97.0,7.4,14.0,,"{'original': 7.4, 'alternative': 7.5}",1,0.31,0.26,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,9,6,2,4,85.18518518518519,50.0,,,,,9.0,4.0,1.0,2.0,2.0,7.0,6.0,,1.0,,1.0,3.0,,,,,1.0,-0.05,,,,,,,,,,,
14015443,home,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,21.0,17.0,,,0.0,5.0,5.0,12.0,16.0,,2.0,,,,,68.0,29.0,6.5,7.0,,"{'original': 6.5, 'alternative': 7}",3,0.0,0.34,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,80.95238095238095,,100.0,33.33333333333333,,1.0,1.0,,1.0,,,,3.0,,3.0,1.0,,1.0,,1.0,,3.0,,-0.45,1.0,2.0,1.0,,,,,,,,
14015443,home,5152,FK Partizan,1427161,Ognjen Ugrešić,ognjen-ugresic,M,36,False,19.0,16.0,,,0.0,6.0,6.0,10.0,13.0,,2.0,,,,,61.0,34.0,6.8,10.0,,"{'original': 6.8, 'alternative': 7.3}",3,-0.02,0.32,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,84.21052631578947,,,100.0,,2.0,4.0,,4.0,2.0,1.0,,3.0,1.0,1.0,1.0,1.0,,,,,1.0,,-0.52,,3.0,,1.0,,,,,,,
14015443,home,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,53.0,41.0,9.0,3.0,0.0,16.0,18.0,25.0,35.0,,6.0,,,,,90.0,69.0,7.3,20.0,,"{'original': 7.3, 'alternative': 8.1}",1,0.52,0.32,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,77.35849056603774,33.33333333333333,16.666666666666664,100.0,,6.0,3.0,,2.0,1.0,,,2.0,,2.0,2.0,,2.0,,1.0,,5.0,,-0.52,,1.0,,,2.0,,,,,,
14015443,home,5152,FK Partizan,1166188,Nemanja Trifunović,nemanja-trifunovic,M,32,False,23.0,19.0,,,0.0,7.0,7.0,12.0,16.0,2.0,6.0,,,,,90.0,41.0,7.2,14.0,,"{'original': 7.2, 'alternative': 6.9}",2,0.45,0.32,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,82.6086956521739,,,33.33333333333333,,2.0,3.0,,5.0,1.0,1.0,1.0,4.0,,3.0,1.0,,,,,,1.0,,-0.39,,,2.0,1.0,,,,,,,
