match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,challengeLost,totalContest,bigChanceMissed,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,fouls,totalOffside,keyPass,shotValueNormalized,shotOffTarget,accurateCross,dispossessed,wonContest,bigChanceCreated,interceptionWon,errorLeadToAShot,goals,penaltyWon,savedShotsFromInsideTheBox,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded,hitWoodwork
14015444,home,43981,FK Radnički 1923,1152919,Luka Lijeskić,luka-lijeskic,G,81,False,31.0,19.0,15.0,3.0,0.0,18.0,23.0,1.0,8.0,1.0,10.0,1.0,1.0,3.0,90.0,42.0,7.4,12.0,0.0545,"{'original': 7.4, 'alternative': 7}",0,0.01,0.0,0.3,0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,61.29032258064516,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015444,home,43981,FK Radnički 1923,1159434,Bojan Adžić,bojan-adzic,D,23,False,16.0,13.0,1.0,,0.0,7.0,8.0,6.0,8.0,3.0,7.0,,,,64.0,37.0,6.7,12.0,,"{'original': 6.7, 'alternative': 6.9}",2,-0.05,-0.03,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,81.25,,,,,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,1.0,0.08,,,,,,,,,,,,,,,
14015444,home,43981,FK Radnički 1923,79383,Slobodan Simović,slobodan-simovic,D,14,False,35.0,26.0,10.0,3.0,0.0,15.0,15.0,11.0,20.0,5.0,3.0,3.0,,,90.0,46.0,7.4,9.0,,"{'original': 7.4, 'alternative': 7}",2,0.16,0.14,0.6,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,3,3,74.28571428571429,30.0,,,,,1.0,2.0,4.0,,,,,1.0,4.0,,,,,3.0,,1.0,-0.04,1.0,,,,,,,,,,,,,,
14015444,home,43981,FK Radnički 1923,80236,Milan Mitrović,milan-mitrovic,D,15,False,50.0,41.0,11.0,6.0,0.0,33.0,36.0,8.0,14.0,10.0,5.0,1.0,,,90.0,60.0,7.6,9.0,,"{'original': 7.6, 'alternative': 7.3}",0,0.17,0.07,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,8,5,3,2,82.0,54.54545454545454,,,,,1.0,7.0,3.0,,,,,,4.0,,2.0,2.0,,2.0,,,,,,,,,,,,,,,,,,
14015444,home,2318,FK Radnički 1923,978293,Tomislav Dadić,tomislav-dadic,D,50,False,37.0,26.0,7.0,1.0,0.0,14.0,14.0,12.0,23.0,6.0,8.0,1.0,,,90.0,61.0,7.5,15.0,,"{'original': 7.5, 'alternative': 7.3}",1,0.43,0.14,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,6,3,70.27027027027027,14.285714285714285,50.0,66.66666666666666,,2.0,1.0,,4.0,1.0,3.0,,1.0,,2.0,,3.0,1.0,,,,2.0,0.0,,1.0,1.0,2.0,,,,,,,,,,,
14015444,home,43981,FK Radnički 1923,879829,Miloš Ristić,milos-ristic,M,27,False,36.0,30.0,3.0,2.0,0.0,11.0,14.0,19.0,22.0,4.0,6.0,,,,80.0,53.0,6.9,11.0,,"{'original': 6.9, 'alternative': 7.1}",0,0.4,0.2,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,83.33333333333334,66.66666666666666,100.0,100.0,,3.0,1.0,1.0,3.0,1.0,2.0,,,,1.0,1.0,1.0,,4.0,,,2.0,,,3.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,
14015444,home,43981,FK Radnički 1923,1158017,Alfa Baldé,alfa-balde,M,17,False,23.0,18.0,1.0,1.0,0.0,3.0,3.0,15.0,20.0,1.0,1.0,1.0,,,76.0,40.0,6.8,14.0,,"{'original': 6.8, 'alternative': 7.2}",2,0.35,0.09,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,78.26086956521739,100.0,28.57142857142857,,,7.0,1.0,,3.0,,2.0,,2.0,,,,,,1.0,,,3.0,0.0,,2.0,,,,1.0,,,,,,,,,
14015444,home,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,False,15.0,13.0,,,0.0,4.0,4.0,9.0,11.0,6.0,3.0,3.0,,,76.0,34.0,6.6,8.0,,"{'original': 6.6, 'alternative': 6.9}",2,-0.21,0.26,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,6,6,86.66666666666667,,,33.33333333333333,,,1.0,,7.0,,6.0,,,1.0,,,1.0,1.0,1.0,1.0,,,-0.52,1.0,,1.0,2.0,,,,,,,,,,,
14015444,home,43981,FK Radnički 1923,1000815,Louay Ben Hassine,louay-ben-hassine,M,99,False,26.0,21.0,2.0,1.0,0.0,5.0,7.0,16.0,19.0,2.0,3.0,2.0,,,90.0,33.0,6.6,7.0,,"{'original': 6.6, 'alternative': 6.7}",1,0.25,-0.17,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,80.76923076923077,50.0,,,,,1.0,,6.0,1.0,2.0,,,1.0,1.0,,,,,2.0,,1.0,-0.1,,,,,,,,,,,,,,,
14015444,home,295152,FK Radnički 1923,1005356,Kilian Bevis,kilian-bevis,M,10,False,22.0,16.0,1.0,1.0,0.0,3.0,3.0,13.0,19.0,5.0,2.0,1.0,,,89.0,48.0,7.6,15.0,,"{'original': 7.6, 'alternative': 7.6}",6,-0.03,0.49,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,4,5,72.72727272727273,100.0,,,,2.0,,1.0,5.0,,2.0,,2.0,3.0,,1.0,3.0,2.0,1.0,,,,0.3,1.0,,3.0,,,,,1.0,,,,,,,
