match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,keyPass,bigChanceCreated,shotOffTarget,outfielderBlock,shotValueNormalized,totalContest,wonContest,fouls,onTargetScoringAttempt,blockedScoringAttempt,goals,totalOffside,savedShotsFromInsideTheBox
14015447,home,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,22.0,8.0,18.0,4.0,0.0,6.0,7.0,2.0,15.0,5.0,1.0,1.0,90.0,27.0,6.5,14.0,0.0407,"{'original': 6.5, 'alternative': 6.7}",0,0.01,-0.06,0.18,0.05,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,36.36363636363637,22.22222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015447,home,5144,FK Javor Ivanjica,981518,Marko Bjeković,marko-bjekovic,D,13,False,33.0,28.0,3.0,1.0,0.0,16.0,16.0,12.0,17.0,4.0,,,90.0,66.0,7.6,16.0,,"{'original': 7.6, 'alternative': 7.9}",0,0.17,0.13,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,7,9,5,4,84.84848484848484,33.33333333333333,60.0,,,5.0,3.0,2.0,5.0,6.0,10.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,,,,,,,,,,,,
14015447,home,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,47.0,38.0,10.0,3.0,1.0,33.0,36.0,5.0,11.0,2.0,,,90.0,64.0,8.0,9.0,,"{'original': 8, 'alternative': 8}",1,0.6,0.08,0.5,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,2,0,80.85106382978722,30.0,100.0,,,1.0,1.0,1.0,4.0,1.0,6.0,,,8.0,,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,-0.06,,,,,,,,
14015447,home,5144,FK Javor Ivanjica,1468253,Đorđe Skoko,dorde-skoko,D,26,False,43.0,37.0,8.0,6.0,0.0,26.0,27.0,11.0,16.0,1.0,,,90.0,56.0,7.8,7.0,,"{'original': 7.8, 'alternative': 7.7}",0,0.15,0.07,0.51,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,3,1,86.04651162790698,75.0,,100.0,,1.0,,,5.0,1.0,8.0,,,4.0,2.0,2.0,2.0,,,,,,1.0,,1.0,1.0,1.0,,,,,
14015447,home,5144,FK Javor Ivanjica,943573,Stefan Vilotic,stefan-vilotic,D,3,False,24.0,14.0,5.0,1.0,0.0,5.0,6.0,9.0,18.0,1.0,,,73.0,51.0,7.1,20.0,,"{'original': 7.1, 'alternative': 7.1}",1,0.03,-0.12,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,2,2,58.333333333333336,20.0,,,,1.0,,1.0,6.0,3.0,8.0,,,3.0,4.0,,,1.0,2.0,,,1.0,,-0.17,,,2.0,,,,,
14015447,home,5144,FK Javor Ivanjica,986764,Boubacari Doucoure,boubacari-doucoure,M,19,False,53.0,43.0,8.0,5.0,1.0,18.0,20.0,25.0,33.0,9.0,,,90.0,69.0,7.8,14.0,,"{'original': 7.8, 'alternative': 7.5}",0,0.39,0.21,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,8,4,1,3,81.13207547169812,62.5,,,,1.0,,3.0,5.0,6.0,6.0,3.0,,3.0,1.0,1.0,,2.0,,2.0,,,2.0,,,,,,,,,
14015447,home,5144,FK Javor Ivanjica,1435246,Mamane Amadou Sabo,mamane-amadou-sabo,M,6,False,40.0,36.0,7.0,4.0,0.0,15.0,15.0,21.0,25.0,9.0,,,90.0,63.0,7.4,13.0,,"{'original': 7.4, 'alternative': 7.2}",1,0.27,0.25,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,4,4,90.0,57.14285714285714,,,,5.0,,,,4.0,4.0,,1.0,2.0,4.0,4.0,1.0,2.0,,,,1.0,,-0.11,1.0,,2.0,,,,,
14015447,home,5144,FK Javor Ivanjica,1147526,Lazar Mićić,lazar-micic,M,28,False,33.0,30.0,2.0,2.0,0.0,8.0,8.0,22.0,25.0,6.0,,,89.0,50.0,7.7,11.0,,"{'original': 7.7, 'alternative': 7.6}",3,0.02,0.46,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,2,8,90.9090909090909,100.0,,50.0,,1.0,,1.0,,9.0,2.0,1.0,4.0,,2.0,,,1.0,,1.0,,,,0.52,4.0,2.0,1.0,2.0,1.0,1.0,1.0,
14015447,home,5144,FK Javor Ivanjica,98458,Dušan Pantelić,dusan-pantelic,M,10,False,16.0,14.0,1.0,1.0,0.0,5.0,5.0,9.0,11.0,3.0,,,56.0,28.0,7.2,7.0,,"{'original': 7.2, 'alternative': 7}",1,0.31,0.08,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,87.5,100.0,100.0,,,1.0,1.0,,2.0,1.0,5.0,,,,,1.0,,5.0,3.0,3.0,,1.0,,-0.21,,,1.0,,,,,
14015447,home,5144,FK Javor Ivanjica,1472922,Kayode Saliman,kayode-saliman,M,14,False,19.0,14.0,1.0,,0.0,4.0,5.0,10.0,14.0,4.0,,,73.0,37.0,6.4,14.0,,"{'original': 6.4, 'alternative': 6.8}",1,-0.18,0.28,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,73.68421052631578,,,100.0,,3.0,,2.0,,6.0,4.0,,2.0,,1.0,2.0,2.0,3.0,1.0,,,,,-0.14,1.0,1.0,2.0,1.0,,,,
