match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,duelWon,challengeLost,totalContest,totalClearance,clearanceOffLine,outfielderBlock,interceptionWon,unsuccessfulTouch,wasFouled,fouls,aerialWon,blockedScoringAttempt,errorLeadToAShot,penaltyConceded,shotValueNormalized,wonContest,totalTackle,wonTackle,totalCross,accurateCross,dispossessed,shotOffTarget,totalOffside,keyPass,bigChanceCreated,onTargetScoringAttempt,hitWoodwork,bigChanceMissed,goals
14015453,home,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,False,37.0,27.0,17.0,7.0,0.0,24.0,25.0,3.0,12.0,9.0,1.0,2.0,1.0,3.0,90.0,47.0,6.5,10.0,0.1183,"{'original': 6.5, 'alternative': 6.7}",0,0.01,-0.01,-0.19,0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,72.97297297297297,41.17647058823529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015453,home,5153,OFK Beograd,1104742,Uroš Lazić,uros-lazic,D,21,False,14.0,11.0,,,0.0,7.0,9.0,4.0,5.0,1.0,,,,,45.0,28.0,7.3,8.0,,"{'original': 7.3, 'alternative': 7.2}",0,-0.09,-0.02,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,1,4,78.57142857142857,,,,,1.0,5.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
14015453,home,5153,OFK Beograd,1981967,Andrej Pavlovic,andrej-pavlovic,D,4,False,57.0,45.0,8.0,1.0,0.0,29.0,32.0,16.0,25.0,,,,,,90.0,67.0,6.1,15.0,,"{'original': 6.1, 'alternative': 5.8}",1,0.17,0.2,-0.51,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,78.94736842105263,12.5,,,,1.0,2.0,2.0,,,4.0,,,,3.0,1.0,2.0,1.0,1.0,1.0,1.0,-0.04,,,,,,,,,,,,,,
14015453,home,334956,OFK Beograd,1147556,Aleksandar Đermanović,aleksandar-dermanovic,D,15,False,57.0,45.0,9.0,3.0,0.0,32.0,35.0,13.0,22.0,2.0,,,,,90.0,70.0,6.5,12.0,,"{'original': 6.5, 'alternative': 6.5}",1,0.18,0.26,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,78.94736842105263,33.33333333333333,,100.0,,1.0,2.0,4.0,,1.0,9.0,,,,,1.0,2.0,2.0,1.0,,,-0.07,1.0,,,,,,,,,,,,,
14015453,home,5153,OFK Beograd,1104741,Stefan Despotovski,stefan-despotovski,D,2,False,11.0,10.0,2.0,2.0,0.0,2.0,2.0,8.0,9.0,1.0,,,,,27.0,20.0,6.7,4.0,,"{'original': 6.7, 'alternative': 6.6}",0,0.01,-0.11,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,90.9090909090909,100.0,,100.0,,,1.0,1.0,,1.0,1.0,,,,3.0,,1.0,,,,,,1.0,,,,,,,,,,,,,
14015453,home,5153,OFK Beograd,1000367,Miljan Momčilović,miljan-momcilovic,M,14,False,25.0,17.0,5.0,1.0,0.0,11.0,13.0,6.0,12.0,3.0,,,,,90.0,37.0,6.5,8.0,,"{'original': 6.5, 'alternative': 6.6}",0,-0.06,0.03,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,4,2,68.0,20.0,,,,4.0,6.0,5.0,,,2.0,,1.0,2.0,,3.0,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,
14015453,home,5153,OFK Beograd,1406091,Aleksa Cvetković,aleksa-cvetkovic,M,8,False,24.0,18.0,2.0,2.0,0.0,10.0,11.0,8.0,13.0,3.0,,,,,90.0,33.0,6.2,10.0,,"{'original': 6.2, 'alternative': 6.5}",0,-0.23,0.01,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,75.0,100.0,,100.0,,2.0,3.0,3.0,1.0,1.0,,,,1.0,3.0,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,
14015453,home,5153,OFK Beograd,1087489,Uroš Kabić,uros-kabic,M,17,False,19.0,15.0,,,0.0,4.0,4.0,11.0,15.0,,,,,,56.0,33.0,6.5,11.0,,"{'original': 6.5, 'alternative': 6.6}",2,0.0,0.25,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,1,3,78.94736842105263,,50.0,,,,3.0,3.0,,1.0,1.0,,,,2.0,1.0,,2.0,1.0,,,-0.16,,,,4.0,2.0,2.0,1.0,1.0,3.0,,,,,
14015453,home,334956,OFK Beograd,1147565,Nikola Knežević,nikola-knezevic,M,7,False,22.0,17.0,1.0,,0.0,6.0,6.0,11.0,16.0,4.0,,,,,85.0,35.0,6.8,8.0,,"{'original': 6.8, 'alternative': 7.3}",1,0.55,0.25,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,77.27272727272727,,50.0,100.0,,,3.0,2.0,3.0,1.0,1.0,,1.0,1.0,1.0,,,,1.0,,,-0.39,1.0,1.0,1.0,4.0,2.0,,,,2.0,1.0,,,,
14015453,home,3036,OFK Beograd,1176881,Diogo Bezerra,diogo-bezerra,M,94,False,19.0,18.0,,,0.0,2.0,2.0,16.0,17.0,4.0,,,,,90.0,53.0,6.6,17.0,,"{'original': 6.6, 'alternative': 6.4}",3,0.54,0.28,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,2,10,94.73684210526315,,44.44444444444444,20.0,,1.0,11.0,2.0,1.0,5.0,,,,1.0,3.0,1.0,1.0,,2.0,,,-0.14,1.0,,,9.0,4.0,4.0,,,2.0,,1.0,,,
