match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,challengeLost,outfielderBlock,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,keyPass,shotOffTarget,unsuccessfulTouch,shotValueNormalized,totalCross,accurateCross,dispossessed,totalContest,wonContest,bigChanceCreated,onTargetScoringAttempt,bigChanceMissed,blockedScoringAttempt,goals,totalOffside,totalKeeperSweeper,accurateKeeperSweeper
14015466,home,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,23.0,9.0,18.0,4.0,0.0,5.0,7.0,4.0,16.0,1.0,1.0,1.0,11.0,1.0,1.0,2.0,1.0,90.0,31.0,6.8,14.0,0.0806,"{'original': 6.8, 'alternative': 7}",0,0.03,0.0,-0.06,0.09,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,39.130434782608695,22.22222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015466,home,5144,FK Javor Ivanjica,981518,Marko Bjeković,marko-bjekovic,D,13,False,21.0,17.0,1.0,,0.0,6.0,9.0,11.0,12.0,,4.0,,6.0,,,,,65.0,40.0,7.4,6.0,,"{'original': 7.4, 'alternative': 7.3}",0,0.25,0.29,0.44,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,80.95238095238095,,,,,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
14015466,home,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,40.0,33.0,10.0,3.0,1.0,23.0,24.0,10.0,16.0,4.0,8.0,8.0,3.0,,,,,90.0,57.0,7.5,8.0,,"{'original': 7.5, 'alternative': 7.4}",1,0.32,0.09,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,5,5,4,1,82.5,30.0,,,,1.0,2.0,,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,-0.19,,,,,,,,,,,,,
14015466,home,5144,FK Javor Ivanjica,1468253,Đorđe Skoko,dorde-skoko,D,26,False,25.0,18.0,7.0,3.0,0.0,14.0,19.0,4.0,6.0,1.0,4.0,14.0,3.0,,,,,90.0,46.0,6.9,7.0,,"{'original': 6.9, 'alternative': 6.9}",0,0.08,0.03,0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,72.0,42.857142857142854,,,,,2.0,,,1.0,3.0,1.0,,2.0,,,,,,,,,,,,,,,,,
14015466,home,5144,FK Javor Ivanjica,188127,Stefan Milošević,stefan-milosevic,D,11,False,14.0,12.0,,,0.0,5.0,7.0,7.0,7.0,,6.0,2.0,2.0,,,,,90.0,52.0,7.6,12.0,,"{'original': 7.6, 'alternative': 7.3}",0,0.54,0.14,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,6,2,85.71428571428571,,33.33333333333333,100.0,,1.0,3.0,1.0,2.0,,2.0,2.0,3.0,,2.0,,2.0,,6.0,2.0,1.0,1.0,1.0,1.0,,,,,,,
14015466,home,5144,FK Javor Ivanjica,986764,Boubacari Doucoure,boubacari-doucoure,M,19,False,35.0,25.0,6.0,3.0,0.0,13.0,16.0,12.0,19.0,,3.0,3.0,2.0,,,,,90.0,52.0,6.8,14.0,,"{'original': 6.8, 'alternative': 6.8}",1,0.11,0.21,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,3,5,71.42857142857143,50.0,,,,,5.0,2.0,1.0,,2.0,1.0,1.0,1.0,,,2.0,0.11,,,1.0,1.0,,,1.0,,,,,,
14015466,home,5144,FK Javor Ivanjica,1435246,Mamane Amadou Sabo,mamane-amadou-sabo,M,6,False,45.0,39.0,8.0,5.0,0.0,21.0,21.0,18.0,24.0,,6.0,2.0,7.0,,,,,90.0,66.0,7.8,12.0,,"{'original': 7.8, 'alternative': 8}",0,0.47,0.36,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,0,13,6,7,86.66666666666667,62.5,40.0,66.66666666666666,,,7.0,1.0,1.0,3.0,4.0,2.0,,3.0,4.0,,,,5.0,2.0,2.0,3.0,2.0,1.0,,,,,,,
14015466,home,5144,FK Javor Ivanjica,1147526,Lazar Mićić,lazar-micic,M,28,False,23.0,21.0,2.0,2.0,1.0,9.0,9.0,12.0,14.0,,2.0,1.0,4.0,,,,,89.0,43.0,7.5,10.0,,"{'original': 7.5, 'alternative': 7.2}",2,0.69,0.47,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,2,6,91.30434782608695,100.0,,,,1.0,7.0,2.0,,1.0,1.0,1.0,1.0,,1.0,,3.0,-0.33,1.0,,,4.0,,1.0,2.0,,,,,,
14015466,home,5144,FK Javor Ivanjica,1398997,Ognjen Krsmanović,ognjen-krsmanovic,M,22,False,22.0,12.0,,,0.0,2.0,3.0,10.0,19.0,3.0,6.0,1.0,2.0,,,,,66.0,36.0,6.2,15.0,,"{'original': 6.2, 'alternative': 6.7}",1,-0.15,0.26,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,7,8,3,5,54.54545454545454,,,50.0,,4.0,9.0,,,,1.0,,1.0,2.0,1.0,,2.0,-0.15,,,2.0,2.0,1.0,,1.0,1.0,,,,,
14015466,home,5144,FK Javor Ivanjica,1472922,Kayode Saliman,kayode-saliman,M,14,False,15.0,10.0,,,0.0,2.0,4.0,8.0,11.0,,3.0,2.0,4.0,,,,,65.0,30.0,6.6,9.0,,"{'original': 6.6, 'alternative': 6.9}",3,-0.02,0.12,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,66.66666666666666,,50.0,,,1.0,4.0,2.0,,,1.0,1.0,2.0,,,1.0,2.0,-0.49,2.0,1.0,1.0,,,,1.0,,1.0,,,,
