match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,ballRecovery,wasFouled,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,shotValueNormalized,duelLost,totalContest,outfielderBlock,aerialLost,challengeLost,dispossessed,bigChanceMissed,blockedScoringAttempt,fouls,wonContest,shotOffTarget,totalOffside,keyPass,aerialWon,bigChanceCreated,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,accurateCross,goals
14015471,home,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,False,31.0,21.0,14.0,5.0,0.0,20.0,24.0,1.0,7.0,1.0,12.0,1.0,6.0,10.0,90.0,50.0,8.0,11.0,0.6949,"{'original': 8, 'alternative': 8.8}",0,-0.04,0.0,-0.12,0.41,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,67.74193548387096,35.714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015471,home,5153,OFK Beograd,191640,Marko Gobeljić,marko-gobeljic,D,77,False,37.0,30.0,9.0,4.0,0.0,20.0,24.0,10.0,13.0,4.0,9.0,1.0,,,90.0,56.0,6.7,12.0,,"{'original': 6.7, 'alternative': 7}",1,0.05,0.13,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,4,0,81.08108108108108,44.44444444444444,,,,2.0,1.0,2.0,3.0,3.0,3.0,2.0,-0.05,,,,,,,,,,,,,,,,,,,,,
14015471,home,5153,OFK Beograd,1000367,Miljan Momčilović,miljan-momcilovic,D,14,False,33.0,27.0,6.0,2.0,0.0,21.0,23.0,6.0,10.0,2.0,2.0,,,,90.0,41.0,6.7,7.0,,"{'original': 6.7, 'alternative': 6.7}",0,0.0,-0.01,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,81.81818181818183,33.33333333333333,,,,,,1.0,,2.0,1.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
14015471,home,334956,OFK Beograd,1147556,Aleksandar Đermanović,aleksandar-dermanovic,D,15,False,40.0,34.0,5.0,2.0,0.0,24.0,25.0,10.0,15.0,1.0,1.0,,,,90.0,62.0,6.8,6.0,,"{'original': 6.8, 'alternative': 7}",0,0.06,0.03,0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,85.0,40.0,,,,,,16.0,2.0,1.0,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,
14015471,home,5153,OFK Beograd,1104741,Stefan Despotovski,stefan-despotovski,D,2,False,23.0,19.0,3.0,1.0,0.0,8.0,9.0,11.0,14.0,2.0,3.0,1.0,,,90.0,44.0,6.1,7.0,,"{'original': 6.1, 'alternative': 6.5}",2,-0.03,0.12,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,82.6086956521739,33.33333333333333,,,,1.0,1.0,5.0,,1.0,1.0,1.0,-0.52,5.0,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,
14015471,home,3036,OFK Beograd,1176881,Diogo Bezerra,diogo-bezerra,M,94,False,28.0,24.0,4.0,3.0,0.0,10.0,11.0,14.0,17.0,4.0,5.0,2.0,,,83.0,48.0,7.0,13.0,,"{'original': 7, 'alternative': 7.2}",1,0.22,0.18,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,4,1,85.71428571428571,75.0,,100.0,,6.0,,,1.0,1.0,1.0,3.0,-0.09,2.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,
14015471,home,5153,OFK Beograd,1406091,Aleksa Cvetković,aleksa-cvetkovic,M,8,False,17.0,11.0,2.0,,0.0,4.0,5.0,7.0,12.0,5.0,4.0,,,,90.0,30.0,6.5,8.0,,"{'original': 6.5, 'alternative': 6.8}",0,-0.09,0.1,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,4,5,64.70588235294117,,,100.0,,1.0,,,1.0,2.0,2.0,1.0,,6.0,2.0,1.0,1.0,3.0,,,,2.0,2.0,,,1.0,1.0,,,,,,,
14015471,home,5153,OFK Beograd,955061,Edmund Addo,edmund-addo,M,3,False,20.0,18.0,2.0,2.0,0.0,12.0,13.0,6.0,7.0,2.0,7.0,1.0,,,63.0,26.0,7.0,2.0,,"{'original': 7, 'alternative': 6.7}",0,0.2,0.09,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,90.0,100.0,,,,,,2.0,1.0,1.0,,,,2.0,,,,2.0,,,,,,,,1.0,,,,,,,,
14015471,home,5153,OFK Beograd,1068813,Egor Prutsev,egor-prutsev,M,11,False,3.0,3.0,,,0.0,2.0,2.0,1.0,1.0,3.0,1.0,,,,74.0,15.0,6.7,4.0,,"{'original': 6.7, 'alternative': 6.6}",1,0.29,0.05,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,3,6,100.0,,,33.33333333333333,,2.0,,,,2.0,1.0,,0.0,6.0,3.0,1.0,,2.0,,,1.0,2.0,1.0,,,1.0,,1.0,,,,,,
14015471,home,5149,OFK Beograd,1937553,Jay Enem,tyron-enem-jay-ifeanyi-junior,F,22,False,17.0,10.0,1.0,1.0,0.0,4.0,8.0,6.0,9.0,10.0,3.0,3.0,,,83.0,28.0,7.4,9.0,,"{'original': 7.4, 'alternative': 7.2}",1,-0.15,0.33,0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,5,2,58.82352941176471,100.0,,100.0,,1.0,,1.0,1.0,1.0,1.0,,-0.46,2.0,1.0,,,,1.0,,,1.0,1.0,1.0,,2.0,5.0,,,,,,,
14015471,home,5153,OFK Beograd,1153956,Jovan Šljivić,jovan-sljivic,F,20,False,5.0,4.0,,,0.0,2.0,3.0,2.0,2.0,4.0,,1.0,,,64.0,16.0,6.6,6.0,,"{'original': 6.6, 'alternative': 6.7}",1,0.04,0.0,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,80.0,,,,,2.0,1.0,2.0,,1.0,1.0,2.0,-0.04,2.0,1.0,,1.0,,,,,,,,,,2.0,,,,,,,
14015471,home,334956,OFK Beograd,1147565,Nikola Knežević,nikola-knezevic,M,7,True,18.0,13.0,2.0,2.0,0.0,5.0,5.0,8.0,13.0,1.0,1.0,,,,27.0,22.0,6.4,6.0,,"{'original': 6.4, 'alternative': 6.5}",1,0.01,0.16,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,72.22222222222221,100.0,,,,,,,,1.0,,,-0.23,2.0,,,1.0,,,,,1.0,,1.0,,,,,,,,,,
14015471,home,5153,OFK Beograd,1087489,Uroš Kabić,uros-kabic,F,17,True,9.0,8.0,1.0,,0.0,2.0,2.0,6.0,7.0,1.0,,,,,26.0,12.0,6.3,3.0,,"{'original': 6.3, 'alternative': 6.5}",0,-0.02,0.01,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,88.88888888888889,,,,,,,,,1.0,,,,4.0,1.0,,,1.0,,,,2.0,,,,1.0,,,,,,,,
14015471,home,5153,OFK Beograd,1183887,Henry Addo,addo-henry,M,43,True,9.0,9.0,,,0.0,1.0,1.0,8.0,8.0,2.0,2.0,,,,16.0,15.0,6.5,2.0,,"{'original': 6.5, 'alternative': 6.6}",1,0.04,0.17,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,100.0,,,50.0,,1.0,,,,1.0,,,-0.08,2.0,2.0,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,
14015471,home,324661,OFK Beograd,77512,Stefan Šćepović,stefan-scepovic,F,12,True,2.0,2.0,,,0.0,,,2.0,2.0,,1.0,,,,11.0,6.0,6.5,2.0,,"{'original': 6.5, 'alternative': 6.7}",1,-0.01,0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,1.0,1.0,,,,,1.0,0.1,,,,,,,,,,,,,,,,,,,,,
14015471,home,47321,OFK Beograd,1544616,Hugo Alba,hugo-alba,F,9,True,,,,,0.0,,,,,,,,,,11.0,2.0,6.5,,,"{'original': 6.5, 'alternative': 6.5}",0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,
14015471,home,5153,OFK Beograd,939791,Nedeljko Stojišić,nedeljko-stojisic,G,97,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015471,home,5153,OFK Beograd,1982018,Issiaka Dembele,issiaka-dembele,M,25,True,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
