match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,bigChanceMissed,onTargetScoringAttempt,clearanceOffLine,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,shotValueNormalized,keyPass,wonContest,totalCross,accurateCross,bigChanceCreated,blockedScoringAttempt,penaltyConceded,shotOffTarget,goals,totalOffside
14015481,home,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,False,41.0,20.0,30.0,9.0,0.0,16.0,21.0,4.0,20.0,2.0,17.0,6.0,1.0,9.0,1.0,1.0,90.0,63.0,7.2,23.0,0.4546,"{'original': 7.2, 'alternative': 7.9}",0,-0.04,0.01,-0.04,0.3,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,48.78048780487805,30.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015481,home,7674,FK Napredak Kruševac,956793,Nikola Bogdanovski,nikola-bogdanovski,D,33,False,9.0,6.0,1.0,1.0,0.0,3.0,6.0,3.0,3.0,1.0,4.0,,,,,,90.0,33.0,6.5,11.0,,"{'original': 6.5, 'alternative': 7.1}",2,0.1,0.28,-0.41,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,3,6,66.66666666666666,100.0,,,,1.0,1.0,7.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,1.0,5.0,1.0,1.0,-0.26,,,,,,,,,,
14015481,home,7674,FK Napredak Kruševac,1093731,Dragan Čubra,dragan-cubra,D,27,False,24.0,11.0,6.0,,0.0,8.0,13.0,3.0,11.0,4.0,5.0,,,,,,90.0,48.0,6.1,19.0,,"{'original': 6.1, 'alternative': 6.2}",0,-0.01,0.05,-0.3,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,5,4,45.83333333333333,,,,,,,4.0,5.0,1.0,1.0,1.0,,,,1.0,1.0,4.0,2.0,1.0,1.0,1.0,,,,,,,,,,,
14015481,home,5407,FK Napredak Kruševac,807251,Ivan Šubert,ivan-subert,D,31,False,17.0,14.0,3.0,1.0,0.0,11.0,12.0,3.0,5.0,7.0,4.0,,,,,,90.0,34.0,6.9,4.0,,"{'original': 6.9, 'alternative': 6.8}",0,0.04,0.23,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,82.35294117647058,33.33333333333333,,,,,3.0,1.0,5.0,,1.0,,,,,1.0,5.0,1.0,,,1.0,,,1.0,,,,,,,,,
14015481,home,7674,FK Napredak Kruševac,1165834,Luka Drobnjak,luka-drobnjak,D,77,False,23.0,14.0,5.0,,0.0,11.0,15.0,3.0,8.0,4.0,3.0,,,,,,88.0,38.0,6.5,9.0,,"{'original': 6.5, 'alternative': 6.7}",0,-0.04,0.04,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,4,2,60.86956521739131,,,,,3.0,1.0,5.0,5.0,1.0,,,,,,3.0,2.0,,,,4.0,1.0,,,,,,,,,,,
14015481,home,7674,FK Napredak Kruševac,937992,Nikola Vukajlović,nikola-vukajlovic,D,7,False,28.0,18.0,5.0,3.0,0.0,8.0,14.0,10.0,14.0,5.0,7.0,,,,,,90.0,47.0,6.2,13.0,,"{'original': 6.2, 'alternative': 6.5}",0,0.01,0.15,-0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,64.28571428571429,60.0,,,,1.0,1.0,4.0,3.0,2.0,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
14015481,home,37064,FK Napredak Kruševac,799015,Lazar Zličić,lazar-zlicic,M,23,False,5.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,3.0,,1.0,,,,,,45.0,9.0,6.2,4.0,,"{'original': 6.2, 'alternative': 6.3}",0,-0.07,0.11,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,1,5,60.0,100.0,,,,,,5.0,1.0,1.0,2.0,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,
14015481,home,7674,FK Napredak Kruševac,1102136,Luka Laban,luka-laban,M,14,False,10.0,6.0,2.0,,0.0,5.0,7.0,1.0,3.0,4.0,4.0,,,,,,45.0,15.0,6.4,4.0,,"{'original': 6.4, 'alternative': 6.3}",0,-0.06,0.09,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,60.0,,,,,,1.0,1.0,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,
14015481,home,7674,FK Napredak Kruševac,998786,Vladimir Miletić,vladimir-miletic,M,95,False,7.0,7.0,1.0,1.0,0.0,6.0,6.0,1.0,1.0,2.0,3.0,,,,,,67.0,22.0,6.6,3.0,,"{'original': 6.6, 'alternative': 6.5}",0,-0.02,0.01,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,4,4,100.0,100.0,,25.0,,2.0,1.0,6.0,5.0,,,4.0,,,,,1.0,2.0,1.0,,1.0,1.0,,,1.0,,,,,,,,
14015481,home,7674,FK Napredak Kruševac,795861,Miloš Vulić,milos-vulic,M,10,False,29.0,18.0,8.0,5.0,0.0,9.0,11.0,9.0,18.0,2.0,3.0,,,,,,90.0,41.0,6.4,17.0,,"{'original': 6.4, 'alternative': 6.1}",1,0.08,0.02,-0.47,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,2,5,62.06896551724138,62.5,50.0,,,,3.0,5.0,5.0,2.0,2.0,1.0,,,,,,1.0,1.0,2.0,1.0,1.0,-0.06,1.0,,2.0,1.0,1.0,1.0,1.0,,,
14015481,home,39946,FK Napredak Kruševac,842735,Marko Šarić,marko-saric,F,88,False,12.0,12.0,,,0.0,5.0,5.0,7.0,7.0,,,,,,,,77.0,23.0,6.2,7.0,,"{'original': 6.2, 'alternative': 6.3}",0,-0.01,0.02,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,2,5,100.0,,,,,4.0,,9.0,2.0,,3.0,1.0,,,,,,,,3.0,2.0,1.0,,1.0,,,,,,,,,
14015481,home,7674,FK Napredak Kruševac,267473,Nebojša Bastajić,nebojsa-bastajic,F,12,True,13.0,8.0,2.0,,0.0,3.0,6.0,5.0,7.0,,2.0,,,,,,45.0,23.0,6.6,9.0,,"{'original': 6.6, 'alternative': 6.4}",0,-0.16,0.12,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,4,4,61.53846153846154,,,33.33333333333333,,,,4.0,4.0,2.0,,3.0,,,,,,1.0,,2.0,2.0,,,,1.0,,,,,,,,
14015481,home,369195,FK Napredak Kruševac,1598539,Pavle Mihajlović,pavle-mihajlovic,D,99,True,18.0,12.0,8.0,4.0,0.0,8.0,12.0,4.0,6.0,3.0,,,,,,,45.0,24.0,6.2,6.0,,"{'original': 6.2, 'alternative': 6.6}",0,-0.08,0.0,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,66.66666666666666,50.0,,,,,,1.0,,,,,,,,2.0,1.0,,,,,1.0,,,,,,,,,,,
14015481,home,7674,FK Napredak Kruševac,840862,Filip Krstić,filip-krstic,M,4,True,8.0,5.0,2.0,1.0,0.0,3.0,4.0,2.0,4.0,2.0,,,,,,,23.0,11.0,6.5,3.0,,"{'original': 6.5, 'alternative': 6.4}",0,-0.03,,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,62.5,50.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
14015481,home,7674,FK Napredak Kruševac,1153959,Mateja Bubanj,mateja-bubanj,F,9,True,5.0,4.0,,,0.0,3.0,3.0,1.0,2.0,1.0,2.0,,,,,,13.0,9.0,6.6,3.0,,"{'original': 6.6, 'alternative': 6.7}",0,-0.01,0.04,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,80.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,
14015481,home,7674,FK Napredak Kruševac,943362,Miloš Tošeski,milos-toseski,M,22,True,1.0,1.0,,,0.0,1.0,1.0,,,,,,,,,,2.0,1.0,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015481,home,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015481,home,263772,FK Napredak Kruševac,1937368,Andrej Smiljković,andrej-smiljkovic,M,89,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015481,home,241802,FK Napredak Kruševac,1846383,Đorđe Skočajić,dorde-skocajic,F,16,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015481,home,7674,FK Napredak Kruševac,1846384,Lazar Miladinović,lazar-miladinovic,D,70,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015481,home,263772,FK Napredak Kruševac,2296728,Aleksa Djordjevic,aleksa-djordjevic,G,19,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015481,home,369195,FK Napredak Kruševac,1130255,Đorđe Kotlajić,dorde-kotlajic,F,55,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015481,away,5149,FK Crvena zvezda,603946,Matheus,matheus,G,1,False,23.0,22.0,5.0,4.0,0.0,21.0,22.0,1.0,1.0,,6.0,1.0,,2.0,1.0,1.0,90.0,28.0,7.1,1.0,0.041,"{'original': 7.1, 'alternative': 7.2}",0,0.04,-0.01,0.15,0.05,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,95.65217391304348,80.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
