match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,duelLost,totalContest,wonContest,interceptionWon,unsuccessfulTouch,fouls,totalOffside,aerialLost,challengeLost,shotOffTarget,outfielderBlock,totalTackle,wonTackle,wasFouled,penaltyWon,shotValueNormalized,bigChanceMissed,onTargetScoringAttempt,penaltyConceded,keyPass,accurateCross,bigChanceCreated,blockedScoringAttempt,dispossessed,goals,errorLeadToAShot,errorLeadToAGoal,crossNotClaimed,hitWoodwork
14015484,home,25737,FK Radnički Niš,990184,Strahinja Manojlović,strahinja-manojlovic,G,98,False,30.0,20.0,22.0,12.0,0.0,10.0,11.0,10.0,19.0,2.0,2.0,2.0,8.0,2.0,5.0,1.0,6.0,2.0,90.0,43.0,8.2,10.0,0.5228,"{'original': 8.2, 'alternative': 7.8}",0,0.22,0.0,-0.19,0.35,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,66.66666666666666,54.54545454545454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015484,home,245405,FK Radnički Niš,99533,Stefan Aškovski,stefan-askovski,D,11,False,22.0,15.0,3.0,,0.0,9.0,11.0,6.0,11.0,1.0,2.0,1.0,4.0,,,,,,76.0,36.0,5.8,13.0,,"{'original': 5.8, 'alternative': 6.2}",0,-0.13,-0.51,-0.34,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,68.18181818181817,,,50.0,,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14015484,home,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,36.0,31.0,5.0,1.0,0.0,25.0,26.0,6.0,10.0,2.0,6.0,7.0,3.0,,,,,,90.0,59.0,6.6,5.0,,"{'original': 6.6, 'alternative': 7.7}",1,0.04,0.1,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,8,7,4,3,86.11111111111111,20.0,,100.0,,,9.0,2.0,2.0,4.0,,3.0,,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,-0.21,,,,,,,,,,,,,
14015484,home,466776,FK Radnički Niš,942147,Nemanja Mićević,nemanja-micevic,D,16,False,34.0,32.0,1.0,,0.0,28.0,29.0,4.0,5.0,5.0,6.0,5.0,2.0,,,,,,90.0,46.0,6.4,3.0,,"{'original': 6.4, 'alternative': 6.7}",1,0.05,0.02,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,6,2,1,1,94.11764705882352,,,,,,2.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,-0.52,1.0,,,,,,,,,,,,
14015484,home,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,False,36.0,25.0,5.0,2.0,0.0,16.0,20.0,9.0,16.0,,2.0,2.0,6.0,,,,,,90.0,68.0,5.9,17.0,,"{'original': 5.9, 'alternative': 6.5}",1,0.01,-0.33,-0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,69.44444444444444,40.0,,,,,4.0,,,2.0,2.0,,,3.0,1.0,,,2.0,1.0,,,-0.05,,1.0,,,,,,,,,,,
14015484,home,25737,FK Radnički Niš,112321,Radomir Milosavljević,radomir-milosavljevic,M,22,False,46.0,33.0,7.0,3.0,0.0,14.0,18.0,19.0,28.0,6.0,10.0,4.0,12.0,,,,,,90.0,65.0,6.8,14.0,,"{'original': 6.8, 'alternative': 7}",1,0.41,0.2,-0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,9,7,4,3,71.73913043478261,42.857142857142854,,,,1.0,6.0,,,4.0,,4.0,,3.0,,,,3.0,1.0,1.0,,0.09,,1.0,1.0,1.0,,,,,,,,,
14015484,home,40261,FK Radnički Niš,844332,Jovan Nišić,jovan-nisic,M,45,False,47.0,40.0,4.0,3.0,0.0,20.0,21.0,20.0,26.0,1.0,3.0,,4.0,,,,,,76.0,66.0,7.3,11.0,,"{'original': 7.3, 'alternative': 7.3}",2,0.63,0.21,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,85.1063829787234,75.0,60.0,,,5.0,2.0,,,3.0,1.0,1.0,,1.0,,,,1.0,1.0,1.0,,-0.2,,,,3.0,3.0,1.0,2.0,,,,,,
14015484,home,25737,FK Radnički Niš,1894089,Stefan Nikolić,stefan-nikolic,M,70,False,11.0,5.0,2.0,,0.0,3.0,4.0,2.0,7.0,1.0,2.0,1.0,1.0,,,,,,62.0,16.0,6.2,8.0,,"{'original': 6.2, 'alternative': 6.3}",0,-0.16,-0.63,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,45.45454545454545,,,,,1.0,2.0,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
14015484,home,40263,FK Radnički Niš,889059,Vanja Ilić,vanja-ilic,M,21,False,45.0,39.0,3.0,2.0,0.0,20.0,23.0,19.0,22.0,,4.0,,3.0,,,,,,85.0,67.0,6.6,15.0,,"{'original': 6.6, 'alternative': 6.8}",3,0.43,0.07,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,4,4,86.66666666666667,66.66666666666666,,,,1.0,4.0,,,1.0,6.0,1.0,1.0,,1.0,2.0,,2.0,,2.0,,-0.55,,,,3.0,,,1.0,2.0,,,,,
14015484,home,263360,FK Radnički Niš,965889,Radivoj Bosić,radivoj-bosic,M,7,False,16.0,9.0,5.0,2.0,0.0,4.0,7.0,5.0,9.0,,1.0,,6.0,,,,,,63.0,34.0,7.9,15.0,,"{'original': 7.9, 'alternative': 8}",5,0.0,0.27,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,56.25,40.0,100.0,33.33333333333333,,1.0,3.0,3.0,1.0,1.0,1.0,,,,,,,,,,,0.57,,4.0,,,1.0,,1.0,1.0,2.0,1.0,,,
