match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,challengeLost,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,keyPass,aerialLost,dispossessed,outfielderBlock,wasFouled,fouls,totalContest,wonContest,penaltyConceded,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,shotValueNormalized,bigChanceCreated,shotOffTarget,hitWoodwork,goals,punches,totalOffside
14015485,home,5144,FK Javor Ivanjica,834186,Nikola Vasiljević,nikola-vasiljevic,G,1,False,24.0,8.0,20.0,5.0,0.0,6.0,7.0,2.0,17.0,5.0,1.0,1.0,1.0,1.0,90.0,28.0,6.0,16.0,0.0777,"{'original': 6, 'alternative': 6.4}",0,0.0,0.0,-0.23,-0.28,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,33.33333333333333,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015485,home,5144,FK Javor Ivanjica,981518,Marko Bjeković,marko-bjekovic,D,13,False,29.0,27.0,,,1.0,16.0,16.0,11.0,13.0,5.0,,,,,73.0,52.0,6.8,6.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.29,0.15,-0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,93.10344827586206,,,,,2.0,2.0,1.0,5.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14015485,home,5144,FK Javor Ivanjica,1500275,Petar Petrović,petar-petrovic,D,21,False,41.0,30.0,8.0,3.0,0.0,19.0,26.0,11.0,15.0,4.0,,,,,90.0,59.0,6.7,13.0,,"{'original': 6.7, 'alternative': 6.8}",0,0.2,0.29,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,2,3,73.17073170731707,37.5,,,,,3.0,4.0,5.0,1.0,8.0,3.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
14015485,home,5144,FK Javor Ivanjica,1468253,Đorđe Skoko,dorde-skoko,D,26,False,25.0,21.0,5.0,3.0,0.0,14.0,15.0,7.0,10.0,2.0,,,,,90.0,36.0,6.5,4.0,,"{'original': 6.5, 'alternative': 6.2}",0,0.13,0.04,-0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,6,3,1,2,84.0,60.0,,100.0,,,4.0,4.0,5.0,,7.0,,,,,,2.0,,,,3.0,1.0,1.0,1.0,,,,,,,,,,
14015485,home,5144,FK Javor Ivanjica,188127,Stefan Milošević,stefan-milosevic,D,11,False,29.0,20.0,7.0,3.0,0.0,13.0,15.0,7.0,14.0,4.0,,,,,90.0,50.0,6.9,14.0,,"{'original': 6.9, 'alternative': 6.8}",0,-0.03,-0.39,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,68.96551724137932,42.857142857142854,20.0,,,5.0,2.0,,4.0,,5.0,,2.0,2.0,,,,,,,,,,,1.0,,,,,,,,,
14015485,home,5144,FK Javor Ivanjica,1435246,Mamane Amadou Sabo,mamane-amadou-sabo,M,6,False,34.0,26.0,5.0,1.0,0.0,13.0,15.0,13.0,19.0,3.0,,,,,90.0,56.0,6.8,15.0,,"{'original': 6.8, 'alternative': 6.8}",2,0.23,0.07,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,76.47058823529412,20.0,33.33333333333333,25.0,,3.0,2.0,5.0,4.0,,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,4.0,1.0,,1.0,1.0,1.0,0.03,,,,,,
14015485,home,5144,FK Javor Ivanjica,1147526,Lazar Mićić,lazar-micic,M,28,False,23.0,15.0,1.0,,1.0,6.0,8.0,9.0,15.0,3.0,,,,,85.0,39.0,7.3,14.0,,"{'original': 7.3, 'alternative': 7.7}",3,0.75,0.57,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,65.21739130434783,,,50.0,,1.0,,2.0,2.0,,,1.0,,,4.0,1.0,,,,1.0,1.0,2.0,1.0,,,2.0,,-0.57,1.0,1.0,,,,
14015485,home,5144,FK Javor Ivanjica,986764,Boubacari Doucoure,boubacari-doucoure,M,19,False,50.0,40.0,6.0,4.0,0.0,14.0,17.0,26.0,33.0,7.0,,,,,90.0,61.0,7.2,11.0,,"{'original': 7.2, 'alternative': 6.8}",0,0.42,0.15,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,80.0,66.66666666666666,,,,,,3.0,3.0,2.0,2.0,,3.0,2.0,,,,1.0,,,,,,,,,,,,,,,,
14015485,home,5144,FK Javor Ivanjica,1392891,Nemanja Đokić,nemanja-dokic,M,5,False,19.0,17.0,2.0,1.0,0.0,4.0,5.0,13.0,14.0,,,,,,66.0,35.0,7.7,11.0,,"{'original': 7.7, 'alternative': 7.2}",3,0.16,0.13,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,1,4,89.47368421052632,50.0,,,,4.0,2.0,6.0,3.0,1.0,1.0,,,,2.0,,2.0,2.0,,1.0,,1.0,,,,2.0,1.0,0.65,,,1.0,1.0,,
14015485,home,378020,FK Javor Ivanjica,1468252,Aleksa Radonjić,aleksa-radonjic,M,20,False,6.0,5.0,1.0,,0.0,2.0,2.0,3.0,4.0,3.0,,,,,90.0,25.0,7.1,8.0,,"{'original': 7.1, 'alternative': 7.1}",2,0.03,-0.1,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,3,13,7,6,83.33333333333334,,100.0,66.66666666666666,,1.0,,9.0,7.0,,,,2.0,2.0,4.0,1.0,3.0,1.0,,3.0,5.0,3.0,2.0,,1.0,1.0,,0.53,,1.0,,1.0,,
