match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,bigChanceCreated,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,keyPass,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,aerialWon,duelLost,duelWon,shotOffTarget,totalClearance,interceptionWon,unsuccessfulTouch,wasFouled,fouls,shotValueNormalized,challengeLost,outfielderBlock,totalTackle,wonTackle,totalCross,totalContest,wonContest,onTargetScoringAttempt,goals,accurateCross,bigChanceMissed,totalOffside,blockedScoringAttempt,hitWoodwork,dispossessed
14015489,home,5153,OFK Beograd,1126067,Balša Popović,balsa-popovic,G,1,False,37.0,28.0,18.0,9.0,0.0,25.0,26.0,3.0,11.0,1.0,6.0,1.0,4.0,90.0,45.0,7.2,9.0,0.2051,1.0,"{'original': 7.2, 'alternative': 7.7}",0,0.12,0.14,0.33,0.24,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,75.67567567567568,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015489,home,5153,OFK Beograd,191640,Marko Gobeljić,marko-gobeljic,D,77,False,41.0,36.0,8.0,5.0,0.0,21.0,22.0,15.0,19.0,,4.0,,,74.0,61.0,7.5,8.0,,,"{'original': 7.5, 'alternative': 7.4}",1,0.33,0.14,0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,87.8048780487805,62.5,,,,1.0,2.0,3.0,3.0,1.0,6.0,1.0,2.0,1.0,2.0,-0.18,,,,,,,,,,,,,,,
14015489,home,5153,OFK Beograd,1981967,Andrej Pavlovic,andrej-pavlovic,D,4,False,77.0,69.0,11.0,5.0,0.0,55.0,57.0,14.0,20.0,,,,,90.0,90.0,7.3,10.0,,,"{'original': 7.3, 'alternative': 7.1}",1,0.28,0.06,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,4,0,0,0,89.6103896103896,45.45454545454545,,,,,4.0,,4.0,1.0,5.0,2.0,1.0,,,-0.3,,,,,,,,,,,,,,,
14015489,home,334956,OFK Beograd,1147556,Aleksandar Đermanović,aleksandar-dermanovic,D,15,False,67.0,60.0,7.0,2.0,0.0,49.0,54.0,11.0,13.0,,4.0,,,90.0,80.0,7.1,8.0,,,"{'original': 7.1, 'alternative': 7.2}",0,0.09,0.15,0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,1,3,89.55223880597015,28.57142857142857,,,,2.0,4.0,5.0,5.0,,9.0,,,,2.0,,1.0,1.0,1.0,,,,,,,,,,,,
14015489,home,5153,OFK Beograd,881211,Uroš Stojanović,uros-stojanovic,D,24,False,68.0,58.0,8.0,4.0,0.0,29.0,31.0,29.0,37.0,,5.0,,,90.0,85.0,7.3,13.0,,1.0,"{'original': 7.3, 'alternative': 7.4}",0,0.34,-0.4,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,4,1,85.29411764705883,50.0,,,,1.0,1.0,2.0,5.0,,2.0,1.0,1.0,,1.0,,,,4.0,3.0,,,,,,,,,,,
14015489,home,5153,OFK Beograd,1000367,Miljan Momčilović,miljan-momcilovic,M,14,False,65.0,60.0,5.0,1.0,0.0,42.0,44.0,18.0,21.0,,9.0,,,90.0,90.0,8.6,9.0,,1.0,"{'original': 8.6, 'alternative': 8}",1,0.02,0.37,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,8,2,92.3076923076923,20.0,,50.0,,,1.0,2.0,9.0,,1.0,2.0,2.0,4.0,,0.51,1.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,,,,,,
14015489,home,3036,OFK Beograd,1176881,Diogo Bezerra,diogo-bezerra,M,94,False,28.0,23.0,2.0,1.0,2.0,6.0,7.0,17.0,21.0,3.0,1.0,,,81.0,57.0,7.5,18.0,,6.0,"{'original': 7.5, 'alternative': 7.8}",1,0.88,0.16,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,4,4,82.14285714285714,50.0,37.5,33.33333333333333,,,,4.0,4.0,1.0,,,4.0,1.0,1.0,-0.57,1.0,,2.0,1.0,8.0,3.0,1.0,,,3.0,1.0,,,,
14015489,home,5153,OFK Beograd,1406091,Aleksa Cvetković,aleksa-cvetkovic,M,8,False,37.0,30.0,6.0,4.0,0.0,17.0,18.0,13.0,19.0,,5.0,,,81.0,44.0,7.2,8.0,,1.0,"{'original': 7.2, 'alternative': 7.2}",0,0.07,0.06,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,4,0,81.08108108108108,66.66666666666666,,100.0,,,,,4.0,,1.0,,,,,,,,3.0,,,1.0,1.0,,,,,1.0,,,
14015489,home,5153,OFK Beograd,1183887,Henry Addo,addo-henry,M,43,False,22.0,17.0,2.0,1.0,0.0,8.0,10.0,9.0,12.0,,4.0,,,65.0,30.0,7.1,9.0,,,"{'original': 7.1, 'alternative': 6.6}",1,0.37,0.28,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,77.27272727272727,50.0,,,,1.0,,2.0,1.0,,,,2.0,,,-0.11,,,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,
14015489,home,5153,OFK Beograd,1068813,Egor Prutsev,egor-prutsev,M,11,False,23.0,18.0,2.0,1.0,1.0,8.0,9.0,10.0,14.0,1.0,4.0,,,90.0,37.0,7.7,7.0,,1.0,"{'original': 7.7, 'alternative': 7.6}",3,0.38,0.46,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,4,3,78.26086956521739,50.0,,66.66666666666666,,,1.0,3.0,5.0,2.0,1.0,,1.0,1.0,1.0,0.04,1.0,,1.0,1.0,,3.0,2.0,1.0,,,2.0,,,2.0,
14015489,home,5149,OFK Beograd,1937553,Jay Enem,tyron-enem-jay-ifeanyi-junior,F,22,False,13.0,7.0,,,0.0,3.0,3.0,4.0,10.0,,1.0,,,74.0,26.0,8.0,10.0,,,"{'original': 8, 'alternative': 9}",5,-0.36,0.17,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,10,5,3,2,53.84615384615385,,,,,6.0,4.0,8.0,7.0,2.0,,,4.0,3.0,1.0,0.63,1.0,,,,,,,3.0,2.0,,1.0,1.0,,1.0,
14015489,home,47321,OFK Beograd,1544616,Hugo Alba,hugo-alba,F,9,True,4.0,2.0,1.0,1.0,0.0,,1.0,2.0,3.0,1.0,1.0,,,25.0,7.0,7.7,3.0,,2.0,"{'original': 7.7, 'alternative': 7.6}",1,0.08,0.3,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,50.0,100.0,,,,,,1.0,,,,,,,,0.51,,,,,,1.0,,1.0,1.0,,,1.0,,,
14015489,home,334956,OFK Beograd,1147565,Nikola Knežević,nikola-knezevic,M,7,True,11.0,10.0,,,0.0,5.0,5.0,5.0,6.0,,,,,16.0,12.0,6.6,2.0,,,"{'original': 6.6, 'alternative': 6.5}",0,-0.15,0.14,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,90.9090909090909,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,
14015489,home,5153,OFK Beograd,1104741,Stefan Despotovski,stefan-despotovski,D,2,True,9.0,7.0,2.0,1.0,0.0,6.0,6.0,1.0,3.0,,1.0,,,16.0,9.0,6.6,2.0,,,"{'original': 6.6, 'alternative': 6.5}",0,-0.02,0.02,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,77.77777777777779,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
