match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,duelLost,duelWon,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,keyPass,totalCross,accurateCross,aerialLost,aerialWon,challengeLost,dispossessed,onTargetScoringAttempt,blockedScoringAttempt,totalClearance,shotValueNormalized,unsuccessfulTouch,shotOffTarget,totalContest,wonContest,goals,totalOffside,bigChanceMissed,totalKeeperSweeper,accurateKeeperSweeper,outfielderBlock,bigChanceCreated,clearanceOffLine
14015495,home,25736,FK Novi Pazar,1047325,Željko Samčović,zeljko-samcovic,G,1,False,21.0,19.0,5.0,3.0,0.0,16.0,17.0,3.0,4.0,8.0,3.0,4.0,90.0,32.0,6.3,2.0,0.1328,"{'original': 6.3, 'alternative': 7.1}",0,0.07,-0.02,-0.11,0.16,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,90.47619047619048,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015495,home,25736,FK Novi Pazar,948696,Jovan Marinković,jovan-marinkovic,D,23,False,14.0,9.0,4.0,1.0,0.0,7.0,7.0,2.0,7.0,4.0,,,28.0,22.0,6.8,6.0,,"{'original': 6.8, 'alternative': 6.8}",0,0.15,0.03,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,5,1,64.28571428571429,25.0,,,,1.0,5.0,1.0,3.0,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14015495,home,25736,FK Novi Pazar,1111781,Jovan Manev,jovan-manev,D,29,False,42.0,35.0,10.0,4.0,0.0,21.0,23.0,14.0,19.0,7.0,,,89.0,56.0,6.4,8.0,,"{'original': 6.4, 'alternative': 7.1}",4,0.19,0.33,-0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,6,6,2,4,83.33333333333334,40.0,100.0,,,6.0,6.0,,,,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,3.0,-0.03,,,,,,,,,,,,
14015495,home,25736,FK Novi Pazar,1981962,Ahmed Hadzimujovic,ahmed-hadzimujovic,D,4,False,41.0,27.0,5.0,,0.0,18.0,24.0,9.0,17.0,2.0,,,90.0,54.0,7.0,18.0,,"{'original': 7, 'alternative': 6.6}",0,0.32,0.05,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,8,4,3,1,65.85365853658537,,,,,3.0,9.0,1.0,1.0,,2.0,1.0,1.0,1.0,,2.0,6.0,,,,,3.0,,1.0,,,,,,,,,,,
14015495,home,25736,FK Novi Pazar,799179,Nemanja Miletić,nemanja-miletic,D,3,False,31.0,18.0,7.0,,0.0,7.0,10.0,11.0,21.0,3.0,,,90.0,79.0,6.5,35.0,,"{'original': 6.5, 'alternative': 7.3}",3,0.58,0.13,-0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,3,2,58.06451612903226,,31.57894736842105,,,5.0,6.0,2.0,2.0,2.0,1.0,,5.0,19.0,6.0,3.0,3.0,,2.0,1.0,1.0,1.0,0.01,2.0,1.0,,,,,,,,,,
14015495,home,5362,FK Novi Pazar,940100,Abdoulaye Cisse,abdoulaye-cisse,M,6,False,46.0,40.0,5.0,2.0,0.0,24.0,26.0,16.0,20.0,4.0,,,90.0,53.0,6.8,7.0,,"{'original': 6.8, 'alternative': 6.8}",1,0.16,0.12,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,86.95652173913044,40.0,,,,1.0,3.0,1.0,2.0,1.0,,,,,,,1.0,1.0,,1.0,,,0.01,1.0,,,,,,,,,,,
14015495,home,25736,FK Novi Pazar,1982067,Skima Togbe,skima-togbe,M,16,False,13.0,11.0,2.0,2.0,0.0,6.0,7.0,5.0,6.0,,,,45.0,17.0,6.4,2.0,,"{'original': 6.4, 'alternative': 6.4}",1,-0.02,0.14,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,84.61538461538461,100.0,,,,2.0,2.0,,2.0,,,,,,,1.0,,1.0,,1.0,,,0.24,,,,,,,,,,,,
14015495,home,25736,FK Novi Pazar,1003429,Matija Malekinušić,matija-malekinusic,M,17,False,32.0,22.0,6.0,2.0,0.0,10.0,12.0,12.0,20.0,5.0,,,90.0,53.0,6.3,18.0,,"{'original': 6.3, 'alternative': 6.7}",3,0.01,0.13,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,4,3,68.75,33.33333333333333,,100.0,,5.0,5.0,1.0,,,3.0,2.0,,4.0,,2.0,1.0,,1.0,1.0,,1.0,-0.07,1.0,2.0,1.0,1.0,,,,,,,,
14015495,home,25736,FK Novi Pazar,1147753,Ivan Davidović,ivan-davidovic,M,24,False,27.0,21.0,2.0,,0.0,9.0,10.0,12.0,17.0,4.0,,,90.0,45.0,7.2,12.0,,"{'original': 7.2, 'alternative': 7.3}",1,0.04,0.21,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,4,5,77.77777777777779,,40.0,,,8.0,4.0,2.0,2.0,1.0,2.0,3.0,1.0,5.0,2.0,3.0,,,1.0,1.0,,,0.51,1.0,,1.0,,1.0,1.0,,,,,,
14015495,home,25736,FK Novi Pazar,1100966,Mihajlo Petković,mihajlo-petkovic,M,21,False,9.0,3.0,4.0,,0.0,1.0,4.0,2.0,5.0,,,,45.0,16.0,6.1,9.0,,"{'original': 6.1, 'alternative': 6}",1,0.07,-0.03,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,33.33333333333333,,,,,4.0,1.0,,1.0,1.0,,,,,,1.0,,,1.0,,1.0,,0.0,,,2.0,,,,,,,,,
