player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,addedTime
"{'name': 'Demba Seck', 'slug': 'demba-seck', 'shortName': 'D. Seck', 'position': 'M', 'jerseyNumber': '19', 'userCount': 1135, 'gender': 'M', 'id': 1012248, 'fieldTranslations': {'nameTranslation': {'ar': 'ديمبا سيك', 'bn': 'ডেম্বা সেক', 'hi': 'डेम्बा सेक'}, 'shortNameTranslation': {'ar': 'د. سيك', 'bn': 'ডি. সেক', 'hi': 'डी. सेक'}}}",True,goal,regular,assisted,"{'x': 6.7, 'y': 58.5, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 53, 'z': 1.3}",6014403,84,4998,"{'start': {'x': 58.5, 'y': 6.7}, 'end': {'x': 47, 'y': 0}, 'goal': {'x': 47, 'y': 98.7}}",7,402,2298,shot,,
"{'name': 'Aleksandar Varjačić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-varjacic', 'shortName': 'A. Varjačić', 'position': 'D', 'jerseyNumber': '17', 'userCount': 12, 'gender': 'M', 'id': 795855, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فارجاتجيتش'}, 'shortNameTranslation': {'ar': 'أ. فارجاتجيتش'}}}",False,miss,,fast-break,"{'x': 4.9, 'y': 66.2, 'z': 0}",right-foot,high,"{'x': 0, 'y': 53.4, 'z': 94.4}",6014382,77,4605,"{'start': {'x': 66.2, 'y': 4.9}, 'end': {'x': 46.6, 'y': 0}, 'goal': {'x': 46.6, 'y': 5.6}}",14,795,1905,shot,,
"{'name': 'Uroš Sremčević', 'slug': 'uros-sremcevic', 'shortName': 'U. Sremčević', 'position': 'F', 'jerseyNumber': '17', 'userCount': 1585, 'gender': 'M', 'id': 1166063, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش سريمشيفيتش'}, 'shortNameTranslation': {'ar': 'أ. سريمشيفيتش'}}}",False,save,,assisted,"{'x': 11.3, 'y': 38.9, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.6, 'z': 5.1}",6014319,74,4436,"{'start': {'x': 38.9, 'y': 11.3}, 'block': {'x': 48.7, 'y': 1.2}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 94.9}}",17,964,1736,shot,"{'x': 1.2, 'y': 48.7, 'z': 0}",
"{'name': 'Yanis Karabelyov', 'slug': 'yanis-karabelyov', 'shortName': 'Y. Karabelyov', 'position': 'M', 'jerseyNumber': '28', 'userCount': 368, 'gender': 'M', 'id': 286121, 'fieldTranslations': {'nameTranslation': {'ar': 'يانيس كاربيلوف', 'bn': 'ইয়ানিস কারাবেলিভ', 'hi': 'यानिस काराबेल्योव'}, 'shortNameTranslation': {'ar': 'ي. كاربيلوف', 'bn': 'ওয়াই. কারাবেলিয়ভ', 'hi': 'वाई. काराबेल्योव'}}}",True,block,,corner,"{'x': 15.4, 'y': 47, 'z': 0}",head,low-left,"{'x': 0, 'y': 52.3, 'z': 6.9}",6014390,71,4234,"{'start': {'x': 47, 'y': 15.4}, 'block': {'x': 46.9, 'y': 6.4}, 'end': {'x': 47.7, 'y': 0}, 'goal': {'x': 47.7, 'y': 93.1}}",20,1166,1534,shot,"{'x': 6.4, 'y': 46.9, 'z': 0}",
"{'name': 'Danilo Pantić', 'firstName': '', 'lastName': '', 'slug': 'danilo-pantic', 'shortName': 'D. Pantić', 'position': 'M', 'userCount': 151, 'gender': 'M', 'id': 280827, 'fieldTranslations': {'nameTranslation': {'ar': 'بانتيتش, دانيلو'}, 'shortNameTranslation': {'ar': 'د. بانتيتش'}}}",False,block,,assisted,"{'x': 13.2, 'y': 49.9, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.8, 'z': 19}",6014300,69,4114,"{'start': {'x': 49.9, 'y': 13.2}, 'block': {'x': 49.5, 'y': 11.5}, 'end': {'x': 47.2, 'y': 0}, 'goal': {'x': 47.2, 'y': 81}}",22,1286,1414,shot,"{'x': 11.5, 'y': 49.5, 'z': 0}",
"{'name': 'Demba Seck', 'slug': 'demba-seck', 'shortName': 'D. Seck', 'position': 'M', 'jerseyNumber': '19', 'userCount': 1135, 'gender': 'M', 'id': 1012248, 'fieldTranslations': {'nameTranslation': {'ar': 'ديمبا سيك', 'bn': 'ডেম্বা সেক', 'hi': 'डेम्बा सेक'}, 'shortNameTranslation': {'ar': 'د. سيك', 'bn': 'ডি. সেক', 'hi': 'डी. सेक'}}}",True,block,,assisted,"{'x': 13.5, 'y': 71.1, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 53, 'z': 19}",6014295,65,3844,"{'start': {'x': 71.1, 'y': 13.5}, 'block': {'x': 66.6, 'y': 11}, 'end': {'x': 47, 'y': 0}, 'goal': {'x': 47, 'y': 81}}",26,1556,1144,shot,"{'x': 11, 'y': 66.6, 'z': 0}",
"{'name': 'Uroš Ljubomirac', 'firstName': '', 'lastName': '', 'slug': 'uros-ljubomirac', 'shortName': 'U. Ljubomirac', 'position': 'M', 'jerseyNumber': '77', 'userCount': 7, 'gender': 'M', 'id': 892174, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروس ليوبوميراك', 'bn': 'উরোস লুবোমিরাক', 'hi': 'उरोस लुबोमिराक'}, 'shortNameTranslation': {'ar': 'أ. ليوبوميراك', 'bn': 'ইউ. জুবোমিরাক', 'hi': 'यू. लुजोमिराक'}}}",False,block,,assisted,"{'x': 7.6, 'y': 53.8, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 48.1, 'z': 1.4}",6014290,61,3638,"{'start': {'x': 53.8, 'y': 7.6}, 'block': {'x': 53.2, 'y': 5.6}, 'end': {'x': 51.9, 'y': 0}, 'goal': {'x': 51.9, 'y': 98.6}}",30,1762,938,shot,"{'x': 5.6, 'y': 53.2, 'z': 0}",
"{'name': 'Andrej Kostić', 'firstName': 'Andrej', 'lastName': 'Kostić', 'slug': 'andrej-kostic', 'shortName': 'A. Kostić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 1085, 'gender': 'M', 'id': 1819171, 'fieldTranslations': {'nameTranslation': {'ar': 'أندري كوستيتش'}, 'shortNameTranslation': {'ar': 'أ. كوستيتش'}}}",True,goal,regular,assisted,"{'x': 1.9, 'y': 47.4, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 53.8, 'z': 22.2}",6014285,59,3482,"{'start': {'x': 47.4, 'y': 1.9}, 'end': {'x': 46.2, 'y': 0}, 'goal': {'x': 46.2, 'y': 77.8}}",32,1918,782,shot,,
"{'name': 'Vanja Dragojević', 'slug': 'vanja-dragojevic', 'shortName': 'V. Dragojevic', 'position': 'M', 'jerseyNumber': '6', 'userCount': 748, 'gender': 'M', 'id': 1500276, 'fieldTranslations': {'nameTranslation': {'ar': 'فانيا دراجويفيتش'}, 'shortNameTranslation': {'ar': 'ف. دراجويفيتش'}}}",True,miss,,assisted,"{'x': 21.6, 'y': 71.6, 'z': 0}",right-foot,high,"{'x': 0, 'y': 50.9, 'z': 86.1}",6014279,56,3350,"{'start': {'x': 71.6, 'y': 21.6}, 'end': {'x': 49.1, 'y': 0}, 'goal': {'x': 49.1, 'y': 13.9}}",35,2050,650,shot,,
"{'name': 'Uroš Ljubomirac', 'firstName': '', 'lastName': '', 'slug': 'uros-ljubomirac', 'shortName': 'U. Ljubomirac', 'position': 'M', 'jerseyNumber': '77', 'userCount': 7, 'gender': 'M', 'id': 892174, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروس ليوبوميراك', 'bn': 'উরোস লুবোমিরাক', 'hi': 'उरोस लुबोमिराक'}, 'shortNameTranslation': {'ar': 'أ. ليوبوميراك', 'bn': 'ইউ. জুবোমিরাক', 'hi': 'यू. लुजोमिराक'}}}",False,save,,assisted,"{'x': 7.4, 'y': 47.9, 'z': 0}",head,high-left,"{'x': 0, 'y': 53.8, 'z': 25.9}",6014278,56,3301,"{'start': {'x': 47.9, 'y': 7.4}, 'block': {'x': 49.8, 'y': 0.59999999999999}, 'end': {'x': 46.2, 'y': 0}, 'goal': {'x': 46.2, 'y': 74.1}}",35,2099,601,shot,"{'x': 0.59999999999999, 'y': 49.8, 'z': 0}",
