match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,bigChanceMissed,onTargetScoringAttempt,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,aerialWon,bigChanceCreated,interceptionWon,totalContest,wonContest,blockedScoringAttempt,shotOffTarget,goals,dispossessed,totalOffside,totalKeeperSweeper,accurateKeeperSweeper
14015497,home,5152,FK Partizan,844305,Marko Milošević,marko-milosevic,G,1,False,21.0,16.0,6.0,1.0,0.0,15.0,18.0,1.0,3.0,1.0,9.0,1.0,2.0,2.0,1.0,90.0,30.0,7.6,5.0,0.6743,"{'original': 7.6, 'alternative': 7.2}",0,-0.01,0.0,0.25,0.52,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,76.19047619047619,16.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015497,home,5152,FK Partizan,1150389,Milan Roganović,milan-roganovic,D,30,False,72.0,69.0,7.0,6.0,0.0,22.0,22.0,47.0,50.0,1.0,5.0,,,,,90.0,93.0,7.6,7.0,,"{'original': 7.6, 'alternative': 7.9}",1,0.4,0.18,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,2,4,95.83333333333334,85.71428571428571,50.0,,,2.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,-0.48,,,,,,,,,,,,
14015497,home,5152,FK Partizan,888701,Stefan Milić,stefan-milic,D,44,False,51.0,47.0,3.0,1.0,0.0,29.0,29.0,18.0,22.0,3.0,3.0,,,,,78.0,64.0,8.1,4.0,,"{'original': 8.1, 'alternative': 7.3}",0,0.42,0.15,0.97,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,92.15686274509804,33.33333333333333,,,,,,1.0,2.0,4.0,,,,3.0,1.0,,,1.0,1.0,2.0,,2.0,1.0,3.0,,,,,,,,,
14015497,home,5152,FK Partizan,1427163,Nikola Simic,nikola-simic,D,40,False,63.0,61.0,5.0,4.0,0.0,41.0,42.0,20.0,21.0,1.0,2.0,,,,,90.0,66.0,7.2,3.0,,"{'original': 7.2, 'alternative': 7}",0,0.29,0.08,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,96.82539682539682,80.0,,,,,,,2.0,1.0,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,
14015497,home,5152,FK Partizan,1124029,Mateja Milovanović,mateja-milovanovic,D,5,False,62.0,55.0,4.0,1.0,0.0,22.0,25.0,33.0,37.0,1.0,2.0,,,,,71.0,75.0,7.0,12.0,,"{'original': 7, 'alternative': 7}",0,0.09,0.15,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,2,5,88.70967741935483,25.0,,33.33333333333333,,3.0,,,5.0,4.0,1.0,,,,1.0,1.0,,,2.0,1.0,,2.0,,1.0,3.0,1.0,,,,,,,
14015497,home,1892,FK Partizan,286121,Yanis Karabelyov,yanis-karabelyov,M,28,False,73.0,68.0,1.0,1.0,0.0,35.0,38.0,33.0,35.0,3.0,8.0,,,,,90.0,94.0,7.7,8.0,,"{'original': 7.7, 'alternative': 7.7}",2,0.31,0.24,0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,5,1,93.15068493150685,100.0,,,,,,2.0,3.0,8.0,,,1.0,,5.0,3.0,3.0,,1.0,,0.01,3.0,,3.0,,,1.0,,,,,,
14015497,home,5152,FK Partizan,1012248,Demba Seck,demba-seck,M,19,False,42.0,38.0,3.0,3.0,1.0,12.0,13.0,26.0,29.0,,8.0,,,,,90.0,65.0,10.0,15.0,,"{'original': 10, 'alternative': 9.3}",5,1.0,0.79,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,4,3,90.47619047619048,100.0,25.0,50.0,,4.0,1.0,,3.0,4.0,,1.0,2.0,,,,5.0,1.0,,3.0,0.46,,1.0,1.0,6.0,3.0,1.0,2.0,1.0,,,,
14015497,home,5152,FK Partizan,1500276,Vanja Dragojević,vanja-dragojevic,M,6,False,60.0,55.0,6.0,5.0,0.0,19.0,19.0,36.0,41.0,,7.0,,,,,90.0,71.0,7.8,6.0,,"{'original': 7.8, 'alternative': 7.5}",3,0.45,0.22,0.43,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,91.66666666666666,83.33333333333334,,,,,,1.0,2.0,,,,1.0,1.0,,,,,1.0,,-0.55,,,,,,,2.0,,,,,
14015497,home,5152,FK Partizan,1005605,Milan Vukotić,milan-vukotic,M,11,False,75.0,64.0,8.0,7.0,1.0,16.0,18.0,48.0,57.0,,5.0,,,,,78.0,97.0,8.0,22.0,,"{'original': 8, 'alternative': 8.3}",3,0.66,0.12,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,5,4,85.33333333333334,87.5,20.0,100.0,,5.0,1.0,,4.0,5.0,1.0,,1.0,,1.0,,4.0,1.0,,7.0,-0.29,,1.0,,3.0,3.0,2.0,,,3.0,1.0,,
14015497,home,5152,FK Partizan,1584964,Bogdan Kostić,bogdan-kostic,M,99,False,29.0,23.0,1.0,1.0,0.0,3.0,4.0,20.0,25.0,,5.0,,,,,71.0,46.0,7.8,14.0,,"{'original': 7.8, 'alternative': 7.6}",2,-0.18,0.23,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,3,5,79.3103448275862,100.0,,,,2.0,,,5.0,4.0,,,1.0,,2.0,2.0,1.0,1.0,,1.0,0.51,1.0,,,1.0,,,1.0,1.0,4.0,,,
14015497,home,5152,FK Partizan,1819171,Andrej Kostić,andrej-kostic,F,9,False,26.0,18.0,2.0,1.0,0.0,5.0,5.0,13.0,21.0,1.0,3.0,,,,,85.0,40.0,6.2,12.0,,"{'original': 6.2, 'alternative': 7.8}",5,-0.82,0.45,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,1,3,69.23076923076923,50.0,,100.0,,,,2.0,5.0,1.0,,,2.0,,,,1.0,,2.0,2.0,0.21,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,
