player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,blockCoordinates,addedTime
"{'name': 'Louay Ben Hassine', 'slug': 'louay-ben-hassine', 'shortName': 'L. B. Hassine', 'position': 'M', 'jerseyNumber': '99', 'userCount': 214, 'gender': 'M', 'id': 1000815, 'fieldTranslations': {'nameTranslation': {'ar': 'لؤي بن حسين'}, 'shortNameTranslation': {'ar': 'ل. حسين'}}}",True,miss,throw-in-set-piece,"{'x': 10.9, 'y': 53.9, 'z': 0}",right-foot,high,"{'x': 0, 'y': 48.6, 'z': 69.4}",6021114,87,5190,"{'start': {'x': 53.9, 'y': 10.9}, 'end': {'x': 51.4, 'y': 0}, 'goal': {'x': 51.4, 'y': 30.6}}",4,210,2490,shot,,,
"{'name': 'Kilian Bevis', 'firstName': '', 'lastName': '', 'slug': 'kilian-bevis', 'shortName': 'K. Bevis', 'position': 'M', 'jerseyNumber': '10', 'userCount': 127, 'gender': 'M', 'id': 1005356, 'fieldTranslations': {'nameTranslation': {'ar': 'كيليان بيفيس'}, 'shortNameTranslation': {'ar': 'ك. بيفيس'}}}",True,goal,set-piece,"{'x': 4.6, 'y': 46.4, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.3, 'z': 2.5}",6021018,82,4870,"{'start': {'x': 46.4, 'y': 4.6}, 'end': {'x': 50.7, 'y': 0}, 'goal': {'x': 50.7, 'y': 97.5}}",9,530,2170,shot,regular,,
"{'name': 'Sarpreet Singh', 'firstName': '', 'lastName': '', 'slug': 'sarpreet-singh', 'shortName': 'S. Singh', 'position': 'M', 'jerseyNumber': '9', 'userCount': 427, 'gender': 'M', 'id': 822743, 'fieldTranslations': {'nameTranslation': {'ar': 'ساربريت سينغ', 'bn': 'সরপ্রীত সিং', 'hi': 'सरप्रीत सिंह'}, 'shortNameTranslation': {'ar': 'س. سينغ', 'bn': 'এস. সিং', 'hi': 'बी. हेनेन'}}}",False,goal,assisted,"{'x': 20, 'y': 67.7, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.5, 'z': 7}",6020931,78,4662,"{'start': {'x': 67.7, 'y': 20}, 'end': {'x': 49.5, 'y': 0}, 'goal': {'x': 49.5, 'y': 93}}",13,738,1962,shot,regular,,
"{'name': 'Wajdi Sahli', 'slug': 'wajdi-sahli', 'shortName': 'W. Sahli', 'position': 'M', 'jerseyNumber': '7', 'userCount': 230, 'gender': 'M', 'id': 1013823, 'fieldTranslations': {'nameTranslation': {'ar': 'وجدي السهلي'}, 'shortNameTranslation': {'ar': 'و. السهلي'}}}",True,miss,assisted,"{'x': 18.2, 'y': 58.7, 'z': 0}",right-foot,high,"{'x': 0, 'y': 45.4, 'z': 77.8}",6020919,77,4604,"{'start': {'x': 58.7, 'y': 18.2}, 'end': {'x': 54.6, 'y': 0}, 'goal': {'x': 54.6, 'y': 22.2}}",14,796,1904,shot,,,
"{'name': 'Kilian Bevis', 'firstName': '', 'lastName': '', 'slug': 'kilian-bevis', 'shortName': 'K. Bevis', 'position': 'M', 'jerseyNumber': '10', 'userCount': 127, 'gender': 'M', 'id': 1005356, 'fieldTranslations': {'nameTranslation': {'ar': 'كيليان بيفيس'}, 'shortNameTranslation': {'ar': 'ك. بيفيس'}}}",True,block,fast-break,"{'x': 11.6, 'y': 39.3, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.8, 'z': 19}",6020894,75,4481,"{'start': {'x': 39.3, 'y': 11.6}, 'block': {'x': 40.2, 'y': 10.2}, 'end': {'x': 47.2, 'y': 0}, 'goal': {'x': 47.2, 'y': 81}}",16,919,1781,shot,,"{'x': 10.2, 'y': 40.2, 'z': 0}",
"{'name': 'Kilian Bevis', 'firstName': '', 'lastName': '', 'slug': 'kilian-bevis', 'shortName': 'K. Bevis', 'position': 'M', 'jerseyNumber': '10', 'userCount': 127, 'gender': 'M', 'id': 1005356, 'fieldTranslations': {'nameTranslation': {'ar': 'كيليان بيفيس'}, 'shortNameTranslation': {'ar': 'ك. بيفيس'}}}",True,block,regular,"{'x': 19.4, 'y': 62.6, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.4, 'z': 19}",6020690,65,3885,"{'start': {'x': 62.6, 'y': 19.4}, 'block': {'x': 60.5, 'y': 15.7}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 81}}",26,1515,1185,shot,,"{'x': 15.7, 'y': 60.5, 'z': 0}",
"{'name': 'Issa Bah', 'slug': 'bah-issa', 'shortName': 'I. Bah', 'position': 'F', 'jerseyNumber': '77', 'userCount': 88, 'gender': 'M', 'id': 987250, 'fieldTranslations': {'nameTranslation': {'ar': 'باه، عيسى', 'bn': 'বাহ, ইসা', 'hi': 'बाह, इस्सा'}, 'shortNameTranslation': {'ar': 'ع. باه', 'bn': 'আই. বাহ', 'hi': 'आई. बाह'}}}",True,miss,assisted,"{'x': 5.1, 'y': 30.5, 'z': 0}",left-foot,right,"{'x': 0, 'y': 6.2, 'z': 12.5}",6020664,65,3847,"{'start': {'x': 30.5, 'y': 5.1}, 'block': {'x': 100, 'y': 3.1}, 'end': {'x': 93.8, 'y': 0}, 'goal': {'x': 93.8, 'y': 87.5}}",26,1553,1147,shot,,"{'x': 3.1, 'y': 100, 'z': 0}",
"{'name': 'Yankuba Jarju', 'slug': 'yankuba-jarju', 'shortName': 'Y. Jarju', 'position': 'F', 'jerseyNumber': '66', 'userCount': 44, 'gender': 'M', 'id': 990630, 'fieldTranslations': {'nameTranslation': {'ar': 'يانكوبا جارجو'}, 'shortNameTranslation': {'ar': 'ي. جارجو'}}}",True,save,assisted,"{'x': 8.6, 'y': 48.4, 'z': 0}",head,high-centre,"{'x': 0, 'y': 51.2, 'z': 29.1}",6020153,45,2766,"{'start': {'x': 48.4, 'y': 8.6}, 'block': {'x': 48, 'y': 0.5}, 'end': {'x': 48.8, 'y': 0}, 'goal': {'x': 48.8, 'y': 70.9}}",1,2634,66,shot,,"{'x': 0.5, 'y': 48, 'z': 0}",2.0
"{'name': 'Miloš Degenek', 'slug': 'milos-degenek', 'shortName': 'M. Degenek', 'position': 'D', 'jerseyNumber': '5', 'userCount': 450, 'gender': 'M', 'id': 155961, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوس ديجينيك', 'bn': 'মিলোস ডেজেনেক', 'hi': 'मिलोस डेगेनेक'}, 'shortNameTranslation': {'ar': 'م. ديجينيك', 'bn': 'এম. ডেজেনেক', 'hi': 'एम. डेगेनेक'}}}",False,miss,regular,"{'x': 34.4, 'y': 47.7, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 57.8, 'z': 73.6}",6020049,36,2101,"{'start': {'x': 47.7, 'y': 34.4}, 'end': {'x': 42.2, 'y': 0}, 'goal': {'x': 42.2, 'y': 26.4}}",10,599,2101,shot,,,
"{'name': 'Wajdi Sahli', 'slug': 'wajdi-sahli', 'shortName': 'W. Sahli', 'position': 'M', 'jerseyNumber': '7', 'userCount': 230, 'gender': 'M', 'id': 1013823, 'fieldTranslations': {'nameTranslation': {'ar': 'وجدي السهلي'}, 'shortNameTranslation': {'ar': 'و. السهلي'}}}",True,save,assisted,"{'x': 15.7, 'y': 55, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 48.1, 'z': 5.7}",6020024,34,1993,"{'start': {'x': 55, 'y': 15.7}, 'block': {'x': 51.1, 'y': 1.9}, 'end': {'x': 51.9, 'y': 0}, 'goal': {'x': 51.9, 'y': 94.3}}",12,707,1993,shot,,"{'x': 1.9, 'y': 51.1, 'z': 0}",
"{'name': 'Andrej Todoroski', 'firstName': '', 'lastName': '', 'slug': 'andrej-todoroski', 'shortName': 'A. Todoroski', 'position': 'M', 'jerseyNumber': '10', 'userCount': 89, 'gender': 'M', 'id': 888023, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه تودوروسكي'}, 'shortNameTranslation': {'ar': 'أ. تودوروسكي'}}}",False,block,assisted,"{'x': 11.4, 'y': 66.9, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.4, 'z': 19}",6020014,32,1897,"{'start': {'x': 66.9, 'y': 11.4}, 'block': {'x': 63.9, 'y': 9.4}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 81}}",14,803,1897,shot,,"{'x': 9.4, 'y': 63.9, 'z': 0}",
"{'name': 'Wajdi Sahli', 'slug': 'wajdi-sahli', 'shortName': 'W. Sahli', 'position': 'M', 'jerseyNumber': '7', 'userCount': 230, 'gender': 'M', 'id': 1013823, 'fieldTranslations': {'nameTranslation': {'ar': 'وجدي السهلي'}, 'shortNameTranslation': {'ar': 'و. السهلي'}}}",True,block,assisted,"{'x': 21.5, 'y': 60.2, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.4, 'z': 19}",6020004,30,1791,"{'start': {'x': 60.2, 'y': 21.5}, 'block': {'x': 55.1, 'y': 8.6}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 81}}",16,909,1791,shot,,"{'x': 8.6, 'y': 55.1, 'z': 0}",
"{'name': 'Alfa Baldé', 'firstName': 'Alfa Baldé', 'lastName': '', 'slug': 'alfa-balde', 'shortName': 'A. Baldé', 'position': 'F', 'jerseyNumber': '17', 'userCount': 92, 'gender': 'M', 'id': 1158017, 'fieldTranslations': {'nameTranslation': {'ar': 'لوباس، فالنتين'}, 'shortNameTranslation': {'ar': 'ف. لوباس'}}}",True,block,assisted,"{'x': 13.9, 'y': 69.5, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.6, 'z': 19}",6019968,28,1679,"{'start': {'x': 69.5, 'y': 13.9}, 'block': {'x': 65.5, 'y': 10.9}, 'end': {'x': 51.4, 'y': 0}, 'goal': {'x': 51.4, 'y': 81}}",18,1021,1679,shot,,"{'x': 10.9, 'y': 65.5, 'z': 0}",
"{'name': 'Yankuba Jarju', 'slug': 'yankuba-jarju', 'shortName': 'Y. Jarju', 'position': 'F', 'jerseyNumber': '66', 'userCount': 44, 'gender': 'M', 'id': 990630, 'fieldTranslations': {'nameTranslation': {'ar': 'يانكوبا جارجو'}, 'shortNameTranslation': {'ar': 'ي. جارجو'}}}",True,goal,regular,"{'x': 15, 'y': 41.7, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.8, 'z': 8.9}",6019951,27,1561,"{'start': {'x': 41.7, 'y': 15}, 'end': {'x': 54.2, 'y': 0}, 'goal': {'x': 54.2, 'y': 91.1}}",19,1139,1561,shot,regular,,
