player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Đorđe Crnomarković', 'slug': 'dorde-crnomarkovic', 'shortName': 'Đ. Crnomarković', 'position': 'D', 'jerseyNumber': '5', 'userCount': 40, 'gender': 'M', 'id': 795878, 'fieldTranslations': {'nameTranslation': {'ar': 'دوردي كرونوماركوفيتش', 'bn': 'ডোরে ক্রনোমারকোভিচ', 'hi': 'जॉर्ज क्रनोमार्कोविक'}, 'shortNameTranslation': {'ar': 'د. كرونوماركوفيتش', 'bn': 'ডি. ক্রনোমারকোভিচ', 'hi': 'जी. क्रनोमार्कोविक'}}}",False,miss,corner,"{'x': 6.6, 'y': 39.9, 'z': 0}",left-foot,left,"{'x': 0, 'y': 59.5, 'z': 13.9}",6014110,87,5168,"{'start': {'x': 39.9, 'y': 6.6}, 'end': {'x': 40.5, 'y': 0}, 'goal': {'x': 40.5, 'y': 86.1}}",4,232,2468,shot,,
"{'name': 'John Mary', 'slug': 'john-mary', 'shortName': 'J. Mary', 'position': 'F', 'jerseyNumber': '28', 'userCount': 155, 'gender': 'M', 'id': 795913, 'fieldTranslations': {'nameTranslation': {'ar': 'جون ماري', 'bn': 'জন মেরি', 'hi': 'जॉन मैरी'}, 'shortNameTranslation': {'ar': 'ج. ماري', 'bn': 'জে. মেরি', 'hi': 'जे. मैरी'}}}",False,save,fast-break,"{'x': 9.9, 'y': 28.6, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.4, 'z': 7.6}",6014109,86,5124,"{'start': {'x': 28.6, 'y': 9.9}, 'block': {'x': 42.8, 'y': 3.6}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 92.4}}",5,276,2424,shot,"{'x': 3.6, 'y': 42.8, 'z': 0}",
"{'name': 'Filip Krstić', 'firstName': 'Filip', 'lastName': 'Krstić', 'slug': 'filip-krstic', 'shortName': 'F. Krstić', 'position': 'M', 'jerseyNumber': '4', 'userCount': 16, 'gender': 'M', 'id': 840862, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليب كريستيتش'}, 'shortNameTranslation': {'ar': 'ف. كريستيتش'}}}",True,block,set-piece,"{'x': 24.7, 'y': 49.5, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.7, 'z': 19}",6014103,84,4981,"{'start': {'x': 49.5, 'y': 24.7}, 'block': {'x': 49.5, 'y': 19.8}, 'end': {'x': 49.3, 'y': 0}, 'goal': {'x': 49.3, 'y': 81}}",7,419,2281,shot,"{'x': 19.8, 'y': 49.5, 'z': 0}",
"{'name': 'Filip Krstić', 'firstName': 'Filip', 'lastName': 'Krstić', 'slug': 'filip-krstic', 'shortName': 'F. Krstić', 'position': 'M', 'jerseyNumber': '4', 'userCount': 16, 'gender': 'M', 'id': 840862, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليب كريستيتش'}, 'shortNameTranslation': {'ar': 'ف. كريستيتش'}}}",True,block,free-kick,"{'x': 24, 'y': 45.5, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.6, 'z': 19}",6014102,83,4979,"{'start': {'x': 45.5, 'y': 24}, 'block': {'x': 47.7, 'y': 13.4}, 'end': {'x': 50.4, 'y': 0}, 'goal': {'x': 50.4, 'y': 81}}",8,421,2279,shot,"{'x': 13.4, 'y': 47.7, 'z': 0}",
"{'name': 'Aleksa Vukanović', 'slug': 'aleksa-vukanovic', 'shortName': 'A. Vukanović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 157, 'gender': 'M', 'id': 842317, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسا فوكانوفيتش', 'bn': 'আলেক্সা ভুকানোভিচ', 'hi': 'अलेक्सा वुकानोविक'}, 'shortNameTranslation': {'ar': 'أ. فوكانوفيتش', 'bn': 'এ. ভুকানোভিচ', 'hi': 'ए. वुकानोविक'}}}",False,save,fast-break,"{'x': 19.7, 'y': 60.1, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.8, 'z': 0.6}",6014057,71,4255,"{'start': {'x': 60.1, 'y': 19.7}, 'block': {'x': 52.9, 'y': 1.9}, 'end': {'x': 54.2, 'y': 0}, 'goal': {'x': 54.2, 'y': 99.4}}",20,1145,1555,shot,"{'x': 1.9, 'y': 52.9, 'z': 0}",
"{'name': 'Mateja Bubanj', 'firstName': '', 'lastName': '', 'slug': 'mateja-bubanj', 'shortName': 'M. Bubanj', 'position': 'F', 'jerseyNumber': '9', 'userCount': 74, 'gender': 'M', 'id': 1153959, 'fieldTranslations': {'nameTranslation': {'ar': 'سكوبرين ب ر / فالي ف'}, 'shortNameTranslation': {'ar': 'س. ف'}}}",True,save,set-piece,"{'x': 13.3, 'y': 57.5, 'z': 0}",head,low-left,"{'x': 0, 'y': 51.9, 'z': 13.3}",6014055,70,4182,"{'start': {'x': 57.5, 'y': 13.3}, 'block': {'x': 51.1, 'y': 0.3}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 86.7}}",21,1218,1482,shot,"{'x': 0.3, 'y': 51.1, 'z': 0}",
"{'name': 'Dragan Kokanović', 'slug': 'dragan-kokanovic', 'shortName': 'D. Kokanović', 'position': 'M', 'jerseyNumber': '20', 'userCount': 54, 'gender': 'M', 'id': 1114797, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان كوكانوفيتش'}, 'shortNameTranslation': {'ar': 'د. كوكانوفيتش'}}}",False,miss,corner,"{'x': 9.2, 'y': 39.9, 'z': 0}",head,close-left,"{'x': 0, 'y': 57.8, 'z': 16.7}",6014024,67,4006,"{'start': {'x': 39.9, 'y': 9.2}, 'end': {'x': 42.2, 'y': 0}, 'goal': {'x': 42.2, 'y': 83.3}}",24,1394,1306,shot,,
"{'name': 'Luka Drobnjak', 'firstName': 'Luka Drobnjak', 'lastName': '', 'slug': 'luka-drobnjak', 'shortName': 'L. Drobnjak', 'position': 'D', 'jerseyNumber': '77', 'userCount': 38, 'gender': 'M', 'id': 1165834, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا دروبنياك'}, 'shortNameTranslation': {'ar': 'ل. دروبنياك'}}}",True,miss,corner,"{'x': 9.4, 'y': 54.8, 'z': 0}",head,close-left,"{'x': 0, 'y': 58.2, 'z': 18.1}",6014139,64,3818,"{'start': {'x': 54.8, 'y': 9.4}, 'end': {'x': 41.8, 'y': 0}, 'goal': {'x': 41.8, 'y': 81.9}}",27,1582,1118,shot,,
"{'name': 'Stefan Hajdin', 'firstName': 'Stefan', 'lastName': 'Hajdin', 'slug': 'stefan-hajdin', 'shortName': 'S. Hajdin', 'position': 'D', 'jerseyNumber': '3', 'userCount': 47, 'gender': 'M', 'id': 889448, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان حيدين'}, 'shortNameTranslation': {'ar': 'س. حيدين'}}}",True,block,assisted,"{'x': 11.4, 'y': 44, 'z': 0}",head,low-right,"{'x': 0, 'y': 46.3, 'z': 19}",6014020,64,3790,"{'start': {'x': 44, 'y': 11.4}, 'block': {'x': 45.1, 'y': 10.1}, 'end': {'x': 53.7, 'y': 0}, 'goal': {'x': 53.7, 'y': 81}}",27,1610,1090,shot,"{'x': 10.1, 'y': 45.1, 'z': 0}",
"{'name': 'Andrija Majdevac', 'firstName': '', 'lastName': '', 'slug': 'andrija-majdevac', 'shortName': 'A. Majdevac', 'position': 'F', 'jerseyNumber': '11', 'userCount': 71, 'gender': 'M', 'id': 796223, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا ماجديفاك', 'bn': 'আন্দ্রিজা মাজদেভাক', 'hi': 'एंड्रीजा मजदेवैक'}, 'shortNameTranslation': {'ar': 'أ. ماجديفاك', 'bn': 'এ. মাজদেভাক', 'hi': 'ए. मजदेवैक'}}}",True,save,throw-in-set-piece,"{'x': 9.2, 'y': 54, 'z': 0}",head,high-right,"{'x': 0, 'y': 46.2, 'z': 24.1}",6014018,60,3579,"{'start': {'x': 54, 'y': 9.2}, 'block': {'x': 52, 'y': 0.90000000000001}, 'end': {'x': 53.8, 'y': 0}, 'goal': {'x': 53.8, 'y': 75.9}}",31,1821,879,shot,"{'x': 0.90000000000001, 'y': 52, 'z': 0}",
