match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOwnHalfPasses,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,interceptionWon,ballRecovery,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,accurateCross,blockedScoringAttempt,keyPass,shotValueNormalized,dispossessed,bigChanceMissed,shotOffTarget,onTargetScoringAttempt,wonContest,bigChanceCreated,totalOffside,outfielderBlock,goals,goodHighClaim,totalKeeperSweeper,accurateKeeperSweeper,hitWoodwork
14015499,home,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,False,5.0,2.0,5.0,2.0,0.0,1.0,2.0,4.0,1.0,2.0,3.0,45.0,10.0,5.5,3.0,0.3191,"{'original': 5.5, 'alternative': 6}",0,0.01,-0.08,-0.38,-0.64,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015499,home,7674,FK Napredak Kruševac,984877,Uroš Ignjatović,uros-ignjatovic,D,24,False,34.0,26.0,4.0,1.0,0.0,16.0,10.0,18.0,4.0,,,90.0,63.0,6.1,15.0,,"{'original': 6.1, 'alternative': 6.1}",0,-0.06,0.05,-0.69,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,6,5,76.47058823529412,25.0,,,,16.0,1.0,1.0,2.0,6.0,8.0,2.0,3.0,1.0,5.0,5.0,4.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,
14015499,home,7674,FK Napredak Kruševac,840862,Filip Krstić,filip-krstic,D,4,False,38.0,32.0,8.0,5.0,0.0,18.0,15.0,20.0,1.0,,,90.0,49.0,6.2,7.0,,"{'original': 6.2, 'alternative': 6.5}",2,0.3,0.12,-0.66,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,84.21052631578947,62.5,100.0,,,17.0,1.0,,,2.0,3.0,,,3.0,2.0,1.0,1.0,,2.0,2.0,1.0,2.0,1.0,0.01,,,,,,,,,,,,,
14015499,home,7674,FK Napredak Kruševac,795871,Stefan Bukorac,stefan-bukorac,D,5,False,49.0,42.0,5.0,1.0,0.0,35.0,7.0,14.0,2.0,,,90.0,59.0,5.6,8.0,,"{'original': 5.6, 'alternative': 5.8}",0,0.0,0.07,-0.62,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,5,1,0,1,85.71428571428571,20.0,,,,35.0,,3.0,2.0,4.0,2.0,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
14015499,home,7674,FK Napredak Kruševac,937992,Nikola Vukajlović,nikola-vukajlovic,D,7,False,21.0,20.0,1.0,1.0,0.0,12.0,9.0,9.0,1.0,,,45.0,26.0,5.5,2.0,,"{'original': 5.5, 'alternative': 5.8}",0,0.08,0.02,-0.76,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,95.23809523809523,100.0,,,,11.0,,,1.0,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
14015499,home,5143,FK Napredak Kruševac,889448,Stefan Hajdin,stefan-hajdin,D,44,False,33.0,23.0,2.0,1.0,0.0,13.0,12.0,20.0,1.0,,,90.0,61.0,5.1,19.0,,"{'original': 5.1, 'alternative': 5.7}",4,0.21,0.17,-0.91,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,1,9,69.6969696969697,50.0,33.33333333333333,,,11.0,3.0,2.0,1.0,11.0,2.0,3.0,2.0,,4.0,,,3.0,1.0,2.0,1.0,1.0,2.0,-0.56,2.0,1.0,2.0,1.0,,,,,,,,,
14015499,home,7674,FK Napredak Kruševac,956793,Nikola Bogdanovski,nikola-bogdanovski,M,33,False,16.0,6.0,1.0,,0.0,2.0,4.0,14.0,,,,68.0,36.0,6.5,17.0,,"{'original': 6.5, 'alternative': 6.5}",1,0.26,0.26,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,37.5,,40.0,50.0,,2.0,5.0,1.0,1.0,3.0,4.0,,2.0,,7.0,1.0,,2.0,1.0,,2.0,1.0,2.0,0.01,1.0,,,,1.0,,,,,,,,
14015499,home,7674,FK Napredak Kruševac,1102136,Luka Laban,luka-laban,M,14,False,19.0,12.0,6.0,2.0,0.0,6.0,6.0,13.0,,,,45.0,28.0,6.1,9.0,,"{'original': 6.1, 'alternative': 6.2}",1,0.21,-0.71,-0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,63.1578947368421,33.33333333333333,50.0,,,6.0,2.0,1.0,1.0,4.0,3.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.06,,,,,,,,,,,,,
14015499,home,7674,FK Napredak Kruševac,795861,Miloš Vulić,milos-vulic,M,10,False,39.0,36.0,4.0,2.0,0.0,21.0,15.0,18.0,2.0,,,90.0,57.0,7.2,10.0,,"{'original': 7.2, 'alternative': 7.3}",0,0.34,0.15,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,6,0,92.3076923076923,50.0,25.0,,,21.0,8.0,2.0,1.0,2.0,7.0,,,1.0,9.0,2.0,1.0,,4.0,,2.0,,3.0,,,,,,,1.0,1.0,,,,,,
14015499,home,7674,FK Napredak Kruševac,796223,Andrija Majdevac,andrija-majdevac,F,11,False,22.0,14.0,1.0,,1.0,9.0,6.0,13.0,,,,77.0,29.0,7.5,10.0,,"{'original': 7.5, 'alternative': 7.6}",3,0.57,0.31,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,63.63636363636363,,,,,8.0,1.0,1.0,2.0,2.0,4.0,,,,4.0,,,,2.0,,,,1.0,-0.52,1.0,,1.0,2.0,,1.0,,,,,,,
14015499,home,7674,FK Napredak Kruševac,267473,Nebojša Bastajić,nebojsa-bastajic,F,12,False,24.0,22.0,4.0,4.0,0.0,3.0,19.0,21.0,,,,90.0,43.0,7.2,11.0,,"{'original': 7.2, 'alternative': 6.5}",2,0.34,0.07,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,4,5,91.66666666666666,100.0,20.0,,,3.0,5.0,3.0,,8.0,4.0,,2.0,,1.0,2.0,,,2.0,,1.0,,1.0,0.29,3.0,1.0,1.0,1.0,,,1.0,,,,,,
14015499,home,7674,FK Napredak Kruševac,1165834,Luka Drobnjak,luka-drobnjak,F,77,True,37.0,31.0,9.0,5.0,0.0,21.0,11.0,16.0,2.0,,,45.0,46.0,7.2,6.0,,"{'original': 7.2, 'alternative': 7.1}",1,0.12,0.03,0.35,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,2,0,83.78378378378379,55.55555555555556,,,,20.0,,2.0,1.0,2.0,3.0,,,,1.0,1.0,,,1.0,,,,,-0.17,,,1.0,,,,,1.0,,,,,
14015499,home,7674,FK Napredak Kruševac,1153959,Mateja Bubanj,mateja-bubanj,F,9,True,13.0,9.0,3.0,2.0,0.0,3.0,6.0,10.0,,,,45.0,24.0,6.9,8.0,,"{'original': 6.9, 'alternative': 7.5}",2,-0.06,0.16,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,69.23076923076923,66.66666666666666,,,,3.0,,1.0,,3.0,1.0,2.0,,1.0,3.0,,,4.0,1.0,,,,,0.31,,,,2.0,,,,,1.0,,,,
14015499,home,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,True,16.0,13.0,5.0,2.0,0.0,13.0,,3.0,1.0,1.0,2.0,45.0,23.0,7.0,3.0,0.3996,"{'original': 7, 'alternative': 7.4}",0,-0.01,-0.01,0.34,0.36,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,81.25,40.0,,,100.0,13.0,,,,,1.0,,,,4.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,
14015499,home,5407,FK Napredak Kruševac,807251,Ivan Šubert,ivan-subert,D,31,True,7.0,7.0,,,0.0,6.0,1.0,1.0,2.0,,,22.0,10.0,6.7,,,"{'original': 6.7, 'alternative': 6.7}",0,0.01,-0.04,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,6.0,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
14015499,home,39946,FK Napredak Kruševac,842735,Marko Šarić,marko-saric,F,88,True,,,,,0.0,,,,,,,13.0,2.0,6.6,,,"{'original': 6.6, 'alternative': 6.6}",0,,0.01,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
14015499,home,37064,FK Napredak Kruševac,799015,Lazar Zličić,lazar-zlicic,M,23,True,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015499,home,7674,FK Napredak Kruševac,998786,Vladimir Miletić,vladimir-miletic,M,95,True,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015499,home,7674,FK Napredak Kruševac,1846384,Lazar Miladinović,lazar-miladinovic,D,70,True,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015499,home,7674,FK Napredak Kruševac,943362,Miloš Tošeski,milos-toseski,M,22,True,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015499,home,7674,FK Napredak Kruševac,1093731,Dragan Čubra,dragan-cubra,D,27,True,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
