match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,duelWon,totalClearance,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialWon,duelLost,totalContest,onTargetScoringAttempt,goals,interceptionWon,totalTackle,wonTackle,shotValueNormalized,challengeLost,outfielderBlock,keyPass,aerialLost,shotOffTarget,hitWoodwork,fouls,dispossessed,unsuccessfulTouch,blockedScoringAttempt,bigChanceCreated,wonContest,bigChanceMissed,penaltyFaced,punches,penaltyConceded
14015512,home,5148,FK Čukarički,1165958,Lazar Kaličanin,lazar-kalicanin,G,12,False,19.0,6.0,17.0,4.0,0.0,3.0,3.0,3.0,16.0,1.0,2.0,14.0,1.0,2.0,1.0,4.0,2.0,2.0,90.0,33.0,6.6,13.0,0.0499,"{'original': 6.6, 'alternative': 7.2}",0,0.07,0.01,0.17,0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,31.57894736842105,23.52941176470588,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015512,home,5148,FK Čukarički,795850,Nemanja Miletić,nemanja-miletic,D,73,False,19.0,11.0,5.0,1.0,0.0,6.0,10.0,5.0,9.0,4.0,4.0,2.0,1.0,,,,,,90.0,46.0,7.2,20.0,,"{'original': 7.2, 'alternative': 7.3}",1,0.19,0.01,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,2,1,57.89473684210527,20.0,33.33333333333333,,,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32,,,,,,,,,,,,,,,,
14015512,home,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,22.0,19.0,5.0,4.0,0.0,11.0,13.0,8.0,9.0,,6.0,4.0,,,,,,,90.0,31.0,6.9,3.0,,"{'original': 6.9, 'alternative': 6.8}",0,0.32,0.06,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,86.36363636363636,80.0,100.0,,,1.0,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
14015512,home,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,False,23.0,16.0,7.0,3.0,0.0,8.0,11.0,8.0,12.0,1.0,3.0,1.0,,,,,,,90.0,31.0,6.3,7.0,,"{'original': 6.3, 'alternative': 6.7}",1,0.15,0.09,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,0,1,69.56521739130434,42.857142857142854,,,,,,1.0,4.0,,,,1.0,,,-0.3,,1.0,,3.0,1.0,1.0,1.0,,,,,,,,,
14015512,home,5148,FK Čukarički,988549,Bojica Nikčević,nikcevic-bojica,M,17,False,8.0,7.0,,,0.0,2.0,2.0,5.0,6.0,5.0,2.0,4.0,,,,,,,68.0,27.0,7.9,10.0,,"{'original': 7.9, 'alternative': 7.6}",1,0.01,0.02,0.28,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,5,5,87.5,,,,,3.0,,,5.0,1.0,1.0,1.0,,5.0,3.0,0.54,,,,,,,2.0,2.0,2.0,,,,,,,
14015512,home,5148,FK Čukarički,1008225,Sambou Sissoko,sambou-sissoko,M,14,False,19.0,11.0,5.0,1.0,0.0,3.0,3.0,8.0,16.0,5.0,4.0,5.0,2.0,,,,,,90.0,34.0,6.8,10.0,,"{'original': 6.8, 'alternative': 6.6}",0,0.19,-0.08,0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,3,5,57.89473684210527,20.0,,,,,,2.0,6.0,1.0,,,2.0,1.0,1.0,,,,,1.0,,,4.0,,1.0,,,,,,,
14015512,home,5148,FK Čukarički,98436,Srđan Mijailović,srdan-mijailovic,M,8,False,25.0,16.0,5.0,2.0,0.0,6.0,6.0,10.0,19.0,4.0,5.0,2.0,1.0,,,,,,83.0,42.0,6.7,9.0,,"{'original': 6.7, 'alternative': 6.9}",2,0.14,-0.04,0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,3,2,64.0,40.0,,,,,,1.0,2.0,,,,1.0,2.0,2.0,-0.03,,1.0,1.0,,1.0,,2.0,,,1.0,,,,,,
14015512,home,5148,FK Čukarički,1464578,Lazar Stojanović,lazar-stojanovic,M,29,False,9.0,6.0,2.0,2.0,0.0,3.0,3.0,3.0,6.0,1.0,,1.0,,,,,,,45.0,16.0,6.8,4.0,,"{'original': 6.8, 'alternative': 6.5}",1,0.28,0.04,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,66.66666666666666,100.0,,,,,,,1.0,,,,,1.0,,-0.09,,,,,,,1.0,,,1.0,,,,,,
14015512,home,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,F,22,False,19.0,16.0,,,0.0,9.0,9.0,7.0,10.0,,,9.0,,,,,,,90.0,32.0,7.2,13.0,,"{'original': 7.2, 'alternative': 7.2}",1,0.07,-0.03,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,0,4,84.21052631578947,,,,,3.0,,,6.0,1.0,1.0,1.0,1.0,,,0.55,2.0,,1.0,2.0,,,,1.0,5.0,,1.0,,,,,
14015512,home,5148,FK Čukarički,905103,Slobodan Tedić,slobodan-tedic,F,9,False,15.0,7.0,1.0,,0.0,,2.0,7.0,13.0,5.0,2.0,1.0,,,,,,,83.0,22.0,6.6,9.0,,"{'original': 6.6, 'alternative': 7.3}",3,-0.36,0.31,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,12,2,0,2,46.666666666666664,,,,,,,5.0,9.0,,1.0,1.0,,,,0.29,,,,7.0,2.0,,2.0,,1.0,,,,,,,
14015512,home,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,F,90,False,11.0,5.0,,,0.0,2.0,3.0,3.0,8.0,6.0,,4.0,3.0,,,,,,61.0,26.0,6.9,10.0,,"{'original': 6.9, 'alternative': 7.1}",3,-0.1,0.38,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,5,4,45.45454545454545,,,100.0,,,,1.0,5.0,1.0,2.0,,1.0,1.0,1.0,-0.11,2.0,,,1.0,1.0,,2.0,,3.0,,,1.0,1.0,,,
