match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,penaltyFaced,minutesPlayed,touches,rating,possessionLostCtrl,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,blockedScoringAttempt,interceptionWon,unsuccessfulTouch,wasFouled,keyPass,shotValueNormalized,challengeLost,totalClearance,totalTackle,wonTackle,fouls,totalContest,wonContest,outfielderBlock,penaltyConceded,shotOffTarget,onTargetScoringAttempt,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,keeperSaveValue,goalkeeperValueNormalized,lastManTackle,goals,penaltyWon,totalOffside
14015518,home,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,False,18.0,16.0,6.0,4.0,0.0,12.0,12.0,4.0,6.0,5.0,1.0,90.0,21.0,6.6,2.0,"{'original': 6.6, 'alternative': 6.6}",0,0.04,0.01,-0.07,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,88.88888888888889,66.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015518,home,7674,FK Napredak Kruševac,984877,Uroš Ignjatović,uros-ignjatovic,D,24,False,55.0,47.0,4.0,2.0,0.0,15.0,18.0,32.0,37.0,1.0,,90.0,93.0,7.3,18.0,"{'original': 7.3, 'alternative': 7.1}",1,0.49,0.17,-0.18,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,3,1,85.45454545454545,50.0,28.57142857142857,,,7.0,2.0,3.0,1.0,4.0,4.0,1.0,1.0,4.0,2.0,3.0,2.0,-0.04,,,,,,,,,,,,,,,,,,,,,
14015518,home,7674,FK Napredak Kruševac,795871,Stefan Bukorac,stefan-bukorac,D,5,False,47.0,35.0,14.0,5.0,0.0,24.0,24.0,11.0,23.0,1.0,,72.0,56.0,6.6,13.0,"{'original': 6.6, 'alternative': 6.5}",0,0.02,0.02,-0.2,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,3,3,74.46808510638297,35.714285714285715,,,,1.0,,,3.0,3.0,6.0,,,1.0,,1.0,,,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,
14015518,home,7674,FK Napredak Kruševac,1846384,Lazar Miladinović,lazar-miladinovic,D,70,False,67.0,59.0,7.0,4.0,0.0,53.0,55.0,6.0,12.0,8.0,,90.0,79.0,6.7,8.0,"{'original': 6.7, 'alternative': 6.8}",0,0.04,0.04,-0.37,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,5,3,88.05970149253731,57.14285714285714,,100.0,,,,,3.0,3.0,8.0,,,1.0,,1.0,,,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
14015518,home,7674,FK Napredak Kruševac,1165834,Luka Drobnjak,luka-drobnjak,D,77,False,64.0,50.0,8.0,3.0,0.0,35.0,37.0,15.0,27.0,6.0,,90.0,73.0,6.8,15.0,"{'original': 6.8, 'alternative': 6.7}",0,-0.11,0.06,-0.12,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,78.125,37.5,,,,,,2.0,1.0,3.0,3.0,1.0,,,,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,
14015518,home,7674,FK Napredak Kruševac,937992,Nikola Vukajlović,nikola-vukajlovic,D,7,False,52.0,29.0,9.0,2.0,0.0,12.0,17.0,17.0,35.0,2.0,,90.0,88.0,6.4,31.0,"{'original': 6.4, 'alternative': 7.3}",3,0.26,0.11,-0.1,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,2,2,55.769230769230774,22.22222222222222,25.0,,,4.0,1.0,2.0,2.0,4.0,4.0,1.0,,1.0,,1.0,3.0,-0.47,,3.0,1.0,1.0,,1.0,,,,3.0,,,,,,,,,,,
14015518,home,7674,FK Napredak Kruševac,840862,Filip Krstić,filip-krstic,M,4,False,55.0,45.0,2.0,1.0,0.0,17.0,18.0,28.0,37.0,6.0,,90.0,70.0,6.8,15.0,"{'original': 6.8, 'alternative': 7.3}",4,0.03,0.14,-0.16,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,2,2,81.81818181818183,50.0,,100.0,,4.0,,1.0,3.0,3.0,5.0,,2.0,1.0,1.0,1.0,1.0,-0.23,2.0,,,,,1.0,1.0,,,2.0,,,,,,,,,,,
14015518,home,7674,FK Napredak Kruševac,795861,Miloš Vulić,milos-vulic,M,10,False,60.0,52.0,7.0,4.0,0.0,13.0,15.0,39.0,45.0,4.0,,90.0,81.0,7.0,17.0,"{'original': 7, 'alternative': 7}",1,0.28,0.14,-0.08,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,5,3,86.66666666666667,57.14285714285714,12.5,,,8.0,1.0,1.0,2.0,4.0,7.0,,1.0,1.0,1.0,3.0,1.0,0.01,1.0,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,
14015518,home,7674,FK Napredak Kruševac,998786,Vladimir Miletić,vladimir-miletic,M,95,False,36.0,26.0,2.0,2.0,0.0,7.0,8.0,19.0,28.0,2.0,,82.0,56.0,6.4,18.0,"{'original': 6.4, 'alternative': 7.2}",3,0.26,0.09,-0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,7,6,0,6,72.22222222222221,100.0,,,,,,2.0,5.0,8.0,5.0,2.0,1.0,3.0,6.0,,1.0,-0.45,1.0,,,,3.0,,,,,,2.0,,,,,,,,,,
14015518,home,7674,FK Napredak Kruševac,956793,Nikola Bogdanovski,nikola-bogdanovski,F,33,False,1.0,1.0,,,0.0,1.0,1.0,,,,,23.0,3.0,6.5,1.0,"{'original': 6.5, 'alternative': 6.5}",0,0.0,0.0,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,100.0,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14015518,home,7674,FK Napredak Kruševac,267473,Nebojša Bastajić,nebojsa-bastajic,F,12,False,12.0,10.0,,,0.0,2.0,2.0,8.0,10.0,2.0,,45.0,19.0,6.5,4.0,"{'original': 6.5, 'alternative': 6.6}",1,0.12,0.07,-0.1,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,83.33333333333334,,100.0,,,2.0,2.0,,,4.0,1.0,,,,1.0,1.0,2.0,0.0,2.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,
14015518,home,7674,FK Napredak Kruševac,796223,Andrija Majdevac,andrija-majdevac,F,11,True,15.0,14.0,,,0.0,2.0,2.0,12.0,13.0,2.0,,67.0,22.0,6.5,2.0,"{'original': 6.5, 'alternative': 6.9}",2,0.11,0.1,-0.01,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,93.33333333333333,,,100.0,,,,3.0,1.0,4.0,2.0,,1.0,,1.0,,,-0.51,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,
14015518,home,7674,FK Napredak Kruševac,799152,Aleksandar Lutovac,aleksandar-lutovac,M,15,True,14.0,13.0,,,0.0,1.0,1.0,12.0,13.0,1.0,,45.0,32.0,6.7,11.0,"{'original': 6.7, 'alternative': 6.6}",2,0.34,-0.69,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,4,5,92.85714285714286,,,40.0,,3.0,,3.0,2.0,8.0,6.0,2.0,,,1.0,1.0,,-0.29,,,1.0,1.0,,5.0,2.0,,,1.0,1.0,,,,,,,,,,
14015518,home,37064,FK Napredak Kruševac,799015,Lazar Zličić,lazar-zlicic,M,23,True,11.0,10.0,,,0.0,3.0,3.0,7.0,8.0,2.0,,18.0,16.0,6.7,3.0,"{'original': 6.7, 'alternative': 6.9}",1,0.07,0.01,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,90.9090909090909,,,100.0,,2.0,,,,,1.0,,1.0,,,,2.0,-0.06,,,,,,1.0,1.0,,,,,,,,,,,,,,
14015518,home,5143,FK Napredak Kruševac,889448,Stefan Hajdin,stefan-hajdin,D,44,True,3.0,2.0,1.0,1.0,0.0,2.0,2.0,,1.0,,,8.0,6.0,6.8,2.0,"{'original': 6.8, 'alternative': 6.9}",0,-0.05,0.07,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,66.66666666666666,100.0,,100.0,,,,,1.0,1.0,3.0,1.0,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
14015518,home,7674,FK Napredak Kruševac,1093731,Dragan Čubra,dragan-cubra,D,27,True,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015518,home,7674,FK Napredak Kruševac,1937361,Lazar Balević,lazar-balevic,G,84,True,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015518,home,7674,FK Napredak Kruševac,1102136,Luka Laban,luka-laban,M,14,True,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015518,home,7674,FK Napredak Kruševac,943362,Miloš Tošeski,milos-toseski,M,22,True,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015518,home,7674,FK Napredak Kruševac,1153959,Mateja Bubanj,mateja-bubanj,F,9,True,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015518,home,369195,FK Napredak Kruševac,1130255,Đorđe Kotlajić,dorde-kotlajic,F,55,True,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015518,away,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,27.0,23.0,7.0,3.0,0.0,22.0,23.0,1.0,4.0,16.0,,90.0,40.0,7.4,4.0,"{'original': 7.4, 'alternative': 7.5}",0,0.1,-0.07,0.27,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,85.18518518518519,42.857142857142854,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,2.0,3.0,1.0,0.2103,0.25,,,,
14015518,away,7771,FK Mladost Lučani,150667,Nikola Boranijašević,nikola-boranijasevic,D,28,False,33.0,26.0,5.0,3.0,0.0,12.0,17.0,14.0,16.0,3.0,,89.0,73.0,7.0,19.0,"{'original': 7, 'alternative': 7.4}",1,-0.06,0.26,0.66,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,7,8,7,1,78.78787878787878,60.0,,66.66666666666666,,1.0,,5.0,2.0,6.0,9.0,,,1.0,6.0,2.0,,-0.31,,6.0,3.0,2.0,,3.0,2.0,2.0,,1.0,,,,,,,,,,,
14015518,away,7771,FK Mladost Lučani,1859501,Aleksa Milošević,aleksa-milosevic,D,20,False,58.0,44.0,9.0,,0.0,31.0,35.0,13.0,23.0,5.0,,90.0,78.0,7.2,15.0,"{'original': 7.2, 'alternative': 7.2}",0,0.15,0.06,0.65,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,3,2,75.86206896551724,,,50.0,,,,2.0,2.0,4.0,5.0,,,3.0,,,,,,8.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
14015518,away,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,63.0,55.0,9.0,4.0,0.0,47.0,51.0,8.0,12.0,3.0,,90.0,79.0,7.3,8.0,"{'original': 7.3, 'alternative': 7}",0,0.27,0.11,0.19,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,5,1,0,1,87.3015873015873,44.44444444444444,,,,,,1.0,4.0,2.0,4.0,,,,,,,,1.0,13.0,,,1.0,,,,,,,,,,,,,,,,
14015518,away,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,68.0,58.0,10.0,5.0,0.0,42.0,50.0,16.0,18.0,1.0,,90.0,84.0,7.9,11.0,"{'original': 7.9, 'alternative': 7.4}",0,0.28,0.1,0.79,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,7,6,4,2,85.29411764705883,50.0,,,,,,2.0,5.0,4.0,9.0,,,1.0,,1.0,,,1.0,10.0,3.0,1.0,1.0,,,,,,,,,,,,,1.0,,,
14015518,away,7771,FK Mladost Lučani,111313,Milan Joksimović,milan-joksimovic,D,12,False,37.0,21.0,4.0,2.0,0.0,13.0,16.0,8.0,21.0,2.0,,75.0,49.0,6.7,20.0,"{'original': 6.7, 'alternative': 6.6}",0,-0.01,-0.44,0.26,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,1,4,56.75675675675676,50.0,,,,1.0,,,1.0,4.0,2.0,,,,1.0,,,,1.0,2.0,1.0,1.0,3.0,,,1.0,,,,,,,,,,,,,
14015518,away,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,M,77,False,28.0,22.0,2.0,1.0,0.0,6.0,6.0,16.0,22.0,4.0,,75.0,40.0,6.7,9.0,"{'original': 6.7, 'alternative': 6.9}",0,-0.05,0.17,0.23,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,78.57142857142857,50.0,,50.0,,,,2.0,,3.0,3.0,,,2.0,1.0,1.0,,,,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,
14015518,away,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,False,46.0,39.0,3.0,2.0,0.0,22.0,27.0,17.0,19.0,7.0,,90.0,56.0,6.6,10.0,"{'original': 6.6, 'alternative': 6.3}",0,0.1,0.03,-0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,2,4,84.78260869565217,66.66666666666666,,,,,,2.0,1.0,6.0,3.0,,,,2.0,,,,2.0,1.0,2.0,,1.0,1.0,,,,,,,,,,,,,,,
14015518,away,7771,FK Mladost Lučani,1030454,Filip Žunić,filip-zunic,M,18,False,32.0,26.0,3.0,1.0,0.0,12.0,13.0,14.0,19.0,4.0,,90.0,45.0,7.1,8.0,"{'original': 7.1, 'alternative': 7.1}",1,0.23,0.1,0.21,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,1,2,81.25,33.33333333333333,,100.0,,,,2.0,1.0,4.0,2.0,,,1.0,2.0,,,0.32,,2.0,,,2.0,1.0,1.0,,,,1.0,,,,,,,,1.0,,
14015518,away,7771,FK Mladost Lučani,126558,Petar Bojić,petar-bojic,F,10,False,23.0,16.0,,,0.0,7.0,8.0,9.0,15.0,1.0,,90.0,36.0,6.7,11.0,"{'original': 6.7, 'alternative': 7.1}",0,-0.43,0.05,0.24,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,4,3,69.56521739130434,,,,,,,1.0,1.0,4.0,5.0,,,,2.0,4.0,,,,1.0,,,1.0,2.0,,1.0,,,,,,,,,,,,1.0,
