match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,shotOffTarget,interceptionWon,shotValueNormalized,challengeLost,dispossessed,totalContest,wonContest,keyPass,onTargetScoringAttempt,blockedScoringAttempt,totalOffside,goodHighClaim,punches,bigChanceCreated,errorLeadToAGoal,goals
14015520,home,25737,FK Radnički Niš,804837,Dejan Stanivuković,dejan-stanivukovic,G,94,False,25.0,20.0,14.0,9.0,0.0,12.0,12.0,8.0,13.0,3.0,11.0,1.0,2.0,2.0,2.0,90.0,33.0,7.6,5.0,0.3703,"{'original': 7.6, 'alternative': 7}",0,0.13,0.04,0.17,0.34,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,64.28571428571429,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015520,home,25737,FK Radnički Niš,2198962,Djordje Petrović,djordje-petrovic,D,71,False,20.0,12.0,1.0,,0.0,6.0,10.0,6.0,10.0,3.0,3.0,,,,,80.0,43.0,7.0,18.0,,"{'original': 7, 'alternative': 7}",0,0.29,0.08,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,3,1,60.0,,16.666666666666664,,,6.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14015520,home,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,38.0,32.0,9.0,6.0,0.0,19.0,21.0,13.0,17.0,13.0,5.0,,,,,90.0,62.0,7.0,11.0,,"{'original': 7, 'alternative': 7.3}",2,0.25,0.01,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,84.21052631578947,66.66666666666666,,,,,,1.0,3.0,2.0,4.0,,1.0,1.0,2.0,,1.0,2.0,1.0,-0.25,,,,,,,,,,,,,
14015520,home,295152,FK Radnički Niš,1099198,Mbouri Yamkam,mbouri-yamkam,D,3,False,43.0,32.0,7.0,2.0,0.0,26.0,28.0,6.0,15.0,4.0,4.0,,,,,90.0,50.0,6.2,13.0,,"{'original': 6.2, 'alternative': 6.2}",0,0.09,0.19,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,0,3,74.4186046511628,28.57142857142857,,,,,,1.0,2.0,4.0,2.0,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,
14015520,home,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,False,47.0,36.0,10.0,5.0,0.0,19.0,23.0,17.0,24.0,4.0,3.0,,,,,90.0,74.0,6.9,21.0,,"{'original': 6.9, 'alternative': 6.8}",0,0.25,0.12,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,3,0,76.59574468085107,50.0,,,,5.0,,2.0,1.0,2.0,4.0,,3.0,2.0,1.0,,,,2.0,,,,,,,,,,,,,,
14015520,home,40263,FK Radnički Niš,889059,Vanja Ilić,vanja-ilic,M,21,False,29.0,20.0,3.0,,0.0,11.0,16.0,9.0,13.0,,5.0,,,,,65.0,37.0,6.2,13.0,,"{'original': 6.2, 'alternative': 6.4}",2,-0.13,0.17,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,1,5,68.96551724137932,,,50.0,,1.0,,,,5.0,1.0,,,,2.0,,1.0,2.0,,-0.22,3.0,,2.0,1.0,,,,,,,,,
14015520,home,25737,FK Radnički Niš,112321,Radomir Milosavljević,radomir-milosavljevic,M,22,False,53.0,43.0,8.0,5.0,0.0,20.0,24.0,23.0,29.0,5.0,11.0,,,,,90.0,75.0,7.6,12.0,,"{'original': 7.6, 'alternative': 7.6}",1,0.34,0.29,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,9,7,4,3,81.13207547169812,62.5,,100.0,,,,4.0,5.0,7.0,9.0,,3.0,3.0,2.0,,2.0,1.0,2.0,-0.1,1.0,,1.0,1.0,2.0,,,,,,,,
14015520,home,25737,FK Radnički Niš,1022054,Miloš Spasić,milos-spasic,M,97,False,28.0,21.0,2.0,1.0,0.0,7.0,10.0,14.0,18.0,,5.0,,,,,90.0,59.0,7.7,19.0,,"{'original': 7.7, 'alternative': 8.1}",5,-0.02,0.71,-0.11,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,6,11,7,4,75.0,50.0,,60.0,,,,,6.0,4.0,13.0,,3.0,3.0,6.0,1.0,,,,-0.54,1.0,1.0,5.0,3.0,1.0,5.0,,,,,,,
14015520,home,25737,FK Radnički Niš,810663,Nikola Srećković,nikola-sreckovic,M,20,False,26.0,15.0,3.0,,0.0,6.0,7.0,9.0,19.0,1.0,5.0,,,,,80.0,50.0,6.9,18.0,,"{'original': 6.9, 'alternative': 7.4}",1,0.21,0.03,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,9,3,57.692307692307686,,100.0,,,1.0,1.0,3.0,1.0,6.0,10.0,1.0,6.0,3.0,6.0,3.0,2.0,,,0.01,,,1.0,,2.0,1.0,,,,,,,
14015520,home,263360,FK Radnički Niš,965889,Radivoj Bosić,radivoj-bosic,M,7,False,30.0,25.0,4.0,3.0,0.0,6.0,8.0,19.0,22.0,,7.0,,,,,73.0,54.0,6.9,14.0,,"{'original': 6.9, 'alternative': 7}",2,0.31,0.03,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,5,11,6,5,83.33333333333334,75.0,,50.0,,1.0,,4.0,1.0,9.0,7.0,,2.0,1.0,4.0,2.0,1.0,1.0,2.0,0.03,,2.0,4.0,2.0,3.0,,1.0,,,,,,
