player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,goalkeeper,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType,addedTime
"{'name': 'Stefan Tomović', 'firstName': 'Stefan Tomovic', 'slug': 'stefan-tomovic', 'shortName': 'S. Tomović', 'position': 'M', 'jerseyNumber': '70', 'userCount': 86, 'gender': 'M', 'id': 1063371, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان توموفيتش', 'bn': 'স্টেফান তোমোভিচ', 'hi': 'स्टीफ़न टॉमोविक'}, 'shortNameTranslation': {'ar': 'س. توموفيتش', 'bn': 'এস. তোমোভিচ', 'hi': 'एस. टॉमोविक'}}}",True,miss,corner,"{'x': 17.9, 'y': 43.4, 'z': 0}",right-foot,right,"{'x': 0, 'y': 34.6, 'z': 13.9}","{'name': 'Matheus', 'slug': 'matheus', 'shortName': 'Matheus', 'position': 'G', 'jerseyNumber': '1', 'userCount': 1597, 'gender': 'M', 'id': 603946, 'fieldTranslations': {'nameTranslation': {'ar': 'ماثيوس', 'bn': 'ম্যাথিউস', 'hi': 'माथिउस'}, 'shortNameTranslation': {'ar': 'ماثيوس', 'bn': 'ম্যাথিউস', 'hi': 'माथिउस'}}}",6146526,89,5315,"{'start': {'x': 43.4, 'y': 17.9}, 'end': {'x': 65.4, 'y': 0}, 'goal': {'x': 65.4, 'y': 86.1}}",2,85,2615,shot,,,
"{'name': 'Bruno Duarte', 'slug': 'bruno-duarte', 'shortName': 'B. Duarte', 'position': 'F', 'jerseyNumber': '17', 'userCount': 1529, 'gender': 'M', 'id': 878830, 'fieldTranslations': {'nameTranslation': {'ar': 'برونو دوارتي', 'bn': 'ব্রুনো ডুয়ার্তে', 'hi': 'ब्रूनो डुआर्टे'}, 'shortNameTranslation': {'ar': 'ب. دوارتي', 'bn': 'বি. ডুয়ার্তে', 'hi': 'बी. डुआर्टे'}}}",False,miss,assisted,"{'x': 8.9, 'y': 41.9, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 47.9, 'z': 52.8}","{'name': 'Aleksandar Vulić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-vulic', 'shortName': 'A. Vulić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 60, 'gender': 'M', 'id': 1049522, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فوليتش'}, 'shortNameTranslation': {'ar': 'أ. فوليتش'}}}",6146509,87,5195,"{'start': {'x': 41.9, 'y': 8.9}, 'end': {'x': 52.1, 'y': 0}, 'goal': {'x': 52.1, 'y': 47.2}}",4,205,2495,shot,,,
"{'name': 'Mirko Ivanić', 'slug': 'mirko-ivanic', 'shortName': 'M. Ivanić', 'position': 'M', 'jerseyNumber': '4', 'userCount': 1280, 'gender': 'M', 'id': 278763, 'fieldTranslations': {'nameTranslation': {'ar': 'ميركو إيفانيش', 'bn': 'মিরকো ইভানিচ', 'hi': 'मिर्को इवानिक'}, 'shortNameTranslation': {'ar': 'م. إيفانيش', 'bn': 'এম. ইভানিচ', 'hi': 'एम. इवानिक'}}}",False,block,assisted,"{'x': 17.5, 'y': 55.4, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.8, 'z': 19}","{'name': 'Aleksandar Vulić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-vulic', 'shortName': 'A. Vulić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 60, 'gender': 'M', 'id': 1049522, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فوليتش'}, 'shortNameTranslation': {'ar': 'أ. فوليتش'}}}",6146479,84,4994,"{'start': {'x': 55.4, 'y': 17.5}, 'block': {'x': 55.2, 'y': 9}, 'end': {'x': 52.2, 'y': 0}, 'goal': {'x': 52.2, 'y': 81}}",7,406,2294,shot,"{'x': 9, 'y': 55.2, 'z': 0}",,
"{'name': 'Aleksandar Katai', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katai', 'shortName': 'A. Katai', 'position': 'M', 'jerseyNumber': '10', 'userCount': 2418, 'gender': 'M', 'id': 110701, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتاي', 'bn': 'আলেকসান্ডার কাটাই', 'hi': 'एलेक्ज़ेंडर कटई'}, 'shortNameTranslation': {'ar': 'أ. كاتاي', 'bn': 'এ. কাটাই', 'hi': 'ए. कटई'}}}",False,miss,regular,"{'x': 12.9, 'y': 65.7, 'z': 0}",right-foot,high,"{'x': 0, 'y': 44.5, 'z': 73.6}","{'name': 'Aleksandar Vulić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-vulic', 'shortName': 'A. Vulić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 60, 'gender': 'M', 'id': 1049522, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فوليتش'}, 'shortNameTranslation': {'ar': 'أ. فوليتش'}}}",6146437,80,4775,"{'start': {'x': 65.7, 'y': 12.9}, 'end': {'x': 55.5, 'y': 0}, 'goal': {'x': 55.5, 'y': 26.4}}",11,625,2075,shot,,,
"{'name': 'Rade Krunić', 'slug': 'rade-krunic', 'shortName': 'R. Krunić', 'position': 'M', 'jerseyNumber': '33', 'userCount': 2476, 'gender': 'M', 'id': 155449, 'fieldTranslations': {'nameTranslation': {'ar': 'رادي كرونيتش', 'bn': 'রেড ক্রুনিচ', 'hi': 'राडे क्रुनिक'}, 'shortNameTranslation': {'ar': 'ر. كرونيتش', 'bn': 'আর. ক্রুনিচ', 'hi': 'आर. क्रुनिक'}}}",False,miss,regular,"{'x': 21.2, 'y': 50.5, 'z': 0}",right-foot,high,"{'x': 0, 'y': 44.7, 'z': 68.1}","{'name': 'Aleksandar Vulić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-vulic', 'shortName': 'A. Vulić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 60, 'gender': 'M', 'id': 1049522, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فوليتش'}, 'shortNameTranslation': {'ar': 'أ. فوليتش'}}}",6146303,73,4367,"{'start': {'x': 50.5, 'y': 21.2}, 'end': {'x': 55.3, 'y': 0}, 'goal': {'x': 55.3, 'y': 31.9}}",18,1033,1667,shot,,,
"{'name': 'Uroš Čejić', 'slug': 'uros-cejic', 'shortName': 'U. Cejic', 'position': 'M', 'jerseyNumber': '22', 'userCount': 16, 'gender': 'M', 'id': 1157899, 'fieldTranslations': {'nameTranslation': {'ar': 'أوروش تشيجيك'}, 'shortNameTranslation': {'ar': 'أ. تشيجيك'}}}",False,goal,regular,"{'x': 3.9, 'y': 52.6, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49, 'z': 10.1}","{'name': 'Aleksandar Vulić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-vulic', 'shortName': 'A. Vulić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 60, 'gender': 'M', 'id': 1049522, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فوليتش'}, 'shortNameTranslation': {'ar': 'أ. فوليتش'}}}",6146290,70,4185,"{'start': {'x': 52.6, 'y': 3.9}, 'end': {'x': 51, 'y': 0}, 'goal': {'x': 51, 'y': 89.9}}",21,1215,1485,shot,,own,
"{'name': 'Kwaku Bonsu Osei Gaucho', 'firstName': '', 'lastName': '', 'slug': 'kwaku-bonsu-osei-gaucho', 'shortName': 'K. B. O. Gaucho', 'position': 'F', 'jerseyNumber': '20', 'userCount': 74, 'gender': 'M', 'id': 1009837, 'fieldTranslations': {'nameTranslation': {'ar': 'كواكو بونسو أوسي غاوتشو'}, 'shortNameTranslation': {'ar': 'ك. غاوتشو'}}}",True,goal,assisted,"{'x': 17.2, 'y': 47.9, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.8, 'z': 8.9}","{'name': 'Matheus', 'slug': 'matheus', 'shortName': 'Matheus', 'position': 'G', 'jerseyNumber': '1', 'userCount': 1597, 'gender': 'M', 'id': 603946, 'fieldTranslations': {'nameTranslation': {'ar': 'ماثيوس', 'bn': 'ম্যাথিউস', 'hi': 'माथिउस'}, 'shortNameTranslation': {'ar': 'ماثيوس', 'bn': 'ম্যাথিউস', 'hi': 'माथिउस'}}}",6146141,69,4099,"{'start': {'x': 47.9, 'y': 17.2}, 'end': {'x': 46.2, 'y': 0}, 'goal': {'x': 46.2, 'y': 91.1}}",22,1301,1399,shot,,regular,
"{'name': 'Stefan Tomović', 'firstName': 'Stefan Tomovic', 'slug': 'stefan-tomovic', 'shortName': 'S. Tomović', 'position': 'M', 'jerseyNumber': '70', 'userCount': 86, 'gender': 'M', 'id': 1063371, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان توموفيتش', 'bn': 'স্টেফান তোমোভিচ', 'hi': 'स्टीफ़न टॉमोविक'}, 'shortNameTranslation': {'ar': 'س. توموفيتش', 'bn': 'এস. তোমোভিচ', 'hi': 'एस. टॉमोविक'}}}",True,goal,penalty,"{'x': 11.5, 'y': 50, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 49.1, 'z': 23.4}","{'name': 'Matheus', 'slug': 'matheus', 'shortName': 'Matheus', 'position': 'G', 'jerseyNumber': '1', 'userCount': 1597, 'gender': 'M', 'id': 603946, 'fieldTranslations': {'nameTranslation': {'ar': 'ماثيوس', 'bn': 'ম্যাথিউস', 'hi': 'माथिउस'}, 'shortNameTranslation': {'ar': 'ماثيوس', 'bn': 'ম্যাথিউস', 'hi': 'माथिउस'}}}",6146078,64,3829,"{'start': {'x': 50, 'y': 11.5}, 'end': {'x': 50.9, 'y': 0}, 'goal': {'x': 50.9, 'y': 76.6}}",27,1571,1129,shot,,penalty,
"{'name': 'Franklin Tebo', 'firstName': 'Franklin Tebo', 'lastName': '', 'slug': 'franklin-tebo', 'shortName': 'F. Tebo', 'position': 'D', 'jerseyNumber': '30', 'userCount': 722, 'gender': 'M', 'id': 1133882, 'fieldTranslations': {'nameTranslation': {'ar': 'فرانكلين تبو', 'bn': 'ফ্র্যাঙ্কলিন টেবো', 'hi': 'फ्रैंकलिन टेबो'}, 'shortNameTranslation': {'ar': 'ف. تبو', 'bn': 'এফ. টেবো', 'hi': 'एफ. टेबो'}}}",False,goal,corner,"{'x': 4, 'y': 55, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46, 'z': 3.2}","{'name': 'Aleksandar Vulić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-vulic', 'shortName': 'A. Vulić', 'position': 'G', 'jerseyNumber': '1', 'userCount': 60, 'gender': 'M', 'id': 1049522, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر فوليتش'}, 'shortNameTranslation': {'ar': 'أ. فوليتش'}}}",6146050,61,3655,"{'start': {'x': 55, 'y': 4}, 'end': {'x': 54, 'y': 0}, 'goal': {'x': 54, 'y': 96.8}}",30,1745,955,shot,,regular,
"{'name': 'Kwaku Bonsu Osei Gaucho', 'firstName': '', 'lastName': '', 'slug': 'kwaku-bonsu-osei-gaucho', 'shortName': 'K. B. O. Gaucho', 'position': 'F', 'jerseyNumber': '20', 'userCount': 74, 'gender': 'M', 'id': 1009837, 'fieldTranslations': {'nameTranslation': {'ar': 'كواكو بونسو أوسي غاوتشو'}, 'shortNameTranslation': {'ar': 'ك. غاوتشو'}}}",True,save,regular,"{'x': 6.7, 'y': 66.5, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.1, 'z': 4.4}","{'name': 'Matheus', 'slug': 'matheus', 'shortName': 'Matheus', 'position': 'G', 'jerseyNumber': '1', 'userCount': 1597, 'gender': 'M', 'id': 603946, 'fieldTranslations': {'nameTranslation': {'ar': 'ماثيوس', 'bn': 'ম্যাথিউস', 'hi': 'माथिउस'}, 'shortNameTranslation': {'ar': 'ماثيوس', 'bn': 'ম্যাথিউস', 'hi': 'माथिउस'}}}",6146327,60,3567,"{'start': {'x': 66.5, 'y': 6.7}, 'block': {'x': 56, 'y': 1.6}, 'end': {'x': 50.9, 'y': 0}, 'goal': {'x': 50.9, 'y': 95.6}}",31,1833,867,shot,"{'x': 1.6, 'y': 56, 'z': 0}",,
