match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,duelLost,duelWon,totalContest,wonContest,interceptionWon,errorLeadToAShot,dribbleValueNormalized,aerialWon,challengeLost,outfielderBlock,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,dispossessed,keyPass,ownGoals,penaltyWon,accurateCross,bigChanceCreated,shotOffTarget,onTargetScoringAttempt,blockedScoringAttempt,goals,shotValueNormalized,totalOffside,bigChanceMissed,penaltyFaced,penaltyConceded
14015522,home,36967,FK Spartak Subotica,1049522,Aleksandar Vulić,aleksandar-vulic,G,1,False,30.0,13.0,20.0,3.0,0.0,11.0,11.0,2.0,19.0,2.0,11.0,1.0,4.0,5.0,1.0,1.0,1.0,90.0,42.0,6.9,17.0,0.5957,"{'original': 6.9, 'alternative': 6.9}",0,0.03,-0.24,0.48,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,43.333333333333336,15.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015522,home,36967,FK Spartak Subotica,224466,Boris Sekulić,boris-sekulic,D,2,False,24.0,16.0,4.0,3.0,0.0,8.0,13.0,8.0,11.0,1.0,4.0,,,,,,,90.0,36.0,5.6,13.0,,"{'original': 5.6, 'alternative': 5.9}",0,-0.38,-0.65,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,66.66666666666666,75.0,,33.33333333333333,,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,0.21,,,,,,,,,,,,,,,,,,,,,,,
14015522,home,36967,FK Spartak Subotica,1104740,Luka Subotić,luka-subotic,D,15,False,42.0,32.0,8.0,2.0,0.0,25.0,28.0,7.0,14.0,8.0,7.0,,,,,,,90.0,60.0,6.5,11.0,,"{'original': 6.5, 'alternative': 6.5}",0,0.18,-0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,5,5,76.19047619047619,25.0,,100.0,,,1.0,6.0,7.0,1.0,1.0,2.0,,0.1,2.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,,
14015522,home,36967,FK Spartak Subotica,1489498,Danijel Kolaric,danijel-kolaric,D,16,False,23.0,17.0,5.0,,0.0,13.0,15.0,4.0,8.0,6.0,4.0,,,,,,,90.0,35.0,6.3,8.0,,"{'original': 6.3, 'alternative': 6.2}",0,0.07,-0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,73.91304347826086,,,,,,,1.0,3.0,,,,,0.03,1.0,1.0,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
14015522,home,201203,FK Spartak Subotica,1147543,Stefan Stojanović,stefan-stojanovic,M,7,False,12.0,11.0,,,0.0,5.0,6.0,6.0,6.0,1.0,6.0,,,,,,,61.0,36.0,6.3,11.0,,"{'original': 6.3, 'alternative': 6.2}",0,-0.04,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,3,7,91.66666666666666,,,,,,,7.0,3.0,3.0,,1.0,,0.11,,2.0,,3.0,2.0,4.0,,,2.0,,,,,,,,,,,,,,
14015522,home,36967,FK Spartak Subotica,1030841,Leonardo Antonio,leonardo-antonio,M,27,False,22.0,18.0,2.0,2.0,1.0,10.0,11.0,8.0,11.0,1.0,4.0,,,,,,,85.0,34.0,6.4,7.0,,"{'original': 6.4, 'alternative': 6.3}",0,0.28,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,3,5,81.81818181818183,100.0,,,,,,5.0,3.0,,,3.0,,0.01,,,1.0,2.0,2.0,,1.0,2.0,3.0,1.0,,,,,,,,,,,,,
14015522,home,36967,FK Spartak Subotica,124960,Muhamed Bešić,muhamed-besic,M,5,False,41.0,32.0,4.0,,0.0,19.0,21.0,13.0,20.0,2.0,5.0,,,,,,,78.0,49.0,6.7,12.0,,"{'original': 6.7, 'alternative': 6.4}",0,0.24,-0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,78.04878048780488,,,100.0,,,,2.0,3.0,1.0,1.0,1.0,1.0,0.26,1.0,,,1.0,,,,,2.0,1.0,,,,,,,,,,,,,
14015522,home,36967,FK Spartak Subotica,1157899,Uroš Čejić,uros-cejic,M,22,False,13.0,9.0,1.0,1.0,0.0,2.0,4.0,7.0,9.0,3.0,4.0,,,,,,,78.0,33.0,6.6,8.0,,"{'original': 6.6, 'alternative': 6.9}",0,0.14,-0.66,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,5,4,69.23076923076923,100.0,,50.0,,1.0,1.0,5.0,6.0,2.0,1.0,1.0,,0.11,1.0,,,2.0,1.0,2.0,2.0,3.0,,,1.0,1.0,,,,,,,,,,,
14015522,home,36967,FK Spartak Subotica,1063371,Stefan Tomović,stefan-tomovic,F,70,False,39.0,31.0,10.0,5.0,0.0,14.0,15.0,17.0,24.0,2.0,8.0,,,,,,,90.0,57.0,7.8,16.0,,"{'original': 7.8, 'alternative': 7.2}",3,0.51,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,79.48717948717949,50.0,100.0,33.33333333333333,,1.0,,3.0,3.0,3.0,1.0,1.0,,0.39,,1.0,,1.0,1.0,6.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3,,,,
14015522,home,36967,FK Spartak Subotica,905454,Lincoln,lincoln,F,9,False,13.0,9.0,,,0.0,3.0,4.0,6.0,9.0,,,,,,,,,61.0,21.0,6.3,10.0,,"{'original': 6.3, 'alternative': 6.4}",0,0.15,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,0,3,69.23076923076923,,,,,,2.0,5.0,2.0,2.0,,,,-0.64,2.0,,,,,4.0,,1.0,,1.0,,,,,,,,,,1.0,,,
14015522,home,36967,FK Spartak Subotica,1009837,Kwaku Bonsu Osei Gaucho,kwaku-bonsu-osei-gaucho,F,20,False,15.0,12.0,1.0,1.0,0.0,1.0,1.0,11.0,14.0,,2.0,,,,,,,90.0,31.0,7.6,9.0,,"{'original': 7.6, 'alternative': 7.8}",4,0.1,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,80.0,100.0,,100.0,,,2.0,6.0,4.0,1.0,1.0,,,0.39,,1.0,,1.0,1.0,4.0,2.0,2.0,2.0,,,,,,,4.0,,1.0,0.45,3.0,1.0,,
14015522,home,36967,FK Spartak Subotica,949370,Yohan Bilingi,bilingi-yohan,D,28,True,16.0,12.0,5.0,2.0,0.0,8.0,10.0,4.0,6.0,,1.0,,,,,,,29.0,18.0,6.1,4.0,,"{'original': 6.1, 'alternative': 6.3}",0,0.03,-0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,75.0,40.0,,,,,,,1.0,,,,,0.01,,,,1.0,,,,,,,,,,,,,,,,,,,
14015522,home,36967,FK Spartak Subotica,997194,Ilija Babić,ilija-babic,F,21,True,11.0,9.0,,,0.0,2.0,3.0,7.0,8.0,,1.0,,,,,,,29.0,18.0,6.7,5.0,,"{'original': 6.7, 'alternative': 6.5}",0,0.05,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,81.81818181818183,,,,,,,3.0,4.0,1.0,,,,-0.05,1.0,1.0,,2.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,
14015522,home,36967,FK Spartak Subotica,1093730,Nemanja Krsmanović,nemanja-krsmanovic,D,49,True,6.0,3.0,1.0,,0.0,2.0,3.0,1.0,3.0,,2.0,,,,,,,12.0,10.0,6.7,4.0,,"{'original': 6.7, 'alternative': 6.8}",0,-0.04,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,,100.0,,,1.0,,,,,,,,0.02,,,1.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,
14015522,home,36967,FK Spartak Subotica,1981794,Aleksa Trajković,aleksa-trajkovic,M,17,True,2.0,1.0,,,0.0,,,1.0,2.0,,,,,,,,,12.0,6.0,6.4,3.0,,"{'original': 6.4, 'alternative': 6.5}",0,0.02,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,50.0,,,,,,,3.0,2.0,1.0,,1.0,,-0.58,1.0,,,1.0,1.0,1.0,,2.0,,,,,,,,,,,,,,,
14015522,home,36967,FK Spartak Subotica,1649511,Francis Ebuka Nwokeabia,francis-ebuka-nwokeabia,M,6,True,3.0,2.0,1.0,,0.0,,,2.0,3.0,,,,,,,,,10.0,7.0,6.7,2.0,,"{'original': 6.7, 'alternative': 6.6}",0,0.02,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,66.66666666666666,,,,,1.0,,,2.0,,,,,0.02,,,,1.0,,,1.0,,,,,,,,,,,,,,,,
14015522,home,36967,FK Spartak Subotica,1166185,Marin Dulić,marin-dulic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015522,home,301263,FK Spartak Subotica,1424448,Veljko Jocić,veljko-jocic,M,14,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015522,home,36967,FK Spartak Subotica,2049924,Ezekiel Ruben,ezekiel-ruben,D,66,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015522,home,36967,FK Spartak Subotica,2189184,Kudu Shama Abdul,kudu-shama-abdul,D,25,True,,,,,,,,,,,,,,,,,,,,,,,,0,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
