match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,shotOffTarget,totalClearance,outfielderBlock,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,keyPass,shotValueNormalized,onTargetScoringAttempt,goals,errorLeadToAShot,aerialWon,totalCross,accurateCross,penaltyConceded,bigChanceCreated,blockedScoringAttempt,totalKeeperSweeper,accurateKeeperSweeper,bigChanceMissed,totalOffside,penaltyWon
14015525,home,36967,FK Spartak Subotica,1166185,Marin Dulić,marin-dulic,G,12,False,17.0,14.0,7.0,5.0,0.0,12.0,14.0,2.0,3.0,6.0,1.0,1.0,3.0,90.0,25.0,6.4,3.0,17.002139898671,2.0,11.445,11.865,0.3007,"{'original': 6.4, 'alternative': 6.7}",0,0.01,0.01,-0.2,0.16,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,82.35294117647058,71.42857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015525,home,36967,FK Spartak Subotica,1104740,Luka Subotić,luka-subotic,D,15,False,27.0,18.0,10.0,5.0,0.0,10.0,14.0,8.0,13.0,3.0,,,,90.0,58.0,7.6,11.0,93.473179279504,11.0,43.68,23.73,,"{'original': 7.6, 'alternative': 7.9}",1,0.26,0.01,0.82,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,3,14,8,6,66.66666666666666,50.0,,100.0,,3.0,9.0,8.0,1.0,1.0,1.0,1.0,1.0,8.0,5.0,1.0,6.0,5.0,1.0,1.0,4.0,2.0,-0.14,,,,,,,,,,,,,,
14015525,home,36967,FK Spartak Subotica,54775,Nemanja Milunović,nemanja-milunovic,D,19,False,34.0,27.0,10.0,5.0,0.0,19.0,23.0,8.0,11.0,4.0,,,,90.0,50.0,7.2,8.0,58.835180018909,9.0,50.61,10.92,,"{'original': 7.2, 'alternative': 7.5}",1,0.18,0.06,-0.39,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,1,4,79.41176470588235,50.0,,,,3.0,7.0,1.0,,,,,,4.0,1.0,4.0,1.0,,1.0,,4.0,1.0,0.51,1.0,1.0,1.0,,,,,,,,,,,
14015525,home,36967,FK Spartak Subotica,1489498,Danijel Kolaric,danijel-kolaric,D,16,False,41.0,27.0,11.0,5.0,0.0,18.0,22.0,9.0,19.0,5.0,,,,90.0,55.0,6.5,15.0,65.570631671134,7.0,37.905,18.27,,"{'original': 6.5, 'alternative': 6.6}",0,0.09,0.04,-0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,3,5,65.85365853658537,45.45454545454545,,,,,5.0,5.0,2.0,,,,,5.0,,3.0,2.0,1.0,1.0,1.0,3.0,,,,,,2.0,,,,,,,,,,
14015525,home,36967,FK Spartak Subotica,224466,Boris Sekulić,boris-sekulic,M,2,False,34.0,22.0,6.0,1.0,0.0,12.0,18.0,10.0,16.0,6.0,,,,88.0,56.0,5.9,18.0,76.37800016022,11.0,7.035,10.605,,"{'original': 5.9, 'alternative': 5.8}",0,0.42,-0.12,-0.41,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,4,8,64.70588235294117,16.666666666666664,50.0,,,,8.0,4.0,1.0,1.0,2.0,,,2.0,,,3.0,2.0,2.0,1.0,4.0,1.0,,,,,,2.0,1.0,1.0,,,,,,,
14015525,home,36967,FK Spartak Subotica,1030841,Leonardo Antonio,leonardo-antonio,M,27,False,21.0,15.0,3.0,2.0,0.0,10.0,14.0,5.0,7.0,4.0,,,,71.0,34.0,6.8,6.0,,,,,,"{'original': 6.8, 'alternative': 7}",1,0.14,,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,5,5,71.42857142857143,66.66666666666666,,,,1.0,6.0,6.0,2.0,,,,,2.0,1.0,,4.0,3.0,,1.0,3.0,,-0.03,1.0,,,1.0,,,,,,,,,,
14015525,home,36967,FK Spartak Subotica,124960,Muhamed Bešić,muhamed-besic,M,5,False,48.0,42.0,6.0,2.0,0.0,17.0,19.0,25.0,29.0,6.0,,,,90.0,55.0,6.9,8.0,211.02179999332,19.0,115.71,28.035,,"{'original': 6.9, 'alternative': 6.5}",0,0.4,0.2,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,1,4,87.5,33.33333333333333,,,,1.0,5.0,2.0,,1.0,1.0,,,1.0,1.0,,,,,1.0,2.0,,,,,,1.0,,,,,,,,,,
14015525,home,36967,FK Spartak Subotica,1157899,Uroš Čejić,uros-cejic,M,22,False,18.0,14.0,2.0,,1.0,3.0,6.0,11.0,12.0,2.0,,,,83.0,42.0,7.0,11.0,116.74368438196,7.0,108.36,25.62,,"{'original': 7, 'alternative': 7.3}",1,0.47,0.1,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,77.77777777777779,,25.0,,,,3.0,3.0,,1.0,1.0,,,2.0,,2.0,3.0,1.0,2.0,,1.0,1.0,-0.56,1.0,,,,4.0,1.0,,1.0,,,,,,
14015525,home,36967,FK Spartak Subotica,1063371,Stefan Tomović,stefan-tomovic,F,70,False,38.0,28.0,4.0,2.0,0.0,12.0,15.0,16.0,23.0,5.0,,,,90.0,56.0,6.5,19.0,116.38474517893,14.0,19.95,35.595,,"{'original': 6.5, 'alternative': 6.7}",0,-0.02,0.08,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,3,7,73.68421052631578,50.0,50.0,,,,7.0,3.0,1.0,1.0,4.0,,,1.0,,,1.0,,3.0,2.0,1.0,4.0,,,,,,2.0,1.0,,,,,,,,
14015525,home,36967,FK Spartak Subotica,1009837,Kwaku Bonsu Osei Gaucho,kwaku-bonsu-osei-gaucho,F,20,False,13.0,10.0,,,0.0,2.0,3.0,8.0,10.0,,,,,83.0,26.0,6.2,11.0,40.288854390724,6.0,11.865,6.93,,"{'original': 6.2, 'alternative': 6.7}",3,-0.29,0.26,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,76.92307692307693,,,,,3.0,6.0,2.0,1.0,,1.0,,,,,,1.0,1.0,5.0,1.0,1.0,,0.07,2.0,,,,2.0,,,,1.0,,,,,
