match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,totalClearance,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,keyPass,aerialWon,outfielderBlock,unsuccessfulTouch,shotOffTarget,shotValueNormalized,challengeLost,totalContest,wonContest,blockedScoringAttempt,dispossessed,bigChanceCreated,bigChanceMissed,onTargetScoringAttempt,totalOffside,goals,punches,hitWoodwork
14015529,home,229348,FK IMT Beograd,112020,Bojan Brać,bojan-brac,G,90,False,16.0,15.0,5.0,4.0,0.0,12.0,13.0,3.0,3.0,3.0,3.0,3.0,90.0,21.0,6.8,1.0,39.448337516227,5.0,15.645,6.615,0.5056,"{'original': 6.8, 'alternative': 6.5}",0,0.02,0.02,-0.29,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,93.75,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015529,home,308176,FK IMT Beograd,966572,Ismael Casas,ismael-casas,D,45,False,69.0,61.0,6.0,5.0,0.0,25.0,27.0,36.0,42.0,7.0,,,78.0,93.0,6.9,15.0,292.57743092772,30.0,228.06,29.085,,"{'original': 6.9, 'alternative': 7.1}",0,0.6,0.32,-0.46,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,88.40579710144928,83.33333333333334,25.0,,,8.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,,,,,,,,,,,,,,,,,
14015529,home,313716,FK IMT Beograd,595042,Antoine Batisse,antoine-batisse,D,4,False,76.0,68.0,10.0,4.0,0.0,45.0,48.0,23.0,28.0,8.0,,,90.0,96.0,6.7,11.0,210.02631313595,24.0,80.745,25.41,,"{'original': 6.7, 'alternative': 7.1}",0,0.24,0.06,-0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,8,2,1,1,89.47368421052632,40.0,,,,1.0,,2.0,3.0,7.0,10.0,2.0,,,1.0,2.0,2.0,6.0,1.0,1.0,,,,,,,,,,,,,,
14015529,home,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,D,14,False,64.0,54.0,9.0,4.0,0.0,41.0,44.0,13.0,20.0,2.0,,,90.0,75.0,6.7,10.0,221.98205484537,26.0,61.845,11.97,,"{'original': 6.7, 'alternative': 7}",1,-0.05,0.07,-0.27,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,9,1,0,1,84.375,44.44444444444444,,,,,,2.0,3.0,7.0,7.0,1.0,,,,1.0,1.0,7.0,1.0,,1.0,-0.15,,,,,,,,,,,,
14015529,home,308176,FK IMT Beograd,1111990,Nikola Glišić,nikola-glisic,D,7,False,44.0,34.0,7.0,2.0,0.0,20.0,24.0,14.0,20.0,6.0,,,64.0,60.0,6.5,16.0,207.92024207717,20.0,107.835,41.16,,"{'original': 6.5, 'alternative': 6.7}",3,-0.04,0.23,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,77.27272727272727,28.57142857142857,,66.66666666666666,,3.0,,1.0,4.0,3.0,1.0,,1.0,1.0,,1.0,,,,1.0,2.0,-0.13,1.0,3.0,2.0,1.0,,,,,,,,
14015529,home,308176,FK IMT Beograd,1957265,Vasilije Novičić,vasilije-novicic,M,22,False,52.0,40.0,10.0,2.0,0.0,20.0,23.0,20.0,29.0,7.0,,,90.0,71.0,6.7,20.0,98.865665250742,13.0,-0.62999999999997,8.4,,"{'original': 6.7, 'alternative': 6.8}",0,0.26,0.03,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,4,3,76.92307692307693,20.0,28.57142857142857,,,7.0,2.0,1.0,4.0,7.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,,2.0,,,1.0,,,,1.0,,,,,,,
14015529,home,308176,FK IMT Beograd,929727,Vladimir Radočaj,vladimir-radocaj,M,27,False,37.0,25.0,,,0.0,6.0,7.0,19.0,30.0,5.0,,,90.0,60.0,7.4,20.0,185.67261647055,19.0,100.695,39.27,,"{'original': 7.4, 'alternative': 7.1}",2,0.53,0.38,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,67.56756756756756,,44.44444444444444,,,9.0,4.0,,1.0,2.0,,,1.0,1.0,,,3.0,1.0,,2.0,1.0,-0.54,,1.0,,1.0,,1.0,1.0,,,,,
14015529,home,308176,FK IMT Beograd,314246,Luka Luković,luka-lukovic,M,8,False,26.0,19.0,1.0,,0.0,7.0,9.0,12.0,17.0,5.0,,,64.0,34.0,6.4,10.0,48.490657134024,8.0,23.415,8.295,,"{'original': 6.4, 'alternative': 6.7}",2,-0.07,0.14,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,73.07692307692307,,,,,2.0,,,1.0,1.0,,,,,1.0,2.0,1.0,,,1.0,,-0.06,,,,1.0,,,,1.0,,,,
14015529,home,241802,FK IMT Beograd,797763,Olivier Thill,olivier-thill,M,18,False,43.0,36.0,4.0,3.0,0.0,11.0,11.0,25.0,32.0,3.0,,,71.0,60.0,7.1,13.0,219.91791678553,21.0,104.055,45.15,,"{'original': 7.1, 'alternative': 7.2}",5,0.47,0.45,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,83.72093023255815,75.0,,,,,,2.0,4.0,3.0,,,1.0,,1.0,,1.0,1.0,,4.0,1.0,-0.39,,1.0,,2.0,1.0,,,2.0,,,,
14015529,home,308176,FK IMT Beograd,2059299,Dušan Zagar,dusan-zagar,M,10,False,26.0,19.0,2.0,1.0,0.0,6.0,10.0,13.0,16.0,3.0,,,90.0,48.0,6.8,14.0,203.48291931027,17.0,109.305,40.32,,"{'original': 6.8, 'alternative': 7.2}",3,0.32,0.51,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,73.07692307692307,50.0,33.33333333333333,,,6.0,2.0,3.0,5.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,,2.0,2.0,-0.48,,1.0,,1.0,,,,,1.0,,,
14015529,home,308176,FK IMT Beograd,1137495,Charly Keita,keita-charly,F,99,False,19.0,16.0,,,0.0,2.0,3.0,14.0,16.0,,,,79.0,32.0,6.4,6.0,74.703580365389,11.0,50.61,10.605,,"{'original': 6.4, 'alternative': 6.8}",2,-0.53,0.25,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,6,6,6,0,84.21052631578947,,,,,,,3.0,3.0,9.0,,,3.0,2.0,3.0,,,3.0,,3.0,2.0,-0.66,,,,,,,1.0,,,,,
14015529,home,308176,FK IMT Beograd,1481264,Nikola Krstić,nikola-krstic,F,25,True,19.0,14.0,1.0,,0.0,3.0,3.0,11.0,16.0,4.0,,,26.0,27.0,6.7,6.0,29.749040480553,6.0,20.16,5.25,,"{'original': 6.7, 'alternative': 7}",2,-0.16,0.15,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,4,0,73.68421052631578,,,,,,,1.0,1.0,5.0,,,3.0,3.0,1.0,,,1.0,,1.0,,-0.21,,,,2.0,,,,,,,,
14015529,home,308176,FK IMT Beograd,1142784,Marko Luković,marko-lukovic,D,24,True,18.0,16.0,3.0,1.0,0.0,6.0,7.0,10.0,11.0,2.0,,,26.0,26.0,6.2,3.0,65.213892230925,7.0,53.13,17.115,,"{'original': 6.2, 'alternative': 6.4}",0,0.11,0.05,-0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,88.88888888888889,33.33333333333333,,,,,,,2.0,1.0,1.0,,1.0,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,
14015529,home,308176,FK IMT Beograd,1444568,Sankara Karamoko,sankara-karamoko,F,50,True,2.0,2.0,,,0.0,,,2.0,2.0,,,,19.0,10.0,7.6,3.0,26.077279219537,4.0,4.62,5.985,,"{'original': 7.6, 'alternative': 7.1}",2,0.16,0.04,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,100.0,,100.0,,,1.0,1.0,,1.0,,,,,,,,,,,2.0,,0.53,,1.0,,1.0,,,,1.0,,1.0,,
14015529,home,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,F,94,True,3.0,3.0,,,0.0,,,3.0,3.0,,,,12.0,13.0,6.8,3.0,84.222960586493,6.0,74.235,44.94,,"{'original': 6.8, 'alternative': 6.7}",1,0.13,0.08,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,3,3,100.0,,100.0,50.0,,1.0,1.0,,3.0,3.0,,1.0,1.0,1.0,1.0,,,,,,1.0,-0.1,1.0,2.0,1.0,,1.0,,,,,,,
14015529,home,308176,FK IMT Beograd,1516067,Miloš Jović,milos-jovic,F,9,True,4.0,2.0,,,0.0,2.0,3.0,,1.0,1.0,,,11.0,5.0,6.4,3.0,35.757445546825,2.0,-7.98,-2.205,,"{'original': 6.4, 'alternative': 6.5}",0,-0.19,0.01,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,50.0,,,,,,,1.0,2.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,
14015529,home,353746,FK IMT Beograd,2334130,Andrej Milanović,andrej-milanovic,D,80,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015529,home,1671,FK IMT Beograd,988937,Ugo Bonnet,ugo-bonnet,F,11,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015529,home,308176,FK IMT Beograd,904998,Moussa Sissako,sissako-moussa,D,5,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015529,home,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015529,home,246604,FK IMT Beograd,1595696,Stefan Baltic,stefan-baltic,F,29,True,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015529,away,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,32.0,18.0,23.0,9.0,0.0,17.0,23.0,1.0,9.0,7.0,1.0,3.0,90.0,43.0,6.5,15.0,24.650068936902,4.0,11.34,5.775,0.0308,"{'original': 6.5, 'alternative': 6.7}",0,0.05,-0.09,0.16,-0.54,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,56.25,39.130434782608695,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,
14015529,away,7771,FK Mladost Lučani,193130,Nikola Andrić,nikola-andric,D,7,False,32.0,18.0,4.0,,0.0,11.0,13.0,7.0,19.0,5.0,,,90.0,62.0,6.5,24.0,79.785705479345,12.0,-29.61,4.2,,"{'original': 6.5, 'alternative': 6.7}",0,-0.21,-0.12,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,56.25,,,50.0,,6.0,,,2.0,3.0,3.0,,,,,1.0,,2.0,1.0,1.0,,,,2.0,1.0,,,,,,,,,
14015529,away,7771,FK Mladost Lučani,1859501,Aleksa Milošević,aleksa-milosevic,D,20,False,34.0,28.0,8.0,4.0,1.0,18.0,20.0,10.0,14.0,4.0,,,90.0,50.0,7.4,8.0,36.774459123495,8.0,15.96,6.51,,"{'original': 7.4, 'alternative': 7.8}",0,0.43,-0.01,0.64,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,1,4,82.35294117647058,50.0,100.0,50.0,,1.0,1.0,1.0,5.0,2.0,7.0,1.0,,,,2.0,1.0,1.0,4.0,,,,,2.0,1.0,,1.0,1.0,,,,,,
14015529,away,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,30.0,24.0,4.0,1.0,0.0,21.0,21.0,3.0,9.0,4.0,,,90.0,51.0,7.0,7.0,41.785671970164,9.0,-7.77,3.99,,"{'original': 7, 'alternative': 7}",0,0.02,0.01,0.37,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,2,2,80.0,25.0,,,,,,2.0,4.0,6.0,16.0,1.0,1.0,,1.0,2.0,,4.0,,1.0,,,,,,,,,,,,,,
14015529,away,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,31.0,23.0,7.0,,0.0,21.0,24.0,2.0,7.0,2.0,,,90.0,50.0,6.3,9.0,50.348491505564,9.0,8.715,7.77,,"{'original': 6.3, 'alternative': 6.6}",0,0.01,0.03,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,74.19354838709677,,,,,,,2.0,3.0,,8.0,2.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
14015529,away,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,D,33,False,19.0,13.0,3.0,,0.0,11.0,15.0,2.0,4.0,4.0,,,78.0,39.0,6.3,13.0,82.41232042112,12.0,-17.325,7.56,,"{'original': 6.3, 'alternative': 6.5}",0,0.08,0.1,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,68.42105263157895,,50.0,,,4.0,2.0,,1.0,,2.0,,,,,,1.0,,,2.0,,,,,,,1.0,,,,,,,
14015529,away,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,M,77,False,61.0,45.0,5.0,4.0,1.0,19.0,25.0,26.0,36.0,9.0,,,89.0,75.0,7.0,21.0,154.62144388997,20.0,7.56,30.975,,"{'original': 7, 'alternative': 6.8}",0,0.12,0.24,0.32,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,3,3,73.77049180327869,80.0,,,,,,1.0,4.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,,,3.0,,,1.0,,,,1.0,,,,,,,
14015529,away,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,False,54.0,48.0,3.0,1.0,0.0,21.0,21.0,27.0,33.0,6.0,,,90.0,69.0,7.1,12.0,68.290438590168,10.0,-19.005,7.245,,"{'original': 7.1, 'alternative': 6.7}",0,0.35,0.13,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,2,4,88.88888888888889,33.33333333333333,,,,,,2.0,6.0,5.0,3.0,,2.0,2.0,,,,3.0,,2.0,,,,1.0,,,3.0,,,,,,,
14015529,away,7771,FK Mladost Lučani,1030454,Filip Žunić,filip-zunic,M,18,False,28.0,18.0,6.0,3.0,0.0,4.0,6.0,14.0,22.0,8.0,,,82.0,44.0,7.4,12.0,187.83545409271,15.0,-91.245,10.605,,"{'original': 7.4, 'alternative': 7.2}",2,0.38,0.28,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,64.28571428571429,50.0,100.0,,,2.0,2.0,,2.0,4.0,2.0,1.0,1.0,1.0,1.0,,3.0,2.0,1.0,1.0,,-0.1,1.0,1.0,,2.0,,2.0,,,,,,
