match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,interceptionWon,wasFouled,keyPass,challengeLost,shotOffTarget,outfielderBlock,shotValueNormalized,ownGoals,fouls,blockedScoringAttempt,accurateCross,totalTackle,wonTackle,unsuccessfulTouch,onTargetScoringAttempt,goals,totalOffside,clearanceOffLine,punches,bigChanceMissed,bigChanceCreated
14015530,home,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,False,28.0,11.0,27.0,10.0,0.0,6.0,11.0,5.0,17.0,1.0,14.0,1.0,3.0,4.0,1.0,1.0,90.0,38.0,7.5,17.0,15.801189076052,2.0,3.15,6.405,0.6332,"{'original': 7.5, 'alternative': 7.1}",0,0.05,-0.06,0.21,0.5,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,39.285714285714285,37.03703703703704,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015530,home,7674,FK Napredak Kruševac,984877,Uroš Ignjatović,uros-ignjatovic,D,24,False,28.0,20.0,4.0,1.0,0.0,9.0,9.0,11.0,19.0,4.0,3.0,,,,,,90.0,51.0,6.9,13.0,112.97901509745,12.0,51.135,20.895,,"{'original': 6.9, 'alternative': 6.9}",0,0.12,0.0,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,3,1,71.42857142857143,25.0,,100.0,,1.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
14015530,home,7674,FK Napredak Kruševac,1846384,Lazar Miladinović,lazar-miladinovic,D,70,False,30.0,23.0,9.0,3.0,0.0,18.0,20.0,5.0,10.0,7.0,1.0,,,,,,90.0,42.0,6.4,7.0,37.653549698911,6.0,24.465,8.295,,"{'original': 6.4, 'alternative': 6.8}",1,0.21,0.01,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,6,3,2,1,76.66666666666667,33.33333333333333,,,,,5.0,1.0,6.0,3.0,,,,1.0,2.0,1.0,1.0,1.0,1.0,-0.07,,,,,,,,,,,,,,
14015530,home,7674,FK Napredak Kruševac,795871,Stefan Bukorac,stefan-bukorac,D,5,False,27.0,16.0,11.0,4.0,0.0,13.0,16.0,3.0,11.0,8.0,3.0,,,,,,90.0,42.0,7.2,11.0,10.937562783161,2.0,-1.785,0.52499999999999,,"{'original': 7.2, 'alternative': 7.1}",1,0.09,0.46,-0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,1,4,59.25925925925925,36.36363636363637,,,,,1.0,5.0,5.0,6.0,,,,1.0,1.0,,,1.0,2.0,-0.54,1.0,4.0,,,,,,,,,,,,
14015530,home,7674,FK Napredak Kruševac,937992,Nikola Vukajlović,nikola-vukajlovic,D,7,False,10.0,6.0,2.0,,0.0,5.0,7.0,1.0,3.0,3.0,5.0,,,,,,45.0,20.0,6.2,5.0,44.698276932351,3.0,25.62,16.275,,"{'original': 6.2, 'alternative': 6.2}",1,0.05,0.05,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,60.0,,,100.0,,,,1.0,3.0,2.0,1.0,1.0,1.0,,,,,,,-0.09,,2.0,1.0,,,,,,,,,,,
14015530,home,7674,FK Napredak Kruševac,799152,Aleksandar Lutovac,aleksandar-lutovac,M,15,False,24.0,18.0,,,0.0,4.0,4.0,14.0,20.0,1.0,4.0,,,,,,90.0,49.0,7.1,14.0,102.9063583893,14.0,4.83,9.975,,"{'original': 7.1, 'alternative': 7.2}",2,0.0,0.14,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,9,4,75.0,,50.0,75.0,,2.0,,2.0,4.0,11.0,2.0,4.0,3.0,,5.0,,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,
14015530,home,7674,FK Napredak Kruševac,840862,Filip Krstić,filip-krstic,M,4,False,7.0,6.0,,,0.0,3.0,4.0,3.0,3.0,1.0,2.0,,,,,,45.0,12.0,6.1,2.0,6.4857092904323,1.0,-6.405,-6.405,,"{'original': 6.1, 'alternative': 6.2}",0,0.1,-0.03,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,0,3,85.71428571428571,,,,,,1.0,1.0,4.0,1.0,,,,2.0,,,,,,,,3.0,,,,,1.0,,,,,,,
14015530,home,7674,FK Napredak Kruševac,795861,Miloš Vulić,milos-vulic,M,10,False,22.0,16.0,5.0,3.0,0.0,9.0,11.0,7.0,11.0,1.0,2.0,,,,,,48.0,31.0,6.7,8.0,25.888731336784,5.0,-6.09,3.99,,"{'original': 6.7, 'alternative': 6.9}",0,0.09,0.02,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,3,0,72.72727272727273,60.0,66.66666666666666,,,3.0,,,,3.0,,,,1.0,3.0,1.0,,,,,,,,2.0,,,1.0,,,,,,,
14015530,home,7674,FK Napredak Kruševac,998786,Vladimir Miletić,vladimir-miletic,M,95,False,25.0,11.0,3.0,2.0,0.0,7.0,13.0,4.0,12.0,6.0,5.0,,,,,,90.0,44.0,6.7,22.0,28.11237541368,5.0,12.915,10.92,,"{'original': 6.7, 'alternative': 6.7}",0,-0.18,0.03,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,44.0,66.66666666666666,,,,1.0,,2.0,2.0,4.0,,1.0,,1.0,,,,,,,,1.0,,,2.0,2.0,6.0,,,,,,,
14015530,home,369195,FK Napredak Kruševac,1130255,Đorđe Kotlajić,dorde-kotlajic,M,55,False,6.0,3.0,1.0,,0.0,1.0,1.0,2.0,5.0,1.0,1.0,,,,,,45.0,13.0,6.3,5.0,22.302977602446,4.0,-1.68,4.935,,"{'original': 6.3, 'alternative': 6.4}",0,-0.1,0.01,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,50.0,,,,,,,,1.0,2.0,,,,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,
