match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,unsuccessfulTouch,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,totalClearance,totalTackle,wasFouled,fouls,outfielderBlock,interceptionWon,keyPass,wonTackle,onTargetScoringAttempt,shotValueNormalized,shotOffTarget,blockedScoringAttempt,accurateCross,bigChanceCreated,goals,totalOffside
14015534,home,282203,FK Železničar Pančevo,267437,Zoran Popović,zoran-popovic,G,1,False,30.0,24.0,12.0,6.0,0.0,23.0,25.0,1.0,5.0,7.0,1.0,1.0,1.0,1.0,90.0,37.0,7.1,7.0,42.28720488495,10.0,5.145,4.095,0.171,"{'original': 7.1, 'alternative': 7}",0,0.03,-0.13,0.21,0.2,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015534,home,282203,FK Železničar Pančevo,905167,Abdul Yusif,abdul-yusif,D,12,False,44.0,30.0,8.0,3.0,0.0,24.0,28.0,6.0,16.0,6.0,5.0,,,,90.0,74.0,6.4,26.0,106.74912074107,10.0,57.33,44.31,,"{'original': 6.4, 'alternative': 6.6}",0,-0.47,0.09,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,3,4,68.18181818181817,37.5,,100.0,,1.0,2.0,2.0,6.0,5.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,
14015534,home,282203,FK Železničar Pančevo,1001880,Mirko Milikić,mirko-milikic,D,6,False,86.0,76.0,15.0,10.0,0.0,44.0,45.0,32.0,41.0,6.0,,,,,90.0,93.0,7.6,10.0,277.71659941333,36.0,107.625,19.95,,"{'original': 7.6, 'alternative': 7.2}",0,0.64,0.14,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,0,2,88.37209302325581,66.66666666666666,,,,,2.0,,4.0,,,,,,7.0,,,2.0,,,,,,,,,,,,
14015534,home,282203,FK Železničar Pančevo,1146281,Nemanja Vidojević,nemanja-vidojevic,D,5,False,121.0,113.0,7.0,3.0,0.0,71.0,72.0,42.0,49.0,3.0,,,,,90.0,131.0,7.4,9.0,431.69742420192,44.0,191.205,29.295,,"{'original': 7.4, 'alternative': 7.3}",0,0.2,0.22,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,1,3,93.38842975206612,42.857142857142854,,,,,3.0,4.0,6.0,5.0,,1.0,,,2.0,1.0,,2.0,1.0,2.0,,,,,,,,,,
14015534,home,282203,FK Železničar Pančevo,1466631,Nikola Đuričić,nikola-duricic,D,33,False,70.0,60.0,9.0,2.0,0.0,42.0,42.0,18.0,28.0,4.0,,,,,90.0,89.0,7.1,13.0,215.34036792632,26.0,16.59,30.24,,"{'original': 7.1, 'alternative': 7.3}",0,0.03,-0.45,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,6,2,2,0,85.71428571428571,22.22222222222222,,,,1.0,3.0,3.0,3.0,5.0,,,,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,
14015534,home,282203,FK Železničar Pančevo,1007254,Branislav Knežević,branislav-knezevic,M,21,False,27.0,26.0,,,0.0,17.0,17.0,9.0,10.0,1.0,3.0,,,,90.0,34.0,6.4,4.0,37.623458779908,6.0,-31.815,-1.05,,"{'original': 6.4, 'alternative': 6.6}",0,-0.12,-0.12,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,96.29629629629629,,,,,,1.0,,2.0,1.0,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,
14015534,home,282203,FK Železničar Pančevo,1146227,Stefan Pirgić,stefan-pirgic,M,18,False,24.0,21.0,1.0,,0.0,19.0,20.0,2.0,4.0,1.0,2.0,,,,90.0,37.0,6.7,7.0,38.149661132576,5.0,9.66,6.51,,"{'original': 6.7, 'alternative': 6.7}",1,-0.09,0.07,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,4,3,87.5,,,50.0,,,,,3.0,4.0,1.0,1.0,2.0,1.0,4.0,1.0,2.0,,,,,,1.0,-0.07,,,,,,
14015534,home,282203,FK Železničar Pančevo,1417509,Aleksa Kuljanin,aleksa-kuljanin,M,13,False,17.0,12.0,,,0.0,1.0,2.0,11.0,15.0,1.0,2.0,,,,84.0,38.0,7.1,14.0,132.99379730353,11.0,91.665,17.43,,"{'original': 7.1, 'alternative': 6.7}",2,0.16,0.45,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,0,16,7,9,70.58823529411765,,,50.0,,1.0,,,9.0,7.0,2.0,1.0,6.0,3.0,,2.0,2.0,3.0,,1.0,,1.0,,-0.18,1.0,1.0,,,,
14015534,home,2207,FK Železničar Pančevo,1121629,Dario Grgić,dario-grgic,M,10,False,30.0,24.0,3.0,1.0,0.0,8.0,9.0,16.0,21.0,3.0,2.0,,,,84.0,46.0,7.4,12.0,97.347356931626,15.0,6.7199999999999,7.875,,"{'original': 7.4, 'alternative': 7.1}",1,0.46,0.23,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,5,4,80.0,33.33333333333333,,71.42857142857143,,1.0,,,4.0,5.0,,1.0,7.0,5.0,2.0,,,1.0,,,1.0,,1.0,0.0,,,,,,
14015534,home,282203,FK Železničar Pančevo,1013994,Sylvester Jasper,jasper-sylvester,M,27,False,21.0,18.0,1.0,,1.0,7.0,8.0,11.0,13.0,3.0,2.0,,,,89.0,44.0,6.7,14.0,180.79045629151,20.0,94.185,27.72,,"{'original': 6.7, 'alternative': 7.1}",1,0.5,0.3,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,3,4,85.71428571428571,,16.666666666666664,50.0,,6.0,,,4.0,3.0,,2.0,4.0,2.0,1.0,1.0,,,,,1.0,1.0,1.0,-0.12,,,1.0,1.0,,
14015534,home,282203,FK Železničar Pančevo,1399471,Kwaku Karikari,kwaku-karikari,F,70,False,11.0,9.0,1.0,1.0,0.0,3.0,3.0,6.0,8.0,3.0,1.0,,,,89.0,20.0,7.5,6.0,139.22764918405,8.0,59.115,42.63,,"{'original': 7.5, 'alternative': 7.1}",1,0.07,-0.23,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,2,8,81.81818181818183,100.0,,,,,2.0,,10.0,2.0,1.0,1.0,2.0,,2.0,,2.0,4.0,,,1.0,,1.0,0.49,,,,,1.0,
14015534,home,1892,FK Železničar Pančevo,1885765,Jovan Milosavljević,jovan-milosavljevic,M,22,True,2.0,2.0,,,0.0,2.0,2.0,,,,1.0,,,,15.0,5.0,6.5,2.0,4.415691225618,1.0,-3.675,-3.675,,"{'original': 6.5, 'alternative': 6.3}",0,0.0,-0.13,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,100.0,,,,,,1.0,,3.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,,
14015534,home,282203,FK Železničar Pančevo,1166015,Nikola Jovanović,nikola-jovanovic,F,17,True,,,,,0.0,,,,,1.0,1.0,,,,15.0,3.0,6.5,1.0,16.850958548403,1.0,12.81,12.81,,"{'original': 6.5, 'alternative': 6.5}",0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,
14015534,home,5403,FK Železničar Pančevo,876873,Stefan Cvetković,stefan-cvetkovic,F,11,True,1.0,1.0,,,0.0,1.0,1.0,,,1.0,2.0,,,,10.0,4.0,6.5,2.0,26.803114191192,2.0,25.83,17.745,,"{'original': 6.5, 'alternative': 6.6}",1,-0.02,0.03,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,100.0,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,
14015534,home,195174,FK Železničar Pančevo,869693,Sava Petrov,sava-petrov,F,9,True,,,,,0.0,,,,,,,,,,8.0,1.0,6.7,,,,,,,"{'original': 6.7, 'alternative': 6.8}",0,,,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
14015534,home,282203,FK Železničar Pančevo,111456,Miloš Kosanović,milos-kosanovic,D,15,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015534,home,282203,FK Železničar Pančevo,1017661,Marko Konatar,marko-konatar,D,3,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015534,home,282203,FK Železničar Pančevo,1425301,Nikola Zečević,nikola-zecevic,D,4,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015534,home,305165,FK Železničar Pančevo,1001851,Ognjen Lukić,ognjen-lukic,G,25,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015534,home,5136,FK Železničar Pančevo,988828,Hristo Ivanov,hristo-ivanov,M,16,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015534,home,282203,FK Železničar Pančevo,1429959,Uroš Tegeltija,uros-tegeltija,M,19,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015534,home,282203,FK Železničar Pančevo,1166001,Janko Jevremović,janko-jevremovic,M,20,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015534,away,43981,FK Radnički 1923,1152919,Luka Lijeskić,luka-lijeskic,G,81,False,19.0,10.0,14.0,5.0,0.0,7.0,12.0,3.0,7.0,4.0,,,1.0,3.0,64.0,26.0,7.0,10.0,32.005118842281,7.0,3.36,2.1,0.1241,"{'original': 7, 'alternative': 7}",0,0.11,-0.07,0.17,0.15,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,52.63157894736842,35.714285714285715,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,
14015534,away,43981,FK Radnički 1923,1165919,Nikola Miličić,nikola-milicic,D,4,False,13.0,7.0,2.0,,0.0,3.0,4.0,4.0,9.0,1.0,,,,,53.0,25.0,6.9,6.0,3.5706475603173,1.0,3.57,3.57,,"{'original': 6.9, 'alternative': 7}",0,0.04,-0.01,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,3,0,53.84615384615385,,,,,,,,,3.0,,,,,2.0,3.0,,,,2.0,,2.0,,,,,,,,
14015534,away,43981,FK Radnički 1923,79383,Slobodan Simović,slobodan-simovic,D,14,False,30.0,23.0,11.0,6.0,0.0,17.0,18.0,6.0,12.0,3.0,,,,,90.0,47.0,6.9,7.0,135.90284880914,14.0,-63.525,11.235,,"{'original': 6.9, 'alternative': 7.3}",2,0.1,0.09,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,76.66666666666667,54.54545454545454,,,,,1.0,2.0,2.0,4.0,1.0,,,,9.0,1.0,1.0,,,1.0,,,1.0,-0.31,1.0,,,,,
14015534,away,43981,FK Radnički 1923,1518953,Nikola Marjanovic,nikola-marjanovic,D,5,False,34.0,28.0,8.0,4.0,0.0,17.0,18.0,11.0,16.0,3.0,1.0,,,,90.0,46.0,7.2,7.0,72.065273812909,10.0,-40.74,8.4,,"{'original': 7.2, 'alternative': 7.3}",0,0.14,0.05,0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,82.35294117647058,50.0,,100.0,,,,2.0,2.0,6.0,,,1.0,1.0,4.0,3.0,,2.0,1.0,1.0,,3.0,,,,,,,,
14015534,away,43981,FK Radnički 1923,876751,Mehmed Ćosić,mehmed-cosic,D,8,False,14.0,8.0,4.0,2.0,0.0,6.0,10.0,2.0,4.0,2.0,1.0,,,,90.0,36.0,6.9,9.0,24.933642671764,4.0,-12.285,3.36,,"{'original': 6.9, 'alternative': 6.4}",0,0.27,0.03,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,6,6,57.14285714285714,50.0,33.33333333333333,,,3.0,1.0,,7.0,6.0,4.0,,,,1.0,3.0,3.0,2.0,,2.0,1.0,,,,,,1.0,,,
14015534,away,43981,FK Radnički 1923,879829,Miloš Ristić,milos-ristic,M,27,False,18.0,13.0,1.0,,0.0,10.0,12.0,3.0,6.0,3.0,2.0,,,,90.0,30.0,6.8,7.0,45.517909916479,6.0,-18.795,2.31,,"{'original': 6.8, 'alternative': 6.6}",0,-0.01,0.04,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,72.22222222222221,,,,,,,1.0,4.0,5.0,2.0,,,,3.0,3.0,1.0,3.0,,1.0,,3.0,,,,,,,,
14015534,away,43981,FK Radnički 1923,1000815,Louay Ben Hassine,louay-ben-hassine,M,99,False,13.0,10.0,,,0.0,2.0,5.0,8.0,8.0,6.0,1.0,,,,89.0,23.0,7.0,5.0,71.176362103995,8.0,-18.9,9.975,,"{'original': 7, 'alternative': 6.9}",0,0.18,0.11,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,5,0,76.92307692307693,,100.0,100.0,,1.0,,,,5.0,,,1.0,1.0,1.0,,4.0,,,,1.0,,,,,,1.0,,,
14015534,away,295152,FK Radnički 1923,1005356,Kilian Bevis,kilian-bevis,M,10,False,16.0,10.0,,,0.0,2.0,4.0,8.0,12.0,4.0,2.0,,,,90.0,39.0,6.5,17.0,249.59173308893,19.0,-140.49,20.475,,"{'original': 6.5, 'alternative': 6.5}",2,-0.03,0.24,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,4,11,6,5,62.5,,20.0,60.0,,5.0,1.0,3.0,6.0,9.0,1.0,2.0,5.0,3.0,,1.0,2.0,,,,,1.0,,-0.4,1.0,1.0,1.0,,,2.0
14015534,away,43981,FK Radnički 1923,1013823,Wajdi Sahli,wajdi-sahli,M,7,False,11.0,7.0,1.0,,0.0,1.0,2.0,6.0,9.0,4.0,3.0,,,,53.0,22.0,7.0,10.0,13.677959716384,2.0,1.155,5.67,,"{'original': 7, 'alternative': 6.8}",0,0.19,0.01,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,63.63636363636363,,33.33333333333333,,,3.0,,3.0,3.0,5.0,2.0,,,,,2.0,,2.0,,1.0,1.0,2.0,,,,,1.0,,,
14015534,away,43981,FK Radnički 1923,987250,Issa Bah,bah-issa,M,77,False,5.0,5.0,,,0.0,2.0,2.0,3.0,3.0,,4.0,,,,62.0,16.0,6.7,7.0,55.535660886374,5.0,-36.96,4.305,,"{'original': 6.7, 'alternative': 6.4}",0,0.05,0.06,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,100.0,,,,,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,
14015534,away,43981,FK Radnički 1923,862199,Ester Sokler,sokler-ester,F,19,False,10.0,7.0,,,0.0,5.0,7.0,2.0,3.0,1.0,2.0,,,,90.0,20.0,6.3,7.0,8.4635005683111,2.0,5.88,3.675,,"{'original': 6.3, 'alternative': 6.4}",0,-0.04,-0.05,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,1,3,70.0,,,,,,4.0,2.0,7.0,3.0,,1.0,1.0,,,,1.0,1.0,,2.0,,,,,,,,,,
14015534,away,43981,FK Radnički 1923,1595656,Nikola Bukumira,nikola-bukumira,M,32,True,5.0,4.0,,,0.0,2.0,2.0,2.0,3.0,1.0,1.0,,,,37.0,9.0,6.5,3.0,14.488995973018,2.0,0.31500000000001,0.31500000000001,,"{'original': 6.5, 'alternative': 6.5}",0,-0.01,0.03,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,1,2,80.0,,,,,,,1.0,2.0,2.0,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,
14015534,away,2318,FK Radnički 1923,978293,Tomislav Dadić,tomislav-dadic,M,50,True,12.0,6.0,5.0,,0.0,3.0,3.0,3.0,9.0,1.0,,,,,37.0,28.0,6.5,10.0,30.096824445121,4.0,-20.16,4.83,,"{'original': 6.5, 'alternative': 6.6}",0,0.01,0.0,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,3,0,50.0,,,100.0,,2.0,,,,3.0,,,1.0,1.0,4.0,2.0,,,,,,2.0,,,,,,,,
