match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialWon,duelLost,duelWon,dispossessed,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,fouls,aerialLost,shotOffTarget,shotValueNormalized,onTargetScoringAttempt,goals,interceptionWon,totalCross,challengeLost,wasFouled,accurateCross,totalContest,wonContest,outfielderBlock,keyPass,totalOffside,bigChanceCreated,blockedScoringAttempt,bigChanceMissed
14015536,home,5148,FK Čukarički,1165958,Lazar Kaličanin,lazar-kalicanin,G,12,False,30.0,17.0,23.0,11.0,0.0,10.0,13.0,7.0,17.0,6.0,1.0,2.0,90.0,35.0,6.8,13.0,17.790968312352,3.0,3.36,3.78,0.1214,"{'original': 6.8, 'alternative': 6.7}",0,0.02,-0.05,-0.08,0.14,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,56.666666666666664,47.82608695652174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015536,home,5148,FK Čukarički,795850,Nemanja Miletić,nemanja-miletic,D,73,False,27.0,21.0,4.0,2.0,0.0,14.0,15.0,7.0,12.0,7.0,,,90.0,49.0,6.7,12.0,88.570641735071,7.0,2.205,9.345,,"{'original': 6.7, 'alternative': 6.7}",0,0.11,0.04,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,77.77777777777779,50.0,,,,2.0,2.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,
14015536,home,5148,FK Čukarički,38574,Nenad Tomović,nenad-tomovic,D,4,False,31.0,24.0,8.0,4.0,0.0,15.0,17.0,9.0,14.0,1.0,,,90.0,40.0,7.0,7.0,84.748409707512,11.0,-3.99,9.24,,"{'original': 7, 'alternative': 6.7}",1,0.23,0.01,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,6,0,0,0,77.41935483870968,50.0,,,,5.0,1.0,5.0,,5.0,,,,,1.0,1.0,0.03,,,,,,,,,,,,,,,
14015536,home,5148,FK Čukarički,1392796,Milan Đoković,milan-dokovic,D,26,False,36.0,25.0,9.0,3.0,0.0,18.0,21.0,7.0,15.0,3.0,,,57.0,46.0,6.9,12.0,94.011296538396,13.0,7.77,8.4,,"{'original': 6.9, 'alternative': 6.7}",2,0.05,0.03,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,6,3,0,3,69.44444444444444,33.33333333333333,,,,5.0,4.0,5.0,,3.0,,,1.0,3.0,1.0,1.0,0.46,1.0,1.0,2.0,,,,,,,,,,,,
14015536,home,3403,FK Čukarički,926607,Nemanja Tošić,nemanja-tosic,D,6,False,28.0,20.0,8.0,4.0,0.0,13.0,14.0,7.0,14.0,2.0,,,90.0,53.0,6.8,14.0,19.329913274203,4.0,-2.1,3.36,,"{'original': 6.8, 'alternative': 7}",0,0.17,0.42,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,71.42857142857143,50.0,,,,2.0,3.0,5.0,1.0,5.0,,,2.0,,1.0,,,,,1.0,1.0,1.0,3.0,,,,,,,,,
14015536,home,5148,FK Čukarički,98436,Srđan Mijailović,srdan-mijailovic,M,8,False,40.0,30.0,4.0,1.0,0.0,17.0,22.0,13.0,18.0,7.0,,,90.0,63.0,7.3,15.0,39.527275687379,7.0,11.34,4.41,,"{'original': 7.3, 'alternative': 7}",0,0.29,0.17,0.55,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,7,7,5,2,75.0,25.0,50.0,100.0,,2.0,7.0,7.0,1.0,3.0,2.0,2.0,1.0,1.0,5.0,,,,,2.0,4.0,,2.0,2.0,1.0,1.0,2.0,,,,,
14015536,home,5148,FK Čukarički,345141,Marko Docić,marko-docic,M,5,False,45.0,39.0,9.0,6.0,0.0,17.0,19.0,22.0,26.0,5.0,,,90.0,58.0,7.4,9.0,51.124072192114,9.0,11.235,5.25,,"{'original': 7.4, 'alternative': 7.1}",0,0.34,0.02,0.21,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,86.66666666666667,66.66666666666666,,,,2.0,3.0,5.0,,4.0,2.0,1.0,2.0,3.0,,,,,,,1.0,,1.0,,,,1.0,,,,,
14015536,home,5148,FK Čukarički,834586,Lazar Tufegdžić,lazar-tufegdzic,M,7,False,21.0,12.0,3.0,2.0,0.0,5.0,8.0,7.0,13.0,2.0,,,89.0,45.0,6.5,16.0,86.930369939526,9.0,57.435,40.74,,"{'original': 6.5, 'alternative': 6.8}",1,0.02,0.08,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,6,6,57.14285714285714,66.66666666666666,50.0,50.0,,1.0,7.0,7.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,1.0,-0.24,,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,,1.0,,,,
14015536,home,5148,FK Čukarički,1981976,Filip Matijašević,filip-matijasevic,M,22,False,12.0,9.0,1.0,,0.0,4.0,5.0,5.0,7.0,1.0,,,62.0,18.0,6.4,6.0,23.195775111096,3.0,6.93,11.97,,"{'original': 6.4, 'alternative': 6.6}",0,0.08,0.02,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,0,2,75.0,,33.33333333333333,,,1.0,4.0,1.0,,,,,1.0,2.0,2.0,,,,,,3.0,,,1.0,,,,1.0,,,,
14015536,home,5148,FK Čukarički,1165971,Uroš Miladinović,uros-miladinovic,M,90,False,17.0,8.0,3.0,2.0,0.0,3.0,5.0,5.0,12.0,3.0,,,80.0,38.0,6.5,16.0,60.232083129371,9.0,-1.26,4.095,,"{'original': 6.5, 'alternative': 6.7}",0,-0.04,-0.04,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,4,11,4,7,47.05882352941176,66.66666666666666,,33.33333333333333,,2.0,9.0,6.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,,,,,1.0,,,2.0,,3.0,1.0,,,1.0,,,
