match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,duelWon,challengeLost,dispossessed,totalContest,wonContest,bigChanceMissed,onTargetScoringAttempt,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,shotValueNormalized,aerialWon,outfielderBlock,fouls,keyPass,bigChanceCreated,goals,shotOffTarget,blockedScoringAttempt,totalOffside,savedShotsFromInsideTheBox,penaltyFaced,totalKeeperSweeper,accurateKeeperSweeper,penaltyConceded
14015537,home,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,35.0,17.0,28.0,11.0,0.0,11.0,23.0,6.0,12.0,10.0,1.0,90.0,43.0,6.5,18.0,54.431981228992,4.0,45.78,21.84,0.0224,"{'original': 6.5, 'alternative': 6.4}",0,0.1,0.02,-0.08,0.03,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,48.57142857142857,39.285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015537,home,7771,FK Mladost Lučani,193130,Nikola Andrić,nikola-andric,D,7,False,13.0,9.0,3.0,1.0,0.0,4.0,5.0,5.0,8.0,3.0,,90.0,42.0,6.9,8.0,61.596464850185,8.0,23.625,12.81,,"{'original': 6.9, 'alternative': 7}",1,0.02,0.0,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,4,2,69.23076923076923,33.33333333333333,50.0,100.0,,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,2.0,2.0,2.0,1.0,0.06,,,,,,,,,,,,,,
14015537,home,7771,FK Mladost Lučani,1859501,Aleksa Milošević,aleksa-milosevic,D,20,False,21.0,15.0,6.0,1.0,0.0,11.0,13.0,4.0,8.0,4.0,,90.0,38.0,6.9,7.0,57.661646772301,10.0,-16.275,11.445,,"{'original': 6.9, 'alternative': 6.8}",0,0.06,0.01,0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,71.42857142857143,16.666666666666664,,,,,,2.0,4.0,4.0,,,1.0,,,,7.0,,3.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,
14015537,home,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,18.0,10.0,5.0,1.0,0.0,10.0,17.0,,1.0,2.0,,90.0,34.0,6.3,9.0,20.719866567326,3.0,10.08,11.13,,"{'original': 6.3, 'alternative': 6.6}",0,-0.11,0.02,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,3,1,0,1,55.55555555555556,20.0,,,,,,2.0,3.0,1.0,,,,,,,13.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,
14015537,home,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,18.0,12.0,5.0,1.0,0.0,9.0,11.0,3.0,7.0,1.0,,90.0,29.0,6.0,7.0,43.976393073452,6.0,8.715,6.72,,"{'original': 6, 'alternative': 6.5}",0,0.09,0.03,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,2,5,66.66666666666666,20.0,,100.0,,,,4.0,9.0,3.0,,1.0,1.0,1.0,,,4.0,1.0,1.0,1.0,,,,1.0,1.0,4.0,,,,,,,,,,,
14015537,home,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,D,33,False,24.0,16.0,2.0,1.0,0.0,10.0,13.0,6.0,11.0,7.0,,89.0,50.0,6.7,15.0,117.15368229651,15.0,47.775,17.43,,"{'original': 6.7, 'alternative': 6.7}",1,0.29,0.09,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,66.66666666666666,50.0,33.33333333333333,,,3.0,1.0,,1.0,,,,,,,1.0,5.0,1.0,,,1.0,,-0.03,,,1.0,1.0,,,,,,,,,,
14015537,home,7771,FK Mladost Lučani,892174,Uroš Ljubomirac,uros-ljubomirac,M,77,False,33.0,25.0,5.0,2.0,0.0,11.0,15.0,14.0,18.0,7.0,,90.0,49.0,7.0,14.0,132.68459654486,19.0,5.985,12.39,,"{'original': 7, 'alternative': 7.3}",1,0.26,0.03,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,3,7,75.75757575757575,40.0,,33.33333333333333,,,,2.0,9.0,5.0,2.0,1.0,3.0,1.0,,1.0,1.0,,,,3.0,2.0,0.32,2.0,,2.0,2.0,1.0,1.0,,,,,,,,
14015537,home,7771,FK Mladost Lučani,27863,Janko Tumbasević,janko-tumbasevic,M,8,False,30.0,25.0,3.0,1.0,0.0,13.0,14.0,12.0,16.0,5.0,,90.0,48.0,6.9,8.0,67.163056235617,10.0,18.375,12.075,,"{'original': 6.9, 'alternative': 6.7}",0,0.31,0.04,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,5,5,83.33333333333334,33.33333333333333,,,,,,1.0,6.0,6.0,3.0,,,,,,4.0,1.0,5.0,4.0,3.0,,,1.0,,2.0,,,,,,,,,,,
14015537,home,7771,FK Mladost Lučani,1030454,Filip Žunić,filip-zunic,M,18,False,24.0,13.0,4.0,2.0,0.0,9.0,13.0,4.0,11.0,2.0,,74.0,34.0,6.7,16.0,64.672964912929,12.0,24.15,9.555,,"{'original': 6.7, 'alternative': 6.7}",1,-0.07,0.08,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,6,4,1,3,54.166666666666664,50.0,,,,2.0,,2.0,5.0,5.0,2.0,,1.0,,,1.0,,,1.0,1.0,2.0,,0.32,4.0,,,,,1.0,,,,,,,,
14015537,home,7771,FK Mladost Lučani,1981982,Mihailo Todosijevic,mihailo-todosijevic,F,22,False,18.0,12.0,1.0,,0.0,6.0,6.0,6.0,12.0,4.0,,74.0,39.0,6.0,13.0,62.692921781592,8.0,54.285,10.185,,"{'original': 6, 'alternative': 6.6}",3,-0.34,0.31,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,2,5,66.66666666666666,,,25.0,,,,2.0,7.0,3.0,1.0,,4.0,1.0,,1.0,1.0,2.0,,,4.0,1.0,-0.54,1.0,,1.0,,,,1.0,1.0,1.0,,,,,
