match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,duelLost,challengeLost,shotOffTarget,interceptionWon,totalTackle,wonTackle,wasFouled,fouls,keyPass,shotValueNormalized,onTargetScoringAttempt,unsuccessfulTouch,bigChanceMissed,outfielderBlock,totalContest,blockedScoringAttempt,wonContest,bigChanceCreated,dispossessed,goals,punches,hitWoodwork,clearanceOffLine
14015539,home,5150,FK Vojvodina,844128,Dragan Rosić,dragan-rosic,G,12,False,22.0,11.0,18.0,7.0,0.0,9.0,13.0,2.0,9.0,1.0,2.0,1.0,10.0,1.0,1.0,1.0,90.0,32.0,7.4,12.0,14.485400240097,4.0,5.565,3.78,0.3997,"{'original': 7.4, 'alternative': 7.1}",0,0.05,-0.1,0.25,0.36,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,50.0,38.88888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015539,home,5150,FK Vojvodina,862782,Lazar Nikolić,lazar-nikolic,D,22,False,42.0,32.0,6.0,3.0,0.0,11.0,13.0,21.0,29.0,,3.0,3.0,3.0,,,,90.0,82.0,7.6,20.0,220.09015204826,29.0,105.105,21.315,,"{'original': 7.6, 'alternative': 7.3}",1,0.61,0.21,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,3,4,76.19047619047619,50.0,12.5,,,8.0,1.0,3.0,7.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,0.01,,,,,,,,,,,,,
14015539,home,5150,FK Vojvodina,1165848,Siniša Tanjga,sinisa-tanjga,D,6,False,27.0,24.0,3.0,2.0,0.0,17.0,19.0,7.0,8.0,1.0,2.0,2.0,1.0,,,,89.0,39.0,6.9,5.0,51.810188575937,8.0,-7.56,5.04,,"{'original': 6.9, 'alternative': 7.1}",2,0.22,0.03,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,1,1,88.88888888888889,66.66666666666666,,,,1.0,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,0.03,1.0,1.0,,,,,,,,,,,
14015539,home,5150,FK Vojvodina,795878,Đorđe Crnomarković,dorde-crnomarkovic,D,5,False,30.0,23.0,6.0,2.0,0.0,15.0,16.0,8.0,14.0,2.0,4.0,9.0,3.0,,,,90.0,52.0,7.5,7.0,79.732982564533,8.0,-13.965,5.88,,"{'original': 7.5, 'alternative': 8}",3,0.15,0.01,0.61,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,76.66666666666667,33.33333333333333,,,,,,,,,2.0,2.0,1.0,1.0,1.0,,,-0.53,1.0,,1.0,3.0,,,,,,,,,
14015539,home,2445,FK Vojvodina,1152947,Stefan Bukinac,stefan-bukinac,D,30,False,44.0,35.0,5.0,1.0,0.0,11.0,14.0,24.0,30.0,,4.0,,4.0,,,,90.0,64.0,7.1,15.0,168.58314466885,23.0,48.825,14.595,,"{'original': 7.1, 'alternative': 7.5}",1,0.05,0.26,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,4,0,79.54545454545455,20.0,,,,3.0,,,,,,,4.0,3.0,,,1.0,0.21,1.0,2.0,,,,,,,,,,,
14015539,home,5150,FK Vojvodina,257071,Vukan Savićević,vukan-savicevic,M,8,False,58.0,41.0,5.0,2.0,0.0,13.0,17.0,28.0,41.0,1.0,5.0,1.0,5.0,,,,75.0,77.0,7.1,25.0,259.01763014857,26.0,116.235,40.95,,"{'original': 7.1, 'alternative': 7.2}",1,0.16,0.18,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,4,3,70.6896551724138,40.0,,,,3.0,,,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,-0.06,,4.0,,,1.0,,,,,,,,
14015539,home,5150,FK Vojvodina,844179,Njegoš Petrović,njegos-petrovic,M,18,False,42.0,31.0,9.0,4.0,1.0,14.0,17.0,17.0,25.0,1.0,6.0,1.0,10.0,,,,90.0,59.0,6.9,13.0,174.90594787303,21.0,61.74,31.5,,"{'original': 6.9, 'alternative': 7.8}",4,0.3,0.19,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,5,7,5,2,73.80952380952381,44.44444444444444,,,,1.0,,4.0,6.0,,1.0,1.0,3.0,2.0,2.0,1.0,2.0,-0.62,2.0,,1.0,,1.0,1.0,,,,,,,
14015539,home,5150,FK Vojvodina,938000,Lazar Ranđelović,lazar-randelovic,M,77,False,36.0,27.0,2.0,2.0,1.0,9.0,10.0,18.0,26.0,,1.0,,4.0,,,,90.0,61.0,6.9,20.0,298.34043057593,21.0,183.225,49.245,,"{'original': 6.9, 'alternative': 7.7}",3,0.93,0.34,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,1,3,75.0,100.0,50.0,33.33333333333333,,10.0,5.0,2.0,5.0,,1.0,,,,,1.0,4.0,-0.26,,2.0,,,3.0,2.0,1.0,2.0,,,,,
14015539,home,5150,FK Vojvodina,1114797,Dragan Kokanović,dragan-kokanovic,M,20,False,36.0,32.0,3.0,3.0,0.0,7.0,7.0,25.0,29.0,,4.0,,8.0,,,,70.0,59.0,7.5,15.0,105.63172949826,16.0,56.91,13.545,,"{'original': 7.5, 'alternative': 7.5}",2,0.0,0.29,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,4,7,88.88888888888889,100.0,,,,6.0,,2.0,9.0,2.0,,2.0,3.0,1.0,1.0,3.0,1.0,0.51,2.0,3.0,,,1.0,,,,1.0,1.0,,,
14015539,home,25737,FK Vojvodina,1085212,Ibrahim Mustapha,ibrahim-mustapha,M,17,False,18.0,14.0,1.0,1.0,0.0,2.0,3.0,12.0,15.0,1.0,6.0,,,,,,45.0,28.0,7.3,6.0,49.849360912929,7.0,10.815,11.76,,"{'original': 7.3, 'alternative': 7.1}",0,0.33,0.14,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,5,2,77.77777777777779,100.0,,,,,,1.0,3.0,,,,3.0,1.0,2.0,1.0,1.0,,,1.0,,,1.0,,,1.0,,,,,
