match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,totalClearance,outfielderBlock,interceptionWon,fouls,challengeLost,totalTackle,wonTackle,errorLeadToAShot,unsuccessfulTouch,wasFouled,totalContest,wonContest,keyPass,dispossessed,onTargetScoringAttempt,goals,shotValueNormalized,totalCross,bigChanceCreated,bigChanceMissed,shotOffTarget,blockedScoringAttempt,totalKeeperSweeper,accurateKeeperSweeper,accurateCross,totalOffside
14015540,home,5153,OFK Beograd,939791,Nedeljko Stojišić,nedeljko-stojisic,G,97,False,36.0,9.0,31.0,6.0,0.0,4.0,11.0,5.0,25.0,1.0,1.0,15.0,2.0,1.0,7.0,90.0,53.0,5.7,27.0,52.277440191641,11.0,15.33,5.355,0.4275,"{'original': 5.7, 'alternative': 6.7}",0,-0.05,-0.06,-0.18,0.06,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,25.0,19.35483870967742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015540,home,5153,OFK Beograd,191640,Marko Gobeljić,marko-gobeljic,D,77,False,21.0,17.0,3.0,1.0,0.0,16.0,19.0,1.0,2.0,,,5.0,,,,72.0,29.0,6.1,5.0,49.228624408809,8.0,-19.95,1.365,,"{'original': 6.1, 'alternative': 6.2}",0,-0.03,0.0,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,80.95238095238095,33.33333333333333,,,,1.0,2.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
14015540,home,5153,OFK Beograd,1981967,Andrej Pavlovic,andrej-pavlovic,D,4,False,29.0,25.0,4.0,2.0,0.0,22.0,24.0,3.0,5.0,,2.0,6.0,,,,90.0,48.0,7.6,4.0,79.730762218043,11.0,6.3,8.295,,"{'original': 7.6, 'alternative': 7.6}",0,-0.02,0.17,0.82,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,2,2,86.20689655172413,50.0,,,,,2.0,6.0,7.0,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
14015540,home,5153,OFK Beograd,807593,Darko Gojković,darko-gojkovic,D,5,False,45.0,38.0,5.0,1.0,0.0,36.0,39.0,2.0,6.0,,1.0,7.0,,,,90.0,56.0,6.4,8.0,79.105469366609,9.0,-25.2,3.36,,"{'original': 6.4, 'alternative': 6.4}",0,0.02,0.02,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,84.44444444444444,20.0,,,,,,6.0,3.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
14015540,home,5153,OFK Beograd,1104741,Stefan Despotovski,stefan-despotovski,D,2,False,27.0,23.0,2.0,1.0,0.0,22.0,23.0,1.0,4.0,,2.0,5.0,,,,90.0,44.0,5.7,7.0,44.133533888818,9.0,-1.575,4.2,,"{'original': 5.7, 'alternative': 6}",0,0.01,0.06,-0.48,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,85.18518518518519,50.0,,50.0,,3.0,5.0,5.0,1.0,,1.0,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,
14015540,home,334956,OFK Beograd,1147565,Nikola Knežević,nikola-knezevic,M,7,False,36.0,24.0,5.0,,0.0,18.0,23.0,6.0,13.0,,3.0,6.0,,,,72.0,46.0,6.5,14.0,104.30095222658,13.0,54.075,11.13,,"{'original': 6.5, 'alternative': 6.3}",0,-0.03,0.29,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,3,1,66.66666666666666,,,100.0,,,1.0,2.0,,1.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
14015540,home,5153,OFK Beograd,352610,Miloš Pantović,milos-pantovic,M,27,False,30.0,18.0,3.0,1.0,0.0,16.0,21.0,2.0,9.0,1.0,5.0,2.0,,,,89.0,47.0,6.3,14.0,95.090957823049,15.0,33.075,11.025,,"{'original': 6.3, 'alternative': 6}",0,-0.14,0.07,-0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,4,6,60.0,33.33333333333333,,,,,6.0,5.0,,1.0,2.0,2.0,1.0,,,,3.0,1.0,,,1.0,,,,,,,,,,,,
14015540,home,5153,OFK Beograd,1087489,Uroš Kabić,uros-kabic,M,17,False,24.0,17.0,1.0,,0.0,11.0,13.0,6.0,11.0,4.0,8.0,2.0,,,,90.0,43.0,8.7,14.0,110.63627594469,18.0,53.865,14.28,,"{'original': 8.7, 'alternative': 7.9}",2,-0.13,0.3,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,4,5,70.83333333333334,,,60.0,,,5.0,2.0,,1.0,1.0,,1.0,,,2.0,,5.0,3.0,,2.0,2.0,2.0,0.92,,,,,,,,,
14015540,home,5153,OFK Beograd,1406091,Aleksa Cvetković,aleksa-cvetkovic,M,8,False,25.0,15.0,2.0,,1.0,11.0,18.0,4.0,7.0,,3.0,3.0,,,,90.0,44.0,6.4,17.0,97.374173548785,14.0,27.93,14.175,,"{'original': 6.4, 'alternative': 6.6}",0,0.3,0.06,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,60.0,,,75.0,,1.0,5.0,2.0,1.0,,1.0,1.0,,,,4.0,,4.0,3.0,1.0,1.0,,,,1.0,,,,,,,,
14015540,home,3036,OFK Beograd,1176881,Diogo Bezerra,diogo-bezerra,M,94,False,10.0,6.0,,,2.0,2.0,4.0,4.0,6.0,,1.0,4.0,,,,71.0,27.0,7.6,12.0,197.3144556762,12.0,144.585,35.91,,"{'original': 7.6, 'alternative': 7.1}",3,0.83,0.45,-0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,1,9,60.0,,,,,,9.0,,,1.0,1.0,2.0,,,,1.0,1.0,3.0,,2.0,3.0,1.0,,0.33,,1.0,1.0,1.0,1.0,,,,
14015540,home,5149,OFK Beograd,1937553,Jay Enem,tyron-enem-jay-ifeanyi-junior,F,22,False,10.0,9.0,1.0,1.0,0.0,4.0,4.0,5.0,6.0,2.0,4.0,2.0,,,,57.0,15.0,7.6,2.0,42.109955216432,4.0,0.73500000000002,6.3,,"{'original': 7.6, 'alternative': 7.2}",1,-0.03,0.06,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,2,1,90.0,100.0,,,,3.0,4.0,,,,,,,,,,2.0,,,,1.0,1.0,1.0,0.44,,,,,,,,,
14015540,home,47321,OFK Beograd,1544616,Hugo Alba,hugo-alba,F,9,True,4.0,3.0,,,0.0,2.0,2.0,1.0,2.0,,,1.0,,,,33.0,5.0,6.4,1.0,4.3242905776555,1.0,4.305,4.305,,"{'original': 6.4, 'alternative': 6.5}",0,0.0,0.0,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,75.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
14015540,home,6079,OFK Beograd,1465579,Mihajlo Petrović,mihajlo-petrovic,M,13,True,3.0,2.0,,,0.0,1.0,1.0,1.0,2.0,,,,,,,19.0,7.0,6.4,3.0,25.538819235068,3.0,-5.985,4.2,,"{'original': 6.4, 'alternative': 6.4}",0,-0.03,0.0,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
14015540,home,5153,OFK Beograd,1104742,Uroš Lazić,uros-lazic,D,21,True,4.0,3.0,,,0.0,2.0,2.0,1.0,2.0,,,1.0,,,,18.0,11.0,6.5,1.0,17.954136117736,2.0,-7.77,-1.155,,"{'original': 6.5, 'alternative': 6.5}",0,0.02,0.0,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,75.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
14015540,home,5153,OFK Beograd,94538,Saša Marković,sasa-markovic,M,10,True,11.0,6.0,1.0,,0.0,2.0,2.0,4.0,9.0,1.0,1.0,1.0,,,,18.0,13.0,6.3,5.0,39.283064172389,2.0,29.925,18.795,,"{'original': 6.3, 'alternative': 6.2}",0,-0.09,0.05,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,2,0,0,0,54.54545454545454,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
14015540,home,5153,OFK Beograd,1982018,Issiaka Dembele,issiaka-dembele,M,25,True,3.0,2.0,1.0,,0.0,2.0,2.0,,1.0,,,1.0,,,,1.0,3.0,,1.0,8.9730175526408,1.0,7.77,7.77,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015540,home,5153,OFK Beograd,1939189,Mamadou Fall,moustapha-fall,D,26,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015540,home,5153,OFK Beograd,881211,Uroš Stojanović,uros-stojanovic,D,24,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015540,home,5153,OFK Beograd,1146082,Aleksej Vukičević,aleksej-vukicevic,D,45,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015540,home,5153,OFK Beograd,1183887,Henry Addo,addo-henry,M,43,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015540,home,5153,OFK Beograd,2256607,Luka Radojevic,luka-radojevic,M,39,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015540,home,74323,OFK Beograd,2399348,Alen Hatunic,alen-hatunic,G,66,True,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015540,away,5149,FK Crvena zvezda,603946,Matheus,matheus,G,1,False,26.0,23.0,8.0,5.0,0.0,22.0,23.0,1.0,3.0,,,3.0,,1.0,1.0,90.0,29.0,5.8,3.0,43.319453820926,9.0,-9.765,2.1,0.4994,"{'original': 5.8, 'alternative': 6.1}",0,0.15,0.0,-0.32,0.42,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,88.46153846153845,62.5,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,
14015540,away,5149,FK Crvena zvezda,1100641,Nikola Stanković,nikola-stankovic,D,24,False,45.0,39.0,3.0,2.0,0.0,16.0,16.0,23.0,29.0,1.0,7.0,10.0,,,,83.0,73.0,6.6,11.0,213.00470814691,21.0,-160.755,4.305,,"{'original': 6.6, 'alternative': 7.6}",1,0.33,0.45,-0.49,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,6,1,86.66666666666667,66.66666666666666,20.0,100.0,,1.0,2.0,1.0,,5.0,1.0,,4.0,2.0,,1.0,1.0,1.0,1.0,4.0,,1.0,,-0.32,5.0,1.0,,,,,,1.0,1.0
14015540,away,5149,FK Crvena zvezda,867608,Rodrigão,rodrigao-prado,D,5,False,65.0,54.0,7.0,3.0,0.0,37.0,43.0,17.0,22.0,4.0,6.0,8.0,,,,90.0,76.0,6.8,11.0,237.38661842907,26.0,-149.52,3.36,,"{'original': 6.8, 'alternative': 7}",2,0.32,0.19,-0.33,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,2,1,83.07692307692308,42.857142857142854,100.0,,,1.0,2.0,3.0,1.0,,1.0,,2.0,2.0,,,,,,2.0,,,,-0.35,1.0,1.0,,2.0,,,,1.0,
14015540,away,5149,FK Crvena zvezda,1133882,Franklin Tebo,franklin-tebo,D,30,False,62.0,60.0,3.0,3.0,0.0,34.0,35.0,26.0,27.0,1.0,2.0,8.0,,,,90.0,67.0,6.2,2.0,168.88645131417,21.0,-72.135,14.805,,"{'original': 6.2, 'alternative': 6.4}",0,0.34,0.1,-0.45,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,1,1,96.7741935483871,100.0,,,,1.0,2.0,2.0,,1.0,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,
14015540,away,5149,FK Crvena zvezda,1493918,Adem Avdić,adem-avdic,D,71,False,50.0,46.0,2.0,2.0,0.0,11.0,13.0,35.0,37.0,,3.0,2.0,,,,90.0,71.0,5.9,8.0,167.04393618848,20.0,-77.49,8.61,,"{'original': 5.9, 'alternative': 6.8}",1,0.18,0.26,-0.66,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,3,2,92.0,100.0,25.0,,,3.0,5.0,3.0,,2.0,,1.0,2.0,2.0,1.0,,1.0,1.0,,2.0,,,,-0.37,4.0,,,,1.0,,,1.0,
14015540,away,5149,FK Crvena zvezda,1825955,Vasilije Kostov,vasilije-kostov,M,22,False,35.0,34.0,2.0,2.0,0.0,9.0,9.0,25.0,26.0,,2.0,4.0,,,,78.0,45.0,7.2,6.0,152.35005668789,14.0,-68.985,4.83,,"{'original': 7.2, 'alternative': 7.8}",2,-0.01,-0.51,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,97.14285714285714,100.0,,100.0,,,,,,,,,,,,2.0,,2.0,2.0,3.0,,1.0,1.0,0.39,3.0,,1.0,1.0,,,,,
14015540,away,5149,FK Crvena zvezda,1516318,Mahmudu Bajo,bajo,M,6,False,50.0,40.0,5.0,3.0,0.0,14.0,16.0,26.0,34.0,1.0,5.0,7.0,,,,63.0,59.0,6.7,10.0,140.55205390651,17.0,-25.2,6.195,,"{'original': 6.7, 'alternative': 7}",4,0.16,0.26,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,80.0,60.0,,,,,4.0,,,,3.0,1.0,2.0,2.0,,,2.0,,,,,,,-0.53,,,,2.0,2.0,,,,
14015540,away,5149,FK Crvena zvezda,827371,Timi Max Elšnik,timi-max-elsnik,M,21,False,46.0,40.0,4.0,2.0,0.0,8.0,8.0,32.0,38.0,,2.0,4.0,,,,63.0,59.0,8.3,10.0,166.51275914663,17.0,-21.315,12.18,,"{'original': 8.3, 'alternative': 8.1}",2,0.42,0.27,-0.1,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,86.95652173913044,50.0,33.33333333333333,100.0,,,,,,1.0,,,1.0,,,,,1.0,1.0,5.0,,1.0,1.0,0.55,6.0,,,1.0,,,,2.0,
