match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,totalClearance,totalTackle,wonTackle,fouls,keyPass,outfielderBlock,interceptionWon,unsuccessfulTouch,wasFouled,wonContest,onTargetScoringAttempt,blockedScoringAttempt,shotValueNormalized,dispossessed,bigChanceCreated,shotOffTarget,bigChanceMissed,totalOffside,goodHighClaim,punches,totalKeeperSweeper,accurateKeeperSweeper,goals
14015542,home,5149,FK Crvena zvezda,603946,Matheus,matheus,G,1,False,31.0,23.0,11.0,4.0,0.0,22.0,24.0,1.0,7.0,11.0,2.0,3.0,90.0,41.0,6.8,9.0,45.593544804801,10.0,20.58,6.195,0.4369,"{'original': 6.8, 'alternative': 6.7}",0,0.06,-0.05,-0.06,0.38,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,74.19354838709677,36.36363636363637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015542,home,5149,FK Crvena zvezda,1019333,Young-woo Seol,young-woo-seol,D,66,False,53.0,46.0,4.0,2.0,0.0,22.0,25.0,24.0,28.0,5.0,,,90.0,77.0,6.6,11.0,112.71874300856,12.0,28.245,16.065,,"{'original': 6.6, 'alternative': 6.9}",0,0.09,0.11,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,2,3,86.79245283018868,50.0,25.0,,,4.0,1.0,2.0,2.0,5.0,4.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14015542,home,5149,FK Crvena zvezda,867608,Rodrigão,rodrigao-prado,D,5,False,92.0,81.0,16.0,11.0,0.0,42.0,45.0,39.0,47.0,7.0,,,90.0,107.0,7.6,13.0,345.20247469747,43.0,177.87,14.28,,"{'original': 7.6, 'alternative': 7.4}",0,0.45,0.22,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,3,3,88.04347826086956,68.75,,,,1.0,,2.0,1.0,5.0,4.0,2.0,,4.0,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,
14015542,home,5149,FK Crvena zvezda,1146225,Stefan Leković,stefan-lekovic,D,25,False,62.0,54.0,5.0,4.0,0.0,39.0,42.0,15.0,20.0,2.0,,,77.0,70.0,6.6,9.0,108.08066404633,17.0,43.89,13.545,,"{'original': 6.6, 'alternative': 6.7}",0,0.1,0.07,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,87.09677419354838,80.0,,,,,,1.0,1.0,4.0,3.0,1.0,,3.0,1.0,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,
14015542,home,5149,FK Crvena zvezda,904400,Nair Tiknizyan,nair-tiknizyan,D,23,False,28.0,22.0,5.0,2.0,0.0,10.0,14.0,12.0,14.0,3.0,,,59.0,37.0,6.3,11.0,83.491969661981,10.0,52.185,20.16,,"{'original': 6.3, 'alternative': 6.5}",0,-0.05,-0.3,-0.12,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,78.57142857142857,40.0,,,,3.0,,,2.0,1.0,2.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
14015542,home,5149,FK Crvena zvezda,155449,Rade Krunić,rade-krunic,M,33,False,72.0,61.0,5.0,4.0,0.0,29.0,31.0,32.0,41.0,10.0,,,90.0,86.0,7.2,12.0,271.18862312906,26.0,173.985,29.715,,"{'original': 7.2, 'alternative': 7.5}",3,0.42,0.29,-0.03,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,5,2,84.72222222222221,80.0,,100.0,,,,1.0,1.0,3.0,6.0,,1.0,,1.0,1.0,2.0,1.0,,3.0,1.0,3.0,1.0,1.0,2.0,0.03,,,,,,,,,,
14015542,home,5149,FK Crvena zvezda,827371,Timi Max Elšnik,timi-max-elsnik,M,21,False,50.0,45.0,3.0,3.0,0.0,15.0,16.0,30.0,34.0,,,,67.0,62.0,7.0,10.0,77.790908667693,9.0,30.135,11.76,,"{'original': 7, 'alternative': 7}",1,0.35,0.0,-0.08,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,90.0,100.0,,100.0,,4.0,,2.0,,4.0,1.0,2.0,1.0,1.0,,,,,,,1.0,,1.0,1.0,,0.01,,,,,,,,,,
14015542,home,5149,FK Crvena zvezda,1974511,Luka Zarić,luka-zaric,M,40,False,18.0,13.0,,,0.0,5.0,7.0,8.0,11.0,4.0,,,58.0,39.0,6.8,14.0,42.778497234325,5.0,6.51,15.645,,"{'original': 6.8, 'alternative': 7.1}",1,0.22,0.02,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,4,1,72.22222222222221,,33.33333333333333,,,3.0,1.0,,,1.0,4.0,,,,1.0,,,1.0,,1.0,3.0,3.0,,,,-0.04,1.0,1.0,1.0,,,,,,,
14015542,home,5149,FK Crvena zvezda,110701,Aleksandar Katai,aleksandar-katai,M,10,False,22.0,16.0,,,0.0,4.0,4.0,12.0,18.0,2.0,,,59.0,31.0,6.0,11.0,102.65905462276,10.0,-10.185,16.38,,"{'original': 6, 'alternative': 6.2}",2,-0.17,-0.47,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,0,4,72.72727272727273,,,,,,,1.0,2.0,5.0,2.0,,2.0,,,,1.0,,,,2.0,,,,,-0.53,1.0,,2.0,2.0,1.0,,,,,
14015542,home,5149,FK Crvena zvezda,278763,Mirko Ivanić,mirko-ivanic,M,4,False,44.0,29.0,1.0,,0.0,8.0,9.0,21.0,35.0,4.0,,,90.0,64.0,6.9,20.0,103.83577022997,12.0,55.335,21.525,,"{'original': 6.9, 'alternative': 7.3}",2,0.3,0.07,-0.04,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,4,1,65.9090909090909,,50.0,50.0,,2.0,1.0,,2.0,1.0,6.0,,2.0,,3.0,2.0,,2.0,1.0,2.0,2.0,,1.0,,1.0,-0.14,,1.0,1.0,,,,,,,
