match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,goodHighClaim,savedShotsFromInsideTheBox,saves,punches,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalCross,accurateCross,aerialLost,duelLost,duelWon,dispossessed,totalContest,wonContest,bigChanceMissed,shotOffTarget,blockedScoringAttempt,interceptionWon,totalTackle,wonTackle,wasFouled,keyPass,shotValueNormalized,aerialWon,challengeLost,outfielderBlock,unsuccessfulTouch,fouls,bigChanceCreated,totalOffside,onTargetScoringAttempt,totalKeeperSweeper,accurateKeeperSweeper,lastManTackle
14015544,home,111127,FK Radnik Surdulica,954755,Stefan Ranđelović,stefan-randjelovic,G,99,False,29.0,20.0,13.0,4.0,0.0,20.0,22.0,7.0,1.0,6.0,1.0,1.0,2.0,1.0,90.0,37.0,6.8,9.0,95.727945216314,14.0,64.365,10.71,0.0274,"{'original': 6.8, 'alternative': 7.2}",0,0.01,-0.04,0.19,0.03,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,68.96551724137932,30.76923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015544,home,111127,FK Radnik Surdulica,1147541,Mateja Gašić,mateja-gasic,D,66,False,56.0,37.0,14.0,2.0,0.0,14.0,15.0,41.0,1.0,7.0,,,,,90.0,96.0,7.5,31.0,432.98371767519,40.0,312.27,45.675,,"{'original': 7.5, 'alternative': 7.2}",3,0.49,0.42,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,6,3,66.07142857142857,14.285714285714285,28.57142857142857,33.33333333333333,,23.0,7.0,2.0,1.0,4.0,6.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,-0.51,,,,,,,,,,,
14015544,home,111127,FK Radnik Surdulica,1215907,David Stojanović,david-stojanovic,D,6,False,49.0,43.0,6.0,2.0,0.0,31.0,33.0,16.0,7.0,7.0,,,,,90.0,67.0,7.3,8.0,175.92414199229,24.0,67.935,10.08,,"{'original': 7.3, 'alternative': 7.2}",0,0.26,0.05,0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,2,2,87.75510204081633,33.33333333333333,,,,12.0,,,1.0,3.0,4.0,1.0,,,,,,2.0,2.0,1.0,,,,2.0,1.0,1.0,,,,,,,,
14015544,home,111127,FK Radnik Surdulica,1388249,Sandro Trémoulet,sandro-tremoulet,D,18,False,48.0,41.0,7.0,3.0,0.0,33.0,35.0,13.0,8.0,6.0,,,,,90.0,74.0,8.1,8.0,132.60034557894,18.0,53.55,14.595,,"{'original': 8.1, 'alternative': 8}",1,0.18,0.04,0.57,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,7,1,85.41666666666666,42.857142857142854,,,,8.0,,,,1.0,11.0,,,,,1.0,,2.0,7.0,4.0,,,-0.19,4.0,,1.0,1.0,1.0,,,,,,
14015544,home,111127,FK Radnik Surdulica,1147568,Sadick Abubakar,sadick-abubakar,D,37,False,28.0,21.0,3.0,,0.0,10.0,11.0,17.0,4.0,6.0,,,,,61.0,50.0,6.8,11.0,114.31173961602,12.0,48.09,15.225,,"{'original': 6.8, 'alternative': 6.8}",1,0.13,0.1,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,6,8,2,6,75.0,,,,,11.0,2.0,,2.0,8.0,6.0,,1.0,,,,1.0,2.0,1.0,1.0,1.0,,-0.07,4.0,1.0,,,4.0,,,,,,
14015544,home,111127,FK Radnik Surdulica,1165840,Miloš Popović,milos-popovic,M,5,False,42.0,37.0,1.0,,0.0,22.0,24.0,18.0,1.0,4.0,,,,,90.0,55.0,6.6,11.0,111.10768556,18.0,10.71,12.285,,"{'original': 6.6, 'alternative': 6.6}",1,0.04,0.31,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,5,4,1,3,88.09523809523809,,,,,15.0,1.0,,2.0,5.0,4.0,1.0,,,,,1.0,1.0,,,1.0,,-0.03,3.0,,,4.0,2.0,,,,,,
14015544,home,111127,FK Radnik Surdulica,804662,Aleksandar Pejović,aleksandar-pejovic,M,28,False,47.0,34.0,4.0,1.0,0.0,18.0,22.0,25.0,3.0,8.0,,,,,80.0,64.0,6.9,18.0,160.83506192543,19.0,4.62,9.66,,"{'original': 6.9, 'alternative': 7}",0,0.38,0.11,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,3,3,72.3404255319149,25.0,,50.0,,16.0,,,3.0,6.0,5.0,,2.0,1.0,,,,1.0,2.0,1.0,,2.0,,2.0,1.0,,4.0,1.0,1.0,,,,,
14015544,home,5149,FK Radnik Surdulica,1916326,Douglas Owusu,owusu-douglas,M,7,False,38.0,34.0,3.0,3.0,0.0,10.0,10.0,28.0,,5.0,,,,,90.0,49.0,7.1,7.0,242.16090633301,28.0,40.635,24.045,,"{'original': 7.1, 'alternative': 7.2}",0,0.16,0.16,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,5,2,89.47368421052632,100.0,,100.0,,24.0,,,1.0,3.0,6.0,1.0,2.0,2.0,,,,,1.0,,2.0,2.0,,1.0,,,1.0,1.0,,,,,,
14015544,home,111127,FK Radnik Surdulica,997184,Martin Novaković,martin-novakovic,M,30,False,34.0,22.0,3.0,1.0,0.0,9.0,14.0,20.0,,6.0,,,,,61.0,51.0,6.2,22.0,216.54724075156,24.0,62.265,22.365,,"{'original': 6.2, 'alternative': 6.5}",2,-0.31,0.34,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,2,6,64.70588235294117,33.33333333333333,,33.33333333333333,,13.0,,,,6.0,4.0,2.0,3.0,1.0,,2.0,,,1.0,,,,-0.5,2.0,,,5.0,2.0,,,,,,
14015544,home,111127,FK Radnik Surdulica,1130262,Đorđe Jovanović,dorde-jovanovic,M,88,False,16.0,13.0,,,0.0,2.0,4.0,12.0,,1.0,,,,,45.0,28.0,6.7,9.0,59.287057987795,9.0,7.875,9.87,,"{'original': 6.7, 'alternative': 6.8}",0,-0.02,0.01,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,4,2,81.25,,,66.66666666666666,,11.0,1.0,,1.0,3.0,5.0,1.0,3.0,2.0,,,,,2.0,1.0,,1.0,,1.0,,,3.0,,,,,,,
14015544,home,111127,FK Radnik Surdulica,901590,Haris Hajdarević,haris-hajdarevic,F,4,False,23.0,17.0,2.0,1.0,0.0,4.0,4.0,19.0,,4.0,,,,,90.0,44.0,6.3,14.0,134.89529998329,17.0,70.665,17.745,,"{'original': 6.3, 'alternative': 6.7}",2,-0.13,0.17,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,5,4,73.91304347826086,50.0,,,,13.0,1.0,,5.0,9.0,5.0,1.0,1.0,,,2.0,,,,,5.0,,-0.34,,,,4.0,3.0,,1.0,,,,
14015544,home,111127,FK Radnik Surdulica,356190,Borko Duronjić,borko-duronjic,M,11,True,16.0,13.0,3.0,1.0,0.0,2.0,2.0,14.0,,1.0,,,,,45.0,27.0,7.0,8.0,161.34351437028,15.0,81.9,25.935,,"{'original': 7, 'alternative': 7}",1,0.3,0.19,0.0,,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,2,0,81.25,33.33333333333333,33.33333333333333,100.0,,11.0,3.0,1.0,,,2.0,,1.0,1.0,,,,1.0,,,1.0,1.0,-0.1,,,,1.0,,,,1.0,,,
14015544,home,111127,FK Radnik Surdulica,1544668,Darije Markočević,darije-markocevic,F,49,True,8.0,6.0,,,0.0,2.0,2.0,6.0,,1.0,,,,,29.0,12.0,6.5,4.0,46.017533839573,8.0,16.275,7.77,,"{'original': 6.5, 'alternative': 6.5}",0,-0.15,0.18,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,1,0,75.0,,,,,4.0,,,1.0,1.0,2.0,,,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,
14015544,home,37125,FK Radnik Surdulica,1427154,Uroš Filipović,uros-filipovic,D,21,True,22.0,15.0,3.0,1.0,0.0,7.0,8.0,14.0,,5.0,,,,,29.0,37.0,6.7,13.0,143.412107236,16.0,100.065,21.42,,"{'original': 6.7, 'alternative': 6.7}",0,0.22,-0.2,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,68.18181818181817,33.33333333333333,,33.33333333333333,,8.0,3.0,,1.0,3.0,3.0,,3.0,1.0,,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,,
14015544,home,111127,FK Radnik Surdulica,1000660,Savo Rašković,savo-raskovic,M,80,True,6.0,5.0,1.0,,0.0,2.0,2.0,4.0,1.0,,,,,,10.0,8.0,6.7,1.0,24.09795645629,4.0,5.985,5.25,,"{'original': 6.7, 'alternative': 6.6}",0,0.06,0.06,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,83.33333333333334,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
14015544,home,111127,FK Radnik Surdulica,2208696,Emmanuel Quarshie,emmanuel-quarshie,F,47,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015544,home,202066,FK Radnik Surdulica,997182,Uroš Blagojević,uros-blagojevic,D,33,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015544,home,111127,FK Radnik Surdulica,1166090,Luka Puzovic,luka-puzovic,M,8,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015544,home,111127,FK Radnik Surdulica,1424357,Lazar Radojičić,lazar-radojicic,G,23,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015544,home,111127,FK Radnik Surdulica,1801667,Lazar Stojanović,lazar-stojanovic,F,20,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015544,home,111127,FK Radnik Surdulica,1907123,Teo Lakić,teo-lakic,F,25,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015544,home,111127,FK Radnik Surdulica,1406169,Uroš Ilić,uros-ilic,D,14,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015544,away,7771,FK Mladost Lučani,38583,Saša Stamenković,sasa-stamenkovic,G,1,False,40.0,20.0,28.0,9.0,0.0,13.0,17.0,23.0,1.0,17.0,,,1.0,,90.0,52.0,6.9,20.0,37.786556568909,6.0,-1.47,5.565,-0.0001,"{'original': 6.9, 'alternative': 7}",0,0.2,-0.08,0.28,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,50.0,32.142857142857146,,,100.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
14015544,away,7771,FK Mladost Lučani,193130,Nikola Andrić,nikola-andric,D,7,False,23.0,13.0,7.0,1.0,0.0,4.0,6.0,17.0,3.0,5.0,,,,,90.0,59.0,7.1,19.0,47.073951183908,8.0,-7.455,9.24,,"{'original': 7.1, 'alternative': 7.4}",0,0.19,0.06,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,4,1,56.52173913043478,14.285714285714285,33.33333333333333,100.0,,9.0,3.0,1.0,2.0,3.0,5.0,,1.0,1.0,,,,2.0,1.0,,2.0,1.0,,1.0,1.0,,,,1.0,,,,,
14015544,away,7771,FK Mladost Lučani,1859501,Aleksa Milošević,aleksa-milosevic,D,20,False,34.0,21.0,9.0,1.0,0.0,12.0,15.0,19.0,7.0,7.0,,,,,90.0,51.0,7.3,14.0,91.804021061452,9.0,-36.225,3.465,,"{'original': 7.3, 'alternative': 7.5}",0,0.29,0.04,0.94,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,2,5,61.76470588235294,11.11111111111111,,,,9.0,,,1.0,6.0,2.0,,1.0,,,,,4.0,2.0,2.0,,,,,1.0,2.0,,3.0,,,,,,1.0
14015544,away,7771,FK Mladost Lučani,1022062,Mihailo Oreščanin,mihailo-orescanin,D,37,False,39.0,29.0,11.0,5.0,0.0,23.0,29.0,10.0,10.0,1.0,,,,,90.0,55.0,7.1,11.0,107.99357349024,14.0,18.795,42.105,,"{'original': 7.1, 'alternative': 7.2}",0,0.15,0.01,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,0,3,74.35897435897436,45.45454545454545,,,,6.0,,,1.0,4.0,4.0,,,,,,,2.0,,,,,,4.0,,1.0,,3.0,,,,,,
14015544,away,7771,FK Mladost Lučani,814416,Nikola Ćirković,nikola-cirkovic,D,30,False,40.0,32.0,2.0,1.0,0.0,22.0,28.0,12.0,7.0,5.0,,,,,90.0,54.0,6.9,10.0,86.21621332585,9.0,-63.945,1.995,,"{'original': 6.9, 'alternative': 7.1}",0,0.19,0.07,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,1,5,1,4,80.0,50.0,,,,10.0,1.0,,,4.0,2.0,,,,,,,3.0,1.0,1.0,,,,1.0,2.0,,1.0,2.0,,,,,,
14015544,away,7771,FK Mladost Lučani,795938,Žarko Udovičić,zarko-udovicic,D,33,False,27.0,21.0,7.0,4.0,0.0,9.0,10.0,17.0,1.0,4.0,,,,,90.0,45.0,6.8,12.0,47.606484633303,7.0,-3.57,7.245,,"{'original': 6.8, 'alternative': 6.9}",0,0.11,0.09,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,1,2,77.77777777777779,57.14285714285714,,,,12.0,2.0,,,2.0,1.0,1.0,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,
