match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalClearance,ballRecovery,errorLeadToAShot,savedShotsFromInsideTheBox,penaltySave,penaltyFaced,saves,punches,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialLost,aerialWon,duelLost,duelWon,dispossessed,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,outfielderBlock,accurateCross,challengeLost,keyPass,penaltyConceded,onTargetScoringAttempt,shotValueNormalized,shotOffTarget,totalOffside,goals,goodHighClaim,blockedScoringAttempt,bigChanceCreated,bigChanceMissed,hitWoodwork,penaltyWon,penaltyMiss
14015545,home,25737,FK Radnički Niš,804837,Dejan Stanivuković,dejan-stanivukovic,G,94,False,25.0,14.0,22.0,11.0,0.0,6.0,8.0,8.0,17.0,1.0,3.0,1.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,90.0,35.0,7.5,11.0,78.140133802005,6.0,-50.085,4.62,1.019,"{'original': 7.5, 'alternative': 7.9}",0,0.05,0.08,-0.31,0.66,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,56.00000000000001,50.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015545,home,25737,FK Radnički Niš,2198962,Djordje Petrović,djordje-petrovic,D,71,False,18.0,10.0,6.0,2.0,0.0,3.0,6.0,7.0,12.0,6.0,4.0,,,,,,,,,77.0,50.0,5.8,17.0,88.979399411447,9.0,23.31,21.105,,"{'original': 5.8, 'alternative': 6}",0,-0.02,0.11,-0.29,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,3,4,55.55555555555556,33.33333333333333,,50.0,,2.0,1.0,3.0,5.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,,,,,,,,,,,,,,,,,
14015545,home,25737,FK Radnički Niš,827547,Marko Mijailović,marko-mijailovic,D,2,False,28.0,21.0,8.0,5.0,0.0,14.0,17.0,7.0,11.0,5.0,2.0,,,,,,,,,90.0,50.0,7.0,10.0,55.614772667946,7.0,23.835,13.335,,"{'original': 7, 'alternative': 7.1}",0,0.11,0.04,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,5,1,75.0,62.5,,100.0,,1.0,1.0,2.0,2.0,7.0,,1.0,1.0,2.0,1.0,1.0,,3.0,1.0,1.0,,,,,,,,,,,,,,,,
14015545,home,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,45.0,32.0,7.0,2.0,0.0,23.0,27.0,9.0,18.0,10.0,6.0,,,,,,,,,90.0,62.0,6.6,14.0,138.92679646382,16.0,50.4,21.0,,"{'original': 6.6, 'alternative': 6.9}",0,0.0,-0.35,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,3,0,71.11111111111111,28.57142857142857,,,,,2.0,3.0,2.0,6.0,,,,1.0,1.0,,1.0,2.0,,2.0,,,,,,,,,,,,,,,,
14015545,home,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,False,31.0,24.0,8.0,4.0,0.0,12.0,15.0,12.0,16.0,6.0,8.0,,,,,,,,,90.0,49.0,6.9,10.0,155.83590313915,17.0,49.98,18.69,,"{'original': 6.9, 'alternative': 6.7}",0,0.27,0.07,-0.38,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,4,6,3,3,77.41935483870968,50.0,33.33333333333333,,,3.0,1.0,3.0,4.0,6.0,,,,,1.0,1.0,1.0,2.0,1.0,,1.0,2.0,1.0,,,,,,,,,,,,,
14015545,home,25737,FK Radnički Niš,112321,Radomir Milosavljević,radomir-milosavljevic,M,22,False,32.0,23.0,4.0,,0.0,13.0,16.0,10.0,16.0,6.0,4.0,,,,,,,,,85.0,49.0,5.7,11.0,70.383408964314,10.0,4.41,10.08,,"{'original': 5.7, 'alternative': 6}",0,0.13,-0.06,-0.48,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,8,9,3,6,71.875,,,,,,5.0,3.0,11.0,6.0,1.0,,,1.0,2.0,,,1.0,2.0,1.0,,3.0,,1.0,,,,,,,,,,,,
14015545,home,25737,FK Radnički Niš,1470370,Luka Izderić,luka-izderic,M,89,False,13.0,10.0,1.0,1.0,1.0,3.0,4.0,7.0,9.0,,1.0,,,,,,,,,60.0,18.0,6.4,5.0,46.350075263754,6.0,14.7,8.925,,"{'original': 6.4, 'alternative': 6.7}",1,0.26,0.09,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,76.92307692307693,100.0,,,,,2.0,,4.0,1.0,1.0,,,,1.0,1.0,1.0,,1.0,,,,2.0,,1.0,0.0,,,,,,,,,,
14015545,home,25737,FK Radnički Niš,1022054,Miloš Spasić,milos-spasic,M,97,False,21.0,18.0,1.0,1.0,0.0,9.0,11.0,9.0,10.0,2.0,1.0,,,,,,,,,90.0,40.0,6.0,10.0,130.24706873155,13.0,-30.765,22.68,,"{'original': 6, 'alternative': 6.5}",1,-0.03,0.03,-0.06,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,2,2,85.71428571428571,100.0,,50.0,,1.0,4.0,3.0,6.0,5.0,,2.0,1.0,1.0,1.0,1.0,5.0,,,,,1.0,1.0,,,-0.22,1.0,1.0,,,,,,,,
14015545,home,40263,FK Radnički Niš,889059,Vanja Ilić,vanja-ilic,M,21,False,39.0,29.0,5.0,,0.0,17.0,18.0,12.0,21.0,1.0,7.0,,,,,,,,,90.0,62.0,7.6,21.0,206.87629471433,27.0,47.04,31.29,,"{'original': 7.6, 'alternative': 7.1}",2,0.16,0.17,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,6,7,74.35897435897436,,25.0,25.0,,4.0,1.0,,8.0,6.0,,4.0,1.0,,1.0,,5.0,4.0,2.0,1.0,1.0,2.0,,,2.0,0.54,,1.0,1.0,,,,,,,
14015545,home,263360,FK Radnički Niš,965889,Radivoj Bosić,radivoj-bosic,M,7,False,18.0,12.0,5.0,4.0,0.0,3.0,3.0,9.0,15.0,1.0,5.0,,,,,,,,,90.0,50.0,6.6,25.0,258.15271592714,24.0,120.75,23.94,,"{'original': 6.6, 'alternative': 6.7}",0,-0.2,0.39,0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,2,15,6,9,66.66666666666666,80.0,20.0,50.0,,5.0,2.0,,11.0,6.0,3.0,8.0,4.0,,,,6.0,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,,
