match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalClearance,ballRecovery,penaltyFaced,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,totalContest,wonContest,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,keyPass,penaltyConceded,fouls,dispossessed,errorLeadToAGoal,challengeLost,bigChanceCreated,outfielderBlock,blockedScoringAttempt,shotValueNormalized,onTargetScoringAttempt,shotOffTarget,goals,totalOffside,goodHighClaim,savedShotsFromInsideTheBox,punches,bigChanceMissed,penaltyWon
14015546,home,229348,FK IMT Beograd,112020,Bojan Brać,bojan-brac,G,90,False,16.0,15.0,2.0,1.0,0.0,15.0,16.0,1.0,4.0,1.0,1.0,1.0,1.0,90.0,23.0,5.9,2.0,28.366617225183,4.0,1.68,2.52,0.0027,"{'original': 5.9, 'alternative': 6}",0,-0.01,0.0,-0.29,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,93.75,50.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015546,home,308176,FK IMT Beograd,966572,Ismael Casas,ismael-casas,D,45,False,47.0,33.0,8.0,2.0,0.0,13.0,17.0,1.0,3.0,,,,,90.0,95.0,6.3,30.0,284.37552145627,34.0,109.83,19.005,,"{'original': 6.3, 'alternative': 7}",0,0.33,0.17,-0.44,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,4,0,70.2127659574468,25.0,20.0,100.0,,20.0,30.0,15.0,3.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
14015546,home,308176,FK IMT Beograd,904998,Moussa Sissako,sissako-moussa,D,5,False,68.0,57.0,10.0,4.0,0.0,26.0,31.0,5.0,2.0,,,,,90.0,78.0,5.7,14.0,260.0500402306,32.0,82.95,13.23,,"{'original': 5.7, 'alternative': 5.8}",0,0.27,0.33,-0.86,,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,83.82352941176471,40.0,,,,31.0,37.0,,,1.0,1.0,2.0,1.0,,,1.0,,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,
14015546,home,308176,FK IMT Beograd,886182,Marko Jevtić,marko-jevtic,D,14,False,49.0,42.0,7.0,3.0,0.0,18.0,21.0,5.0,2.0,,,,,86.0,59.0,5.7,9.0,219.01223063103,26.0,85.155,24.675,,"{'original': 5.7, 'alternative': 5.7}",0,0.24,0.12,-0.77,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,0,1,85.71428571428571,42.857142857142854,,,,24.0,28.0,1.0,,1.0,3.0,2.0,3.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
14015546,home,308176,FK IMT Beograd,1142784,Marko Luković,marko-lukovic,D,24,False,50.0,38.0,6.0,3.0,0.0,13.0,14.0,3.0,2.0,,,,,90.0,78.0,7.1,16.0,98.516993751218,17.0,26.145,7.77,,"{'original': 7.1, 'alternative': 7}",0,0.31,0.2,-0.45,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,3,2,76.0,50.0,,,,25.0,36.0,1.0,,1.0,3.0,3.0,6.0,,,2.0,2.0,2.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,
14015546,home,308176,FK IMT Beograd,1957265,Vasilije Novičić,vasilije-novicic,M,22,False,55.0,44.0,3.0,,1.0,20.0,22.0,1.0,3.0,,,,,90.0,72.0,7.2,20.0,191.79500940187,28.0,44.94,11.235,,"{'original': 7.2, 'alternative': 7.5}",0,0.61,0.08,-0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,6,3,2,1,80.0,,12.5,,,24.0,33.0,8.0,1.0,1.0,5.0,2.0,7.0,,,,2.0,2.0,2.0,,2.0,,1.0,,,,1.0,1.0,,,,,,,,,,,
14015546,home,308176,FK IMT Beograd,1405262,Vicky Kiankaulua,kiankaulua-vicky,M,94,False,9.0,5.0,,,0.0,,,1.0,1.0,,,,,45.0,17.0,6.2,7.0,71.646747018059,6.0,34.335,21.945,,"{'original': 6.2, 'alternative': 6.4}",0,0.06,0.03,-0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,55.55555555555556,,50.0,,,5.0,9.0,2.0,1.0,2.0,,4.0,1.0,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,
14015546,home,308176,FK IMT Beograd,314246,Luka Luković,luka-lukovic,M,8,False,56.0,41.0,3.0,1.0,1.0,14.0,17.0,,4.0,,,,,89.0,71.0,7.2,17.0,215.54650917804,24.0,32.34,26.04,,"{'original': 7.2, 'alternative': 7.3}",1,0.19,0.17,-0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,6,8,5,3,73.21428571428571,33.33333333333333,,,,27.0,39.0,1.0,,1.0,5.0,4.0,10.0,,,1.0,2.0,1.0,,3.0,1.0,,2.0,,,1.0,,,1.0,-0.08,,,,,,,,,
14015546,home,241802,FK IMT Beograd,797763,Olivier Thill,olivier-thill,M,18,False,31.0,20.0,3.0,1.0,0.0,11.0,13.0,,4.0,,,,,62.0,43.0,6.3,15.0,87.472358164798,13.0,-9.24,4.41,,"{'original': 6.3, 'alternative': 6.7}",1,0.06,-0.27,-0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,4,2,1,1,64.51612903225806,33.33333333333333,50.0,50.0,,9.0,18.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,,,,1.0,,2.0,,,,,,,,,-0.2,1.0,,,,,,,,
14015546,home,308176,FK IMT Beograd,1481264,Nikola Krstić,nikola-krstic,M,25,False,16.0,8.0,,,0.0,2.0,4.0,,1.0,,,,,45.0,25.0,6.5,11.0,98.083291107623,11.0,49.665,19.95,,"{'original': 6.5, 'alternative': 6.6}",1,0.07,0.03,-0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,2,1,50.0,,,,,6.0,12.0,,,1.0,3.0,2.0,5.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,-0.31,,1.0,,,,,,,
14015546,home,308176,FK IMT Beograd,1917883,Oriyomi Lebi,oriyomi-lebi,F,19,False,37.0,27.0,1.0,1.0,0.0,10.0,11.0,,4.0,,,,,90.0,51.0,7.6,16.0,130.68842363983,17.0,-19.215,12.075,,"{'original': 7.6, 'alternative': 7.8}",3,-0.16,0.35,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,10,6,2,4,72.97297297297297,100.0,,,,17.0,26.0,,,7.0,3.0,11.0,5.0,,,,,,5.0,2.0,1.0,,3.0,1.0,,,,1.0,,0.63,2.0,1.0,1.0,2.0,,,,,
14015546,home,308176,FK IMT Beograd,2059299,Dušan Zagar,dusan-zagar,M,10,True,13.0,10.0,,,0.0,4.0,4.0,,1.0,,,,,45.0,23.0,6.3,8.0,86.813837755205,9.0,53.76,21.21,,"{'original': 6.3, 'alternative': 6.4}",0,-0.06,0.08,-0.07,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,76.92307692307693,,,,,6.0,9.0,2.0,,,,3.0,1.0,,,,,,1.0,1.0,,,1.0,2.0,,,,,,,,,,,,,,,
