match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,penaltyFaced,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,challengeLost,shotOffTarget,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,keyPass,shotValueNormalized,totalContest,wasFouled,fouls,outfielderBlock,penaltyConceded,aerialLost,dispossessed,onTargetScoringAttempt,accurateCross,wonContest,bigChanceMissed,blockedScoringAttempt,goals,bigChanceCreated,errorLeadToAGoal,totalOffside,penaltyWon
14015548,home,43981,FK Radnički 1923,1152919,Luka Lijeskić,luka-lijeskic,G,81,False,28.0,16.0,15.0,3.0,0.0,13.0,16.0,3.0,12.0,7.0,2.0,1.0,3.0,90.0,37.0,5.6,13.0,56.873024527883,11.0,29.085,5.985,0.5685,"{'original': 5.6, 'alternative': 6}",0,0.02,0.0,-0.41,0.29,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,57.14285714285714,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015548,home,43981,FK Radnički 1923,1165919,Nikola Miličić,nikola-milicic,D,4,False,40.0,31.0,4.0,1.0,1.0,18.0,20.0,13.0,20.0,3.0,,,,90.0,64.0,6.8,13.0,121.15684714416,15.0,53.97,25.62,,"{'original': 6.8, 'alternative': 7.1}",1,0.28,0.17,-0.43,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,5,1,77.5,25.0,,,,2.0,2.0,1.0,7.0,1.0,1.0,4.0,1.0,5.0,4.0,1.0,1.0,-0.11,,,,,,,,,,,,,,,,,
14015548,home,43981,FK Radnički 1923,79383,Slobodan Simović,slobodan-simovic,D,14,False,36.0,32.0,7.0,6.0,0.0,18.0,20.0,14.0,16.0,6.0,,,,90.0,46.0,6.2,6.0,115.94378456821,17.0,63.21,9.345,,"{'original': 6.2, 'alternative': 6.1}",0,0.27,0.06,-0.69,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,88.88888888888889,85.71428571428571,,,,,1.0,3.0,2.0,1.0,,4.0,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,
14015548,home,43981,FK Radnički 1923,1518953,Nikola Marjanovic,nikola-marjanovic,D,5,False,42.0,34.0,6.0,3.0,0.0,22.0,26.0,12.0,16.0,4.0,,,,90.0,54.0,6.5,9.0,70.817920297634,7.0,45.465,17.325,,"{'original': 6.5, 'alternative': 6.4}",1,0.1,0.05,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,2,3,80.95238095238095,50.0,,,,,4.0,3.0,6.0,,1.0,4.0,1.0,2.0,1.0,,,-0.46,,,3.0,1.0,,,,,,,,,,,,,
14015548,home,2318,FK Radnički 1923,978293,Tomislav Dadić,tomislav-dadic,D,50,False,27.0,22.0,3.0,1.0,0.0,9.0,12.0,13.0,15.0,4.0,,,,70.0,45.0,5.4,8.0,179.55714766964,14.0,126.735,31.29,,"{'original': 5.4, 'alternative': 5.7}",0,0.04,0.2,-0.64,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,4,3,81.48148148148148,33.33333333333333,,,,2.0,,3.0,4.0,,,4.0,1.0,2.0,1.0,1.0,,,,2.0,3.0,,1.0,,,,,,,,,,,,
14015548,home,7674,FK Radnički 1923,1046779,Jovan Ilić,jovan-ilic,M,21,False,23.0,22.0,1.0,,0.0,10.0,11.0,12.0,12.0,8.0,,,,67.0,34.0,6.2,4.0,43.222885939338,7.0,28.035,6.72,,"{'original': 6.2, 'alternative': 6.2}",0,0.2,0.05,-0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,2,7,95.65217391304348,,,,,,1.0,8.0,3.0,3.0,,1.0,2.0,2.0,2.0,1.0,,,1.0,,2.0,,,1.0,1.0,,,,,,,,,,
14015548,home,43981,FK Radnički 1923,1000815,Louay Ben Hassine,louay-ben-hassine,M,99,False,22.0,19.0,,,0.0,6.0,7.0,13.0,15.0,3.0,,,,67.0,32.0,6.7,6.0,83.125427488184,11.0,41.37,10.29,,"{'original': 6.7, 'alternative': 6.8}",2,0.04,0.15,-0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,86.36363636363636,,,,,,,3.0,2.0,,,,1.0,,,2.0,2.0,0.36,,2.0,2.0,,,,1.0,2.0,,,,,,,,,
14015548,home,295152,FK Radnički 1923,1005356,Kilian Bevis,kilian-bevis,M,10,False,25.0,18.0,,,0.0,7.0,8.0,11.0,17.0,7.0,,,,90.0,61.0,7.5,23.0,186.1477005615,24.0,71.295,15.12,,"{'original': 7.5, 'alternative': 7}",5,0.26,0.44,-0.36,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,0,14,5,9,72.0,,28.57142857142857,33.33333333333333,,7.0,,9.0,5.0,3.0,1.0,2.0,,2.0,2.0,2.0,2.0,0.46,9.0,,,,,,,2.0,2.0,3.0,1.0,2.0,1.0,,,,
14015548,home,43981,FK Radnički 1923,1013823,Wajdi Sahli,wajdi-sahli,M,7,False,25.0,20.0,,,1.0,5.0,5.0,15.0,20.0,5.0,,,,82.0,37.0,6.9,9.0,91.090261562529,11.0,29.19,18.585,,"{'original': 6.9, 'alternative': 7.4}",2,0.53,0.24,-0.19,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,1,3,2,1,80.0,,50.0,,,4.0,,2.0,2.0,,2.0,,1.0,,,1.0,3.0,-0.14,,2.0,,,,1.0,1.0,,2.0,,,,,1.0,,,
14015548,home,43981,FK Radnički 1923,987250,Issa Bah,bah-issa,M,77,False,18.0,9.0,,,0.0,1.0,2.0,8.0,16.0,4.0,,,,72.0,27.0,5.9,12.0,159.5103626993,11.0,54.495,32.445,,"{'original': 5.9, 'alternative': 6.1}",1,-0.19,0.35,-0.51,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,5,3,3,0,50.0,,,100.0,,1.0,2.0,3.0,5.0,,,1.0,,,,2.0,1.0,-0.12,1.0,2.0,,,,3.0,,,,1.0,,1.0,,,1.0,,
