player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,goalkeeper,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType
"{'name': 'Moussa Sissako', 'firstName': '', 'lastName': '', 'slug': 'sissako-moussa', 'shortName': 'M. Sissako', 'position': 'D', 'jerseyNumber': '5', 'userCount': 221, 'gender': 'M', 'id': 904998, 'fieldTranslations': {'nameTranslation': {'ar': 'سيساكو، موسى', 'bn': 'সিসাকো, মুসা', 'hi': 'सिसाको, मूसा'}, 'shortNameTranslation': {'ar': 'م. سيساكو', 'bn': 'এম. সিসাকো', 'hi': 'एम. सिसाको'}}}",False,block,assisted,"{'x': 32.9, 'y': 47.2, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.9, 'z': 19}","{'x': 19, 'y': 48, 'z': 0}","{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6343125,90,3.0,5548,"{'start': {'x': 47.2, 'y': 32.9}, 'block': {'x': 48, 'y': 19}, 'end': {'x': 49.1, 'y': 0}, 'goal': {'x': 49.1, 'y': 81}}",1,752,148,shot,
"{'name': 'Charly Keita', 'firstName': '', 'lastName': '', 'slug': 'keita-charly', 'shortName': 'C. Keita', 'position': 'F', 'jerseyNumber': '99', 'userCount': 56, 'gender': 'M', 'id': 1137495, 'fieldTranslations': {'nameTranslation': {'ar': 'كييتا، تشارلي'}, 'shortNameTranslation': {'ar': 'ت. كييتا'}}}",False,block,set-piece,"{'x': 9.8, 'y': 62.8, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.4, 'z': 19}","{'x': 7.2, 'y': 60.1, 'z': 0}","{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6342924,73,,4336,"{'start': {'x': 62.8, 'y': 9.8}, 'block': {'x': 60.1, 'y': 7.2}, 'end': {'x': 52.6, 'y': 0}, 'goal': {'x': 52.6, 'y': 81}}",18,1064,1636,shot,
"{'name': 'Moussa Sissako', 'firstName': '', 'lastName': '', 'slug': 'sissako-moussa', 'shortName': 'M. Sissako', 'position': 'D', 'jerseyNumber': '5', 'userCount': 221, 'gender': 'M', 'id': 904998, 'fieldTranslations': {'nameTranslation': {'ar': 'سيساكو، موسى', 'bn': 'সিসাকো, মুসা', 'hi': 'सिसाको, मूसा'}, 'shortNameTranslation': {'ar': 'م. سيساكو', 'bn': 'এম. সিসাকো', 'hi': 'एम. सिसाको'}}}",False,save,set-piece,"{'x': 7, 'y': 55.6, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.2, 'z': 5.7}","{'x': 4.1, 'y': 54, 'z': 0}","{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6342761,73,,4332,"{'start': {'x': 55.6, 'y': 7}, 'block': {'x': 54, 'y': 4.1}, 'end': {'x': 52.8, 'y': 0}, 'goal': {'x': 52.8, 'y': 94.3}}",18,1068,1632,shot,
"{'name': 'Sylvester Jasper', 'firstName': '', 'lastName': '', 'slug': 'jasper-sylvester', 'shortName': 'S. Jasper', 'position': 'M', 'jerseyNumber': '27', 'userCount': 191, 'gender': 'M', 'id': 1013994, 'fieldTranslations': {'nameTranslation': {'ar': 'جاسبر، سيلفستر', 'bn': 'জ্যাসপার, সিলভেস্টার', 'hi': 'जैस्पर, सिल्वेस्टर'}, 'shortNameTranslation': {'ar': 'ج. سيلفستر', 'bn': 'এস. জ্যাসপার', 'hi': 'एस. जैस्पर'}}}",True,save,fast-break,"{'x': 23.2, 'y': 38.2, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.7, 'z': 6.3}","{'x': 0.90000000000001, 'y': 49.8, 'z': 0}","{'name': 'Kadir Gicić', 'firstName': 'Kadir Gicic', 'slug': 'kadir-gicic', 'shortName': 'K. Gicić', 'position': 'G', 'jerseyNumber': '12', 'userCount': 15, 'gender': 'M', 'id': 1957264, 'fieldTranslations': {'nameTranslation': {'ar': 'كادير غيجيش'}, 'shortNameTranslation': {'ar': 'ك. غيجيش'}}}",6342706,61,,3609,"{'start': {'x': 38.2, 'y': 23.2}, 'block': {'x': 49.8, 'y': 0.90000000000001}, 'end': {'x': 52.3, 'y': 0}, 'goal': {'x': 52.3, 'y': 93.7}}",30,1791,909,shot,
"{'name': 'Sankara Karamoko', 'firstName': 'Sankara Karamoko', 'lastName': '', 'slug': 'sankara-karamoko', 'shortName': 'S. Karamoko', 'position': 'F', 'jerseyNumber': '50', 'userCount': 259, 'gender': 'M', 'id': 1444568, 'fieldTranslations': {'nameTranslation': {'ar': 'سانكارا كاراموكو'}, 'shortNameTranslation': {'ar': 'س. كاراموكو'}}}",False,save,assisted,"{'x': 1.9, 'y': 47.8, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.7, 'z': 19}","{'x': 0.3, 'y': 48.2, 'z': 0}","{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6342811,59,,3498,"{'start': {'x': 47.8, 'y': 1.9}, 'block': {'x': 48.2, 'y': 0.3}, 'end': {'x': 48.3, 'y': 0}, 'goal': {'x': 48.3, 'y': 81}}",32,1902,798,shot,
"{'name': 'Branislav Knežević', 'firstName': '', 'lastName': '', 'slug': 'branislav-knezevic', 'shortName': 'B. Knežević', 'position': 'M', 'jerseyNumber': '21', 'userCount': 42, 'gender': 'M', 'id': 1007254, 'fieldTranslations': {'nameTranslation': {'ar': 'برانيسلاف كنيزيفيتش'}, 'shortNameTranslation': {'ar': 'ب. كنيزيفيتش'}}}",True,block,assisted,"{'x': 25.1, 'y': 65.6, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.3, 'z': 19}","{'x': 17.1, 'y': 60.8, 'z': 0}","{'name': 'Kadir Gicić', 'firstName': 'Kadir Gicic', 'slug': 'kadir-gicic', 'shortName': 'K. Gicić', 'position': 'G', 'jerseyNumber': '12', 'userCount': 15, 'gender': 'M', 'id': 1957264, 'fieldTranslations': {'nameTranslation': {'ar': 'كادير غيجيش'}, 'shortNameTranslation': {'ar': 'ك. غيجيش'}}}",6342662,57,,3406,"{'start': {'x': 65.6, 'y': 25.1}, 'block': {'x': 60.8, 'y': 17.1}, 'end': {'x': 50.7, 'y': 0}, 'goal': {'x': 50.7, 'y': 81}}",34,1994,706,shot,
"{'name': 'Aleksa Kuljanin', 'firstName': '', 'lastName': '', 'slug': 'aleksa-kuljanin', 'shortName': 'A. Kuljanin', 'position': 'M', 'jerseyNumber': '13', 'userCount': 52, 'gender': 'M', 'id': 1417509, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكس كولجانين'}, 'shortNameTranslation': {'ar': 'أ. كولجانين'}}}",True,miss,assisted,"{'x': 8, 'y': 68.5, 'z': 0}",left-foot,left,"{'x': 0, 'y': 98.3, 'z': 12.5}","{'x': 3.5, 'y': 2.7, 'z': 0}","{'name': 'Kadir Gicić', 'firstName': 'Kadir Gicic', 'slug': 'kadir-gicic', 'shortName': 'K. Gicić', 'position': 'G', 'jerseyNumber': '12', 'userCount': 15, 'gender': 'M', 'id': 1957264, 'fieldTranslations': {'nameTranslation': {'ar': 'كادير غيجيش'}, 'shortNameTranslation': {'ar': 'ك. غيجيش'}}}",6342753,57,,3386,"{'start': {'x': 68.5, 'y': 8}, 'block': {'x': 2.7, 'y': 3.5}, 'end': {'x': 1.7, 'y': 0}, 'goal': {'x': 1.7, 'y': 87.5}}",34,2014,686,shot,
"{'name': 'Dario Grgić', 'slug': 'dario-grgic', 'shortName': 'D. Grgić', 'position': 'M', 'jerseyNumber': '20', 'userCount': 74, 'gender': 'M', 'id': 1121629, 'fieldTranslations': {'nameTranslation': {'ar': 'داريو غريجيتش'}, 'shortNameTranslation': {'ar': 'د. غريجيتش'}}}",True,post,assisted,"{'x': 9.4, 'y': 33.6, 'z': 0}",right-foot,left,"{'x': 0, 'y': 55.2, 'z': 2.5}",,"{'name': 'Kadir Gicić', 'firstName': 'Kadir Gicic', 'slug': 'kadir-gicic', 'shortName': 'K. Gicić', 'position': 'G', 'jerseyNumber': '12', 'userCount': 15, 'gender': 'M', 'id': 1957264, 'fieldTranslations': {'nameTranslation': {'ar': 'كادير غيجيش'}, 'shortNameTranslation': {'ar': 'ك. غيجيش'}}}",6342713,52,,3065,"{'start': {'x': 33.6, 'y': 9.4}, 'end': {'x': 44.8, 'y': 0}, 'goal': {'x': 44.8, 'y': 97.5}}",39,2335,365,shot,
"{'name': 'Dario Grgić', 'slug': 'dario-grgic', 'shortName': 'D. Grgić', 'position': 'M', 'jerseyNumber': '20', 'userCount': 74, 'gender': 'M', 'id': 1121629, 'fieldTranslations': {'nameTranslation': {'ar': 'داريو غريجيتش'}, 'shortNameTranslation': {'ar': 'د. غريجيتش'}}}",True,goal,regular,"{'x': 24.1, 'y': 37.2, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.9, 'z': 19.6}",,"{'name': 'Kadir Gicić', 'firstName': 'Kadir Gicic', 'slug': 'kadir-gicic', 'shortName': 'K. Gicić', 'position': 'G', 'jerseyNumber': '12', 'userCount': 15, 'gender': 'M', 'id': 1957264, 'fieldTranslations': {'nameTranslation': {'ar': 'كادير غيجيش'}, 'shortNameTranslation': {'ar': 'ك. غيجيش'}}}",6342388,43,,2552,"{'start': {'x': 37.2, 'y': 24.1}, 'end': {'x': 51.1, 'y': 0}, 'goal': {'x': 51.1, 'y': 80.4}}",3,148,2552,shot,regular
"{'name': 'Aleksa Kuljanin', 'firstName': '', 'lastName': '', 'slug': 'aleksa-kuljanin', 'shortName': 'A. Kuljanin', 'position': 'M', 'jerseyNumber': '13', 'userCount': 52, 'gender': 'M', 'id': 1417509, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكس كولجانين'}, 'shortNameTranslation': {'ar': 'أ. كولجانين'}}}",True,miss,assisted,"{'x': 13.2, 'y': 63, 'z': 0}",left-foot,left,"{'x': 0, 'y': 66.6, 'z': 27.8}",,"{'name': 'Kadir Gicić', 'firstName': 'Kadir Gicic', 'slug': 'kadir-gicic', 'shortName': 'K. Gicić', 'position': 'G', 'jerseyNumber': '12', 'userCount': 15, 'gender': 'M', 'id': 1957264, 'fieldTranslations': {'nameTranslation': {'ar': 'كادير غيجيش'}, 'shortNameTranslation': {'ar': 'ك. غيجيش'}}}",6342369,39,,2327,"{'start': {'x': 63, 'y': 13.2}, 'end': {'x': 33.4, 'y': 0}, 'goal': {'x': 33.4, 'y': 72.2}}",7,373,2327,shot,
