match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,aerialWon,duelWon,ballRecovery,wasFouled,goodHighClaim,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,aerialLost,duelLost,challengeLost,totalContest,wonContest,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,fouls,keyPass,shotOffTarget,shotValueNormalized,totalOffside,totalCross,accurateCross,onTargetScoringAttempt,blockedScoringAttempt,goals,dispossessed,bigChanceCreated,bigChanceMissed,outfielderBlock
14015553,home,25736,FK Novi Pazar,1047325,Željko Samčović,zeljko-samcovic,G,1,False,25.0,17.0,15.0,7.0,0.0,13.0,14.0,4.0,11.0,1.0,2.0,9.0,1.0,1.0,2.0,2.0,90.0,36.0,7.9,8.0,34.75116415456,5.0,18.165,7.35,0.0295,"{'original': 7.9, 'alternative': 7.3}",0,0.01,0.0,0.25,0.03,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,68.0,46.666666666666664,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015553,home,25736,FK Novi Pazar,1153954,Veljko Mirosavic,veljko-mirosavic,D,20,False,26.0,17.0,6.0,,0.0,10.0,11.0,7.0,15.0,,3.0,3.0,,,,,89.0,50.0,7.0,13.0,184.40914900517,12.0,105.315,48.615,,"{'original': 7, 'alternative': 6.9}",0,0.25,0.22,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,3,6,65.38461538461539,,,50.0,,1.0,7.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,
14015553,home,25736,FK Novi Pazar,948696,Jovan Marinković,jovan-marinkovic,D,23,False,43.0,28.0,17.0,4.0,0.0,26.0,35.0,2.0,8.0,3.0,5.0,4.0,1.0,,,,90.0,58.0,7.1,15.0,76.542393981883,11.0,9.975,7.35,,"{'original': 7.1, 'alternative': 7.3}",1,0.0,0.04,0.16,,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,65.11627906976744,23.52941176470588,,,,,1.0,1.0,,,7.0,4.0,1.0,1.0,,,,1.0,-0.15,,,,,,,,,,
14015553,home,25736,FK Novi Pazar,1023999,Ensar Brunčević,ensar-bruncevic,D,5,False,33.0,28.0,1.0,,0.0,21.0,23.0,7.0,10.0,1.0,4.0,2.0,1.0,,,,90.0,41.0,7.0,6.0,59.234333016093,9.0,-2.94,7.665,,"{'original': 7, 'alternative': 7}",0,-0.03,0.04,0.2,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,84.84848484848484,,,,,1.0,3.0,,,,4.0,,2.0,1.0,1.0,2.0,,,,1.0,,,,,,,,,
14015553,home,25736,FK Novi Pazar,799179,Nemanja Miletić,nemanja-miletic,D,3,False,50.0,44.0,6.0,4.0,0.0,18.0,20.0,26.0,30.0,2.0,4.0,8.0,2.0,,,,90.0,77.0,7.8,16.0,323.94241037374,27.0,226.17,41.685,,"{'original': 7.8, 'alternative': 7.6}",0,0.48,0.19,0.25,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,88.0,66.66666666666666,20.0,,,1.0,4.0,1.0,1.0,,7.0,,,,3.0,1.0,3.0,,,,5.0,1.0,,,,,,,
14015553,home,25736,FK Novi Pazar,1982067,Skima Togbe,skima-togbe,M,16,False,23.0,17.0,3.0,1.0,0.0,10.0,12.0,7.0,11.0,1.0,6.0,7.0,,,,,90.0,43.0,6.8,13.0,89.98487658156,13.0,47.25,20.58,,"{'original': 6.8, 'alternative': 6.7}",1,-0.06,0.12,0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,5,6,73.91304347826086,33.33333333333333,,50.0,,1.0,7.0,3.0,2.0,1.0,5.0,,4.0,3.0,4.0,2.0,,,-0.07,,1.0,,1.0,,,,,,
14015553,home,25736,FK Novi Pazar,1147753,Ivan Davidović,ivan-davidovic,M,24,False,17.0,14.0,2.0,2.0,0.0,7.0,7.0,7.0,10.0,1.0,6.0,5.0,2.0,,,,78.0,34.0,6.9,5.0,79.208834698174,11.0,27.3,9.135,,"{'original': 6.9, 'alternative': 7.3}",2,-0.07,0.06,0.23,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,5,0,82.35294117647058,100.0,,,,2.0,2.0,,,,3.0,3.0,3.0,2.0,2.0,,,1.0,-0.32,1.0,,,,1.0,,,,,
14015553,home,25736,FK Novi Pazar,1398550,Dominic Sadi,sadi-dominic,M,10,False,17.0,16.0,1.0,1.0,0.0,6.0,6.0,10.0,11.0,,4.0,1.0,2.0,,,,58.0,26.0,7.9,3.0,35.340988138174,5.0,13.125,18.06,,"{'original': 7.9, 'alternative': 7.6}",2,0.21,0.18,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,4,4,94.11764705882352,100.0,,,,1.0,5.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,,0.49,,,,1.0,1.0,1.0,,,,
14015553,home,25736,FK Novi Pazar,1493919,Zoran Alilović,zoran-alilovic,M,31,False,12.0,8.0,2.0,1.0,0.0,3.0,3.0,5.0,9.0,,,2.0,,,,,58.0,18.0,6.6,9.0,40.966025979414,5.0,4.095,7.245,,"{'original': 6.6, 'alternative': 6.5}",0,0.28,0.01,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,66.66666666666666,50.0,100.0,,,,1.0,,,,,,,,4.0,,1.0,,,,1.0,1.0,,,,1.0,,,
14015553,home,25736,FK Novi Pazar,1100966,Mihajlo Petković,mihajlo-petkovic,M,21,False,9.0,6.0,,,0.0,2.0,4.0,4.0,5.0,,3.0,1.0,,,,,45.0,24.0,6.5,8.0,116.84972507148,7.0,104.37,32.34,,"{'original': 6.5, 'alternative': 6.7}",2,0.0,0.34,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,3,4,66.66666666666666,,50.0,50.0,,1.0,5.0,,2.0,1.0,2.0,,2.0,2.0,1.0,1.0,,1.0,-0.25,,2.0,1.0,1.0,,,2.0,,,
14015553,home,25736,FK Novi Pazar,1032770,Stefan Stanisavljević,stefan-stanisavljevic,F,18,False,18.0,11.0,,,1.0,7.0,7.0,4.0,11.0,4.0,4.0,5.0,,,,,90.0,34.0,6.5,12.0,32.636119874481,5.0,-4.41,3.885,,"{'original': 6.5, 'alternative': 7.1}",2,0.28,0.09,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,6,6,0,6,61.111111111111114,,,,,2.0,8.0,,,,1.0,,,,3.0,4.0,2.0,1.0,-0.36,,,,1.0,,,2.0,1.0,,
14015553,home,3009,FK Novi Pazar,1617764,Ejike Opara,ejike-opara,F,11,True,7.0,5.0,,,0.0,3.0,4.0,2.0,3.0,,3.0,3.0,,,,,45.0,15.0,6.7,4.0,33.860441301819,4.0,27.195,17.745,,"{'original': 6.7, 'alternative': 6.5}",1,-0.02,0.53,0.15,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,71.42857142857143,,,100.0,,,2.0,,1.0,1.0,,,2.0,1.0,1.0,1.0,,,-0.56,,,,1.0,,,1.0,,1.0,
