player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,goalkeeper,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,blockCoordinates
"{'name': 'Babacar Mboup', 'slug': 'babacar-mboup', 'shortName': 'B. Mboup', 'position': 'F', 'jerseyNumber': '12', 'userCount': 93, 'gender': 'M', 'id': 1566364, 'fieldTranslations': {'nameTranslation': {'ar': 'مبوب، باباكار'}, 'shortNameTranslation': {'ar': 'ب. مبوب'}}}",True,miss,regular,"{'x': 7, 'y': 50, 'z': 0}",head,high,"{'x': 0, 'y': 49.7, 'z': 66.7}","{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6383229,72,4303,"{'start': {'x': 50, 'y': 7}, 'end': {'x': 50.3, 'y': 0}, 'goal': {'x': 50.3, 'y': 33.3}}",19,1097,1603,shot,,
"{'name': 'Nikola Srećković', 'slug': 'nikola-sreckovic', 'shortName': 'N. Srećković', 'position': 'M', 'jerseyNumber': '20', 'userCount': 42, 'gender': 'M', 'id': 810663, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا سريتشكوفيتش'}, 'shortNameTranslation': {'ar': 'ن. سريتشكوفيتش'}}}",True,goal,assisted,"{'x': 5.1, 'y': 65.6, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 50.4, 'z': 29.7}","{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6383199,63,3731,"{'start': {'x': 65.6, 'y': 5.1}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 70.3}}",28,1669,1031,shot,regular,
"{'name': 'Miloš Spasić', 'firstName': '', 'lastName': '', 'slug': 'milos-spasic', 'shortName': 'M. Spasić', 'position': 'F', 'jerseyNumber': '97', 'userCount': 83, 'gender': 'M', 'id': 1022054, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش سباسيتش'}, 'shortNameTranslation': {'ar': 'م. سباسيتش'}}}",True,miss,assisted,"{'x': 4.9, 'y': 39.8, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 56.6, 'z': 25}","{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6383214,60,3592,"{'start': {'x': 39.8, 'y': 4.9}, 'end': {'x': 43.4, 'y': 0}, 'goal': {'x': 43.4, 'y': 75}}",31,1808,892,shot,,
"{'name': 'Babacar Mboup', 'slug': 'babacar-mboup', 'shortName': 'B. Mboup', 'position': 'F', 'jerseyNumber': '12', 'userCount': 93, 'gender': 'M', 'id': 1566364, 'fieldTranslations': {'nameTranslation': {'ar': 'مبوب، باباكار'}, 'shortNameTranslation': {'ar': 'ب. مبوب'}}}",True,miss,regular,"{'x': 38.7, 'y': 51.3, 'z': 0}",right-foot,left,"{'x': 0, 'y': 63, 'z': 38.9}","{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6383217,60,3590,"{'start': {'x': 51.3, 'y': 38.7}, 'block': {'x': 37.5, 'y': 2.3}, 'end': {'x': 37, 'y': 0}, 'goal': {'x': 37, 'y': 61.1}}",31,1810,890,shot,,"{'x': 2.3, 'y': 37.5, 'z': 0}"
"{'name': 'Miloš Spasić', 'firstName': '', 'lastName': '', 'slug': 'milos-spasic', 'shortName': 'M. Spasić', 'position': 'F', 'jerseyNumber': '97', 'userCount': 83, 'gender': 'M', 'id': 1022054, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش سباسيتش'}, 'shortNameTranslation': {'ar': 'م. سباسيتش'}}}",True,miss,assisted,"{'x': 8.5, 'y': 37.9, 'z': 0}",head,high,"{'x': 0, 'y': 48.6, 'z': 62.5}","{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6383186,59,3520,"{'start': {'x': 37.9, 'y': 8.5}, 'end': {'x': 51.4, 'y': 0}, 'goal': {'x': 51.4, 'y': 37.5}}",32,1880,820,shot,,
"{'name': 'Nikola Srećković', 'slug': 'nikola-sreckovic', 'shortName': 'N. Srećković', 'position': 'M', 'jerseyNumber': '20', 'userCount': 42, 'gender': 'M', 'id': 810663, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا سريتشكوفيتش'}, 'shortNameTranslation': {'ar': 'ن. سريتشكوفيتش'}}}",True,block,regular,"{'x': 21, 'y': 76.6, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 46.2, 'z': 19}","{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6383158,46,2733,"{'start': {'x': 76.6, 'y': 21}, 'block': {'x': 70.2, 'y': 15.1}, 'end': {'x': 53.8, 'y': 0}, 'goal': {'x': 53.8, 'y': 81}}",45,2667,33,shot,,"{'x': 15.1, 'y': 70.2, 'z': 0}"
"{'name': 'Nikola Srećković', 'slug': 'nikola-sreckovic', 'shortName': 'N. Srećković', 'position': 'M', 'jerseyNumber': '20', 'userCount': 42, 'gender': 'M', 'id': 810663, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا سريتشكوفيتش'}, 'shortNameTranslation': {'ar': 'ن. سريتشكوفيتش'}}}",True,block,assisted,"{'x': 30.9, 'y': 61.7, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.4, 'z': 19}","{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6383055,43,2532,"{'start': {'x': 61.7, 'y': 30.9}, 'block': {'x': 60.1, 'y': 26}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 81}}",3,168,2532,shot,,"{'x': 26, 'y': 60.1, 'z': 0}"
"{'name': 'Miloš Spasić', 'firstName': '', 'lastName': '', 'slug': 'milos-spasic', 'shortName': 'M. Spasić', 'position': 'F', 'jerseyNumber': '97', 'userCount': 83, 'gender': 'M', 'id': 1022054, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلوش سباسيتش'}, 'shortNameTranslation': {'ar': 'م. سباسيتش'}}}",True,miss,assisted,"{'x': 3.3, 'y': 27.6, 'z': 0}",left-foot,right,"{'x': 0, 'y': 40.2, 'z': 15.3}","{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6383038,39,2334,"{'start': {'x': 27.6, 'y': 3.3}, 'end': {'x': 59.8, 'y': 0}, 'goal': {'x': 59.8, 'y': 84.7}}",7,366,2334,shot,,
"{'name': 'Djordje Petrović', 'firstName': 'Djordje Petrović', 'slug': 'djordje-petrovic', 'shortName': 'D. Petrovic', 'position': 'D', 'jerseyNumber': '71', 'userCount': 20, 'gender': 'M', 'id': 2198962, 'fieldTranslations': {'nameTranslation': {'ar': 'دجوردجي بتروفيتش'}, 'shortNameTranslation': {'ar': 'د. بتروفيتش'}}}",True,block,assisted,"{'x': 11.6, 'y': 69, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.3, 'z': 19}","{'name': 'Zoran Popović', 'slug': 'zoran-popovic', 'shortName': 'Z. Popović', 'position': 'G', 'jerseyNumber': '1', 'userCount': 114, 'gender': 'M', 'id': 267437, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران بوبوفيتش', 'bn': 'জোরান পপোভিচ', 'hi': 'ज़ोरान पोपोविक'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش', 'bn': 'জেড. পপোভিচ', 'hi': 'ज़ेड. पोपोविक'}}}",6383019,35,2058,"{'start': {'x': 69, 'y': 11.6}, 'block': {'x': 65.5, 'y': 8.8}, 'end': {'x': 54.7, 'y': 0}, 'goal': {'x': 54.7, 'y': 81}}",11,642,2058,shot,,"{'x': 8.8, 'y': 65.5, 'z': 0}"
"{'name': 'Dario Grgić', 'slug': 'dario-grgic', 'shortName': 'D. Grgić', 'position': 'M', 'jerseyNumber': '20', 'userCount': 74, 'gender': 'M', 'id': 1121629, 'fieldTranslations': {'nameTranslation': {'ar': 'داريو غريجيتش'}, 'shortNameTranslation': {'ar': 'د. غريجيتش'}}}",False,block,free-kick,"{'x': 24.2, 'y': 22.4, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.2, 'z': 19}","{'name': 'Strahinja Manojlović', 'slug': 'strahinja-manojlovic', 'shortName': 'S. Manojlović', 'position': 'G', 'jerseyNumber': '98', 'userCount': 64, 'gender': 'M', 'id': 990184, 'fieldTranslations': {'nameTranslation': {'ar': 'ستراهيجنا مانويلوفيتش'}, 'shortNameTranslation': {'ar': 'س. مانويلوفيتش'}}}",6382976,22,1268,"{'start': {'x': 22.4, 'y': 24.2}, 'block': {'x': 32.3, 'y': 15.1}, 'end': {'x': 48.8, 'y': 0}, 'goal': {'x': 48.8, 'y': 81}}",24,1432,1268,shot,,"{'x': 15.1, 'y': 32.3, 'z': 0}"
