match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,goodHighClaim,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,dispossessed,blockedScoringAttempt,totalClearance,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,shotValueNormalized,outfielderBlock,interceptionWon,totalContest,wonContest,keyPass,onTargetScoringAttempt,goals,bigChanceMissed,shotOffTarget,bigChanceCreated,totalOffside,punches,totalKeeperSweeper,accurateKeeperSweeper,goalkeeperValueNormalized
14015563,home,25737,FK Radnički Niš,990184,Strahinja Manojlović,strahinja-manojlovic,G,98,False,30.0,20.0,22.0,12.0,0.0,12.0,18.0,8.0,12.0,5.0,1.0,90.0,35.0,6.9,12.0,70.0758316803,10.0,9.345,8.925,"{'original': 6.9, 'alternative': 6.9}",0,0.13,-0.09,0.16,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,66.66666666666666,54.54545454545454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015563,home,25737,FK Radnički Niš,2198962,Djordje Petrović,djordje-petrovic,D,71,False,29.0,19.0,4.0,,0.0,7.0,14.0,12.0,15.0,4.0,,90.0,60.0,6.8,16.0,155.97937100734,16.0,61.57,28.495,"{'original': 6.8, 'alternative': 6.9}",1,0.06,0.26,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,4,4,65.51724137931035,,50.0,,,2.0,1.0,3.0,1.0,7.0,5.0,1.0,1.0,1.0,5.0,3.0,3.0,2.0,1.0,2.0,54.391034636875,2.0,-0.15,,,,,,,,,,,,,,,
14015563,home,25737,FK Radnički Niš,827547,Marko Mijailović,marko-mijailovic,D,2,False,41.0,32.0,11.0,6.0,0.0,22.0,25.0,10.0,16.0,4.0,,71.0,45.0,7.0,10.0,192.71743220249,23.0,17.535,11.865,"{'original': 7, 'alternative': 6.7}",0,0.15,0.04,0.13,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,78.04878048780488,54.54545454545454,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
14015563,home,25737,FK Radnički Niš,1165955,Dušan Pavlović,dusan-pavlovic,D,15,False,53.0,46.0,4.0,3.0,0.0,35.0,39.0,11.0,14.0,1.0,,90.0,57.0,7.4,8.0,271.63896213171,27.0,-7.14,26.46,"{'original': 7.4, 'alternative': 7.1}",0,0.2,0.01,0.5,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,86.79245283018868,75.0,,,,,,,2.0,1.0,2.0,,,,1.0,,,,,1.0,26.686300305588,1.0,,1.0,,,,,,,,,,,,,,
14015563,home,25737,FK Radnički Niš,926681,Miljan Ilić,miljan-ilic,D,24,False,43.0,35.0,6.0,3.0,0.0,20.0,24.0,15.0,19.0,2.0,,90.0,66.0,7.2,11.0,187.81985435919,22.0,92.925,28.56,"{'original': 7.2, 'alternative': 7.2}",0,0.04,0.12,0.43,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,5,4,81.3953488372093,50.0,,,,3.0,,,,4.0,5.0,1.0,,,1.0,4.0,3.0,,1.0,3.0,28.859651834352,1.0,,1.0,2.0,,,,,,,,,,,,,
14015563,home,25737,FK Radnički Niš,899302,Franck Kanouté,franck-kanoute,M,6,False,41.0,34.0,3.0,,0.0,18.0,21.0,16.0,20.0,5.0,,90.0,60.0,7.4,9.0,106.85925615475,15.0,-24.885,11.235,"{'original': 7.4, 'alternative': 7}",1,0.07,0.13,0.36,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,7,3,82.92682926829268,,100.0,50.0,,1.0,1.0,,1.0,3.0,8.0,,1.0,1.0,,4.0,3.0,,2.0,1.0,,,0.01,,2.0,2.0,1.0,1.0,,,,,,,,,,
14015563,home,25737,FK Radnički Niš,1470370,Luka Izderić,luka-izderic,M,89,False,25.0,23.0,1.0,1.0,0.0,11.0,11.0,12.0,14.0,5.0,,90.0,34.0,6.9,5.0,145.45594946696,15.0,83.475,23.52,"{'original': 6.9, 'alternative': 7.2}",1,-0.17,0.3,0.19,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,3,2,92.0,100.0,,,,,,,,2.0,3.0,,2.0,1.0,,3.0,3.0,1.0,,,68.595296408253,3.0,0.01,,1.0,,,2.0,,,,,,,,,,
14015563,home,40263,FK Radnički Niš,889059,Vanja Ilić,vanja-ilic,M,21,False,31.0,25.0,3.0,,0.0,11.0,12.0,14.0,19.0,5.0,,89.0,58.0,8.3,17.0,197.09274527763,21.0,36.96,25.2,"{'original': 8.3, 'alternative': 7.1}",0,0.85,0.21,0.22,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,0,17,11,6,80.64516129032258,,33.33333333333333,100.0,,3.0,1.0,,,6.0,11.0,,5.0,,,3.0,2.0,3.0,5.0,1.0,44.285723313228,2.0,,1.0,1.0,3.0,3.0,,,,,,,,,,,
14015563,home,25737,FK Radnički Niš,810663,Nikola Srećković,nikola-sreckovic,M,20,False,31.0,21.0,4.0,2.0,0.0,10.0,13.0,11.0,18.0,4.0,,89.0,50.0,8.2,17.0,197.36133099561,21.0,58.0,27.405,"{'original': 8.2, 'alternative': 7.7}",3,0.16,0.32,-0.04,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,5,2,67.74193548387096,50.0,16.666666666666664,100.0,,6.0,1.0,,1.0,2.0,6.0,,,2.0,,3.0,3.0,2.0,1.0,2.0,63.373447487148,3.0,0.51,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
14015563,home,25737,FK Radnički Niš,1022054,Miloš Spasić,milos-spasic,M,97,False,18.0,15.0,,,0.0,3.0,3.0,12.0,15.0,2.0,,90.0,40.0,7.0,13.0,173.9566174279,16.0,118.65,23.625,"{'original': 7, 'alternative': 7}",3,0.4,0.31,0.17,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,7,7,2,5,83.33333333333334,,50.0,33.33333333333333,,2.0,1.0,2.0,5.0,7.0,7.0,,1.0,,1.0,,,6.0,1.0,2.0,76.75475992384,4.0,-0.17,,,3.0,1.0,1.0,,,1.0,3.0,,,,,,
