match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,unsuccessfulTouch,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,accurateCross,duelLost,duelWon,dispossessed,totalContest,wonContest,shotOffTarget,totalClearance,totalTackle,wonTackle,fouls,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,keyPass,shotValueNormalized,aerialLost,aerialWon,onTargetScoringAttempt,goals,challengeLost,outfielderBlock,interceptionWon,wasFouled,blockedScoringAttempt,totalOffside,bigChanceCreated,bigChanceMissed,goodHighClaim,punches,lastManTackle,errorLeadToAShot
14015564,home,308176,FK IMT Beograd,1957264,Kadir Gicić,kadir-gicic,G,12,False,15.0,7.0,13.0,6.0,0.0,4.0,7.0,3.0,8.0,7.0,1.0,2.0,3.0,90.0,22.0,7.5,9.0,4.2032506468209,1.0,2.73,2.73,0.2497,"{'original': 7.5, 'alternative': 7.2}",0,-0.01,0.0,0.0,0.27,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,46.666666666666664,46.15384615384615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015564,home,308176,FK IMT Beograd,929727,Vladimir Radočaj,vladimir-radocaj,D,27,False,37.0,21.0,7.0,,0.0,6.0,8.0,15.0,29.0,8.0,1.0,,,90.0,71.0,7.6,29.0,249.01328097905,19.0,139.755,30.87,,"{'original': 7.6, 'alternative': 7.5}",1,0.32,0.36,0.44,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,0,14,9,5,56.75675675675676,,16.666666666666664,100.0,,6.0,1.0,5.0,9.0,1.0,2.0,2.0,1.0,1.0,7.0,5.0,4.0,87.202749265392,4.0,2.0,-0.26,,,,,,,,,,,,,,,,
14015564,home,353746,FK IMT Beograd,2334130,Andrej Milanović,andrej-milanovic,D,80,False,17.0,12.0,6.0,3.0,0.0,6.0,7.0,6.0,10.0,2.0,,,,90.0,23.0,8.3,5.0,26.401051822404,4.0,6.3,5.565,,"{'original': 8.3, 'alternative': 7.8}",1,0.06,0.01,0.31,,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,2,2,2,0,70.58823529411765,50.0,,,,,,1.0,3.0,,,,,2.0,2.0,1.0,,,,,0.51,1.0,1.0,1.0,1.0,,,,,,,,,,,,
14015564,home,308176,FK IMT Beograd,904998,Moussa Sissako,sissako-moussa,D,5,False,14.0,9.0,3.0,,0.0,7.0,8.0,2.0,6.0,,1.0,,,67.0,25.0,6.6,6.0,18.659758867681,1.0,13.965,13.965,,"{'original': 6.6, 'alternative': 6.6}",0,-0.04,0.01,0.26,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,0,1,64.28571428571429,,,,,,,3.0,2.0,,,,,5.0,,,1.0,,,,,2.0,2.0,,,1.0,1.0,2.0,,,,,,,,,
14015564,home,308176,FK IMT Beograd,966572,Ismael Casas,ismael-casas,D,45,False,20.0,16.0,4.0,3.0,0.0,7.0,8.0,9.0,12.0,3.0,2.0,,,90.0,38.0,7.1,7.0,52.622435424562,7.0,17.22,10.605,,"{'original': 7.1, 'alternative': 7}",0,0.15,0.04,0.22,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,3,2,80.0,75.0,100.0,,,1.0,1.0,2.0,5.0,,,,,4.0,2.0,1.0,1.0,,,,,,2.0,,,1.0,,1.0,1.0,,,,,,,,
14015564,home,308176,FK IMT Beograd,1217033,Kenroy Campbell,kenroy-campbell,M,66,False,17.0,12.0,1.0,,0.0,1.0,1.0,11.0,16.0,6.0,6.0,,,53.0,48.0,6.4,18.0,157.14288652323,18.0,6.195,13.65,,"{'original': 6.4, 'alternative': 7.1}",6,0.0,0.29,-0.02,,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,5,12,4,8,70.58823529411765,,,66.66666666666666,,1.0,,11.0,6.0,4.0,3.0,2.0,1.0,1.0,,,2.0,7.7630293700333,1.0,1.0,0.27,3.0,2.0,2.0,,1.0,,,2.0,3.0,1.0,,,,,,
14015564,home,308176,FK IMT Beograd,314246,Luka Luković,luka-lukovic,M,8,False,40.0,30.0,6.0,2.0,0.0,9.0,9.0,21.0,31.0,7.0,4.0,,,90.0,61.0,7.2,17.0,206.34465188455,18.0,111.405,37.275,,"{'original': 7.2, 'alternative': 7.3}",2,0.3,0.3,0.18,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,5,4,75.0,33.33333333333333,,100.0,,1.0,,6.0,8.0,1.0,1.0,1.0,,,3.0,3.0,3.0,72.539595729625,2.0,2.0,-0.09,2.0,3.0,1.0,,,,2.0,1.0,1.0,,,,,,,
14015564,home,308176,FK IMT Beograd,1957265,Vasilije Novičić,vasilije-novicic,M,22,False,37.0,24.0,7.0,2.0,1.0,9.0,12.0,15.0,25.0,7.0,1.0,,,90.0,58.0,7.2,21.0,116.32575098646,13.0,45.675,16.065,,"{'original': 7.2, 'alternative': 7.5}",1,0.31,0.17,0.17,,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,7,5,4,1,64.86486486486487,28.57142857142857,22.22222222222222,,,9.0,2.0,5.0,7.0,,,,1.0,,2.0,2.0,2.0,36.932261892192,2.0,3.0,-0.12,4.0,3.0,,,,,1.0,2.0,,,1.0,,,,,
14015564,home,308176,FK IMT Beograd,2059299,Dušan Zagar,dusan-zagar,M,10,False,20.0,14.0,2.0,1.0,0.0,6.0,10.0,8.0,10.0,10.0,1.0,,,89.0,38.0,7.2,12.0,167.07654324058,18.0,107.625,18.06,,"{'original': 7.2, 'alternative': 6.7}",6,0.28,0.62,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,3,6,70.0,50.0,25.0,,,4.0,1.0,6.0,3.0,,2.0,,2.0,,3.0,3.0,2.0,100.01604739747,7.0,2.0,-0.59,,,1.0,,2.0,,2.0,,3.0,,,1.0,,,,
14015564,home,1210144,FK IMT Beograd,2319703,Aleksa Mitić,aleksa-mitic,F,21,False,7.0,5.0,,,0.0,1.0,1.0,4.0,6.0,,4.0,,,53.0,15.0,6.5,6.0,4.2005504401209,1.0,4.2,4.2,,"{'original': 6.5, 'alternative': 7}",1,0.05,0.02,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,4,1,1,0,71.42857142857143,,,,,,,2.0,3.0,,,,1.0,,,,,,,3.0,-0.23,2.0,2.0,,,,,,1.0,,,,,,,,
