match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,ballRecovery,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,totalBallCarriesDistance,ballCarriesCount,totalProgression,bestBallCarryProgression,keeperSaveValue,ratingVersions,totalShots,passValueNormalized,dribbleValueNormalized,defensiveValueNormalized,goalkeeperValueNormalized,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,totalCross,aerialWon,duelLost,duelWon,challengeLost,dispossessed,totalClearance,interceptionWon,totalTackle,wonTackle,unsuccessfulTouch,wasFouled,fouls,aerialLost,totalProgressiveBallCarriesDistance,progressiveBallCarriesCount,totalContest,wonContest,outfielderBlock,shotOffTarget,shotValueNormalized,blockedScoringAttempt,keyPass,bigChanceMissed,onTargetScoringAttempt,penaltyMiss,totalOffside,lastManTackle,goodHighClaim,penaltySave,penaltyFaced,totalKeeperSweeper,accurateCross,penaltyConceded,errorLeadToAShot,bigChanceCreated,goals
14015565,home,7674,FK Napredak Kruševac,1147879,Vladimir Savić,vladimir-savic,G,1,False,26.0,18.0,13.0,5.0,0.0,15.0,18.0,3.0,8.0,9.0,1.0,2.0,90.0,36.0,7.1,8.0,19.442565952663,4.0,11.13,4.62,0.4214,"{'original': 7.1, 'alternative': 6.7}",0,-0.01,0.0,-0.09,0.37,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,69.23076923076923,38.46153846153847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14015565,home,7674,FK Napredak Kruševac,984877,Uroš Ignjatović,uros-ignjatovic,D,24,False,38.0,22.0,8.0,2.0,0.0,13.0,18.0,9.0,20.0,4.0,,,90.0,72.0,6.8,23.0,61.220362741708,11.0,-19.005,5.04,,"{'original': 6.8, 'alternative': 6.8}",0,0.0,-0.04,0.24,,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,3,12,6,6,57.89473684210527,25.0,,,,1.0,3.0,6.0,9.0,1.0,2.0,5.0,2.0,5.0,5.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
14015565,home,7674,FK Napredak Kruševac,1846384,Lazar Miladinović,lazar-miladinovic,D,70,False,58.0,43.0,15.0,7.0,0.0,34.0,40.0,9.0,18.0,8.0,,,90.0,73.0,6.8,16.0,118.42650870649,14.0,74.235,18.69,,"{'original': 6.8, 'alternative': 6.7}",0,0.14,0.05,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,6,2,74.13793103448276,46.666666666666664,,,,,1.0,4.0,7.0,,,6.0,,5.0,,,1.0,2.0,2.0,18.808502439057,1.0,,,,,,,,,,,,,,,,,,,,,
14015565,home,7674,FK Napredak Kruševac,998786,Vladimir Miletić,vladimir-miletic,D,95,False,43.0,35.0,8.0,3.0,0.0,20.0,21.0,15.0,22.0,3.0,,,89.0,72.0,6.8,22.0,148.57358222128,14.0,82.635,21.0,,"{'original': 6.8, 'alternative': 6.9}",0,0.23,0.1,-0.14,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,4,6,81.3953488372093,37.5,,100.0,,2.0,3.0,7.0,7.0,3.0,1.0,5.0,1.0,2.0,2.0,5.0,1.0,2.0,1.0,43.250773785859,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
14015565,home,7674,FK Napredak Kruševac,799152,Aleksandar Lutovac,aleksandar-lutovac,M,15,False,24.0,16.0,3.0,1.0,0.0,4.0,5.0,12.0,19.0,5.0,,,90.0,50.0,6.9,21.0,182.3653694791,14.0,83.37,33.495,,"{'original': 6.9, 'alternative': 6.8}",1,0.24,0.21,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,5,14,7,7,66.66666666666666,33.33333333333333,,40.0,,4.0,4.0,8.0,11.0,1.0,3.0,1.0,,4.0,3.0,3.0,1.0,,1.0,115.9096554891,3.0,5.0,2.0,1.0,1.0,-0.25,,,,,,,,,,,,,,,,
14015565,home,7674,FK Napredak Kruševac,795871,Stefan Bukorac,stefan-bukorac,M,5,False,19.0,8.0,1.0,,0.0,3.0,7.0,5.0,12.0,2.0,,,45.0,29.0,5.9,12.0,5.4860041013474,1.0,5.145,5.145,,"{'original': 5.9, 'alternative': 6.4}",0,-0.07,0.0,-0.05,,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,1,4,42.10526315789473,,,,,,1.0,7.0,2.0,,,2.0,2.0,1.0,1.0,1.0,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,
14015565,home,37064,FK Napredak Kruševac,799015,Lazar Zličić,lazar-zlicic,M,23,False,26.0,16.0,1.0,,0.0,3.0,6.0,13.0,20.0,4.0,,,75.0,46.0,6.4,15.0,70.369076498293,10.0,-23.205,5.88,,"{'original': 6.4, 'alternative': 7}",3,0.07,-0.31,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,61.53846153846154,,,,,2.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,1.0,2.0,-0.12,1.0,1.0,,,,,,,,,,,,,,
14015565,home,5143,FK Napredak Kruševac,889448,Stefan Hajdin,stefan-hajdin,M,44,False,13.0,9.0,2.0,,0.0,1.0,2.0,8.0,11.0,1.0,,,63.0,31.0,6.5,8.0,50.35882555852,3.0,47.88,28.35,,"{'original': 6.5, 'alternative': 6.7}",0,-0.16,0.19,0.13,,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,3,1,69.23076923076923,,,100.0,,1.0,1.0,4.0,4.0,,1.0,4.0,1.0,,,1.0,1.0,,3.0,40.086545188515,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,
14015565,home,7674,FK Napredak Kruševac,795861,Miloš Vulić,milos-vulic,F,10,False,42.0,27.0,4.0,2.0,0.0,8.0,11.0,19.0,31.0,3.0,,,90.0,56.0,7.1,21.0,160.710303793,16.0,32.76,23.31,,"{'original': 7.1, 'alternative': 7}",1,-0.04,0.2,-0.01,,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,6,5,4,1,64.28571428571429,50.0,,,,4.0,4.0,3.0,8.0,,,,,,,1.0,4.0,,2.0,37.770404480258,2.0,1.0,,,1.0,0.01,,,,,,,,,,,,,,,,
14015565,home,7674,FK Napredak Kruševac,796223,Andrija Majdevac,andrija-majdevac,F,11,False,15.0,13.0,,,0.0,4.0,4.0,9.0,11.0,1.0,,,90.0,33.0,5.9,10.0,45.263545794006,8.0,13.545,6.93,,"{'original': 5.9, 'alternative': 6.3}",3,0.12,0.06,-0.09,,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,4,6,86.66666666666667,,,,,,,10.0,4.0,2.0,,,,,,6.0,4.0,2.0,4.0,,,2.0,,,,-0.72,,1.0,1.0,3.0,1.0,,,,,,,,,,,
